M-AILABS_pol_000244	lalka_1_08_f000126	Zkąd ona wie - myślał dalej - że ja kupiłem serwis i srebra?
M-AILABS_pol_000312	lalka_1_12_f000224	Pozwól ażebym ja mu postawiła nagrobek. Ale że sama jechać tam nie mogę więc ty mnie wyręczysz.
M-AILABS_pol_000313	lalka_2_22_f000210	Moja panno Felicyo! - zawołał Ochocki - tylko proszę nie bawić się w uszczypliwość bo się to pani nie udaje.
M-AILABS_pol_000314	saragossie_16_f000031	Na pierwszym mule otwierającym pochód siedziała młoda dziewczyna jak się zdawało w moim wieku chociaż w istocie była nieco starsza.
M-AILABS_pol_000315	saragossie_41_f000020	Senor złodzieju zlituj się oszczędź szlachcica który chociaż urodził się pośród kopalń złota grosza jednak nic ma przy duszy.
M-AILABS_pol_000316	saragossie_66_f000041	Zafed zaślubił dwie Aszdotanki Nehemiasz przeklął go wytłukł pięściami i jak nawet sam ten święty człowiek mówi w swojej historii wyrwał mu garść włosów z brody.
M-AILABS_pol_000317	lalka_3_10_f000149	- Nie chce mi się.
M-AILABS_pol_000318	lalka_1_13_f000170	- wołali czarni od dymu rozbestwieni oficerowie ustawiając nas napowrót w szeregi i płazując każdego kto nawinął im się pod rękę.
M-AILABS_pol_000319	saragossie_63_f000035	Zaniechał nawet wykonania swoich zamiarów ale nadał im kształt który że tak powiem zachowywał je na przyszłość.
M-AILABS_pol_000320	saragossie_33_f000134	Racz więc nie zważać na mnie i ciągnąć twoją rzecz dalej. Cygan tak dalej mówił:
M-AILABS_pol_000321	saragossie_60_f000027	W paśmie tych gór znajdują się obszerne jaskinie i podziemia.
M-AILABS_pol_000322	lalka_3_10_f000068	Małżeństwo nie jest więzieniem a ja mniej niż kto inny nadaję się na więźnia.
M-AILABS_pol_000323	lalka_3_09_f000083	- Nie zagarnia tylko kupuje! - zawołał doktor. - Może wolałbyś pan ażeby sklep zmarniał nie znalazłszy nabywcy?...
M-AILABS_pol_000324	lalka_2_20_f000016	Cóż ty bałaganowym skoczkiem myślisz zostać ha? No i nareszcie powiem tobie Stanisławie Piotrowiczu ty obraziłeś na siebie jednę bardzo dystyngowaną damę tę ot baronowę...
M-AILABS_pol_000325	saragossie_11_f000037	upiorami którym niebo dozwoliło ożywić ohydne trupy wisielców z doliny Los Hermanos?
M-AILABS_pol_000326	lalka_1_20_f000231	Tej samej nocy jak każdej zresztą innej nocy baron grał w karty. Maruszewicz który również był w klubie przypominał mu o dwunastej o pierwszej i o drugiej ażeby szedł spać gdyż zrana zbudzi go o siódmej; roztargniony baron odpowiadał: zaraz! zaraz!
M-AILABS_pol_000327	saragossie_02_f000181	Z początku zwracałyśmy na to mało uwagi i tak dość już znudzone książkami na których nas czytać uczono ale z wiekiem przyszła nam ciekawość. Wypatrzyłyśmy
M-AILABS_pol_000328	lalka_1_16_f000293	Trzydzieści panie... trzydzieści tysięcy rubli panie... Bardzo panie... bardzo! - dodał baron z fizyognomią Mefistofelesa.
M-AILABS_pol_000329	lalka_2_05_f000097	Gra artystów z początku nie obchodziła go oglądał się więc po sali i przedewszystkiem spostrzegł Wokulskiego.
M-AILABS_pol_000330	saragossie_18_f000013	Szacunek jaki miałem wówczas dla jej osoby powiększał się wraz z jej wdziękami.
M-AILABS_pol_000331	lalka_2_21_f000187	Któż więcej? - pytał Wokulski.
M-AILABS_pol_000332	lalka_2_19_f000088	Dlaczego nazywacie go waryatem?
M-AILABS_pol_000333	lalka_1_22_f000019	Byłto przebiegły i bezczelny kupczyk który w swoim sklepie pozował na upadłego ministra.
M-AILABS_pol_000334	lalka_3_10_f000088	- Przegrasz ją kuzynko nawet w tych punktach w których liczysz na najzupełniejsze zwycięstwo - odpowiedział uroczyście Ochocki.
M-AILABS_pol_000335	lalka_2_25_f000151	Już jej dawno nie mam.
M-AILABS_pol_000336	saragossie_34_f000050	Mistrz oznajmił nam że pobożne obowiązki wzywają go do świątyni ale że możemy nazajutrz wieczorem powrócić.
M-AILABS_pol_000337	saragossie_32_f000130	Ja nie - odpowiedział Toledo - ale lękam się ażeby ona mnie nie opuściła.
M-AILABS_pol_000338	saragossie_34_f000028	Wznoszę się do życia i do światła.
M-AILABS_pol_000339	lalka_3_04_f000065	- A trzeci pan gdzie?
M-AILABS_pol_000340	saragossie_13_f000011	Oto masz przed sobą senor kawalerze towary angielskie i brazylijskie wystarczające na potrzeby czterech królestw: Andaluzji Grenady Walencji i Katalonii.
M-AILABS_pol_000341	lalka_2_06_f000255	Okazały pan uderza ręką w stół marmurowy i chce wychodzić. Zgarbiony żyd chwyta go za połę surduta znowu sadza na krześle i ofiaruje sześć rubli gotówką.
M-AILABS_pol_000342	lalka_1_17_f000119	I zaczął mówić jakby do siebie:
M-AILABS_pol_000343	saragossie_15_f000194	Zebrałam pewne wyziewy z których złożyłam błędny ognik i rozkazałam aby mi przewodniczył.
M-AILABS_pol_000344	saragossie_60_f000020	W istocie czy mogłem żyć z nią będąc i nie będąc jej mężem? Jeżeli nawet zdołaliśmy ujść przed przenikliwością ogółu to nie uniknęlibyśmy wzroku naszych służących a wtedy tajemnicy nie można by zachować.
M-AILABS_pol_000345	saragossie_39_f000020	Witaj szczęśliwa Latono'' ale kiedy doszedł do Delos jeżeli chcesz aby syn mój zamieszkiwał twoje brzegi - głos jego osłabł pochylił głowę na moje ramię i wyzionął ducha.
M-AILABS_pol_000346	saragossie_65_f000094	Była to sobota. Następnego piątku gdy Maurowie z dolin zeszli się na modlitwę i przynieśli dla nas żywność
M-AILABS_pol_000347	lalka_3_11_f000114	Nareszcie przyjął kucharza i wraz ze swoją małżonką złożył wizyty rozmaitym osobom z towarzystwa powiedziawszy pierwej Maruszewiczowi
M-AILABS_pol_000348	saragossie_19_f000036	Ciotka Torres. która od razu straciła syna i siostrzenicę oddała się najgwałtowniejszej rozpaczy;
M-AILABS_pol_000349	lalka_2_17_f000151	Na środku jego stał gmach prostokątny otoczony kolumnami jak grecka świątynia;
M-AILABS_pol_000350	saragossie_09_f000086	Synu mój możeż to być żebyś miał stosunek cielesny z dwoma szatanami? Pójdź wyspowiadaj się wyznaj twoje winy.
M-AILABS_pol_000351	lalka_2_22_f000125	Gdy zaś Wokulski pochylił się do jej ręki pocałowała go w czoło co na obecnych zrobiło pewne wrażenie.
M-AILABS_pol_000352	lalka_2_05_f000055	Dopiero woźny przypomniał mu że ma bilet do pierwszego rzędu krzeseł obrzucając go przytem spojrzeniami
M-AILABS_pol_000353	saragossie_15_f000119	Nie jestem dość obeznana z językiem tego autora lękając się więc czym źle nie przeczytała ukradkiem spojrzałam w zwierciadło aby przekonać się jaki skutek wywieram na słuchaczach.
M-AILABS_pol_000354	lalka_1_04_f000209	To powiedziawszy Ignacy wypił wino a kieliszek rzucił na ziemię. Szkło rozbiło się z brzękiem który obudził Ira.
M-AILABS_pol_000355	saragossie_19_f000063	że niewielu jest grenadczyków którzy by nie przepędzili młodości swojej a czasami i całego życia na zalecaniu się i kochaniu.
M-AILABS_pol_000356	lalka_2_19_f000087	Stuknął się palcem w czoło.
M-AILABS_pol_000357	lalka_3_09_f000018	- Niezawsze - rzekł - byłeś pan tego zdania.
M-AILABS_pol_000358	lalka_3_14_f000160	Swoją drogą ostrzegłem Klejna i dodałem: że byłby to bardzo przykry wypadek gdyby on subjekt Wokulskiego miał proces o jakieś studenckie awantury.
M-AILABS_pol_000359	lalka_1_14_f000177	Dziwna byłato rodzina!
M-AILABS_pol_000360	lalka_3_08_f000024	zobaczę ją pojutrze... jutro... Zresztą mogę zobaczyć każdej chwili jeżeli nie panią to przynajmniej ojca Mikołaja a choćby ten dom.
M-AILABS_pol_000361	lalka_3_12_f000175	- Gdybym czuł potrzebę satysfakcyi od pana jużbyś nie żył bez dodatkowych formalności.
M-AILABS_pol_000362	saragossie_07_f000020	Złożył uciułane grosze w ręce zakonników odprawił publiczną pokutę i zamieszkał pod przysionkiem kościoła.
M-AILABS_pol_000363	lalka_3_01_f000104	Ja jednak po dojrzałej rozwadze doszedłem do przekonania żem bywał za rzadko.
M-AILABS_pol_000364	lalka_3_03_f000044	- Ja powiedziałam że nie wiem który to pan Wokulski. A wtedy pani baronowa mówi... Ach jak pański zegarek głośno puka. Niech pan pokaże.
M-AILABS_pol_000365	lalka_1_02_f000142	ozdobiony jednem jedynem również zakratowanem oknem gdzie czasami stał garnczek masła albo wisiały zwłoki zająca.
M-AILABS_pol_000366	lalka_3_15_f000107	Zaczął znowu czytać historyą z Tysiąca nocy lecz spostrzegł że i ona już nie absorbuje go... Dawny ból zaczynał nurtować serce a przed oczyma coraz wyraźniej rysowała się sylwetka panny Izabeli i Starskiego.
M-AILABS_pol_000367	lalka_2_26_f000041	jakby to on był owym wrogiem przeciw któremu należało uzbroić się we dwie służące.
M-AILABS_pol_000368	saragossie_14_f000157	Zdawało mi się że byłam winna życie odwadze i zręczności młodego księcia ale nazajutrz dowiedziałam się że koniuszy jego naumyślnie przywiódł nam byka i że pan jego chciał tym sposobem wyświadczyć mi grzeczność wedle zwyczajów swego kraju.
M-AILABS_pol_000369	lalka_2_14_f000081	Widzę macie tu kolorowe szyby co?
M-AILABS_pol_000370	lalka_2_09_f000217	Panna Izabela podniosła się gwałtownie.
M-AILABS_pol_000371	saragossie_57_f000062	Zostałem zaszczycony godnością kawalera orderu Calatravy.
M-AILABS_pol_000372	lalka_3_14_f000075	Schwyciłem Lisieckiego za rękę i odciągnąłem za szafy. Śmieli się wszyscy panowie z tej obrazy Szlangbauma... Tylko Zięba on jeden zostaje przy sklepie zaperzył się i zawołał:
M-AILABS_pol_000373	lalka_1_06_f000153	W tej chwili weszła panna Florentyna zapraszając na obiad.
M-AILABS_pol_000374	lalka_3_08_f000070	Swoich uczuć dla Wokulskiego pani Stawska nie umiałaby określić.
M-AILABS_pol_000375	lalka_1_17_f000085	Spotkali się pierwszy raz i już Ochocki tak z nim rozmawiał jakgdyby znali się od dzieci.
M-AILABS_pol_000376	lalka_3_14_f000161	Klejn wysłuchał i wzruszył ramionami.
M-AILABS_pol_000377	saragossie_36_f000306	Cornadezowi co noc pokazywało się jakieś straszliwe zjawisko i zakłócało spokój już i tak nadwerężonego sumienia.
M-AILABS_pol_000378	lalka_3_22_f000244	- O zapisie dla pana dawno wiedziałem... Ochockiemu dał blisko milion złotych ponieważ odkrył w nim waryata tego co sam gatunku... No i prezent dla córeczki pięknej pani Stawskiej rozumiem - dodał z uśmiechem - jedno mnie tylko intryguje.
M-AILABS_pol_000379	saragossie_36_f000338	Frasqueta Salero opowiedziała swoją historię Busquerowi ton Lopezowi Suarez który znowu opowiedział ją Cyganowi.
M-AILABS_pol_000380	lalka_3_01_f000111	Do godziny drugiej po północy śpiewali i krzyczeli czasami nawet ryczeli i wogóle starali się wydawać jak najwięcej głosów nieludzkich.
M-AILABS_pol_000381	saragossie_37_f000076	Nareszcie przyszedł po mnie i wymógł że udałem się za nim.
M-AILABS_pol_000382	lalka_2_26_f000136	Ochocki sposępniał i od rana do wieczora albo kleił albo puszczał oryginalnej formy latawce.
M-AILABS_pol_000383	lalka_1_12_f000323	Środkiem alei wciąż toczyły się dorożki i powozy. W jednym Wokulski zobaczył blado-niebieską suknią.
M-AILABS_pol_000384	lalka_1_06_f000141	Sklep znam bardzo ładny - mówiła panna Izabela zamyślając się. - Jest tam stary subjekt który wygląda trochę na dziwaka ale nadzwyczajnie uprzejmy.
M-AILABS_pol_000385	saragossie_11_f000085	Tybald ze swej strony pragnąc ją przytrzymać przyciskał jej rękę do serca zawsze jednak z wielką ostrożnością ażeby nie spłoszyć zwierzyny.
M-AILABS_pol_000386	saragossie_02_f000245	Nowy szejk rządził w duchu swego poprzednika i również znikał ostatniego piątku każdego miesiąca.
M-AILABS_pol_000387	saragossie_13_f000022	ja zaś poprzestawałem na świeżej wodzie z sąsiedniego źródła.
M-AILABS_pol_000388	lalka_3_11_f000163	Jaka ona szlachetna!... Jaka delikatność uczuć!... Jeszcze nieprędko poznam wszystkie skarby tej pięknej duszy.
M-AILABS_pol_000389	lalka_3_09_f000178	- Potrzebujesz pieniędzy?
M-AILABS_pol_000390	saragossie_03_f000075	Ojciec wyłuszczywszy mi te trzy powody odwrócił się ode mnie i odszedł.
M-AILABS_pol_000391	lalka_3_11_f000049	- Ja w kuchni?... - spytał jegomość nazwany Leonem. - Chyba jaśnie pani żartuje. Według umowy z panem mam mieć swój pokój.
M-AILABS_pol_000392	lalka_2_23_f000154	Ale pani Wąsowska nie zachwycała się. Pędziła z góry na złamanie karku jakby chcąc zaimponować swemu towarzyszowi odwagą.
M-AILABS_pol_000393	lalka_2_01_f000004	nie jest-że to śmieszne ażeby stary i wystygły kawaler wierzący tylko w sklep i w Bonapartych zarzucał mu szaleństwo!
M-AILABS_pol_000394	lalka_2_18_f000076	przez środek miasta i skręca do kąta południowo-zachodniego.
M-AILABS_pol_000395	lalka_2_09_f000072	Cicho! na Boga cicho! - Niech pan Szpigelman przyjdzie jutro... Przecież pan Szpigelman wie że są pieniądze.
M-AILABS_pol_000396	saragossie_25_f000138	Wyznam wam że mowa szejka zmieszała mnie do najwyższego stopnia.
M-AILABS_pol_000397	saragossie_35_f000123	No cóż - rzekł - list doszedł swego przeznaczenia? Widzę po twojej twarzy senor że sprawił pożądane wrażenie.
M-AILABS_pol_000398	lalka_2_08_f000167	Co za przykra farsa! - odezwał się po chwili pan Tomasz. - Istotnie wypowiedziałem w sklepie parę gorzkich wyrazów o starym Szlangbaumie ale pod słowem nie wiedziałem że jego syn tu jest...
M-AILABS_pol_000399	lalka_1_10_f000025	Potem przypomniał sobie że ten cień chodzi przed nim za nim albo obok niego zawsze i wszędzie jak myśl o tamtej kobiecie
M-AILABS_pol_000400	saragossie_09_f000012	W istocie przekonałem się że ma słuszność. Przypomniałem sobie że Emina wczoraj zawiesiła mi na szyi plecionkę z włosów swoich i Zibeldy
M-AILABS_pol_000401	saragossie_57_f000114	Nie wiedziałem co z sobą począć; na szczęście karzeł ofiarował mi pomoc swojej latarni udałem się za nim przez zwaliska i opuszczone ulice gdy wtem nagle latarnia zagasła.
M-AILABS_pol_000402	lalka_1_04_f000137	Alboż ja do ciebie mam żal?
M-AILABS_pol_000403	lalka_2_06_f000242	Pan Ignacy ucieka z sieni aż na drugą stronę ulicy;
M-AILABS_pol_000404	saragossie_65_f000075	Obdarzony łagodnym sposobem myślenia chciałem oprzeć się tym zamiarom ale trzeba było być posłusznym.
M-AILABS_pol_000405	lalka_1_19_f000033	Coto ja!... - odparł stary żyd. - Ale ja panie mam po Henryku wnuczka co mu dopiero dziewięć lat i niechno pan słucha jaki on do mnie w tamten tydzień list napisał.
M-AILABS_pol_000406	saragossie_10_f000196	Senor Alfonsie wybacz że poważam się sen ci przerwać.
M-AILABS_pol_000407	lalka_1_04_f000093	Czy już nie pamiętasz ile razy na dzień przypominano mi dwa pokolenia Minclów albo anielską dobroć mojej żony?
M-AILABS_pol_000408	saragossie_20_f000176	Tu ojciec mój wstrząsnął łańcuchami zaczął gryźć sobie ręce i wpadł w niepomiarkowany napad szaleństwa.
M-AILABS_pol_000409	saragossie_68_f000028	Wprawdzie powodowała mną i ciekawość rad bym bowiem przypatrzyć się twarzom moich sąsiadek ale zawsze pilnie je zasłaniały.
M-AILABS_pol_000410	saragossie_27_f000273	Wtedy podarłem na szmaty kołdrę i prześcieradła uplotłem linę która mogła służyć zamiast drabiny sznurowej i oczekiwałem nocy aby uskutecznić ucieczkę.
M-AILABS_pol_000411	lalka_2_14_f000122	Ależ pani! - zaprotestował głos męski. I w tej samej chwili rozległy się dwa pocałunki sądzę że w rękę.
M-AILABS_pol_000412	saragossie_41_f000037	W istocie nieznajoma zasługuje na te starania gdyż jest nadzwyczaj piękna. Dziś odważono się umieścić ją w lektyce ale biedaczka co chwila upada na siłach i omdlewa.
M-AILABS_pol_000413	lalka_2_23_f000164	Ma zawsze taki sam zarost a la arcyksiąże Rudolf i ten sam sposób uwodzenia kobiet.
M-AILABS_pol_000414	lalka_3_03_f000200	- Trzeba czekać na proces - przerwał Wokulski - dowieść w sądzie pani baronowej że kłamie wytoczyć jej sprawę o oszczerstwo i jeżeli pójdzie zato do kozy nie darować ani jednej godziny.
M-AILABS_pol_000415	saragossie_17_f000042	Powiedziano nam że domek ten został zakupiony przez pewnego labradora z Murcji.
M-AILABS_pol_000416	lalka_1_10_f000125	I wybiegł ze sklepu wracając się parę razy i spoglądając na szyld nad drzwiami.
M-AILABS_pol_000417	saragossie_06_f000086	To mówiąc Monaldi położył różdżkę na warsztacie mego ojca i odszedł.
M-AILABS_pol_000418	saragossie_09_f000063	Gdy już mnie doprowadził nad sam skraj zatrzymał się na chwilę jakby pragnął cieszyć się widokiem moich męczarni.
