M-AILABS_pol_000164	saragossie_46_f000006	Wszelako żona moja pokazywała się tylko z chustką w ręku i rozpuszczonymi włosami.
M-AILABS_pol_000201	lalka_1_11_f000257	Ha! Niech pan da list. Zobaczę jak mi tam będzie.
M-AILABS_pol_000202	lalka_2_11_f000140	A co z tego wynika w rezultacie? Że mężczyzna zwykle mniej wytresowany w tych rzeczach staje się łupem kobiety którą tylko w tym kierunku tresują.
M-AILABS_pol_000203	saragossie_51_f000096	Tymczasem stary inwalida także umarł i bracia miłosierni zajęli się jego pogrzebem.
M-AILABS_pol_000204	lalka_1_06_f000121	Kto walczy naraża się na straty.
M-AILABS_pol_000205	saragossie_59_f000072	A córka twoja? - przerwałem. - Jakiż będzie jej los? Czyż mam jej już nigdy nie zobaczyć?
M-AILABS_pol_000206	lalka_2_16_f000191	Uśmiecha się przychodzi mu bowiem na myśl jakiś romans Pawła Kocka. Znowu boczna ulica i znowu czyta: Rue du Sentier.
M-AILABS_pol_000207	lalka_2_08_f000109	Pan Tomasz miał oczy krwią nabiegłe i sine plamy na policzkach.
M-AILABS_pol_000208	lalka_3_02_f000184	Familia zaś mego męża wypiera się mnie gdyż nie pochodzę ze szlachty; co im zresztą nie przeszkadzało wytumanić ode mnie ze dwieście tysięcy rubli.
M-AILABS_pol_000209	lalka_1_22_f000101	Dlatego też pozwalam sprzedać naszę kamienicę; wprawdzie długi pochłoną ze sześćdziesiąt tysięcy rubli ale zawsze zostanie mi jeszcze - conajmniej - czterdzieści.
M-AILABS_pol_000210	lalka_2_19_f000080	W takim razie może pozwolisz profesorze do mego numeru na trzecie piętro. Tu lokal urzędowy.
M-AILABS_pol_000211	lalka_3_23_f000215	- Pan nieodwołalnie chce odebrać pieniądze w tym tygodniu?- Tak.
M-AILABS_pol_000212	saragossie_52_f000223	Poznała co się we mnie dzieje zmieszała się i spojrzenia jej unikając moich padły na nieszczęsne pudełko.
M-AILABS_pol_000213	saragossie_43_f000101	Laura miała już ułożony plan działania. Przez dwa tygodnie ciągle była równie wesoła i rozmowna ale potem stała się ponura zamyślona kapryśna i zniechęcona do wszystkiego.
M-AILABS_pol_000214	saragossie_32_f000016	Jakub obudziwszy się po sławnym swoim widzeniu rozlał olej na kamień na którym głowa jego spoczywała i nazwał to miejsce Bethel czyli Domem Boga.
M-AILABS_pol_000215	lalka_1_11_f000006	A w takim razie nie wypada cofać się lub złożyć tylko pięć półimperyałów. Wydobył więc z kasy jeszcze pięć i wszystkie zawinął w bibułkę.
M-AILABS_pol_000216	lalka_3_13_f000035	- Dopiero o piątej!... - powtórzył Wokulski. - Koni można... A z Warszawy o której?- Za trzy kwadranse. Ja wielmożny panie.
M-AILABS_pol_000217	lalka_2_27_f000185	Po śniadaniu znowu przywidziało mu się że prezesowa dała jakiś znak pani Wąsowskiej.
M-AILABS_pol_000218	lalka_2_17_f000089	Nie pani.
M-AILABS_pol_000219	saragossie_02_f000285	To dobrze - rzekła Emina. - Teraz siostro przynieś czarę poświęconą przez Masuda naczelnika naszego pokolenia.
M-AILABS_pol_000220	lalka_2_28_f000144	W parę godzin później był w Zasławiu. Odwiedził proboszcza i kazał Węgiełkowi zabierać się w drogę do Warszawy. Załatwiwszy to poszedł do ruin zamkowych.
M-AILABS_pol_000221	lalka_2_02_f000082	I na to zgoda - rzekł pan Tomasz tonem wielkiej serdeczności. - Wszystkie zaś zyski - dodał z lekkim akcentem - wszystkie zyski wyższe nad dwadzieścia procent proszę cię ażebyś nie dawał mi ich do ręki choćbym...
M-AILABS_pol_000222	saragossie_19_f000232	Następnie zaczął coś gryzmolić na swoich tabliczkach. Roześmieliśmy się z jego roztargnienia a naczelnik Cyganów tak dalej mówił:
M-AILABS_pol_000223	lalka_2_24_f000084	Powiadam ci że o czyjemś urodzeniu nie warto rozmawiać z ludźmi starymi jak ja...
M-AILABS_pol_000224	lalka_2_03_f000152	jak Maruszewicz żółtawą i że rolety w mieszkaniu Krzeszowskiego są podniesione.
M-AILABS_pol_000225	lalka_1_13_f000180	Głupiś. Przecież słyszysz co mówię.
M-AILABS_pol_000226	lalka_2_03_f000060	Już są? - powtórzył pan Ignacy przedrzeźniając go. - Już są! Nie życzę ci abyś potrzebował kiedy wystawiać na próbę ich współczucia.
M-AILABS_pol_000227	lalka_2_02_f000043	Panna Izabela wstrząsnęła się. Kochać go bez nadziei - to dosyć...
M-AILABS_pol_000228	saragossie_51_f000027	wieczne płomienie tej straszliwej siedziby rozgorzały nowym blaskiem a szatany podwoiły męczarnie potępionych aby tym więcej cieszyć się ich wyciem.
M-AILABS_pol_000229	lalka_2_14_f000209	Pracuje kobiecisko jak wół - szepnął rządca.
M-AILABS_pol_000230	lalka_1_13_f000136	Klęcząc zaczęliśmy wydobywać i odgryzać patrony. Rozległo się szczękanie stalowych stępli i trzastk odciąganych kurków. Podsypaliśmy prochu na panewki i znowu cisza.
M-AILABS_pol_000231	lalka_2_26_f000177	Otrząsnął się ze swych przywidzeń. I tylko było mu trochę przykro że Starski siedzi obok Izabeli. Ale tylko trochę.
M-AILABS_pol_000232	saragossie_57_f000089	Wtem księżniczka wróciła do domu kazała mnie przywołać i rzekła:
M-AILABS_pol_000233	lalka_1_09_f000132	Bywaj zdrów Michale.
M-AILABS_pol_000234	saragossie_27_f000228	Półmetale i mądre ich kombinacje - oto potężne środki mogące wystąpić do walki i zwyciężyć choroby wszelkiego rodzaju.
M-AILABS_pol_000235	lalka_2_19_f000130	To jest chyba ze dwa razy cięższe od platyny? - szepnął.
M-AILABS_pol_000236	saragossie_04_f000226	Widmo zbliżyło się wolnymi kroki i zasiadło do stolu jak gdyby chciało wieczerzać.
M-AILABS_pol_000237	saragossie_63_f000070	Szejk Kassar-Gomelezu zburzył swój zamek i schronił się do wnętrza podziemi do tych samych komnat gdzie widziałeś braci Zota.
M-AILABS_pol_000238	saragossie_50_f000077	Hervas podołał tomu wszystkiemu dzięki oszczędności czasu i wielkiemu porządkowi w jego rozkładzie.
M-AILABS_pol_000239	lalka_3_11_f000153	- Mają gotówkę jaśnie panie mają kredyt - odparł Leon.
M-AILABS_pol_000240	saragossie_42_f000045	że ludzie przyjdą kiedyś do poznania płynów których działanie wytłumaczy im większą część zjawisk natury.
M-AILABS_pol_000241	saragossie_59_f000031	Wasza eminencjo Wenecjanie którzy uchodzą za niezłych rządców swym krajem kładą tę świadomość w liczbę takich
M-AILABS_pol_000242	saragossie_29_f000054	zamiast więc domysłów nad przedmiotem równie drażliwym jak smutnym wolę sam o wszystkim cię uwiadomić.
M-AILABS_pol_000243	saragossie_65_f000052	Właściwie mówiąc podróżowaliśmy jedynie dla poznania skrytych nieprzyjaciół wyznania sunnickiego naówczas panującego.
