M-AILABS_ukr_000211	zvirobij_s004500	Прямокутно обтесані з трьох боків, ці колоди мали на кінцях великі шипи.
M-AILABS_ukr_000232	voly_16_f000047	Ці - теж повиростали в неволі. Хоча вільні степи та широке поле, де вони влітку скот пасли, одводили трохи їм замлілі душі, зате зимня пора налягала на їх плечі важкою вагою й давила обох.
M-AILABS_ukr_000233	voly_16_f000043	Помітили раз його п'яним - вибили добре на конюшні, прогнали з горниць, наставили кучером. Це було літ за двоє перед волею. Йому було тоді літ двадцять.
M-AILABS_ukr_000234	chorna_rada_s001311	До шику! До лави! Пушкарі, ришгуйге іармати! Піхота з пищаллю поміж гарматами, а комонник по крилах!
M-AILABS_ukr_000235	transformations_s000148	Коли заходила мова про цю необхідність заробітку, Грегор завжди відпускав двері і падав на прохолодний шкіряний диван, що стояв поблизу дверей,
M-AILABS_ukr_000236	voly_15_f000136	Коли це - увійшов в хату Яків Кабанець.
M-AILABS_ukr_000237	zvirobij_s005622	Але скрізь панувала відлюдна тиша.
M-AILABS_ukr_000238	transformations_s000564	А коли дочка перша схопилася виходити з поїзда і потягнулася молодим тілом, батьки побачили в цьому підтвердження своїх планів і добрих надій.
M-AILABS_ukr_000239	zahar_berkut_s001193	То нехай же бог помагає! -- сказали вони і, піднявши високо вгору копне знамено, встромили його в дірку, продовбану в камені. Се був знак, що рада зачата.
M-AILABS_ukr_000240	zahar_berkut_s002673	охочі, смілі їх пісні лунали далеко по горах.
M-AILABS_ukr_000241	15YO_Capitan_s002627	Дзьоб страуса можна прийняти за морду жирафа; і в того, і в того довга тонка шия, а голова закинута назад.
M-AILABS_ukr_000242	voly_07_f000098	Так робив Грицько весну й літо. За цілий день випускав косу з рук тільки тоді, коли треба було попоїсти та виспатись.
M-AILABS_ukr_000243	voly_25_f000136	Бач! Так ото ранком ми будемо поратися; потім пообідаємо, спочинемо; потім уп'ять ти що-небудь зробиш, поки вечір, а ввечері я вечерю зварю.
M-AILABS_ukr_000244	zvirobij_s000747	Коли Гаттер нарешті загнав свого човника в ворота доку, молодому воїнові спало на думку,
M-AILABS_ukr_000245	15YO_Capitan_s001895	Спинились на ночівлю, розташувавшись табором під велетенськими деревами.
M-AILABS_ukr_000246	zvirobij_s006997	Гаттер, з його великим досвідом, передбачив майже все, і мало що можна було вигадати в цьому напрямку.
M-AILABS_ukr_000247	zvirobij_s000175	Ваша правда, Звіробою, - підхопила Джудіт, - і тепер, коли все готово, нам треба негайно рушати, не боячись погоні, бо ми запізнимось.
M-AILABS_ukr_000248	mykola_djerya_s001055	закидані садками та виноградниками.
M-AILABS_ukr_000249	voly_20_f000045	Вони ще заполонили у ту гущу й дяка. Дяк цей старий уже був - у піст, бувало, алілуї не виведе, такий старий.
M-AILABS_ukr_000250	zvirobij_s001007	баржа пливе! А передньому дикунові вода вже сягає під пахви! Та все-таки вони рвуться вперед,
M-AILABS_ukr_000251	dorogoyu_tsinoyu_s000331	Звідки вітер? - допитувався Остап. Але й те нелегко було зміркувати. В плавнях було тихо, як у лісі, лиш горою шелестіла куня, раз в той бік схиляючись, раз в інший.
M-AILABS_ukr_000252	15YO_Capitan_s000149	Увага, Говіку! - мовив капітан Халл. - Спробуймо заскочити смугача зненацька.
M-AILABS_ukr_000253	voly_19_f000032	- Шукайте. трусіть скрізь! - гукає голова соцьким. Чіпка підпер спиною одвірки, стоїть мовчки, дивиться, що далі буде.
M-AILABS_ukr_000254	zvirobij_s004213	Яку то музику я чую? То не крик червоношкірого! Жоден червоний воїн не верещатиме, мов недорізаний кабан.
M-AILABS_ukr_000255	zvirobij_s005534	На світлі мої мрії.
M-AILABS_ukr_000256	zvirobij_s003755	Чого ми маємо купувати те, що й так є нашою власністю? ! Оце ж достеменно так міркують і мінги.
M-AILABS_ukr_000257	voly_08_f000150	Не козакувати вже ні нам, ні дітям нашим. Не треба нас!! Минулося козаче царство, настало хліборобське господарство.
M-AILABS_ukr_000258	tini_zabutyh_predkiv_s000422	Цес, певно, до мене.- налякалась Палагна, але Юра, видимо, її не бачив.
M-AILABS_ukr_000259	15YO_Capitan_s000054	Камерон теж зустрічався з племенем людоїдів - моенебугга. Відомий нам Стенлі засвідчив випадок людоїдства у жителів Укусу.
M-AILABS_ukr_000260	kaydasheva_s000523	Сторож брязнув ключами, одмикаючи важкий здоровий замок. Кайдаш кинувся, аж затрусився.
M-AILABS_ukr_000261	voly_07_f000158	Де, мов, ви бували? що видали? Що ви знате? Ось як я був.
M-AILABS_ukr_000262	zvirobij_s003816	Я, щоправда, бачу їх, але зовсім не чую, наче вони гуляють десь на Могауці.
M-AILABS_ukr_000263	zvirobij_s004036	А мати в них є, Непосидо? Звісно, колись була.
M-AILABS_ukr_000264	kaydasheva_s000208	Палажка сіла на лаві й скорчилась в три погибелі. Вона за великий піст так спостилась, що в неї тільки очі блищали.
M-AILABS_ukr_000265	kaydasheva_s000219	Чорт вашого батька знає, в якому там горшку ви приставляєте кашу. Бийтеся собі удвох, а мене не зачіпайте, - сказав Кайдаш, сердитий на жінок.
M-AILABS_ukr_000266	zvirobij_s007198	Дівчина зробила це зовсім невимушено, хоч не можна було й не помітити, що це-мимовільний порив жіночої прихильності та сердечної дяки.
M-AILABS_ukr_000267	tini_zabutyh_predkiv_s000108	Мусила ж врешті прийти Марічка. Йому навіть здавалось, що він чує її ходу і тріск під ногами гіллячок. О! Врешті, вона. Хотів встати і піти їй назустріч, але не встиг.
M-AILABS_ukr_000268	fata_morgana_s000503	Намножилось вас. Хоч би милосердний господь порідив вас війною або мором яким. Може б, легше було на світі.
M-AILABS_ukr_000269	zvirobij_s001196	Цей табір - кубло отруйного гаддя, яке не присмирніло після втечі Уатауа .
M-AILABS_ukr_000270	chorna_rada_s002055	Ти ж, кажуть, був трохи свій із Сомком!
M-AILABS_ukr_000271	voly_10_f000176	Піщани послухали: пішли на панщину й на п'ятий день. сподівалися незабаром ще й шостого. Шостий загаявся. Шостого генеральша не вспіла накинути.
M-AILABS_ukr_000272	15YO_Capitan_s004341	Сам він давно вже звик до всіх оцих безладних погойдувань судна, гнаного вітром.
M-AILABS_ukr_000273	chorna_rada_s001975	Та нема од неї вісті!
M-AILABS_ukr_000274	dorogoyu_tsinoyu_s000402	що комиші схилялись навколо од страху і сорому.
M-AILABS_ukr_000275	zvirobij_s003285	З перших кроків Гетті побрела навмання.
M-AILABS_ukr_000276	voly_23_f000108	- Ні, не знаю.
M-AILABS_ukr_000277	zahar_berkut_s000063	І знову стемнілося в тухольській кітловині. Монголи радо були б порозкладали огні в таборі, але сього годі було зробити: аж тепер вони нагадали собі,
M-AILABS_ukr_000278	chorna_rada_s001159	А Сомкове козацтво заднє собі, чуючи, що оглашають гетьманом Брюховецького, почало гукати:
M-AILABS_ukr_000279	zvirobij_s000376	Як і більшість людей, що в них розум переважає почуття, гурон не схвалював лютих пристрастей свого народу;
M-AILABS_ukr_000280	zvirobij_s000957	Ви бачили те на власні очі, дівчино, правда, бачили? Так, бачила, Звіробою, і дуже за тим шкодувала.
M-AILABS_ukr_000281	fata_morgana_s000005	Го-го! Він ще стріляє! Бий його. бий!
M-AILABS_ukr_000282	zvirobij_s001863	і з такою величавою ходою, яку здатні вигадати тільки вчителі танців та легковажне серце,
M-AILABS_ukr_000283	voly_23_f000154	диво. перед Чіпкою стояла Галя! У тонкій білій сорочечці, трохи розхристаній, у одній спідниці, з розкинутими косами, що, як дві гадини,
M-AILABS_ukr_000284	voly_19_f000078	Хоч би мої очі його побачили! Хоч би мені одно слово від його почути!
M-AILABS_ukr_000285	15YO_Capitan_s000180	Йди мимо, Болтоне, мимо! Не причалюй до нього. Тримайся за кабельтов. Ми вже не заподіємо шкоди цьому брухтові, а от він нам ще може.
M-AILABS_ukr_000286	15YO_Capitan_s001175	Тількино він вистрелив, як за тридцять кроків од нього на берег вискочив другий - дуже страшний - мисливець.
M-AILABS_ukr_000287	tini_zabutyh_predkiv_s000095	Тепер вже звав, де має її шукати. Податись управо і спуститися вниз. Але тут було іще крутіше, і здавалося дивним, як могла злізти звідси Марічка.
M-AILABS_ukr_000288	mykola_djerya_s000901	Панський хліб був вже вижатий. Все поле було вкрите копами та стайками, як небо зорями, а людський хліб стояв, похилився і навіть вже сипавсь.
M-AILABS_ukr_000289	kaydasheva_s000392	Хліб їсти добре тямить, - сказала Кайдашиха. - Я думала, що ті багатирі вміють добре спекти, зварить. Але мені довелось всьому вчити невістку.
M-AILABS_ukr_000290	fata_morgana_s001749	сміялись до стосів цегли, до прикажчикової бороди, сивої од морозу.
M-AILABS_ukr_000291	zahar_berkut_s001404	Ні, ні! - скрикнули дружинники однодушно.- Смерть зрадникові! Розіб'ємо вражу ватагу або самі погинемо в обороні свого краю.
M-AILABS_ukr_000292	zvirobij_s008077	Справді, легке суденце поминуло чудернацьку будівлю і тепер пливло до ковчега.
M-AILABS_ukr_000293	voly_06_f000110	- Як що? Он, послинив. ве-е! - та й стала витирати рукавом щоку.
M-AILABS_ukr_000294	chorna_rada_s000267	Ото проява, а не лицар! - гукає.- Подивіться на такого лицаря! Дівка ось на коні вдвох ізо мною перескочила через рівчак, а він прибіг та й задумавсь!
M-AILABS_ukr_000295	zvirobij_s002789	Навколо нього було безліч невідомих йому речей, але він зберігав цілковитий спокій і байдужість.
M-AILABS_ukr_000296	chorna_rada_s001351	звеселяючи й поля, і села, і сади понад річкою;
M-AILABS_ukr_000297	voly_28_f000186	Сюди зібралися знову всі, хто був учора, щоб почути: хто писав жалобу і про що та жалоба.
M-AILABS_ukr_000298	chorna_rada_s000935	Йо? Щоб то оце запорожець та почав до жінок липнути?
M-AILABS_ukr_000299	chorna_rada_s002935	Як же почали розхапувати по кишенях міщанське добро, то князь і собі звонтпив, щоб його ще гірш, ніж на раді, не потрутили; да, скончивши обід,
M-AILABS_ukr_000300	voly_14_f000122	- Та рублів п'ять на перший раз треба. А там - побачимо, що буде: чи можна вести діло, чи, може, наплювати.
M-AILABS_ukr_000301	chorna_rada_s002552	Так як би їм земляки у своїй тісноті й нуждах жаловались? Жаловались миряне і попи благочестивії тілько далеким своїм землякам - козакам запорозьким,
M-AILABS_ukr_000302	zvirobij_s000567	Звіробій був саме з тих людей, які все приймають на віру, і, знаючи,
M-AILABS_ukr_000303	kaydasheva_s001589	Чого ти, молодице, так тяжко зітхаєш? - спитала вона Мелашки.
M-AILABS_ukr_000304	zvirobij_s001554	Правда, вона почервоніла, і на якусь мить очі їй спалахнули вогнем.
M-AILABS_ukr_000305	mykola_djerya_s001486	Коли хочете, то ходім на Бассарабію на заробітки.
M-AILABS_ukr_000306	15YO_Capitan_s003466	Ми в лісі, - зауважив малий Джек, - а в лісі завжди живуть звірі! Є різні ліси, хлопче, як і різні звірі, - засміявся Гарріс.
M-AILABS_ukr_000307	mykola_djerya_s000085	Нащо мені батько й мати, коли я тебе люблю? Очі твої карі, біда мені з вами! Як я на вас гляну, то й плакать перестану. Нащо ж ти запалив мою душу карими очима?
M-AILABS_ukr_000308	voly_01_f000057	- Не чий же. А що?
M-AILABS_ukr_000309	tini_zabutyh_predkiv_s000026	Тепер земля під його ногами почала спускатись в долину. Великі каміння перетинали йому дорогу. Він їх обходив, сковзаючись раз у раз на слизькім мху,
M-AILABS_ukr_000310	chorna_rada_s000413	Уже ж, - каже, - я тобі дам за ці пісні! Добравсь тепер я до тебе!
M-AILABS_ukr_000311	voly_28_f000274	Вони повели його у колись Галину хатину. Явдоха щось довго-довго шептала йому, ламаючи руки.
M-AILABS_ukr_000312	voly_25_f000161	- Тоді-то те й буде! - страчуючи гнів, журливо вимовляє Мотря, увіходячи в хату. За нею й Чіпка увійшов.
M-AILABS_ukr_000313	15YO_Capitan_s003971	Тим часом обрій прояснився, й високий берег, тобто Американський континент, облямований ланцюгом Анд, неодмінно було б видно на відстані понад двадцять миль.
M-AILABS_ukr_000314	zvirobij_s003141	Коли Звіробій закінчив, настала черга делавара; він говорив поважно і з великою гідністю.
M-AILABS_ukr_000315	minestreli_s000029	організована і керована бандуристом у фраку Василем Ємцем, користувалася підтримкою українського гетьманського уряду.
M-AILABS_ukr_000316	voly_03_f000040	Недурно пани своїм родом величаються. На селі теж розпитують - хто якого роду.
M-AILABS_ukr_000317	zvirobij_s003942	Може, Великий Дух пом'якшить їхні серця і одверне від кровожерності.
M-AILABS_ukr_000318	fata_morgana_s000288	Безлиця у пітьмі юрма здригнулась і пішла на гуральню. Андрій біг попереду. У лівій руці тримав залізо, а права, без пальців, високо здіймалась над головою, наче комусь грозила.
M-AILABS_ukr_000319	mykola_djerya_s000065	Нащо то одному чоловікові так багато хліба? Господи! Чи вже ж він поїсть оце все?
M-AILABS_ukr_000320	zvirobij_s004192	І я почував себе вельми самотньо у цих горах, маючи три скальпи й лише одну пару рук, щоб їх захищати.
M-AILABS_ukr_000321	15YO_Capitan_s000439	Утікачів гарно прийняли, а потім вони всі разом пішли далі. їм таки справді поталанило! Дік Сенд не зміг би спуститися на плоту за течією.
M-AILABS_ukr_000322	15YO_Capitan_s004537	Справді, було б краще йти берегом. Так, у сто разів краще! Але асьєнда СанФелісе розташована по цей бік Анд.
M-AILABS_ukr_000323	chorna_rada_s002822	А Гвинтовці, мабуть, аби найти приключку.
M-AILABS_ukr_000324	transformations_s000157	дощ іще йшов, але тільки великими, розрізненими краплинами, що також окремо падали на землю.
M-AILABS_ukr_000325	voly_12_f000119	Товариші душі в йому не чули. Коли лучалося йому яке лихо, вони завжди гуртом його виручали.
M-AILABS_ukr_000326	mykola_djerya_s001040	Ми й самі думаємо ночувать отутечки просто неба на землі.
M-AILABS_ukr_000327	15YO_Capitan_s001906	Прощання невільників супроводиться жахливими сценами: вони знають, що помруть, ніколи більше не побачившись.
M-AILABS_ukr_000328	15YO_Capitan_s004769	Побачивши, що люди, які йдуть до нього, озброєні, незнайомець спинився й позадкував.
M-AILABS_ukr_000329	chorna_rada_s002003	усяк би сказав, що не зовсім іще лихо.
M-AILABS_ukr_000330	zvirobij_s003402	Що ж до ірокеза, то його поразка розбудила в ньому дику жадобу помсти.
M-AILABS_ukr_000331	chorna_rada_s000061	От божевільне жіноціво! - каже Черевань,- Куди він, туди й я! А як же пані Шрам махне за Дніпро?
M-AILABS_ukr_000332	zvirobij_s000474	розділ двадцять дев'ятий.
M-AILABS_ukr_000333	15YO_Capitan_s000261	Гляньно на Дінго, Діку! - мовила місіс Велдон. Дивно! - відповів юнак.
M-AILABS_ukr_000334	zvirobij_s005709	Йому загадали кинути палички перед нашими дверима, а це означає: торгівля кінчилася, війна починається знову, приготуйтеся.
M-AILABS_ukr_000335	voly_11_f000187	- Спасибі, мамо! - сказав Максим і гроші на ходу заховав у кишеню. - Прощайте. подякуйте батькові, що в москалі віддав!
M-AILABS_ukr_000336	zahar_berkut_s000583	до поляни, серед якої горіло велике огнище, а довкола нього сиділа згромаджена рада тухольських старців.
M-AILABS_ukr_000337	zvirobij_s001920	Щоб позбутися принаймні хоч цього клопоту, він наказав дівчині сісти в вільний човник і плисти до Гаттерових дочок,
M-AILABS_ukr_000338	mykola_djerya_s000783	Незнайомої дівчини не було між ними. Він тільки почув, що дівчата реготались, пригадували якесь чудне дівчаче ймення і не пригадали.
M-AILABS_ukr_000339	koni_nevynni_s000235	діти почнуть заглядати у вікна та лазить по ґанку, мов на своєму.
M-AILABS_ukr_000340	chorna_rada_s002624	Небога Леся то веселиться серцем, то тяжко сумує, як згадає, що мусить одна-одинока тратити молодії літа у гетьманській світлиці,
M-AILABS_ukr_000341	chorna_rada_s002609	Коли хоч, нене, знати, що се за козак, так се той самий, що разом нас із ним нашпиговано під Києвом.
M-AILABS_ukr_000342	zvirobij_s006894	Хай тобі дідько! Якщо це правда, Плавучий Томе, то ми трохи не впхнули своїх макітер у гарненьку пастку! Там гурони? Що ж, це можливо.
M-AILABS_ukr_000343	chorna_rada_s000823	Де тобі десята! - підхопили, шуткуючи, гості,- Хіба сота!
M-AILABS_ukr_000344	kaydasheva_s001417	Заставила б стару суку
M-AILABS_ukr_000345	15YO_Capitan_s000560	Він не намагався заподіяти їм зло, однак уникав їх. Можливо, блукаючи по африканському узбережжю, Дінго зазнав недоброго ставлення з боку тубільців.
M-AILABS_ukr_000346	zvirobij_s007100	Але навіть неотесана щирість, що так часто спонукала простодушного мисливця одверто говорити все, що він думає, страшенно подобалася дівчині.
M-AILABS_ukr_000347	voly_26_f000134	- Та чи то ж то одна моя мати така? Хіба одні ми? Сотні, тисячі, тисячі тисяч отак тягли й тягнуть своє злиденне життя.
M-AILABS_ukr_000348	kaydasheva_s000805	Од Варвари Палажка повела їх до святого Андрія, а звідтіль на Поділ у панянський Фроловський монастир.
M-AILABS_ukr_000349	zvirobij_s002794	Якби скриня була відімкнена чи могла говорити, мабуть, вона повідала б нам усю цю історію.
M-AILABS_ukr_000350	chorna_rada_s002715	Прощайте й ви, бгатці! Та заїздіть, упоравшись, у Хмарище: вдаримо, може, ще раз лихом об землю.
M-AILABS_ukr_000351	voly_20_f000106	- Дураки! Ви ж повинні були ці два роки служити.
M-AILABS_ukr_000352	minestreli_s000142	Паралелізм проявляється в аналогічному за значенням укладі слів у рівнобіжних рядках і групах віршів, що змальовують подібні образи, часом зближені до буквального повторення, або дають контрасти.
M-AILABS_ukr_000353	tini_zabutyh_predkiv_s000614	що валився, стятий сокирою, в лісі.
M-AILABS_ukr_000354	minestreli_s000090	Уже з другої половини дев'ятнадцять століття царська поліція під різними приводами намагалась забороняти кобзарську діяльність, била співців, трощила їхні інструменти.
M-AILABS_ukr_000355	voly_20_f000119	- Кажіть: хто там озивається? - аж розлягається пан до передніх.
M-AILABS_ukr_000356	zvirobij_s000983	Ні, але я скажу, що той і той людина.
M-AILABS_ukr_000357	fata_morgana_s001637	Серце боліло дивитись, а вже поле потиху шептало і потішало:
M-AILABS_ukr_000358	zvirobij_s007933	Він одразу побачив - весла забрано! То була прикра несподіванка, і юнак уже хотів був повернутися і піти в табір, аби з гідністю зустріти ворогів.
M-AILABS_ukr_000359	15YO_Capitan_s002294	Відтоді як кузен Бенедикт знайшов хексаподес бенедиктус, що мав увічнити його ім'я, він знову перейнявся завзяттям.
M-AILABS_ukr_000360	transformations_s000210	I дійсно, обидва його товариші відразу ж подали голос:
M-AILABS_ukr_000361	dorogoyu_tsinoyu_s000537	В печі щось булькає. Сивий дід гріє свою бороду біля вогню і слухає розмову вітру.
M-AILABS_ukr_000362	chorna_rada_s000419	Тепер стидно в село й очі появити: довіку будуть дражнити чорною радою!
M-AILABS_ukr_000363	voly_19_f000203	Як стали гомоніти по селу за голову й писаря, Грицько уп'ять перший сповістив про це Христю і Христом-богом присягався, ще те діло не втікало Чіпчиних рук.
M-AILABS_ukr_000364	chorna_rada_s002994	Усе харцизяки поздирали, як узяли до в'язення; тілько вишиваної сріблом да золотом сорочки посовістились ізнімати. Вишивала ту сорочку небога Леся;
M-AILABS_ukr_000365	fata_morgana_s001066	Аякже!
M-AILABS_ukr_000366	15YO_Capitan_s003802	Тією самою дорогою, Діку? Ні, місіс Велдон. Ми попливемо річкою на плоту до океану.
M-AILABS_ukr_000367	15YO_Capitan_s002581	На щастя, я маю надію іще на дещо. На що ж саме? Та є на що! - відрубав Негору: здавалось, він шкодував, що бовкнув зайве.
M-AILABS_ukr_000368	voly_25_f000079	- Да что т, брат? Ведь я издержался. Четвертную фельдфебелю дал, пятидесятирублвку ротному, штоб только позволил; да еще покупок сделал рублв на пятьдесят.
M-AILABS_ukr_000369	mykola_djerya_s000589	Може, й вийду. побачу. - сказала Нимидора. В суботу ввечері Нимидора помила миски й ложки, змила добре мителем з лугу голову, трохи прибралась і ждала поки поснуть хазяїни.
M-AILABS_ukr_000370	mykola_djerya_s000331	Оце тобі за те, щоб ти пам'ятав, що виказувать панам на людей гріх, бо ми не крали в пана, а своє брали й вертали собі, - приказували чоловіки та все гнались за осавулою навздогінці,
M-AILABS_ukr_000371	voly_27_f000101	Шавкун ні лаявся, ні сердився. Він аж мов повеселішав, як забалакали про земство. Він добре знав, що воно його рук не втече, а може, й погріє.
M-AILABS_ukr_000372	voly_28_f000138	На другий день летіла од предводителя до губернатора бумага.
M-AILABS_ukr_000373	chorna_rada_s000268	Ми дачі не даєм,
M-AILABS_ukr_000374	zahar_berkut_s000328	Охнула громада і зірвалася на ноги. Страшний крик залунав довкола.
M-AILABS_ukr_000375	kaydasheva_s001715	Нешвидкою ступою потяглися Кайдашеві воли вздовж Западинців. Кайдашиха сиділа високо на возі і вже поховала свої жовті сап'янці, прикривши їх свитою. Лаврін ішов осторонь коло воза.
M-AILABS_ukr_000376	voly_05_f000172	Силу його під'їхала важка, несподівана туга; думки помутилися, куйовдились у голові без порядку, як завірюха зимою. Не пам'ятав він, що думав; не почував, як тяжко стогнав.
M-AILABS_ukr_000377	zvirobij_s007206	Він упізнав його серед сміху ірокезьких жінок.
M-AILABS_ukr_000378	zvirobij_s002690	Часом друзів треба боятися дужче, ніж одвертих ворогів, а надто друзів-жінок.
M-AILABS_ukr_000379	15YO_Capitan_s000386	Ми зі штату Пенсільванія, громадяни вільної Америки. Друзі мої, - мовив капітан Халл, - знайте: на борту американського брига Пілігрим вашій свободі ніщо не загрожує.
M-AILABS_ukr_000380	zahar_berkut_s001979	грубо збиті з сирого, грубого дерева, позверчувані і позбивані кілками, але ж і роблені не навміць, а про хвилеву потребу.
M-AILABS_ukr_000381	mykola_djerya_s000356	покладених на перехрестях з дрючків, з поренчатами по один бік, і пішов на вигін, де під вербами збиралася вулиця.
M-AILABS_ukr_000382	chorna_rada_s002669	Так вигукував військовий писар, і байдуже йому, що круг його наче море іграє. І, так як от хвилі розходяться перед байдаком, а ззаду знов, буркочучи,
M-AILABS_ukr_000383	15YO_Capitan_s002905	Вона відчула себе самотньою, як ніколи: із смертю великого мандрівника урвалась остання ниточка, що зв'язувала її з цивілізованим світом.
M-AILABS_ukr_000384	fata_morgana_s000894	Дивіться. он там. он там. встає. він ще живий. Семен. Семен.
M-AILABS_ukr_000385	tini_zabutyh_predkiv_s000653	І хмара раптом спинилась. Підняла здивовано край, сперлась, як кінь на задні ноги, заклекотіла внутрішнім гнівом, одчаєм знесилля і вже просила:
M-AILABS_ukr_000386	koni_nevynni_s000147	Як. козаки?
M-AILABS_ukr_000387	kaydasheva_s001692	Карне! Карпе! Та зайди-бо та хоч по крапельці, хоч півкрапельки! - гукав ззаду Грицько й біг за возом.
M-AILABS_ukr_000388	koni_nevynni_s000290	проти усього, у що він вірив, з чим не таївся ні перед ким.
M-AILABS_ukr_000389	15YO_Capitan_s000623	Ця шхуна бриг, водотоннажністю в чотириста тонн, була споряджена у СанФранциско для полювання на китів у південних морях
M-AILABS_ukr_000390	15YO_Capitan_s003389	Через тридцять сім років доктор Лівінгстон рушив од мису Доброї Надії до верхів'я Замбезі.
M-AILABS_ukr_000391	kaydasheva_s001142	вернувся у Семигори і тільки тоді згадав, що був у церкві, що з ним там діялось щось чудне.
M-AILABS_ukr_000392	15YO_Capitan_s004032	А вітер чимдалі дужчав. Злегка накренившись на правий борт, Пілігрим неквапливо линув по воді, залишаючи за кормою плоский кільватер, що свідчив про високі морехідні якості судна.
M-AILABS_ukr_000393	voly_14_f000058	- Кажуть: суд одсудив.
M-AILABS_ukr_000394	zvirobij_s004588	За індіянськими звичаями, воїнове ім'я має відбивати його якості, і справді, лютість, хитрість та зрадливість були найвластивіші риси його вдачі.
M-AILABS_ukr_000395	15YO_Capitan_s001885	А тоді поговоримо про майбутнє. Негору й Гарріс знов посідали під смоківницею.
M-AILABS_ukr_000396	zvirobij_s004980	Ви знаєте різницю між усмішкою й сміхом? Сміх краще.
M-AILABS_ukr_000397	voly_23_f000220	- Суха! - перегодя трохи крикнув Матня, насилу проковтнувши цілу жменю капусти.
M-AILABS_ukr_000398	mykola_djerya_s000503	Дівчино-горлице! Коли б ти знала, якого жалю ти мені завдала! - подумав Микола, глянувши на Мокрину.
M-AILABS_ukr_000399	kaydasheva_s000043	Лаврін махнув батогом на воли і, замість того, щоб їхати додому через греблю, повернув цабе на пригорок за дівчиною.
M-AILABS_ukr_000400	voly_19_f000155	Не тихим, слабим голосом, не жіноцьким хибливим почуттям, а криком болячої душі, дужою міццю зіпонув гайдамака те саме! Грицько її, добрий її Грицько, ніколи нічого такого не казав, не натякав навіть.
M-AILABS_ukr_000401	zvirobij_s007590	Тільки-но човник зайшов у просвіт між гіллям, залишений для входу,
M-AILABS_ukr_000402	zvirobij_s003140	Аби я почула таке від гарнізонного франта, я б тільки поглузувала.
M-AILABS_ukr_000403	zvirobij_s004149	Жінки заходилися готувати вечерю; вони були зажурені й мовчазні, але, як завжди, пильно ставились до задоволення найважливішої природної потреби.
M-AILABS_ukr_000404	15YO_Capitan_s000294	Бідний хлопчик боявся грози, але намагався приховати свій страх од матері, щоб не засмучувати її ще дужче.
M-AILABS_ukr_000405	15YO_Capitan_s000361	Який милий хлопчик! - мовив американець, підходячи до Джека. Це мій син, - відповіла місіс Велдон.
