M-AILABS_ukr_000075	voly_08_f000084	Оже важчим здається Івасеві тихе, люб'язне материне слово, ніж суворе та грубе батькове.
M-AILABS_ukr_000101	chorna_rada_s000054	Кинулись міщане жалітись до гетьмана, дак той сміється: Ви ж хіба,- каже,- вражі сини, не знаєте, що ми тепер усі як рідні брати? Усе в нас тепер укупі!
M-AILABS_ukr_000102	fata_morgana_s001171	Маланка уперто мовчала.
M-AILABS_ukr_000103	zvirobij_s007850	Отже, старого поховали в воді? Я теж гадав, що саме там має спочивати його тіло.
M-AILABS_ukr_000104	voly_23_f000156	- Галю! - тихо скрикнув Чіпка.
M-AILABS_ukr_000105	tini_zabutyh_predkiv_s000470	Тоді йому заздрісне стало.
M-AILABS_ukr_000106	kaydasheva_s000800	Вона взяла скибку хліба, щоб закусити. Хліб був чорний, як земля, глевкий та несмачний. Кайдашиха через силу проковтнула шматочок. Хліб давив їй у горлі.
M-AILABS_ukr_000107	chorna_rada_s001360	Шрам іще раз обняв Сомка.
M-AILABS_ukr_000108	voly_07_f000072	Жіночка така маленька, чепурненька, швиденька - усе в неї до ладу якось, не тільки в хаті, а й у роботі: швидко вона повертається, діло горить у неї в руках, - чисто, гладко.
M-AILABS_ukr_000109	chorna_rada_s001982	Недармо ж я вас вивів із Запорожжя на Вкраїну: порядкуйте по-стародавньому, як самі знаєте; судіте і карайте, кого самі знаєте, а я свого розуму супроти вашого не покладаю.
M-AILABS_ukr_000110	zahar_berkut_s002639	Мов острі ножі, вразили в серце Максима ті слова. Будь-що-будь, а йому треба було припізнити похід аж до тої хвилі, коли він станеться неможливим.
M-AILABS_ukr_000111	15YO_Capitan_s002631	Ці жуки з родини коваликів, що випромінюють синювате світло з двох плям внизу на спинці, дуже поширені в Південній Америці.
M-AILABS_ukr_000112	zvirobij_s001254	Як і фігурки, вона була велика й тонкої роботи, з квадратами з слонової кістки та чорного дерева.
M-AILABS_ukr_000113	chorna_rada_s000761	Так, що твої речі і звичаї годились би й звірю Єремі.
M-AILABS_ukr_000114	mykola_djerya_s000497	Що ти мені допікаєш отими дурощами! Я тебе поведу в поліцію до станового.
M-AILABS_ukr_000115	zvirobij_s005104	Я поважала вас передусім за вашу любов до істини.
M-AILABS_ukr_000116	zvirobij_s002342	Слід вам сказати, що Чингачгук гожий з себе індіянин, і на нього часто позирають молоді жінки племені.
M-AILABS_ukr_000117	15YO_Capitan_s002235	Дік Сенд нетерпляче чекав ранку, щоб вирушити на розвідку. Він огляне місцевість навколо термітників, а потім шукатиме річку, яка понесе їхній пліт до берегів Атлантичного океану.
M-AILABS_ukr_000118	zvirobij_s001372	або ж трохи раніше, залежно від того, як складуться обставини.
M-AILABS_ukr_000119	fata_morgana_s001712	Пішов на гуральню до зятя.
M-AILABS_ukr_000120	voly_03_f000030	Чіпка, як його звали, - не такий, ні! Оце, було, Мотря чи Оришка скаже: Подай, Чіпко, води!, або - ножа, або - веретено.
M-AILABS_ukr_000121	mykola_djerya_s001361	Бурлаки ввійшли в казарми. Казарми, довгі без міри, були ще поганші, ніж на стеблівській сахарні. В хаті було повно барлогу, як у свинюшниках;
M-AILABS_ukr_000122	kaydasheva_s000784	Помагайбі вам! Поздоровляю вас з великим понеділком, - промовила Палажка.
M-AILABS_ukr_000123	zahar_berkut_s000623	в далеких зворах чути було рик турів і виття вовків.
M-AILABS_ukr_000124	zvirobij_s002827	з одного боку, і неприємними інтонаціями голосу та вживанням вульгарних слів - з другого.
M-AILABS_ukr_000125	15YO_Capitan_s004165	Юнак лежав долі. Ділу добу йому не давали їсти. Знесилений тяжким переходом, змучений болем од мотузок, що врізалися йому в тіло, Дік чекав смерті - бодай і найжорстокішої, - як визволення від усіх мук.
M-AILABS_ukr_000126	zahar_berkut_s000978	певно, була би ще щаслива і велика!
M-AILABS_ukr_000127	kaydasheva_s001561	Проскурниця повела її в свою хату. Хата була зараз коло церкви на цвинтарі, в великому домі, в нижньому етажі, тільки двері в хату були за брамою, на другому дворі.
M-AILABS_ukr_000128	fata_morgana_s001160	Низьку Маланку зовсім затерли. В теплі людського тіла, в випарах поту - їй зовсім добре. Вона не слуха. Що там! І так відомо.
M-AILABS_ukr_000129	chorna_rada_s001485	Тим часом повів новою гетьмана з старшиною в соборну ніженську церкву до царської присяги. А вийшовши з церкви, гетьман запросив князя з послами до себе на обід,
M-AILABS_ukr_000130	15YO_Capitan_s000191	Хоч декому й здасться неймовірним, що міріади дрібних працьовитих комах зводять такі монументальні споруди, однак колоній термітів чимало у внутрішній Африці.
M-AILABS_ukr_000131	chorna_rada_s001970	А Сомко, нічого не слухаючи, до князя:
M-AILABS_ukr_000132	zvirobij_s002394	Можу засвідчити це, бо я особисто був присутній на похороні.
M-AILABS_ukr_000133	kaydasheva_s001460	Наш. Навіщо ж ти зарізала?
M-AILABS_ukr_000134	tini_zabutyh_predkiv_s000687	Однак Юра не хотів піддатись. Він лиш зблід дужче, лиш очі потемніли у нього. Коли хмара направо - то й він направо, хмара наліво - і він наліво.
M-AILABS_ukr_000135	zvirobij_s001080	А коли Том чогось вимагає, то вже зуміє повоювати за себе.
M-AILABS_ukr_000136	zvirobij_s004524	Найліпший колір білий, і через те біла людина стоїть над усіма.
M-AILABS_ukr_000137	voly_19_f000164	- Що ж зо мною сталося?
M-AILABS_ukr_000138	kaydasheva_s001261	Люди кинулись за горілкою до жидівських шинків. Громадський шинок стояв порожній, в його ніхто й не заглядав.
M-AILABS_ukr_000139	zvirobij_s005541	Як відомо, американські індіяни, особливо ті, що мають гоноровиту вдачу і посідають серед своїх одноплемінників високе становище,
M-AILABS_ukr_000140	transformations_s000374	Уже все в порядку.
M-AILABS_ukr_000141	fata_morgana_s001689	Максиме! Ей, хто там? Максиме! Максим врешті біжить, якийсь непевний, налякані очі, а за ним другі.
M-AILABS_ukr_000142	chorna_rada_s000808	Чим же тебе шанувати, вельможний пане?
