M-AILABS_ukr_000000	voly_17_f000303	- Та хоч карбованців п'ять.
M-AILABS_ukr_000038	zahar_berkut_s000728	Я прийшов до вас, старці тухольські, в посольстві від великого Бурунди-бегадира, начальника монгольської сили.
M-AILABS_ukr_000039	dorogoyu_tsinoyu_s000556	То ти, Остапе?
M-AILABS_ukr_000040	zvirobij_s004040	Щоб виспівати це - я не знаходжу слів.
M-AILABS_ukr_000041	zvirobij_s003232	Тепер можна було повертатись.
M-AILABS_ukr_000042	15YO_Capitan_s001810	Осьось вони зруйнують верх термітника. Дік Сенд перший вистромив голову з отвору.
M-AILABS_ukr_000043	voly_10_f000154	Будинок великий - а нікого нема! Йдеш на однім кінці - на другім ступні одгукуються.
M-AILABS_ukr_000044	zvirobij_s001603	Я помітив, що найгожіші воїни звичайно обирають собі за дружин найвродливіших дівчат племені.
M-AILABS_ukr_000045	zahar_berkut_s002569	Інший, закленувши руки над головою, ридає, скиглить, пищить, мов дитина. Деякі, нічого не бачучи, крім неминучої смерті, вдираються на голови своїм товаришам,
M-AILABS_ukr_000046	kaydasheva_s002148	І годі вже тобі! Ще мало того крику, - спиняла мати Карпа.
M-AILABS_ukr_000047	zvirobij_s005224	І ніхто не сміє покривдити його, поки він виконує таке доручення.
M-AILABS_ukr_000048	mykola_djerya_s001054	Ходжу тим, що його люблю. Лайте мене, бийте мене, а я все-таки його любитиму.
M-AILABS_ukr_000049	zvirobij_s000295	Перший був раб своєї лютої вдачі, а ненаситлива мстивість заглушила у другої лагідніші почуття.
M-AILABS_ukr_000050	transformations_s000101	Батько, мабуть, і сам добре не знав, що він зробить, але ступав, вище, ніж звичайно, піднімаючи ноги, і Грегор здивувався, які величезні в нього підошви на черевиках.
M-AILABS_ukr_000051	15YO_Capitan_s002412	Тільки ж чи давно вибрались ці комахи? Кузен Бенедикт, не виявивши, на свій превеликий подив, у термітнику жодного терміта, перший з усіх замислився над цим.
M-AILABS_ukr_000052	zvirobij_s001057	Гурони, це ваш смертельний ворог, Великий Змій, якого ви ненавидите! закричав Терновий Шпичак.
M-AILABS_ukr_000053	zvirobij_s006528	Тепер він не міг ані з місця зрушитися, ані впасти.
M-AILABS_ukr_000054	kaydasheva_s001345	Бодай тобі добра не було з твоїм мотовилом. Через твоє мотовило син побив батька. Ой, світе мій! Не дадуть діти своєю смертю вмерти, - бідкалась Кайдашиха.
M-AILABS_ukr_000055	zvirobij_s000234	бо вона залишилася б коло тебе, тож немає сенсу її до цього діла втручати.
M-AILABS_ukr_000056	voly_04_f000166	вдруге. втретє. і полився тяжкий плач. Сумно зробилося, важко.
M-AILABS_ukr_000057	voly_07_f000006	лихеньку свитину та не кращі й чоботи.
M-AILABS_ukr_000058	zvirobij_s003370	Однак він вчасно схаменувся й зумів приборкати розбурхану лють, що трохи не кинула його до відплати.
M-AILABS_ukr_000059	mykola_djerya_s000929	Не піду, мамо, до Києва, не хочу молитись та дурно богові пороги оббивати. Коли є той бог на світі, то він бог панський, а не мужицький, бог все добро оддає панам,
M-AILABS_ukr_000060	15YO_Capitan_s004332	План визволення з неволі чи тільки звістка від любих друзів? Та хоч хай там як, а ця подія радісно схвилювала мене.
M-AILABS_ukr_000061	voly_30_f000126	Збігалися люди, як на пожежу, дивитись, а вертаючись додому, від страху богу молилися.
M-AILABS_ukr_000062	chorna_rada_s002020	Диво велике,- каже Петро Сердюк,- нічого сказати. Служить вам добре фортуна, пане гетьмане.
M-AILABS_ukr_000063	fata_morgana_s001742	Справді, щось стука.
M-AILABS_ukr_000064	15YO_Capitan_s001610	Чаклун прямував до фактори ЖозеАнтоніу Алвіша. Невдовзі він спинився перед ворітьми.
M-AILABS_ukr_000065	15YO_Capitan_s003157	Дік Сенд та його супутники насамперед засвітили ліхтар і почали оглядати термітник.
M-AILABS_ukr_000066	voly_26_f000234	Після довгого зимнього сну усе прокидається, продирає заспані очі і, озирнувшись кругом, любує на землю, що, як та писанка, красується під золотим промінням ясного сонця;
M-AILABS_ukr_000067	zvirobij_s000047	В тамтешніх краях навіть завзяті лінтюхи рідко коли ніжаться на подушках після появи великого світила.
M-AILABS_ukr_000068	fata_morgana_s000929	Андрій рідко звертав увагу на страву - голова його була запрятана фабрикою, - але часом і він відсовував нізчимну юшку і починав бурчати.
M-AILABS_ukr_000069	kaydasheva_s002247	Покиньте мотовило, бо так і впечу обох по спині кочергою! - крикнув він на всю хату.
M-AILABS_ukr_000070	zvirobij_s002278	Він знайомий з Хохулею цим ім'ям називали Гаттера всі індіяни.
M-AILABS_ukr_000071	15YO_Capitan_s003387	Це був той самий дуже свіжий вітер, що розхитував рангоут. Настало п'ять квітня.
M-AILABS_ukr_000072	voly_13_f000143	До всього того десять літ безпутного життя витягли всі грошенята, що Максим наскладав до парування.
M-AILABS_ukr_000073	voly_27_f000050	Посеред отари й предводительський синок крутився, та, видно, йому не водити переду! Хто ж поведе? Кому не страшно? Хто звик до всякої лихої години? Шавкун привик ще змалечку до всього.
M-AILABS_ukr_000074	dorogoyu_tsinoyu_s000935	Остап із Соломією потиху спустили пліт на річку. Він хлюпнув і глибоко осів у воду. Коли Соломія примостилася на плоті, Остап одіпхнув од берега і тоді скочив.
