M-AILABS_ita_000000	galatea_04_barrili_f000061	Io non mi basto;
M-AILABS_ita_000037	mattiapascal_08_pirandello_f000026	i varii oggetti che mi stavano intorno.
M-AILABS_ita_000038	imalavoglia_10_verga_f000484	e si sbracciava a difender don Michele davanti alla gente, perché si sapesse che
M-AILABS_ita_000039	mattiapascal_03_pirandello_f000063	Ma io so ch'egli desiderava con tutto il cuore dalla moglie un certo compenso alle afflizioni senza fine che gli procurava;
M-AILABS_ita_000040	galatea_11_barrili_f000260	Questa sera, passeggiando in paese, ho incontrata mezza la colonia, che ritornava dal suo eterno lawn-tennis.
M-AILABS_ita_000041	ritrattodeldiavolo_05_barrili_f000079	Ma in suo luogo era mastro Jacopo, fiero in arme come un paladino al passaggio d'un ponte. L'impressione fu buona, anzi ottima.
M-AILABS_ita_000042	meraviglieduemila_04_salgari_f000005	Solo dei pesci: tutti gli altri piatti si componevano di vegetali, fra cui molti che erano assolutamente sconosciuti a Toby ed a Brandok.
M-AILABS_ita_000043	imalavoglia_13_verga_f000586	e gli prometteva che voleva dargli il resto quando lincontrava.
M-AILABS_ita_000044	mattiapascal_06_pirandello_f000207	come: Strozzani, Parbetta, Martoni, Bartusi, che m'irritavano peggio i nervi.
M-AILABS_ita_000045	meraviglieduemila_06_salgari_f000140	Quello specchio è mosso da un movimento dorologeria regolato in modo da procedere in senso contrario al moto della Terra
M-AILABS_ita_000046	ritrattodeldiavolo_01_barrili_f000208	Sarà il primo di tutti, se continua come ha cominciato, e sopra tutto se non mette il capo alle frascheria della gioventù.
M-AILABS_ita_000047	mattiapascal_15_pirandello_f000418	scusi... - gli dissi.
M-AILABS_ita_000048	galatea_09_barrili_f000045	--Ma che lui!--mi gridò egli stizzito.
M-AILABS_ita_000049	galatea_18_barrili_f000093	--Si fermino dunque un minuto secondo;
M-AILABS_ita_000050	imalavoglia_12_verga_f000011	Però, quel che i Malavoglia guadagnavano non bastava spesso a pagare lo zio Nunzio, o il figlio della Locca
M-AILABS_ita_000051	galatea_13_barrili_f000403	proprio sul più debole dei tre.
M-AILABS_ita_000052	la_contessa_di_karolystria_7_ghislanzoni_f000100	stessero raccolti in un salotto a deliberare sui mezzi di sottrarre un neonato alla vista del loro vescovo.
M-AILABS_ita_000053	galatea_11_barrili_f000108	ma passiamo, che questo non è affar mio.
M-AILABS_ita_000054	imalavoglia_12_verga_f000096	Eh? bellaffare che ci avrei fatto! Ed hanno il coraggio di portarmi il broncio per giunta!
M-AILABS_ita_000055	galatea_11_barrili_f000178	--Non rammentate, signora? --disse il Martorana.
M-AILABS_ita_000056	ritrattodeldiavolo_14_barrili_f000156	banditosi dalla sua città per godersi il frutto del tradimento. Ma l'opera non è compiuta.
M-AILABS_ita_000057	galatea_08_barrili_f000093	Ah, forse bisognerebbe che una buona e veramente efficace alleanza anglo-italiana stabilisse in due articoli il suo patto fondamentale;
M-AILABS_ita_000058	mattiapascal_17_pirandello_f000343	il morto! Presi il partito di non rimuovermi da queste due risposte e lasciar tutti stizziti nell'orgasmo della curiosità
M-AILABS_ita_000059	ritrattodeldiavolo_05_barrili_f000069	In Arezzo non si parlava più d'altro.
M-AILABS_ita_000060	ritrattodeldiavolo_06_barrili_f000134	nessuno, oltre lui e Spinello, aveva potuto metter piede sul ponte.
M-AILABS_ita_000061	ritrattodeldiavolo_12_barrili_f000447	--No, te ne supplico, parti! Egli sarà qui tra poco.
M-AILABS_ita_000062	meraviglieduemila_08_salgari_f000125	luglio ed anche dagosto, al pari di quella dello Spitzbergen.
M-AILABS_ita_000063	ritrattodeldiavolo_12_barrili_f000295	L'amore è l'abbandono consapevole e volenteroso del nostro essere;
M-AILABS_ita_000064	ritrattodeldiavolo_11_barrili_f000042	Spinello non seppe resistere a tante preghiere, e fece promessa di trattenersi qualche tempo in Arezzo
M-AILABS_ita_000065	mattiapascal_15_pirandello_f000325	Ma il Bernaldez prese in altro senso le mie parole, e con estrema violenza, figgendomi gli occhi negli occhi
M-AILABS_ita_000066	mattiapascal_01_pirandello_f000117	Per fortuna, l'uomo si distrae facilmente. Questo è vero.
M-AILABS_ita_000067	imalavoglia_15_verga_f000215	La Zuppidda adesso predicava che il capo della casa era suo marito, ed egli era il padrone di maritare la Barbara con chi gli piaceva
M-AILABS_ita_000068	mattiapascal_13_pirandello_f000201	poi, non contento, mi chinai a cercar la bocca di lei, e così il primo bacio, bacio lungo e muto, fu scambiato fra noi.
M-AILABS_ita_000069	imalavoglia_10_verga_f000764	Suo nonno e tutti gli altri sudano e si affannano per tirarsi su unaltra volta;
M-AILABS_ita_000070	imalavoglia_08_verga_f000305	ma vorrei tornar presto qui, se cè da buscarmi il pane.
M-AILABS_ita_000071	galatea_10_barrili_f000122	--Ecco un buon posto. Non è forse il vostro, Morelli?
M-AILABS_ita_000072	galatea_17_barrili_f000189	Ma qui, nel caso nostro, non sarebbe più un bersaglio;
M-AILABS_ita_000073	meraviglieduemila_13_salgari_f000084	- Ogni macchina volante è fornita dun eofono. - Che bestia è questo eofono?
M-AILABS_ita_000074	imalavoglia_15_verga_f000245	e ricette non ne scriveva, perché diceva che erano inutili, con quella povera gente che non aveva denari da buttar via.
M-AILABS_ita_000075	ritrattodeldiavolo_11_barrili_f000400	Spinello, dal nascondiglio in cui era e da cui non gli parve prudente muoversi, non udì che queste parole:
M-AILABS_ita_000076	mattiapascal_04_pirandello_f000302	Avrei potuto trattenermici soltanto poche ore al giorno;
M-AILABS_ita_000077	ritrattodeldiavolo_11_barrili_f000102	Della quale invenzione io vi dirò solamente questo: che egli dipinse sulla facciata della chiesa dei Santi Laurentino e Pergentino una Madonna
M-AILABS_ita_000078	meraviglieduemila_04_salgari_f000063	- Dagli abitanti di quel pianeta! - esclamò Brandok.
M-AILABS_ita_000079	imalavoglia_01_verga_f000112	è fatto come i merluzzi, che abboccherebbero un chiodo arrugginito.
M-AILABS_ita_000080	ritrattodeldiavolo_14_barrili_f000173	gli rammentò in buon punto che le assi non erano inchiodate, ma semplicemente posate sulle traverse, l'una di costa all'altra.
M-AILABS_ita_000081	ritrattodeldiavolo_13_barrili_f000181	e tutto il resto è un di più, sul quale non bisogna far conto.
M-AILABS_ita_000082	galatea_04_barrili_f000156	Parlando sul serio, signor Morelli, veda un po' d'esser buono.
M-AILABS_ita_000083	meraviglieduemila_04_salgari_f000136	- A che cosa servirebbe il carbone?
M-AILABS_ita_000084	ritrattodeldiavolo_03_barrili_f000155	presso la quarta colonna di destra, ho veduto per la prima volta madonna Fiordaliso. Non sapevo chi fosse; ma ne rimasi colpito.
M-AILABS_ita_000085	imalavoglia_01_verga_f000148	Luomo è il fuoco, e la donna è la stoppa: viene il diavolo e soffia.
M-AILABS_ita_000086	imalavoglia_11_verga_f000231	Ma non sapeva che doveva partire anche lei quando meno se lo aspettava
M-AILABS_ita_000087	mattiapascal_05_pirandello_f000283	dove aveva avuto sempre, fino a quella sera, una disdetta incredibile.
M-AILABS_ita_000088	imalavoglia_10_verga_f000665	e ci aveva gusto che quel bietolone di suo figlio Brasi fosse andato a cascare nella Vespa
M-AILABS_ita_000089	meraviglieduemila_13_salgari_f000033	La campana ci chiama a colazione;
M-AILABS_ita_000090	imalavoglia_02_verga_f000055	il vicario, per passare il tempo, e ci pigliavano delle malattie dalla bile;
M-AILABS_ita_000091	galatea_18_barrili_f000137	le braccia, e mi sentii dolere dalle spalle alle mani;
M-AILABS_ita_000092	meraviglieduemila_03_salgari_f000096	vestitevi e poi andremo a pranzare.
M-AILABS_ita_000093	ritrattodeldiavolo_04_barrili_f000115	--Col vostro aiuto, maestro, non si dubita punto dell'esito; --ribattè gravemente il Chiacchiera.
M-AILABS_ita_000094	galatea_11_barrili_f000054	Come chiamare déshabillé un abito, sia pur sciolto intorno alla vita e largo di maniche
M-AILABS_ita_000095	mattiapascal_13_pirandello_f000190	Anche il Bernaldez la spinse a dire, premurosamente;
M-AILABS_ita_000096	galatea_07_barrili_f000131	Fai anche le tue supposizioni sul fatto che io non la nomino.
M-AILABS_ita_000097	mattiapascal_11_pirandello_f000233	a veul di' che ti t' ses fieul 'd barba Antoni ca l'è andàit 'ntla America.
M-AILABS_ita_000098	imalavoglia_11_verga_f000185	- Senti, - disse alfine, - tu te ne andrai, se vuoi andartene, ma non mi troverai più;
M-AILABS_ita_000099	ritrattodeldiavolo_10_barrili_f000190	Forse un osservatore più diligente e più acuto avrebbe trovato
M-AILABS_ita_000100	ritrattodeldiavolo_14_barrili_f000195	In chiesa e fuori si credette ad una disgrazia.
M-AILABS_ita_000101	la_contessa_di_karolystria_5_ghislanzoni_f000056	e avrebbe seguito una linea di condotta più conforme alla squisitezza del suo temperamento ed alle sue abitudini di perfetto gentiluomo. In quella vece...
M-AILABS_ita_000102	meraviglieduemila_01_salgari_f000175	Aveva levato dalla vaschetta il coniglio e laveva messo sul tavolino, avvolgendolo in un pezzo di stoffa di lana.
M-AILABS_ita_000103	mattiapascal_05_pirandello_f000262	i croupiers invitavano ai tre ultimi colpi: avremmo fatto saltare la banca!
M-AILABS_ita_000104	ritrattodeldiavolo_13_barrili_f000083	Giovinotto, queste freddezza non istanno bene tra compagni d'arte, che sono sempre andati d'accordo. La vita è già troppo piena di noie;
M-AILABS_ita_000105	galatea_14_barrili_f000271	--Quei vostri satelliti io non li posso patire.
M-AILABS_ita_000106	meraviglieduemila_01_salgari_f000287	che pareva si sparassero delle cannonate in fondo ai piccoli fiordi scavati dalleterna azione delle acque.
M-AILABS_ita_000107	ritrattodeldiavolo_04_barrili_f000101	Vi capita in bottega con quattro scarabocchi, e voi v'innamorate subito di lui, come Cimabue s'è innamorato di Giotto.
M-AILABS_ita_000108	galatea_14_barrili_f000200	nella morente luce del crepuscolo vediamo quanto basta per collocare coll'immaginazione trecento persone entro la gran sala squallida
M-AILABS_ita_000109	mattiapascal_14_pirandello_f000178	mi sforzavo di credere inverosimile l'audacia del ladro.
M-AILABS_ita_000110	meraviglieduemila_18_salgari_f000167	che saliva rapidissimo, ma che tuttavia poteva servire.
M-AILABS_ita_000111	imalavoglia_12_verga_f000297	che tutti lo sapevano, in paese, come avevano fatto i loro denari a soldo a soldo
