M-AILABS_ita_000112	galatea_20_barrili_f000052	Intanto non gli neghiamo il visto, si approva. GALATEA.
M-AILABS_ita_000155	imalavoglia_13_verga_f000324	e per sorprenderli bisogna dar la parte a uno della combriccola e farlo cantare per chiapparla.
M-AILABS_ita_000156	imalavoglia_10_verga_f000112	- Taglia! taglia subito!
M-AILABS_ita_000157	meraviglieduemila_01_salgari_f000232	- Devi cambiarle in oro, amico mio.
M-AILABS_ita_000158	ritrattodeldiavolo_05_barrili_f000032	Aspettando che fosse levata l'impalcatura e scoperto l'affresco
M-AILABS_ita_000159	galatea_09_barrili_f000008	Sì, è il verbo adatto, e Lei dica pure ch'è un'iperbole mia.
M-AILABS_ita_000160	meraviglieduemila_01_salgari_f000178	Doveva essere istupidito. - Non morrà? - chiese Brandok.
M-AILABS_ita_000161	imalavoglia_08_verga_f000076	Quando non avrà più nessuno da sposare, allora dovranno pregarmi loro
M-AILABS_ita_000162	imalavoglia_12_verga_f000218	e se arriviamo unaltra volta ad aver delle barche sullacqua, e a mettere i nostri letti laggiù, in quella casa
M-AILABS_ita_000163	ritrattodeldiavolo_09_barrili_f000149	Ora, anch'egli vedrebbe assai volentieri le vostre nozze.
M-AILABS_ita_000164	ritrattodeldiavolo_07_barrili_f000345	Lo sguardo languido che Fiordalisa gli aveva rivolto, morendo, gli stava sempre negli occhi.
M-AILABS_ita_000165	mattiapascal_14_pirandello_f000091	- Non siamo contenti?
M-AILABS_ita_000166	meraviglieduemila_03_salgari_f000004	Dopo una immersione durata un quarto dora, in una vasca piena di acqua tiepida
M-AILABS_ita_000167	mattiapascal_05_pirandello_f000266	Mi lasci andare, caro signore. Mi lasciò andare; ma mi venne appresso.
M-AILABS_ita_000168	imalavoglia_14_verga_f000332	La Zuppidda strillava come unossessa: - Io non so niente;
M-AILABS_ita_000169	galatea_13_barrili_f000204	Le signore si divertono qui, come facevano nella faggeta del San Donato
M-AILABS_ita_000170	ritrattodeldiavolo_10_barrili_f000041	non avrebbe assicurato a monna Ghita dei Bastianelli uno stato di gran lunga superiore a ciò che ella poteva ripromettersi?
M-AILABS_ita_000171	ritrattodeldiavolo_04_barrili_f000189	e chiedere con la muta eloquenza del gesto i particolari di quella novità. --Sicuro,--proseguì mastro Jacopo.
M-AILABS_ita_000172	mattiapascal_06_pirandello_f000035	tre, quattro, cinque giorni, una settimana, il mio ritorno;
M-AILABS_ita_000173	meraviglieduemila_15_salgari_f000128	È la cupola che sopporta tutto limpeto dei cavalloni e può sfidarli impunemente.
M-AILABS_ita_000174	imalavoglia_07_verga_f000172	Allora le comari si affacciarono sulluscio, colle conocchie in mano a sbraitare che volevano ammazzarli tutti
M-AILABS_ita_000175	galatea_18_barrili_f000172	--Ed io, dottore?
M-AILABS_ita_000176	meraviglieduemila_01_salgari_f000010	sera alzato con una certa aria annoiata, che non era sfuggita nè al pilota, nè ai quattro marinai.
M-AILABS_ita_000177	galatea_13_barrili_f000482	--Ed io come un pesce nell'olio.
M-AILABS_ita_000178	meraviglieduemila_10_salgari_f000059	Qui, quando un uomo od una donna vengono colpiti da qualche malattia, si cerca di curarli dapprima con degli incantesimi
M-AILABS_ita_000179	mattiapascal_03_pirandello_f000076	ma prese la figlia d'un fattore di campagna, sana, florida, robusta e allegra;
M-AILABS_ita_000180	ritrattodeldiavolo_02_barrili_f000125	Che non ci sian più belle donne, in Arezzo?
M-AILABS_ita_000181	ritrattodeldiavolo_11_barrili_f000146	lo voleva Pistoia, per la sua chiesa di Sant'Andrea.
M-AILABS_ita_000182	ritrattodeldiavolo_06_barrili_f000108	e Spinello, come potè avvicinarsi al suo povero affresco, non durò fatica a riconoscere che, scambio di terre
M-AILABS_ita_000183	mattiapascal_04_pirandello_f000306	La prima volta che mi avvenne di trovarmi con un libro tra le mani, tolto così a caso
M-AILABS_ita_000184	mattiapascal_05_pirandello_f000317	Mi alzai, sdegnato, dando una spallata.
M-AILABS_ita_000185	galatea_19_barrili_f000288	--Or dunque, alla prova, e in una cosa da nulla;
M-AILABS_ita_000186	meraviglieduemila_18_salgari_f000369	aveva fretta di giungere nella capitale francese per consultare uno di quegli scienziati
M-AILABS_ita_000187	ritrattodeldiavolo_05_barrili_f000401	ma lo vide Fiordalisa e notò che aveva la cera stravolta. --Che c'è? --chiese la fanciulla, turbata. --Che c'è?
M-AILABS_ita_000188	imalavoglia_10_verga_f000735	- Adesso manderemo dal fornaciaio per farli fare apposta, - rispondeva don Giammaria.
M-AILABS_ita_000189	mattiapascal_10_pirandello_f000247	Perché la donna, caro signor Meis, lo sappia, è più generosa dell'uomo, e non bada come questo alla bellezza esteriore soltanto.
M-AILABS_ita_000190	imalavoglia_15_verga_f000299	perché si fece bianca e rossa nella faccia, ed io frustai il mulo per passare presto
M-AILABS_ita_000191	galatea_04_barrili_f000031	--Oh!--gridai. --Non faccia questo torto ad Orazio,
M-AILABS_ita_000192	meraviglieduemila_10_salgari_f000077	Passarono in unaltra capanna più vasta e meglio illuminata, e dopo essersi introdotti nellangusto corridoio, si trovarono nellinterno.
M-AILABS_ita_000193	galatea_10_barrili_f000350	come di pelle di Spagna.
M-AILABS_ita_000194	ritrattodeldiavolo_07_barrili_f000209	giunti a quel momento, in cui hanno da custodire la loro allegrezza dallo sguardo importuno dei curiosi
M-AILABS_ita_000195	mattiapascal_10_pirandello_f000167	, vuol dire che vuol saperlo! - Ma l'hai detto prima tu! - protestò Adriana, al colmo della stizza.
M-AILABS_ita_000196	galatea_15_barrili_f000096	--Volentieri; --le rispondo;
M-AILABS_ita_000197	imalavoglia_08_verga_f000045	- Quella sfacciata di SantAgata, - brontolava la Vespa
M-AILABS_ita_000198	la_contessa_di_karolystria_6_ghislanzoni_f000137	E già, coll'atroce proposito in cuore, io dirigeva i miei passi all'albergo del Pappagallo dove sapevo che la turpe donna era alloggiata
M-AILABS_ita_000199	meraviglieduemila_04_salgari_f000041	E poi non sarebbero più possibili.
M-AILABS_ita_000200	galatea_18_barrili_f000152	--Credi? --Volevo dire il raziocinio, il sentimento, il che so io.
M-AILABS_ita_000201	meraviglieduemila_14_salgari_f000054	- Se così non fosse, lIrlanda, la Scozia e anche lInghilterra sarebbero state tramutate in terre quasi polari
M-AILABS_ita_000202	mattiapascal_18_pirandello_f000065	egli ha domandato a quegli altri critici donde attingevano il criterio per giudicare siffattamente il mondo della mia arte.
M-AILABS_ita_000203	meraviglieduemila_18_salgari_f000197	Tutte le foreste della montagna ardevano, contorcendosi sotto le strette delle lave che scendevano giù senza posa.
M-AILABS_ita_000204	meraviglieduemila_12_salgari_f000005	nonostante il freddo eccessivo che regnava allaperto e la profonda oscurità addensata sugli sterminati banchi di ghiaccio della regione polare.
M-AILABS_ita_000205	meraviglieduemila_01_salgari_f000099	- In una piccola pianta disseccata, che dallarabo era stata scoperta in una antichissima tomba
M-AILABS_ita_000206	mattiapascal_14_pirandello_f000177	E per indurmi a quella ricerca che m'appariva a mano a mano sempre più sciocca e vana
M-AILABS_ita_000207	mattiapascal_05_pirandello_f000297	- Ma porqué lei, - mi domandò, - non ha voluto occi aproveciarse de la sua forturna?
M-AILABS_ita_000208	mattiapascal_05_pirandello_f000067	cui la passione del giuoco ha sconvolto il cervello nel modo più singolare: stanno li a studiare il così detto equilibrio delle probabilità
M-AILABS_ita_000209	imalavoglia_08_verga_f000319	non sapeva risolversi a partire, e rimaneva sulla soglia, colla frusta sotto lascella
M-AILABS_ita_000210	mattiapascal_01_pirandello_f000120	che per farci lume di notte, come il sole di giorno, e le stelle per offrirci un magnifico spettacolo.
M-AILABS_ita_000211	mattiapascal_14_pirandello_f000327	Mi stropicciai forte la fronte, per paura che stessi per ammattire, per farmene una fissazione.
M-AILABS_ita_000212	galatea_09_barrili_f000190	vèstitene pure, cornacchia.
M-AILABS_ita_000213	galatea_03_barrili_f000007	lo ha detto, e lo hanno seguito due altri;
M-AILABS_ita_000214	imalavoglia_10_verga_f000108	Allimprovviso il vento si mise a fischiare al pari della macchina della ferrovia, quando esce dal buco del monte, sopra Trezza
M-AILABS_ita_000215	galatea_18_barrili_f000206	ed io, felicissimo della trovata, ho abbondato in quel senso.
M-AILABS_ita_000216	imalavoglia_04_verga_f000139	Il mondo è pieno di guai, chi ne ha pochi e chi ne ha assai
M-AILABS_ita_000217	mattiapascal_17_pirandello_f000327	per dichiarargli che i patti non mi convenivano e vendicarmi sopra lui dell'affronto che mi pareva tutto il paese mi facesse non riconoscendomi più.
M-AILABS_ita_000218	imalavoglia_10_verga_f000737	- Sapete cosa ci vorrebbe?
M-AILABS_ita_000219	imalavoglia_15_verga_f000497	e si riconosce subito al gorgogliare che fa tra quegli scogli nei quali si rompe, e par la voce di un amico.
M-AILABS_ita_000220	galatea_15_barrili_f000195	E ancora non abbiamo finito;
M-AILABS_ita_000221	la_contessa_di_karolystria_8_ghislanzoni_f000006	Frattanto, un personaggio secco e barbuto
M-AILABS_ita_000222	imalavoglia_07_verga_f000203	Ora che si ricominciava la canzone delle tasse si sarebbe parlato nuovamente di quella del pelo
M-AILABS_ita_000223	imalavoglia_10_verga_f000107	Si udiva il vento sibilare nella vela della Provvidenza e la fune che suonava come una corda di chitarra.
