M-AILABS_ita_000224	meraviglieduemila_18_salgari_f000106	adagiandosi verso la spiaggia che era improvvisamente comparsa dopo lultimo colpo di mare.
M-AILABS_ita_000301	imalavoglia_07_verga_f000238	sebbene in quel momento non volesse aprirle luscio, per timore che gli entrassero in casa a fare sacco e fuoco.
M-AILABS_ita_000302	galatea_10_barrili_f000230	ma in quelle ventiquattr'ore fanno le valigie, prendono un biglietto alla prima stazione di strada ferrata
M-AILABS_ita_000303	ritrattodeldiavolo_10_barrili_f000153	--Che uomo impaziente siete voi! Ci avete sempre vent'anni.
M-AILABS_ita_000304	ritrattodeldiavolo_01_barrili_f000067	Ora, la più bell'opera di mastro Jacopo, che Spinello potesse ammirare nel Duomo vecchio
M-AILABS_ita_000305	ritrattodeldiavolo_02_barrili_f000047	Sulla testa era gittato un velo che scendeva fino agli òmeri e si confondeva col manto.
M-AILABS_ita_000306	meraviglieduemila_10_salgari_f000010	- Sicchè non potrà più avanzare?
M-AILABS_ita_000307	galatea_19_barrili_f000230	--Povero serpe intirizzito, se mai! E dove se ne va, signorina!
M-AILABS_ita_000308	imalavoglia_08_verga_f000252	- Comare Mena la fanno sposa, - si diceva.
M-AILABS_ita_000309	imalavoglia_10_verga_f000208	padron Cipolla e tutto il vicinato, nella strada del Nero, ché in quelle occasioni si mette un sasso su ogni quistione
M-AILABS_ita_000310	imalavoglia_10_verga_f000268	e ti terrai sotto le ali tua sorella, come fa la chioccia coi suoi pulcini.
M-AILABS_ita_000311	ritrattodeldiavolo_06_barrili_f000041	nè lasciata mai sino a che sia finito quel tanto che per quel giorno si vuole lavorare. Mi spiego?
M-AILABS_ita_000312	meraviglieduemila_11_salgari_f000077	Non essendovi laggiù mai piogge nè avvenendo squagliamenti considerevoli
M-AILABS_ita_000313	imalavoglia_09_verga_f000232	Collandare dei giorni però, nessuno parlava più di quello che era successo;
M-AILABS_ita_000314	ritrattodeldiavolo_13_barrili_f000096	Che sciocco! È vero che egli, prima di morire, ha freddata la moglie;
M-AILABS_ita_000315	galatea_18_barrili_f000256	Il conte Quarneri! Che cosa viene a borbottare da noi?
M-AILABS_ita_000316	galatea_16_barrili_f000158	Ma Lei, signor Morelli, si lasci anche far complimenti per la sua valentia di schermitore.
M-AILABS_ita_000317	meraviglieduemila_05_salgari_f000129	- Sono diventati pescatori ed agricoltori;
M-AILABS_ita_000318	galatea_18_barrili_f000197	Non è storia da dover tramandare ai posteri, ed è già troppo che l'abbiano a ricordare i presenti.
M-AILABS_ita_000319	mattiapascal_04_pirandello_f000315	Quando la testa mi fumava, chiudevo la biblioteca e mi recavo per un sentieruolo scosceso, a un lembo di spiaggia solitaria.
M-AILABS_ita_000320	mattiapascal_17_pirandello_f000137	Scoppiai a ridere, fino ad averne male ai fianchi.
M-AILABS_ita_000321	ritrattodeldiavolo_14_barrili_f000057	chi aveva battuto e piombato negli abissi il più forte de' suoi avversari, che tale era certamente Lucifero?
M-AILABS_ita_000322	ritrattodeldiavolo_10_barrili_f000037	Ma gli soccorreva in quel punto l'esempio di Parri della Quercia.
M-AILABS_ita_000323	ritrattodeldiavolo_01_barrili_f000199	Vestita così semplicemente, d'una veste di ferrandina a larghe pieghe, le quali scendevano in bei partiti dal fianco
M-AILABS_ita_000324	imalavoglia_06_verga_f000116	- Non ne ho, - rispose Antoni, senza pensare più alla quistione di poco prima, - ma te ne darò mezzo del mio.
M-AILABS_ita_000325	meraviglieduemila_02_salgari_f000028	- Vediamo - disse Holker, aprendosi il passo fra gli sterpi.
M-AILABS_ita_000326	galatea_13_barrili_f000430	Ma qui il commendator Matteini ha un'idea luminosa, e la sottopone ai lumi della luminosa contessa.
M-AILABS_ita_000327	imalavoglia_14_verga_f000247	- raccontava Pizzuto, - e don Michele ci ha buscato una coltellata.
M-AILABS_ita_000328	la_contessa_di_karolystria_3_ghislanzoni_f000047	che avrebbero ammaccata la faccia della luna. Il conte barcollò...
M-AILABS_ita_000329	imalavoglia_13_verga_f000364	ma gli altri, se cercavano a rischio della pelle di fare come volevano, per sbarcare la loro roba
M-AILABS_ita_000330	mattiapascal_05_pirandello_f000304	in tutto il resto, no di certo - facciamo così: senza patti fra noi e senza alcuna responsabilità da parte mia,
M-AILABS_ita_000331	ritrattodeldiavolo_04_barrili_f000067	insomma, un servizio da fanti, non una scuola da pittori. Scusate, mastro Jacopo;
M-AILABS_ita_000332	mattiapascal_09_pirandello_f000254	e che tutto finirà lì ma io la butto via oggi stesso, in questo stesso momento: e dov'è allora l'istinto della conservazione?
M-AILABS_ita_000333	galatea_11_barrili_f000143	Scegliendo bene, si possono risparmiare molte ore.
M-AILABS_ita_000334	galatea_09_barrili_f000061	--Tutti; non mancava che Lei.
M-AILABS_ita_000335	imalavoglia_07_verga_f000262	- Sia lodato Dio! - esclamava il cieco, - questo è don Silvestro il segretario
M-AILABS_ita_000336	meraviglieduemila_02_salgari_f000003	Una mattina degli ultimi giorni di settembre del due mila tre, tre uomini salivano lentamente lo scoglio di Retz
