voxpopuli_ron_002200	20110929-0900-PLENARY-6-ro_20110929-11:33:31_10	Nu toate aceste solicitări au fost respectate de propunerea Comisiei.
voxpopuli_ron_002218	20120315-0900-PLENARY-13-ro_20120315-15:41:44_1	De altfel, Grupul PPE nu a fost de acord cu discutarea subiectului în acest cadru, în acest cadru am subliniat.
voxpopuli_ron_002219	20120201-0900-PLENARY-15-ro_20120201-22:06:09_5	Este foarte important că s au atins subiecte sensibile, cum ar fi statutul minorilor care practică sportul, pariurile sportive şi aşa mai departe.
voxpopuli_ron_002220	20151216-0900-PLENARY-13-ro_20151216-15:01:21_18	Un al doilea mesaj cheie pe care am dorit să îl transmit e că susținerea și promovarea democrației în relațiile externe nu trebuie să ocupe un loc secundar în politica Uniunii.
voxpopuli_ron_002221	20110607-0900-PLENARY-9-ro_20110607-16:48:10_2	Trebuie să fim foarte realiști și să admitem că în acest moment împărțirea pe cale pașnică a Sudanului este în pericol.
voxpopuli_ron_002222	20200113-0900-PLENARY-ro_20200113-21:50:39_8	Argumentul că Ministerul Dezvoltării nu colaborează cu acela al Muncii, Sănătății și Educației trebuie să rămână undeva în trecut.
voxpopuli_ron_002223	20120913-0900-PLENARY-16-ro_20120913-16:05:33_4	Nu este o chestiune care vizează statul de drept, nu este o chestiune care vizează democraţia, nu este o chestiune care să vizeze drepturile omului.
voxpopuli_ron_002224	20100920-0900-PLENARY-14-ro_20100920-21:18:50_2	Solicit Comisiei să dea dovadă de flexibilitate și promptitudine atunci când, conform regulamentului FEDER, un stat membru va solicita revizuirea programelor operaționale sau a cadrului de referință strategic național.
voxpopuli_ron_002225	20130117-0900-PLENARY-12-ro_20130117-12:58:52_3	O altă soluţie ar fi ca marile firme de confecţii să nu mai încheie contracte decât cu acele fabrici care respectă toate standardele de protecţie a muncii.
voxpopuli_ron_002226	20191128-0900-PLENARY-ro_20191128-09:34:56_5	Poziția Uniunii Europene față de politicile naționale în care nu este respectată pădurea va trebui să fie mai eficientă, mai clară.
voxpopuli_ron_002227	20130116-0900-PLENARY-17-ro_20130116-22:39:24_5	Obiectivul final al modernizării Codului vamal comunitar trebuie să fie facilitarea procedurilor de import şi export.
voxpopuli_ron_002228	20171113-0900-PLENARY-13-ro_20171113-18:20:07_12	În plus, Comisia va trebui să vegheze asupra faptului că aceste norme sociale sunt cu adevărat respectate și că participarea femeilor este încurajată.
voxpopuli_ron_002229	20170117-0900-PLENARY-3-ro_20170117-09:12:25_0	Domnule Președinte, dragi colegi, aceste alegeri au loc în cel mai critic moment al existenței Uniunii Europene.
voxpopuli_ron_002230	20181024-0900-PLENARY-ro_20181024-20:28:25_1	Sigur, statele membre, spunea doamna comisar, pot să stabilească taxe și așa avem acum situația pe drumurile naționale, internaționale.
voxpopuli_ron_002231	20101216-0900-PLENARY-3-ro_20101216-09:44:27_3	Este o inițiativă foarte bună, cu atât mai mult cu cât aduce la un loc proiecte transnaționale.
voxpopuli_ron_002232	20101123-0900-PLENARY-17-ro_20101123-22:15:58_2	Cred că este esențial ca implementarea în statele membre a legislației europene din domeniul agricol să se facă în așa fel încât agricultorii să nu fie descurajați să continue practicile agricole.
voxpopuli_ron_002233	20200211-0900-PLENARY-ro_20200211-10:31:12_4	atunci când discutăm cu Londra, să vă gândiți că sunt 3,5 milioane de cetățeni europeni în Marea Britanie și 1,5 milioane de cetățeni britanici în Uniunea Europeană.
voxpopuli_ron_002234	20170531-0900-PLENARY-17-ro_20170531-23:03:21_4	Ajutoarele sociale constituie principala cauză a acestui fenomen care afectează sectorul agricol din România. O bună parte din persoanele care ar putea munci în acest domeniu beneficiază de ajutoare sociale, astfel încât acestea preferă să nu muncească, ceea ce apreciez că este inadmisibil, considerând totodată că se impune intervenția de îndată în acest domeniu, astfel încât prin politicile care să fie făcute de la nivel european să fie stimulată angajarea în acest sector agricol.
voxpopuli_ron_002235	20110926-0900-PLENARY-10-ro_20110926-18:06:20_3	Apreciez totodată atenţia acordată reducerii discrepanţelor dintre statele membre în acest domeniu.
voxpopuli_ron_002236	20110928-0900-PLENARY-4-ro_20110928-12:36:10_3	Astfel, stabilind un set de cerinţe minime pentru cadrele naţionale, vom încuraja atât asumarea de responsabilităţi bugetare, cât şi eficacitatea procedurii de deficit.
voxpopuli_ron_002237	20110407-0900-PLENARY-11-ro_20110407-16:15:34_1	În perspectiva alegerilor din iunie, președintele Mugabe conduce o campanie de intimidare a contracandidaților săi. Sute de funcționari ai guvernului, activiști pentru apărarea drepturilor omului și opozanți ai regimului au fost arestați în ultimele două luni.
voxpopuli_ron_002238	20130523-0900-PLENARY-4-ro_20130523-09:29:17_3	O macroregiune de succes trebuie să fie un prim pas către un model european capabil să combine creşterea inteligentă, incluzivă şi sustenabilă a regiunilor europene.
voxpopuli_ron_002239	20120213-0900-PLENARY-13-ro_20120213-19:12:33_3	Prin intermediul unor acte de punere în aplicare, Comisia adoptă specificaţiile tehnice, care definesc metodele de comunicare prin mijloace electronice pentru sistemul de interconectare a registrelor, protocoalele de comunicare, măsurile tehnice de asigurare a standardelor minime de securitate pentru comunicarea şi distribuirea informaţiilor în cadrul sistemului de interconectare a registrelor,
voxpopuli_ron_002240	20110215-0900-PLENARY-3-ro_20110215-09:52:22_1	Acest lucru se va putea realiza prin crearea unor mecanisme de stimulare pentru eficientizarea vehiculelor şi impunerea de penalităţi pentru producătorii care nu respectă aceste obiective.
voxpopuli_ron_002241	20090421-0900-PLENARY-12-ro_20090421-18:31:20_9	Invit colegii ca în această săptămână să viziteze expoziţia referitoare la acest tip de clădiri Net zero building care este prezentă în Parlamentul European, organizată împreună cu WWF.
voxpopuli_ron_002242	20110120-0900-PLENARY-8-ro_20110120-13:06:28_3	Aceste amendamente au subliniat necesitatea creării unei reţele de ONG uri în această zonă, încurajarea programelor care promovează dialogul intercultural şi interreligios şi a iniţiativelor precum reţeaua universităţilor de la Marea Neagră.
voxpopuli_ron_002243	20190115-0900-PLENARY-ro_20190115-16:49:09_11	Cu siguranță, ne sprijinim pe Secretariatul General al Consiliului Uniunii Europene.
voxpopuli_ron_002244	20130520-0900-PLENARY-16-ro_20130520-20:20:28_0	Din cauza poziţiei geografice, unele state sunt mai expuse valurilor de refugiaţi şi solicitanţilor de azil care apar în urma unor crize, iar, în ultimii ani, au existat mai multe situaţii de acest tip la graniţele Uniunii, începând de la revoluţiile din nordul Africii şi până
voxpopuli_ron_002245	20171003-0900-PLENARY-6-ro_20171003-13:44:34_5	Dacă nu le dăm aceste instrumente și nu le creștem, repet, finanțarea și nu le dăm tot ce au nevoie, atunci vom avea și mai mulți morți pentru că știm foarte bine că infracțiunile cibernetice finanțează și terorismul și ajută la spălarea banilor.
voxpopuli_ron_002246	20160607-0900-PLENARY-9-ro_20160607-13:06:20_3	Fără colectarea acestor date, nu se pot adapta normele privind transparența, nici anterior și nici ulterior tranzacțiilor.
voxpopuli_ron_002247	20120522-0900-PLENARY-8-ro_20120522-17:04:17_2	Din păcate, acest pact nu a fost respectat şi s a ajuns la dezechilibre bugetare care au determinat măsuri de austeritate.
voxpopuli_ron_002248	20171026-0900-PLENARY-4-ro_20171026-11:26:58_0	Domnule președinte, domnule comisar, stimați colegi, vreau de la bun început să o felicit pe raportoare, pentru că, pe de o parte, a identificat foarte bine ce trebuie modificat în directivă, este un o propunere echilibrată, da, toți, de la cetățean până la instituțiile naționale și europene, trebuie să fim preocupați de protecția mediului înconjurător.
voxpopuli_ron_002249	20120614-0900-PLENARY-9-ro_20120614-12:56:16_3	Salut prevederile care vizează intoleranţa la gluten, pentru că această intoleranţă a dezvoltat o boală care, din păcate, este prezentă în foarte multe state europene într o proporţie îngrijorătoare, este vorba de celiachie şi acest raport se adresează şi acestei boli, încercând măsuri de combatere
voxpopuli_ron_002250	20181001-0900-PLENARY-ro_20181001-21:57:11_3	Mai mult însă, ele sunt generate și de incapacitatea unor state membre de a înțelege nevoia de a contribui la bugetul Uniunii Europene la un nivel care să îi permită acesteia să facă față noilor provocări, să asigure siguranța și securitatea cetățeanului, un pact sustenabil și o politică de coeziune eficientă. Fără resurse financiare, fermierii nu vor fi capabili să ofere o hrană ieftină și de calitate,
