voxpopuli_deu_000174	20101020-0900-PLENARY-15-de_20101020-21:20:04_13	Ich finde das sehr gut.
voxpopuli_deu_000194	20181022-0900-PLENARY-de_20181022-19:17:37_28	Im Rückblick darf ich Ihnen sagen Ungeachtet einer EU unfreundlichen Politik der Regierung in Ankara kommen die Mittel eins zu eins dort an, wo Flüchtlinge auf Zeit untergebracht sind.
voxpopuli_deu_000195	20150917-0900-PLENARY-3-de_20150917-10:03:56_24	Ich werde diesen Brief veröffentlichen.
voxpopuli_deu_000196	20090915-0900-PLENARY-10-de_20090915-16:05:25_23	Wir wollen ein soziales Europa statt weiterhin radikaler Binnenmarktorientierung.
voxpopuli_deu_000197	20140414-0900-PLENARY-16-de_20140414-20:25:13_2	Nicht immer bedanke ich mich bei der Kommission, aber heute möchte ich mich bei Ihnen, Herr Kommissar, für den Vorschlag, den Sie vorgelegt haben, bedanken.
voxpopuli_deu_000198	20141021-0900-PLENARY-14-de_20141021-20:59:39_6	Denn wenn man weiß, dass der Gerichtshof sein Personal zu 99,5 nutzt, dann hat wohl eine lineare Kürzung über alle sämtlichen anderen Institutionen bei der abatement rate gerade beim EuGH und beim Europäischen Auswärtigen Dienst, angesichts deren Lage keinen sonderlichen Sinn. Wir sind hier nicht diejenigen, die generell viel fordern, aber wir fordern einfach die Einhaltung dessen, was wir eigentlich einmal vor ein paar Monaten miteinander vereinbart haben.
voxpopuli_deu_000199	20181114-0900-PLENARY-de_20181114-17:46:36_1	Wir müssen den Schienenverkehr für die Bürgerinnen und Bürger Europas attraktiver gestalten, ohne die Bahnunternehmen zu überfordern.
voxpopuli_deu_000200	20140225-0900-PLENARY-16-de_20140225-20:16:15_9	Da lassen die Mitgliedstaaten sich auch nicht gerne hineinreden.
voxpopuli_deu_000201	20190404-0900-PLENARY-de_20190404-11:09:52_7	Zur Geschäftsordnung, Frau Kollegin, bitte.
voxpopuli_deu_000202	20090423-0900-PLENARY-3-de_20090423-09:53:40_4	Ob der Patient dann im medizinischen Notfall in der Lage ist, eine Vorabgenehmigung für die Rückerstattung der Kosten für Krankenhausleistungen einzuholen, muss allerdings bezweifelt werden.
voxpopuli_deu_000203	20171113-0900-PLENARY-13-de_20171113-18:38:37_22	Die Mitgliedstaaten haben vier Jahre Zeit, um es umzusetzen.
voxpopuli_deu_000204	20110215-0900-PLENARY-4-de_20110215-10:34:23_2	Der Fahrgast hätte etwa das Recht auf bis zu zwei Hotelübernachtungen, wenn sich die Abfahrt des Linienbusses um mehr als 90 Minuten verzögert.
voxpopuli_deu_000205	20110117-0900-PLENARY-9-de_20110117-18:56:12_10	Deswegen frage ich die Kommission Was wollen Sie und ihre Kollegen tun, damit Lebensmittel wieder mehr Wert erhalten?
voxpopuli_deu_000206	20100921-0900-PLENARY-3-de_20100921-10:30:50_19	Derzeit haben wir mehr als 400 Milliarden Kubikmeter Gasverbrauch.
voxpopuli_deu_000207	20100420-0900-PLENARY-14-de_20100420-22:05:42_6	Der Kompromiss ist nicht unbedingt das, was wir uns letztendlich vorgestellt hatten.
voxpopuli_deu_000208	20131022-0900-PLENARY-6-de_20131022-12:01:19_3	Um klarzustellen, dass wir das nicht meinen, würden wir gerne zwei mündliche Änderungsanträge stellen.
voxpopuli_deu_000209	20140415-0900-PLENARY-6-de_20140415-11:27:13_3	Was wir heute beschließen, ist ein Ziel ohne Ergebnis, denn es wird am Ende von den Mitgliedstaaten in dieser Form nicht umgesetzt werden.
voxpopuli_deu_000210	20181003-0900-PLENARY-de_20181003-09:57:11_5	Das sind Dinge, die schlichtweg inakzeptabel sind.
voxpopuli_deu_000211	20121211-0900-PLENARY-2-de_20121211-09:12:40_2	Schon damals gab es die Forderung, dass wir in Europa ein einheitliches Patentsystem benötigen.
voxpopuli_deu_000212	20150520-0900-PLENARY-11-de_20150520-15:26:42_11	Es geht um massive Eingriffe in die Grundrechte und Grundfreiheiten, und natürlich thematisieren wir das in unserer Entschließung.
voxpopuli_deu_000213	20190403-0900-PLENARY-de_20190403-22:16:55_3	Mit der Überarbeitung dieser Richtlinie werden wir die Sicherheit auf Europas Straßen verbessern und die Anzahl der Verkehrstoten reduzieren.
voxpopuli_deu_000214	20170426-0900-PLENARY-16-de_20170426-20:57:32_4	Der vorliegende Bericht wäre ohne enge Zusammenarbeit mit den relevanten Institutionen und Personen nicht möglich gewesen.
voxpopuli_deu_000215	20111025-0900-PLENARY-14-de_20111025-21:23:02_4	Die Länder, die Sie genannt haben, waren überwiegend Euro Länder. Also haben Sie den Mut und machen Sie einen entsprechenden Vorschlag!
voxpopuli_deu_000216	20131024-0900-PLENARY-3-de_20131024-09:14:02_7	Aber bei den wichtigen Themen, bei den Fragen zur künftigen Frequenzpolitik, Thema Netzneutralität, das sind alles Sachen, da erwarten auch die Bürger von uns ein Signal, dass wir im Parlament hierzu eine Meinung haben.
voxpopuli_deu_000217	20110607-0900-PLENARY-11-de_20110607-19:50:20_7	Ja, wir meinen 2020 wirklich ernst.
voxpopuli_deu_000218	20121121-0900-PLENARY-12-de_20121121-19:49:12_4	300 Projekten vor.
voxpopuli_deu_000219	20111026-0900-PLENARY-15-de_20111026-17:46:05_6	Sowohl innerhalb der EU und ihren Mitgliedstaaten als auch gegenüber Drittstaaten muss diese Beseitigung von Kriminalität und Missbrauchsmaterial an der Quelle erfolgen.
voxpopuli_deu_000220	20130117-0900-PLENARY-4-de_20130117-09:48:34_9	Ich habe die Befürchtung, dass zurzeit diese zweite Möglichkeit im Europäischen Rat dominiert, nicht mehr Europa nach vorne zu bringen, sondern ökonomische Partikularinteressen gelten zu lassen.
voxpopuli_deu_000221	20180702-0900-PLENARY-12-de_20180702-18:14:03_2	Rüstungsgüter sind keine normalen Handelsgüter und sollten außerdem als außen und sicherheitspolitisches Instrument betrachtet werden.
voxpopuli_deu_000222	20110608-0900-PLENARY-3-de_20110608-09:51:39_3	Wir wollen eine nachhaltig integrierte Stadtentwicklung, und wir wollen gut ausgebildete Facharbeiter und Facharbeiterinnen.
voxpopuli_deu_000223	20130205-0900-PLENARY-15-de_20130205-22:41:20_0	Herr Präsident! Die Weltgesundheitsorganisation der Vereinten Nationen hat die Folgen von Lärmemissionen auf die Gesundheit von Menschen untersucht.
voxpopuli_deu_000224	20140417-0900-PLENARY-6-de_20140417-10:15:38_13	Außerdem müssen wir Investoren überhaupt einen Anreiz geben, auch weiterhin in dieses Land zu gehen, weil sie wissen, dass sie, wenn in einem Zweifel die Regierung willkürliche Entscheidungen trifft und die Gerichte leider aufgrund vielleicht politischer Einflussnahmen nicht unabhängig entscheiden können, dann einen Schutzschirm im Rahmen des damit verbundenen Investitionsschutzabkommens haben.
voxpopuli_deu_000225	20130612-0900-PLENARY-4-de_20130612-10:32:49_35	Wir brauchen eine klare Abkehr von der Austeritätspolitik!
voxpopuli_deu_000226	20150608-0900-PLENARY-11-de_20150608-18:37:31_22	Und wir gehen ihn gemeinsam, mit allen Frauen und mit allen Männern in Europa.
voxpopuli_deu_000227	20111024-0900-PLENARY-11-de_20111024-18:48:39_6	Außerdem sollen Vergabebehörden bei Zuschlagserteilung neben dem Preiskriterium verstärkt auch die Qualität der zu beschaffenden Waren und Dienstleistungen berücksichtigen.
voxpopuli_deu_000228	20101124-0900-PLENARY-69-de_20101124-21:15:41_8	In den letzten Tagen hat die Regierung gezeigt, dass die Versammlungsfreiheit funktioniert.
voxpopuli_deu_000229	20111115-0900-PLENARY-10-de_20111115-15:31:49_5	Meiner Meinung nach ist das eben doch auch gemeinschaftlich verschuldet worden, und das Laissez faire gegenüber Märkten, das Laissez faire aus Brüssel gegenüber Defizitländern, aber auch gegenüber den Überschussländern, das fällt schon auch in Ihre Verantwortung.
voxpopuli_deu_000230	20170613-0900-PLENARY-13-de_20170613-15:24:30_17	Und was heißt das eigentlich?
voxpopuli_deu_000231	20191021-0900-PLENARY-de_20191021-20:33:35_4	Wir müssen endlich in die dauerhafte Finanzierung von zivilgesellschaftlicher Arbeit gegen Menschenfeindlichkeit, in Interventionsprogramme zur Deradikalisierung im Netz, in die konsequente Verfolgung von Hasskriminalität
voxpopuli_deu_000232	20151111-0900-PLENARY-8-de_20151111-15:45:28_3	2020 ernüchternd ist Die Arbeitslosigkeit ist weiterhin hoch 9,8 in Europa, das wissen wir aus der Herbstprognose der Kommission die Investitionen in Forschung und Entwicklung sind zu niedrig und auch bei der Armutsbekämpfung ist man nicht wirklich weitergekommen, hier war das Ziel der 2020 Strategie, die Anzahl der von Armut bedrohten Personen auf knapp unter 100 Millionen zu senken.
voxpopuli_deu_000233	20140226-0900-PLENARY-3-de_20140226-09:00:45_1	Als Ko Berichterstatter zu diesem Thema im IMCO bin ich ganz anderer Meinung als meine Ko Berichterstatterin, die gerade eben gesprochen hat.
voxpopuli_deu_000234	20141124-0900-PLENARY-13-de_20141124-18:52:23_5	Über 800 Millionen Menschen leiden tagtäglich Hunger.
voxpopuli_deu_000235	20120912-0900-PLENARY-3-de_20120912-10:51:48_26	Ich sage Ihnen, Herr Barroso Sie können doch hier nicht erklären, wie wichtig Ihnen die Menschen und ihre soziale Lage in der Europäischen Union sind, wenn zugleich die Kommission als Bestandteil der Troika in Griechenland wesentlich mit dafür verantwortlich ist, dass Bedingungen gestellt wurden, die sich gerade auf die soziale Lage der Schwächsten auswirken!
voxpopuli_deu_000236	20160912-0900-PLENARY-17-de_20160912-19:53:03_5	Und es ist doch absurd, mit dem Einfrieren von Strukturfondsmitteln zu drohen, wenn Länder wie Portugal oder Spanien sowieso kaum Investitionsspielraum haben.
voxpopuli_deu_000237	20151006-0900-PLENARY-12-de_20151006-17:33:42_1	Es ist ja heute und auch in den letzten Tagen viel vom Betrug durch VW die Rede gewesen.
voxpopuli_deu_000238	20170426-0900-PLENARY-19-de_20170426-23:57:23_24	In dem Bericht ist auch noch eine klare Ansage an die EU Agrarpolitik in der Zukunft.
voxpopuli_deu_000239	20181001-0900-PLENARY-de_20181001-18:22:47_19	Die EVP hat noch einige Änderungsanträge, die sie vorlegen möchte, und da bitte ich um Unterstützung.
voxpopuli_deu_000240	20100908-0900-PLENARY-7-de_20100908-10:48:24_16	Das ist auch gut so.
voxpopuli_deu_000241	20190917-0900-PLENARY-de_20190917-17:51:54_2	Der Hauptgrund ist unser maßloser Fleischkonsum, für den diese Weide und Ackerflächen gerodet werden.
voxpopuli_deu_000242	20141125-0900-PLENARY-4-de_20141125-10:35:41_1	Wir reden heute über die Strategie 2020 zur Bekämpfung der Arbeitslosigkeit, einen Zehnjahresplan.
voxpopuli_deu_000243	20191217-0900-PLENARY-de_20191217-18:30:54_2	Es gibt nämlich keine Obergrenze wie bei einem echten Emissionshandel sondern die Basis sind die nationalen Klimapläne.
voxpopuli_deu_000244	20110216-0900-PLENARY-12-de_20110216-16:08:57_8	Nur so kann es gelingen, den Ärmsten Nahrung zu geben und ihre wirtschaftliche Situation zu verbessern. Damit wir uns richtig verstehen Angemessene Preise für landwirtschaftliche Rohstoffe sind nicht das Problem, sondern sie stellen die Lösung des Problems dar.
