voxpopuli_lit_001755	20180419-0900-PLENARY-5-lt_20180419-10:29:07_4	Ar Komisija yra garantuota, kad pasirinkta vieta saugi veikti branduolinei jėgainei?
voxpopuli_lit_001768	20140205-0900-PLENARY-11-lt_20140205-15:57:18_5	Tai turėtų būti nediskutuojama sąlyga, kurios įgyvendinimas suteiktų progą rengtis referendumui ir naujiems rinkimams, kuriuose stebėtojų misiją galėtų atlikti Europos saugumo ir bendradarbiavimo organizacija.
voxpopuli_lit_001769	20180419-0900-PLENARY-5-lt_20180419-10:27:43_5	Derybose dėl partnerystės prioritetų svarbu nepadaryti tos pačios klaidos, bent jau nekartokime.
voxpopuli_lit_001770	20150310-0900-PLENARY-17-lt_20150310-17:53:26_5	Manau, kad turime užtikrinti, jog finansinė parama būtų skiriama ir toms valstybėms, kurios yra arčiausiai Europos Sąjungos sienų ir epidemijos židinių.
voxpopuli_lit_001771	20140114-0900-PLENARY-3-lt_20140114-10:36:31_3	Dabar turime atsižvelgti į didžiųjų veikėjų žaidimus, turime nepalikti Ukrainos žmonių vienų.
voxpopuli_lit_001772	20140205-0900-PLENARY-11-lt_20140205-15:57:18_4	Tačiau pirmutinis tikslas šiandien yra įtikinti visas konfrontuojančias šalis nutraukti provokacijas ir smurtą, asmenų sulaikymus ir pastatų užėmimus.
voxpopuli_lit_001773	20140114-0900-PLENARY-3-lt_20140114-10:36:31_6	Noriu pabrėžti, reaguodama į kai kurių kolegų pasisakymus, kad Lietuvoje tautinių mažumų teisės pilnai atitinka tarptautinius susitarimus.
voxpopuli_lit_001774	20150527-0900-PLENARY-15-lt_20150527-22:23:56_4	Atsižvelgiant į šiandieninę situaciją, tiesiog būtina suteikti galimybę valstybėms daugiau reguliuoti žaliavinio pieno rinką arba imtis atsakomybės Europos Sąjungos mastu taikyti reguliacines priemones.
voxpopuli_lit_001775	20140114-0900-PLENARY-3-lt_20140114-10:36:31_2	Vilniaus susitikimas buvo labai reikšmingas stiprinant ryšius su Rytų partnerystės šalimis.
voxpopuli_lit_001776	20190403-0900-PLENARY-lt_20190403-18:15:39_3	Taip pat ir toliau privalėsime stebėti ir užtikrinti, kad Nord Stream 2 vystytojai laikytųsi teisės aktuose numatytų reikalavimų.
voxpopuli_lit_001777	20140114-0900-PLENARY-3-lt_20140114-09:52:57_1	Ir antras dalykas jūs ko gero gerai žinote, kad Lietuvoje valstybinė kalba yra lietuvių kalba, ir tos baudos, kurios buvo skirtos, jos susiakumuliavo į tokią sumą, kurią jūs buvot minėjęs.
voxpopuli_lit_001778	20180419-0900-PLENARY-5-lt_20180419-10:27:43_4	Prieš dvejus metus, atšaukus dalį sankcijų, buvo nusiųstas neteisingas signalas Minskui.
voxpopuli_lit_001779	20150415-0900-PLENARY-11-lt_20150415-17:39:15_2	Tačiau nepaisant skausmingų mūsų istorijų, tautų kančios ir išdraskytų šeimų tragedijų, yra labai svarbu atsiminti praeitį tokią, kokia ji buvo iš tikrųjų.
voxpopuli_lit_001780	20140205-0900-PLENARY-11-lt_20140205-15:57:18_2	Taip pat reikia pripažinti, kad ir pati Ukraina tų namų darbų nepadarė taip, kad diskusijos dėl partnerystės būtų pasibaigusios sutarties pasirašymu. Šiandien nei sankcijos, nei politikų vizitai į Kijevą šios problemos neišspręs.
voxpopuli_lit_001781	20180419-0900-PLENARY-5-lt_20180419-10:29:07_3	Mano klausimas Komisijai Žinome, kad stress testų procesas nevertina aikštelės saugumo.
voxpopuli_lit_001782	20180419-0900-PLENARY-5-lt_20180419-10:27:43_6	Santykiai su Baltarusija negali remtis vien tik kai kurių suinteresuotų pusių noru suteikti mikrofinansinę pagalbą ar plėtoti prekybą.
voxpopuli_lit_001783	20140114-0900-PLENARY-3-lt_20140114-10:36:31_13	Todėl labai noriu padėkoti visai Lietuvos komandai, labai noriu padėkoti kolegoms Europos Parlamento nariams ir tikiuosi, kad turėsime ateityje daug progų bendradarbiauti ir gražiai sutarti dėl mums visiems rūpimų klausimų.
voxpopuli_lit_001784	20180419-0900-PLENARY-5-lt_20180419-10:27:43_1	Tos pačios esminės problemos buvo ir lieka nesprendžiamos. Pastarieji savivaldos, taip vadinami, rinkimai, eilinį kartą suklastoti.
voxpopuli_lit_001785	20140114-0900-PLENARY-3-lt_20140114-09:53:34_6	Bet po dvidešimties metų buvo panaikintas šitas įstatymas ir dabar yra taip, kaip yra.
voxpopuli_lit_001786	20140114-0900-PLENARY-3-lt_20140114-09:53:34_1	Taip, aš sakiau, kad kalbu ECR frakcijos vardu, tai yra mūsų frakcijos nuomonė, kadangi mūsų frakcijos vienas iš autoritetų buvusi Britanijos premjerė Margaret Thatcher būtent ir kovojo už tokią Europą, kurios mes šiandien norime ir, deja, kurios dar nėra mano valstybėje, kadangi
voxpopuli_lit_001787	20140114-0900-PLENARY-3-lt_20140114-10:36:31_9	Todėl prašau nebeklaidinti kolegų ir nevelti jų į politinius žaidimus.
voxpopuli_lit_001788	20150415-0900-PLENARY-11-lt_20150415-17:39:15_3	Tik sakydami sau tiesą ir pripažindami savo praeitį galėsime tvirtai žvelgti į ateitį ir siekti susitaikymo.
voxpopuli_lit_001789	20190403-0900-PLENARY-lt_20190403-18:15:39_1	Nors ši direktyva nesustabdys kontroversiškiausio energetikos projekto Europoje, bet ji tikrai pažabos šio projekto neigiamas pasekmes Europos Sąjungos vidaus rinkai, energetiniam ir geopolitiniam saugumui.
voxpopuli_lit_001790	20180419-0900-PLENARY-5-lt_20180419-10:29:07_1	yra grėsmė visiems Europos piliečiams, nes statoma pažeidžiant tarptautines konvencijas ir saugumo reikalavimus.
voxpopuli_lit_001791	20140114-0900-PLENARY-3-lt_20140114-10:36:31_8	Niekur pasaulyje, konkrečiai kalbant apie lenkų tautinę mažumą, neturi lenkų mažuma tiek teisių ir sąlygų puoselėti savo kultūrą, socialinį ir visą kitą gyvenimą.
voxpopuli_lit_001792	20150310-0900-PLENARY-17-lt_20150310-17:53:26_9	Tik mūsų bendros pastangos, teisingi prioritetai tai mūsų sėkmės garantas kovoje su epidemija.
voxpopuli_lit_001793	20190403-0900-PLENARY-lt_20190403-18:15:39_4	Tačiau ši direktyva yra didžiulis Europos solidarumo pergalės pavyzdys.
voxpopuli_lit_001794	20140205-0900-PLENARY-11-lt_20140205-15:57:18_3	Pripažindami tautų apsisprendimo teisę privalome pasiekti, kad dėl valstybės narystės vienoje ar kitoje Sąjungoje referendume pasisakytų patys Ukrainos žmonės.
voxpopuli_lit_001795	20140114-0900-PLENARY-3-lt_20140114-10:36:31_10	Prieš 23 metus sausio 13 ąją Lietuvos žmonės stovėjo prie Parlamento gindami beginkliai su daina ir su tvirtu tikėjimu.
