voxpopuli_lit_006176	20191125-0900-PLENARY-lt_20191125-21:49:02_7	Deja, didžioji dauguma nuteistų kaltininkų slapstosi Rusijoje ir Baltarusijoje.
voxpopuli_lit_006189	20150311-0900-PLENARY-3-lt_20150311-10:28:06_0	Pone pirmininke, kolegos, prieš tris savaitės Europos Komisija iškilmingai paskelbė apie Energetikos sąjungos sukūrimą.
voxpopuli_lit_006190	20191113-0900-PLENARY-lt_20191113-21:00:19_3	Todėl mūsų pareiga Europos Parlamente ir mūsų Europos Komisijoje stebėti situaciją ir daryti įtaką, kad šitų žmonių gyvybės būtų apsaugotos ir kad jų reikalavimai būtų įvykdomi.
voxpopuli_lit_006191	20150519-0900-PLENARY-17-lt_20150519-22:58:50_9	Žmonių tiesiogiai išrinkta institucija jokiu būdu negali būti nušalinta nuo teisės aktų įgyvendinimo stebėsenos, tai tikrai neatitinka demokratijos principų.
voxpopuli_lit_006192	20190918-0900-PLENARY-lt_20190918-18:34:46_8	Sukurti taiką pavyko dėl glaudaus bendradarbiavimo ir galimybės kiekvienai valstybei narei lygiaverčiai dalyvauti sprendimų priėmimo procese.
voxpopuli_lit_006193	20190918-0900-PLENARY-lt_20190918-18:30:17_0	Gerbiama Pirmininke, gerbiama Ministre, gerbiamas Komisare, mieli kolegos, istorinė atmintis yra mūsų bendros stiprios Europos pagrindas.
voxpopuli_lit_006194	20140204-0900-PLENARY-15-lt_20140204-17:14:36_11	21 d. balsavime, ir raginu kolegas atmesti visas naujas pataisas.
voxpopuli_lit_006195	20150519-0900-PLENARY-17-lt_20150519-22:58:50_4	Kitas svarbus šiandienos klausimas yra Jungtinių Tautų neįgaliųjų konvencijos įgyvendinimo priežiūra.
voxpopuli_lit_006196	20150520-0900-PLENARY-23-lt_20150520-20:25:47_7	Todėl kviečiu visus investuoti į Rytų partnerystės šalių žmones perduodant Europos pamatinių idėjų stiprybę.
voxpopuli_lit_006197	20140114-0900-PLENARY-3-lt_20140114-09:49:11_3	Lietuva užsibrėžė ambicingą tikslą užtikrinti nuoseklumą priimant sprendimus, todėl ES darbotvarkėje buvo suplanuota daugiau negu 500 teisės aktų užklausimų.
voxpopuli_lit_006198	20151008-0900-PLENARY-3-lt_20151008-08:42:38_5	Ir moterys dažniausiai dirba tuose sektoriuose, kuriuose yra mažesni atlyginimai, nelegalūs darbai, darbai be garantijų, kaip antai darbas namų ūkiuose, auklės, sergančių žmonių priežiūra.
voxpopuli_lit_006199	20151028-0900-PLENARY-15-lt_20151028-21:03:06_3	Ilgalaikio nedarbo mes neįveiksime, jei kantriai ir nuosekliai nedirbsime su kiekvienu bedarbiu individualiai, nes šie žmonės yra praradę bet kokią motyvaciją dirbti, praradę profesinius gebėjimus, todėl į juos reikia ypatingai daug investuoti.
voxpopuli_lit_006200	20140114-0900-PLENARY-3-lt_20140114-09:49:11_8	Deja, bet pastarieji skandalingi įvykiai Lietuvoje, nukreipti prieš tautines mažumas, paliko blogą įspūdį ir tapo lyg deguto šaukštas Lietuvos pirmininkavimo medaus statinėje.
voxpopuli_lit_006201	20140114-0900-PLENARY-3-lt_20140114-09:49:11_2	Tarp Lietuvos pirmininkavimo prioritetų galima išvardinti energetinį saugumą, Rytų partnerystę, išorinių ES sienų stiprinimą, Baltijos jūros regiono valstybių bendradarbiavimą.
voxpopuli_lit_006202	20150519-0900-PLENARY-17-lt_20150519-22:58:50_6	Europos Parlamentas, tiesiogiai mūsų žmonių išrinkta institucija, nėra tinkamai ir oficialiai įtraukta į ataskaitų rengimą ir konvencijos įgyvendinimo stebėseną.
voxpopuli_lit_006203	20190403-0900-PLENARY-lt_20190403-16:29:54_14	Šiandieninė Europos Sąjungos politika tėra tuščia forma be visuomenės turtinančio ir jas apsaugančio turinio.
voxpopuli_lit_006204	20191125-0900-PLENARY-lt_20191125-22:01:30_3	Tai mūsų tautos sumokėta kaina už laisvę ir išsivadavimą iš prievartinės sovietinės okupacijos.
voxpopuli_lit_006205	20191125-0900-PLENARY-lt_20191125-21:49:02_0	Posėdžio Pirmininke, gerbiama Suomijos atstove, Komisijos atstove, kolegos, praėjus beveik 30 čiai metų po Lietuvos išsivadavimo iš Sovietų Sąjungos okupacijos gniaužtų
voxpopuli_lit_006206	20150325-0900-PLENARY-15-lt_20150325-21:28:17_3	Ir visi puikiai žinojo kokia skirtinga ekonominė situacija, skirtinga mokesčių sistema ir taip yra skirtingas minimalus atlyginimas.
voxpopuli_lit_006207	20191128-0900-PLENARY-lt_20191128-13:15:46_1	Mūsų vertybės, įstatymo viršenybė, svarbūs ne tik Lietuvai, bet ir visai Europos Sąjungai.
voxpopuli_lit_006208	20191113-0900-PLENARY-lt_20191113-21:00:19_2	Žmonės, kurie išėjo reikalauti savo teisių, reikalauti socialinių garantijų, reikalauti konstitucinių pataisų, reikalauti ekologinių dalykų.
voxpopuli_lit_006209	20190213-0900-PLENARY-lt_20190213-19:28:36_5	Visose šalyse turi būti tikrinamos užsienio investicijos į tokius sektorius kaip energetika, komunikacijos, transportas turiu galvoje jūrų ir oro uostai, geležinkeliai ir medijos.
voxpopuli_lit_006210	20150415-0900-PLENARY-14-lt_20150415-19:25:54_8	Pritaikykime pastatus, įrengime tinkamas darbo vietas, informuokime neįgaliųjų organizacijas visose šalyse narėse apie mūsų atliktus darbus, leiskime neįgaliesiems atvykti ir įsitikinti pokyčiais, sukurkime pozityviai diskriminuojančias kandidatui į laisvas darbo vietas vertinimo sistemas ir užsitikrinsime pokyčius.
voxpopuli_lit_006211	20151111-0900-PLENARY-17-lt_20151111-23:44:26_3	Kviečiu kolegas ir kitų institucijų atstovus nelikti abejingais pieno sektoriui ir veikti sparčiau, siekiant priimti efektyvius sprendimus.
voxpopuli_lit_006212	20140113-0900-PLENARY-21-lt_20140113-22:20:25_3	Dėl to labiausiai nukentėjo pažeidžiami žmonės, kai kurie jų atsidūrė už skurdo ribos.
voxpopuli_lit_006213	20150706-0900-PLENARY-12-lt_20150706-21:50:16_4	Ir manau, kad jeigu nenorime reguliuoti Europos mastu, tai turime, kuo greičiau suteikti galimybę valstybėms narėms tai padaryti.
voxpopuli_lit_006214	20191125-0900-PLENARY-lt_20191125-21:50:59_2	Kremlius taip įprato manipuliuoti Rusijos teisine sistema, kad negali suvokti, jog teismai demokratinėse valstybėse yra nepriklausomi.
voxpopuli_lit_006215	20150519-0900-PLENARY-7-lt_20150519-13:00:12_3	Visiškai pritariu, kad būtina laipsniškai atsisakyti profilaktinio antibiotikų naudojimo gyvulininkystėje, daugiau dėmesio skiriant ligų prevencijai ir higienai.
voxpopuli_lit_006216	20191217-0900-PLENARY-lt_20191217-17:09:28_5	m., mes privalome užtikrinti tinkamą šio prieinamumo akto nuostatų perkėlimą ir realų įgyvendinimą valstybėse narėse.
voxpopuli_lit_006217	20190327-0900-PLENARY-lt_20190327-10:08:10_8	Tik kietas pasipriešinimas tokiai politikai, tik kontrglobalizmas gali pakeisti padėtį.
voxpopuli_lit_006218	20150519-0900-PLENARY-7-lt_20150519-13:00:12_5	Būtina remti informacines kampanijas, skirtas ūkininkams. Taip pat manau, kad antibiotikų pardavimas ir platinimas žmonėms turi būti griežtinimas.
voxpopuli_lit_006219	20151006-0900-PLENARY-18-lt_20151006-22:37:43_1	Juo aiškiai įvardijama teisės aktų hierarchija ir kazeino rinka suderinama su Maisto kodeksu.
voxpopuli_lit_006220	20190327-0900-PLENARY-lt_20190327-12:30:52_4	Tačiau jeigu ir bus priimtas sprendimas, norėčiau, kad būtų pasidomėta, ar tie vairuotojai, kurie yra perimti iš tokių šalių kaip Lietuva, Estija, Latvija, iš mažų šalių, ir įdarbinti užsienio kompanijose Vokietijoje, Olandijoje ir taip toliau, ar jiems yra mokamos toks pat atlyginimas, kaip ir tų šalių piliečiams už tą patį darbą, ar jie per savaitę sugrįžta pas savo šeimas,
voxpopuli_lit_006221	20190918-0900-PLENARY-lt_20190918-18:28:23_2	Gimusi okupuotoje Lietuvoje, nebūčiau patikėjusi, kad kada nors stovėsiu šioje salėje kaip Europos Parlamento narė.
voxpopuli_lit_006222	20191125-0900-PLENARY-lt_20191125-21:47:32_0	Mieli kolegos, įstatymo viršenybė, teismų nepriklausomumas tai mūsų Europos Parlamento, Europos Sąjungos vertybės.
voxpopuli_lit_006223	20190919-0900-PLENARY-lt_20190919-12:32:53_1	Mes čia, atstovaudami Europos žmones, turime viltį sukurti geresnę Europą, bet tai nėra nieko naujo.
voxpopuli_lit_006224	20150325-0900-PLENARY-15-lt_20150325-21:28:17_5	Bet kalba yra apie tai, kad Vokietija, iš tikrųjų įvesdama šitą įstatymą, stengiasi nukonkuruoti kitų valstybių vežėjus, kad atsirastų laisvesnė rinka, kad jie galėtų ją užimti.
voxpopuli_lit_006225	20150311-0900-PLENARY-3-lt_20150311-10:28:06_5	Šiuo klausimu vienu balsu kalbanti Europos Sąjunga labai gerai.
voxpopuli_lit_006226	20191022-0900-PLENARY-lt_20191022-19:35:59_1	Bet kodėl vienuolika metų antidiskriminacinė direktyva nepajudėjo į priekį?
voxpopuli_lit_006227	20191125-0900-PLENARY-lt_20191125-21:49:02_2	Tačiau ši karta puikiai žino Lietuvos kelią į laisvę ir nepriklausomybę, o svarbiausia laisvės kainą. Kiekvieną sausio 13 osios rytą pamokos Lietuvos mokyklose pradedamos uždegant atminimo žvakutes pagerbiant tuos, kurie 1991
voxpopuli_lit_006228	20191126-0900-PLENARY-lt_20191126-11:17:28_3	Privalome užtikrinti jog būtų suteiktas finansavimas padėtį labiausiai pateikiamos socialinėms grupėms, ypač akcentuoju vaikus, kurie yra mūsų investicija į ateitį.
voxpopuli_lit_006229	20190212-0900-PLENARY-lt_20190212-21:39:51_2	Ar kad vyriausybėms trūksta politinės valios ratifikuoti šį svarbų tarptautinį dokumentą?
voxpopuli_lit_006230	20150309-0900-PLENARY-13-lt_20150309-22:51:26_7	Todėl, gerbiama komisare, aš tikiuosi, kad iš tikrųjų šitas klausimas bus pakeltas į aukštesnį politinį lygį.
voxpopuli_lit_006231	20191217-0900-PLENARY-lt_20191217-21:28:01_7	Todėl mes turime priversti laikytis nustatytų mūsų standartų.
voxpopuli_lit_006232	20190403-0900-PLENARY-lt_20190403-16:29:54_5	Kodėl Švedijoje registruotas ir ne vienoje Europos Sąjungos šalyje veikiantis bankas sėkmingai išplauna milijardus eurų ir jokios reakcijos?
voxpopuli_lit_006233	20140114-0900-PLENARY-9-lt_20140114-15:35:27_3	Šių direktyvų peržiūra padėjome naujus ir teisingesnius pagrindus skaidresnių viešųjų pirkimų procedūroms ateityje.
voxpopuli_lit_006234	20190417-0900-PLENARY-lt_20190417-12:24:55_8	Ir iš viso, sėkmės Jums, ateityje politikoje ir visuose kituose Jūsų asmeniniuose dalykuose.
voxpopuli_lit_006235	20140113-0900-PLENARY-19-lt_20140113-21:57:35_1	Visiškai sutinku, jog nacionalinės darbo inspekcijos ir kitos atitinkamos institucijos turėtų parengti kovos su nedeklaruojamu darbu veiksmų planus, nes tik taip galėsime užtikrinti socialinę darbuotojų apsaugą.
voxpopuli_lit_006236	20140113-0900-PLENARY-19-lt_20140113-21:57:35_3	Taigi valstybės narės turėtų daug aktyviau kovoti su mažų garantijų darbu bei su fiktyviu darbu ne visą darbo laiką.
voxpopuli_lit_006237	20150325-0900-PLENARY-15-lt_20150325-21:45:48_0	Manau, kad pakankamai jau buvo šitas klausimas išaiškintas ir išstudijuotas iš visų pusių.
voxpopuli_lit_006238	20150908-0900-PLENARY-15-lt_20150908-19:25:50_3	Kvalifikacija, patirtis, išmintis, lojalumas darbdaviui yra tos didžiulės vertybės, todėl mes turime skatinti darbdavius priimti ir išlaikyti darbo rinkoje vyresnio amžiaus darbuotojus, padėti jiems kelti kvalifikaciją, pritaikyti jiems darbo sąlygas.
voxpopuli_lit_006239	20191217-0900-PLENARY-lt_20191217-22:09:06_1	Skaitmeninės sveikatos priežiūros sistema suteikia galimybės plėtoti dirbtinio intelekto bei kompiuterinio mokymosi panaudojimą. Naujos technologijos pritaikytos sveikatos priežiūros sistemai gali padėti geriau suprasti sunkiai pagydomas ligas bei kitus sveikatos sutrikimus.
voxpopuli_lit_006240	20191022-0900-PLENARY-lt_20191022-19:35:59_5	Taigi labai tikimės, ypač iš naujosios Komisijos, daug aktyvesnio bendradarbiavimo su valstybėmis narėmis, siekiant rasti kuo skubesnį susitarimą dėl šios direktyvos priėmimo.
voxpopuli_lit_006241	20150311-0900-PLENARY-3-lt_20150311-10:28:06_6	Tos vienybės ne tik energetikoj šiandien reikia kaip taikos.
voxpopuli_lit_006242	20150519-0900-PLENARY-17-lt_20150519-22:58:50_7	Taip, Komisija pagal Konvencijos 33 straipsnį yra įvardinta kaip pagrindinė institucija, paskirta atsakyti į Neįgaliųjų komiteto klausimų sąrašą.
voxpopuli_lit_006243	20191022-0900-PLENARY-lt_20191022-19:35:59_3	Deja, bet kol kas direktyva nepajudėjo iš mirties taško.
voxpopuli_lit_006244	20150309-0900-PLENARY-13-lt_20150309-22:58:50_4	Raginu Komisiją kompensuoti Baltijos šalių vežėjų patirtus nuostolius ir prašau Vokietiją, Belgiją ir Prancūziją atšaukti konkurenciją iškreipiančius teisės aktus.
voxpopuli_lit_006245	20191126-0900-PLENARY-lt_20191126-11:17:28_1	Ir jis tikrai nebus lengvas, nes reikės sugebėti rasti pusiausvyrą tarp tradicinių prioritetų taip kaip žemės ūkis, sanglaudos politika bei tarp sudėtingų naujų iššūkių klimato kaita, skaitmenizacija, perėjimas prie švarios energijos. Todėl itin svarbu ieškoti racionalių sprendimų plečiant nuosavų išteklių šaltinius.
voxpopuli_lit_006246	20190403-0900-PLENARY-lt_20190403-16:29:54_15	Tai tik tezių rinkinys, pridengtas įmantriais žodžiais apie subsidiarumą, teisės viršenybę, pagalbą mažiau pažengusiems šalims, laisvąją rinką.
voxpopuli_lit_006247	20191128-0900-PLENARY-lt_20191128-12:51:52_3	Tam reikia Europos lyderystės, Europos lyderystės reikia mūsų žmonėms, reikia ir mūsų kaimynams pietuose, Afrikoje ir Rytų partnerystės šalyse.
voxpopuli_lit_006248	20191128-0900-PLENARY-lt_20191128-12:51:52_4	Tik dirbdami kartu Europos Parlamentas ir Komisija, mes galėsime pasiekti rezultatų, kuriais pateisinsime Europos žmonių lūkesčius ir galėsime jaustis teisingai tarnavę Europos žmonėms.
voxpopuli_lit_006249	20150325-0900-PLENARY-15-lt_20150325-21:45:48_2	O Komisija, manau, šiuo atveju turi atsiimti savo teisę, atsistatyti savo teises, siųsti Vokietijai aiškų signalą, kad Vokietija peržengė savo įgaliojimus ir Vokietija turi tuoj pat stabdyti taikymą kitoms šalims, juos taikyti tik tai savo šaliai.
voxpopuli_lit_006250	20150706-0900-PLENARY-12-lt_20150706-21:50:16_3	Tai yra visiškai netoleruotini dalykai.
voxpopuli_lit_006251	20151008-0900-PLENARY-3-lt_20151008-08:42:38_1	Taigi, reikėtų skubiai peržiūrėti šią direktyvą, nes mes iš tikrųjų privalome spręsti ilgametę problemą dėl nevienodų moterų ir vyrų atlyginimų už tą patį darbą.
voxpopuli_lit_006252	20190327-0900-PLENARY-lt_20190327-12:29:38_0	Gerbiama pirmininke, aš noriu padėkoti visiems pranešėjams už darbą. Tačiau turiu pasakyti ir kitą. Kolegos, kompromiso mums nepavyko pasiekti.
voxpopuli_lit_006253	20150908-0900-PLENARY-15-lt_20150908-19:25:50_2	Tai dar kartą patvirtino, jog vyresni žmonės tikrai yra ne našta ekonomikai ir visuomenei, o turtas, pirmiausia, dėl savo patirties, dėl savo pasiekimų, dėl savo žinių.
voxpopuli_lit_006254	20140204-0900-PLENARY-15-lt_20140204-17:14:36_1	Fjellner, šio svarbaus pranešimo autoriui, už bendradarbiavimą ir pastangas siekiant daugumai priimtino kompromiso.
voxpopuli_lit_006255	20150908-0900-PLENARY-15-lt_20150908-19:25:50_11	Būtina vertinti Europos Sąjungos darbo rinkos situaciją ir pagaliau fizines žmogaus galimybes kuo ilgiau išlikti darbo rinkoje.
voxpopuli_lit_006256	20140113-0900-PLENARY-21-lt_20140113-22:20:25_1	Ypatingai svarbu diskutuoti šia tema Europos Sąjungos lygiu, nes ekonominė krizė buvo nelengvas išbandymas socialinės apsaugos sistemų tvarumui.
voxpopuli_lit_006257	20191113-0900-PLENARY-lt_20191113-21:00:19_1	Bet mes šiandien negalime leisti, kad Čilėje žūtų civiliai žmonės.
voxpopuli_lit_006258	20150520-0900-PLENARY-23-lt_20150520-20:25:47_6	Šiandien daug šnekame apie būtinas reformas Rytų partnerystės šalyse, tačiau jos turi tapti ne tik priemone tapti Europos Sąjungos narėmis, bet ir pačių Gruzijos, Ukrainos, Moldovos žmonių siekiu, kuris padės jiems paties užsitikrinti gerovę.
voxpopuli_lit_006259	20140205-0900-PLENARY-11-lt_20140205-16:18:13_0	Mes ir vėl svarstome padėtį Ukrainoje, nes būti akli ir kurti tam, kas vyksta mūsų kaimyninėje šalyje, mes jau negalime.
voxpopuli_lit_006260	20151006-0900-PLENARY-18-lt_20151006-22:37:43_3	Nors svarstomas dokumentas yra skirtas produktams, nenumatytiems parduoti galutiniams vartotojams, būtina pasiekti, kad visoje maisto grandinėje būtų aiškiai atsekama informacija apie sudedamąsias dalis ir ypač apie alergenus.
voxpopuli_lit_006261	20150415-0900-PLENARY-14-lt_20150415-19:31:26_1	Tačiau, nepaisant to, jog yra priimta daugybė konvencijų, direktyvų, strategijų, pagal kurias draudžiama bet kokia neįgaliųjų diskriminacija, užimtumo srityje, neįgaliems žmonėms vis tiek mes dar nesuteikiame pakankamai galimybių dirbti.
voxpopuli_lit_006262	20150519-0900-PLENARY-17-lt_20150519-22:58:50_3	To laukia 80 milijonų Europos Sąjungos piliečių.
voxpopuli_lit_006263	20150908-0900-PLENARY-3-lt_20150908-10:47:49_4	Irgi ne, mes žinome, kad gyvūnų klonavimo pasekmė yra dar didesnės kančios gyvūnams, nei buvo iki šiol.
voxpopuli_lit_006264	20190312-0900-PLENARY-lt_20190312-11:16:36_14	Reikia tartis, o ne valdyti.
voxpopuli_lit_006265	20150908-0900-PLENARY-15-lt_20150908-19:25:50_10	Ir baigdama noriu pasakyti tikrai neprotinga pensinį amžių sieti vien tik su gyvenimo trukmės ilgėjimu.
voxpopuli_lit_006266	20151006-0900-PLENARY-18-lt_20151006-22:37:43_6	Todėl naudodamasis proga norėčiau priminti ir dar kartą paraginti Komisiją, kartu su valstybėmis narėmis ir pieno gamintojų organizacijomis ieškotų ilgalaikių, subalansuotų pieno krizės sprendimų.
voxpopuli_lit_006267	20190213-0900-PLENARY-lt_20190213-19:28:36_6	Europos Komisija ir Europos Parlamentas dėl patikros mechanizmo būtinumo yra vieningi.
voxpopuli_lit_006268	20190417-0900-PLENARY-lt_20190417-12:24:55_2	Aš šiandieną nieko neklausiu, taip pat kaip ir nemažai mano kolegų.
voxpopuli_lit_006269	20190213-0900-PLENARY-lt_20190213-19:28:36_1	ES politika Kinijos atžvilgiu visada buvo ir yra atvira, geranoriška ir nuosekli.
voxpopuli_lit_006270	20190919-0900-PLENARY-lt_20190919-12:32:53_2	Tokias pat viltis turėjo prieš aštuoniasdešimt metų ir mūsų tėvai bei seneliai.
voxpopuli_lit_006271	20150518-0900-PLENARY-21-lt_20150518-22:46:48_0	Reikia pripažinti, kad smulkios ir vidutinės įmonės jau dabar teikia paslaugas, prisidedančias prie ekologiškai tvarios ekonomikos augimo.
voxpopuli_lit_006272	20190327-0900-PLENARY-lt_20190327-12:30:52_5	ar jie gyvena Vokietijoje, taip pat viešbučiuose ir panašiai.
voxpopuli_lit_006273	20191126-0900-PLENARY-lt_20191126-11:17:28_6	Privalome investuoti į jaunimą, kad jie turėtų galimybę mokytis, dirbti ir užsidirbti.
voxpopuli_lit_006274	20140114-0900-PLENARY-3-lt_20140114-09:49:11_1	Su pasitenkinimu ir malonumu kalbėdamas ECR frakcijos vardu noriu pabrėžti, kad Lietuvos pirmininkavimas buvo aukšto lygio ir praėjo sėkmingai.
voxpopuli_lit_006275	20140114-0900-PLENARY-3-lt_20140114-10:03:41_3	Iš jų noriu pasidžiaugt pasiektais susitarimais dėl Europos socialinio fondo, Europos globalizacijos fondo, Paramos labiausiai skurstantiems fondo, nes visi šie fondai prisideda prie mūsų žmonių gerovės skatinimo ir yra skirti nuo krizės nukentėjusiems žmonėms.
voxpopuli_lit_006276	20150310-0900-PLENARY-16-lt_20150310-16:53:55_4	dėl Europos Sąjungos sukčiavimo ir pažeidimų neteko 2 milijardų eurų, o iš valstybių narių susigrąžinama tik 24 proc.
voxpopuli_lit_006277	20140114-0900-PLENARY-3-lt_20140114-09:49:11_4	Visgi svarbiausiu Lietuvos pirmininkavimo pasiekimu buvo, be abejo, susitarimas su Europos Parlamentu dėl daugiamečio ES biudžeto, skirto nuo 2014 m.
voxpopuli_lit_006278	20150518-0900-PLENARY-21-lt_20150518-22:46:48_4	Tiek neformalūs tinklai, tiek steigiamas Europos efektyvaus išteklių naudojimo kompetencijos centras turėtų padėti įmonėms keistis gerąja praktika, žiniomis užtikrinti efektyvų išteklių panaudojimą.
voxpopuli_lit_006279	20190417-0900-PLENARY-lt_20190417-12:24:55_1	Iš tikrųjų šiandieną noriu padėkoti už tą gerą kalbą ir už tai, kad palietėte ne tik Latvijos, aš manau, bet ir kitų dviejų Baltijos šalių, tai yra, Lietuvos ir Estijos, tokią karčią istorinę praeitį ir integravimą, mūsų kelią į Europos Sąjungą.
voxpopuli_lit_006280	20191217-0900-PLENARY-lt_20191217-22:09:06_3	Svarbi problema yra asmens duomenų saugumas, teisėtas disponavimas jais.
voxpopuli_lit_006281	20191022-0900-PLENARY-lt_20191022-19:35:59_4	Tarybos įtikinti nepavyko.
voxpopuli_lit_006282	20190213-0900-PLENARY-lt_20190213-19:28:36_3	Tačiau potencialiems Europos investuotojams Kinijoje biurokratinių kliūčių ne mažėja, o daugėja.
voxpopuli_lit_006283	20150325-0900-PLENARY-15-lt_20150325-20:52:05_5	Ir galiausiai visoje šitoje situacijoje turime atsižvelgti į pačius darbuotojus ir jų teises.
voxpopuli_lit_006284	20150325-0900-PLENARY-15-lt_20150325-21:40:09_6	Šio apribojimo paveikti vežėjai, siekdami išsaugoti savo verslą ir darbo vietas, dėjo dideles pastangas perorientuoti pervežimus iš rytų į vakarus, todėl nesuprantama, kaip pačios Europos Sąjungos valstybės narės tokiu sudėtingu laikotarpiu įveda apsunkinančias priemonės kitų šalių vežėjams.
voxpopuli_lit_006285	20150325-0900-PLENARY-15-lt_20150325-20:55:05_0	Norėčiau gerbiamos kolegės paklausti, kaip Jūs manote, ar šis sprendimas nėra tiesiogiai susijęs su savo rinkos apsauga?
voxpopuli_lit_006286	20190403-0900-PLENARY-lt_20190403-16:29:54_17	Normalioje bendrijoje tokie veiksmai būtų nepriimtini.
voxpopuli_lit_006287	20150310-0900-PLENARY-16-lt_20150310-16:53:55_7	Neabejotina, jog turi būti skiriamas daug didesnis dėmesys kontrolės ir teisingo Europos Sąjungos lėšų panaudojimo principų sukūrimui Europos Sąjungos valstybėse.
voxpopuli_lit_006288	20150310-0900-PLENARY-16-lt_20150310-16:53:55_2	m. buvau ataskaitos dėl Europos Sąjungos finansinių interesų apsaugos pranešėjas, todėl šis klausimas man yra gerai žinomas.
voxpopuli_lit_006289	20191217-0900-PLENARY-lt_20191217-17:09:28_7	Pavyzdžiui, švietimo, įsidarbinimo, sveikatos priežiūros paslaugų prieinamumas būtinas.
voxpopuli_lit_006290	20140114-0900-PLENARY-3-lt_20140114-10:03:41_0	Sveikinu ir džiaugiuosi pasiektais puikiais Lietuvos pirmininkavimo rezultatais ir ypač sveikinu pasiekus susitarimą dėl Europos Sąjungos daugiametės finansinės programos, nes šis susitarimas leis užtikrinti, kad visos ES finansuojamos programos bus pradėtos
voxpopuli_lit_006291	20140114-0900-PLENARY-13-lt_20140114-20:26:06_1	iš tikrųjų jau 10 metų mes tą programą naudojame, ir ne visos valstybės panaudoja visas galimybes mėginant įsisavinti arba pasinaudojant šitos programos galimybėmis. Aš turiu omenyje net ir pačią Lietuvą, kad Lietuvos politikai dar ne visi žino, kad tokia programa egzistuoja.
voxpopuli_lit_006292	20140113-0900-PLENARY-20-lt_20140113-22:13:25_2	Tai, be abejo, sustiprina įmonėje dirbančių darbuotojų suinteresuotumą prisidėti prie įmonės veiklos gerinimo, didina jų motyvaciją darbui ir kartu suteikia teises naudotis sėkmingos įmonės veikimo nauda.
voxpopuli_lit_006293	20140113-0900-PLENARY-20-lt_20140113-22:13:25_3	Deja, skirtingų šalių praktikoje ši įmonių valdymo priemonė vis dar nėra tolygiai išvystyta, todėl Europos Sąjungos lygiu būtina ir prasminga šia tema diskutuoti, ieškoti ir siūlyti būdus, kaip situaciją valstybėse narėse keisti, kokie modeliai būtų patys priimtiniausi.
