voxpopuli_ces_000000	20191024-0900-PLENARY-cs_20191024-11:45:20_4	Já věřím v univerzalitu základních lidských práv.
voxpopuli_ces_000033	20191114-0900-PLENARY-cs_20191114-12:14:31_2	Tak tomu bylo podle mého názoru i v tomto případě.
voxpopuli_ces_000034	20191125-0900-PLENARY-cs_20191125-21:19:32_4	Ruku v ruce s tím se v mnohých ohledech z naší země stala levná montovna s trojnásobně nižší úrovní mezd, než je tomu v Německu či Rakousku. Statisíce exekucí, milion lidí v pásmu chudoby, děti, na jejichž léčbu se musí dělat sbírky,
voxpopuli_ces_000035	20131009-0900-PLENARY-4-cs_20131009-11:25:28_4	Za neméně důležité považuji i to, že se návrh důkladně zaměřuje na zajištění spolehlivosti a bezpečnosti poskytovaných služeb spotřebitelům a zejména pacientům, včetně zavedení varovného mechanismu, což posílí důvěryhodnost v systém vzájemného uznávání.
voxpopuli_ces_000036	20190718-0900-PLENARY-cs_20190718-10:15:50_0	Paní předsedající, gratuluji vám k prvnímu vystoupení na plénu a přeji hodně štěstí ve Vaší funkci. Dovolte mi, abych se také připojil k usnesení, které dnes budeme hlasovat.
voxpopuli_ces_000037	20191010-0900-PLENARY-cs_20191010-11:58:52_6	To, co ovšem nepovažuji za zcela správné, je, že se dováží tato kukuřice právě např.
voxpopuli_ces_000038	20110404-0900-PLENARY-12-cs_20110404-20:17:21_1	Proto je nutné, aby avizovaná strategie Komise boje proti domácímu násilí obsahovala konkrétní diagnostické mechanismy závazné pro zdravotnická zařízení, ale i pro sociální pracovníky, které umožní opravdu včasnou pomoc těmto obětem.
voxpopuli_ces_000039	20100120-0900-PLENARY-13-cs_20100120-21:44:09_6	Jestliže oprávněně voláme po tom, aby se přiblížila evropským standardům, jestliže oprávněně voláme po tom, aby např.
voxpopuli_ces_000040	20170302-0900-PLENARY-8-cs_20170302-12:13:38_3	Bylo nám jasně dáno najevo některými členskými zeměmi Evropské unie, že nebudou kvůli nám riskovat dobré vztahy s Kanadou, že nebudou riskovat ohrožení svého bezvízového styku s Kanadou.
voxpopuli_ces_000041	20191010-0900-PLENARY-cs_20191010-12:13:32_2	bojem proti dezinformacím v této části Evropy.
voxpopuli_ces_000042	20141126-0900-PLENARY-13-cs_20141126-17:13:36_3	Nechci, aby lidé umírali.
voxpopuli_ces_000043	20110510-0900-PLENARY-5-cs_20110510-10:38:05_4	Jednou z výrazných příčin problémů je ale bezesporu zdlouhavé rozhodování o projektech samých.
voxpopuli_ces_000044	20090423-0900-PLENARY-18-cs_20090423-16:27:16_50	Uvedené vyšetřování musí probíhat ve spolupráci s příslušnými evropskými a mezinárodními institucemi.
voxpopuli_ces_000045	20090423-0900-PLENARY-22-cs_20090423-19:50:07_32	10. března letošního roku Komisi, aby navrhla nová konkrétní opatření ke snížení zátěže pro každou ze 13 klíčových prioritních oblastí akčního plánu.
voxpopuli_ces_000046	20111116-0900-PLENARY-14-cs_20111116-21:23:27_11	Považuji to za nesmírně důležité, protože informace o dění v jaderné energetice jsou doslova zbraní.
voxpopuli_ces_000047	20171024-0900-PLENARY-15-cs_20171024-16:08:29_9	Musíme také konečně řešit nerovnováhu mezi podniky v potravinářském řetězci.
voxpopuli_ces_000048	20120704-0900-PLENARY-3-cs_20120704-10:24:43_3	Měli jsme z toho velmi dobrý dojem, z jejich odborné připravenosti a z jejich zanícení pro věc a já bych vám ještě jednou chtěl dodatečně za tu návštěvu i za veškerou péči, které se nám dostalo, poděkovat.
voxpopuli_ces_000049	20150210-0900-PLENARY-4-cs_20150210-11:41:41_6	Iniciativa pro mladé nemůže být vnímána pouze jako pasivní čerpání, ale já ji vnímám jako investici do změn a do dlouhodobých aktivit a za tento příspěvek k těmto programům děkuji.
voxpopuli_ces_000050	20150311-0900-PLENARY-13-cs_20150311-20:50:01_9	Důrazně vás žádám místo planých řečí zde konečně něco dělejme.
voxpopuli_ces_000051	20190416-0900-PLENARY-cs_20190416-21:13:40_3	Neodcházejme od něj, dokud nebudeme mít v rukou text, se kterým budeme moci s čistým svědomím předstoupit před naše občany a říci jim, že jsme dvojí kvalitu skutečně postavili mimo zákon.
voxpopuli_ces_000052	20180704-0900-PLENARY-cs_20180704-21:29:33_6	Je nutné revidovat současný soubor pravidel, ať už čerpání financování, tak i následné kontroly.
voxpopuli_ces_000053	20191023-0900-PLENARY-cs_20191023-22:34:18_3	Je nutné dodat, že žádná z těchto výzev nebyla členskými státy vyslyšena.
voxpopuli_ces_000054	20180614-0900-PLENARY-cs_20180614-10:56:42_7	Chceme vést otevřený dialog s Bahrajnem a doufejme, že se nám to podaří.
voxpopuli_ces_000055	20091007-0900-PLENARY-12-cs_20091007-20:02:42_0	Vážený pane předsedo, dámy a pánové, dovolte mi, abych upozornil na problém zdržování v přizvání Autonomní odborové organizace strojvůdců Evropy do Výboru pro sociální dialog na úseku železnice.
voxpopuli_ces_000056	20130205-0900-PLENARY-7-cs_20130205-13:36:18_1	Nikdo nepochybuje o tom, že zaměstnanost je závislá na úspěchu podnikatelských aktivit, které k růstu vyžadují mimo jiné i cizí kapitál čili úvěrové financování.
