voxpopuli_ces_000057	20180115-0900-PLENARY-11-cs_20180115-17:32:05_20	Musím se proto ptát Kam se poděla zásada „energetická účinnost na prvním místě?
voxpopuli_ces_000082	20101124-0900-PLENARY-27-cs_20101124-13:09:45_3	I kdybychom přijali námitku, že legislativa o nebezpečných látkách i studie jsou staré již 10 let a mohou být tedy v některých aspektech překonané, z proběhlých výzkumů je patrné, že PVC je recyklovatelné a jeho nahrazování alternativními materiály by mohlo mít v mnoha případech negativní dopad na životní prostředí.
voxpopuli_ces_000083	20090715-0900-PLENARY-5-cs_20090715-09:14:38_29	Jde o priority, které testují nosnost integrační myšlenky, které v praxi ukazují, nakolik jsme věrni hodnotám, které stály u zrodu Společenství a jež definují Evropu jako společný prostor svobody, bezpečí a prosperity.
voxpopuli_ces_000084	20170601-0900-PLENARY-3-cs_20170601-08:38:59_9	Zmíněný ministr financí již byl na návrh předsedy vlády odvolán a byl nahrazen jiným ministrem ze stejné strany.
voxpopuli_ces_000085	20101111-0900-PLENARY-4-cs_20101111-10:41:14_4	Má li být vyvráceno podezření, že nově zřizovaný fond je určen zejména těm, kteří nevyužili alokované prostředky v rámci pětimiliardového balíčku programu hospodářské obnovy z důvodu nerealizace projektů, měli by být do výběrového procesu zapojeni i zástupci nových členských zemí.
voxpopuli_ces_000086	20170426-0900-PLENARY-16-cs_20170426-21:25:29_33	Tento problém však není možné řešit na úrovni společných podniků, neboť závisí na termínu účetních závěrek jednotlivých členských států.
voxpopuli_ces_000087	20180704-0900-PLENARY-cs_20180704-18:47:44_44	Ať už je to kdekoliv v Evropě, nesmí se stát, že budeme relativizovat základní hodnoty, že budeme dávat průchod nenávisti.
voxpopuli_ces_000088	20180115-0900-PLENARY-11-cs_20180115-17:32:05_23	A naopak tím vytvoříme nové příležitosti pro stavebnictví, pro rozvoj energetických služeb, vždyť potenciál energetických úspor není zdaleka plně využit.
voxpopuli_ces_000089	20170215-0900-PLENARY-4-cs_20170215-11:11:05_5	Na druhou stranu na tom nemůžeme ale stavět naše vztahy k ní, není možné přistupovat dvojím metrem k TTIP a CETA.
voxpopuli_ces_000090	20180531-0900-PLENARY-4-cs_20180531-11:10:30_4	Myslím si, že v tomto okamžiku je důležité se ozvat a promluvit, že tuto situaci sledujeme, že ji sledujeme velmi bedlivě a vyzvat korunního prince, aby skutečně nepoužíval pouze slova, ale i konkrétní činy.
voxpopuli_ces_000091	20180704-0900-PLENARY-cs_20180704-18:47:44_4	lidí na principu rasy, tak to se mnou osobně otřáslo a začala jsem zjišťovat, jak se ty věci staly, co se dá dál očekávat, jakým způsobem bude probíhat další vývoj.
voxpopuli_ces_000092	20170516-0900-PLENARY-16-cs_20170516-17:53:46_5	Islámského státu, může být podle jeho vládnoucích činitelů zavražděn, mučen, znásilněn nebo jinak zotročen.
voxpopuli_ces_000093	20180704-0900-PLENARY-18-cs_20180704-18:47:44_45	Myslím, že je to apel na nás všechny.
voxpopuli_ces_000094	20171023-0900-PLENARY-14-cs_20171023-18:36:18_17	Je to dokázáno tím, že ty limity už jsou.
voxpopuli_ces_000095	20180117-0900-PLENARY-10-cs_20180117-14:04:35_1	Je to návrh nařízení o správě energetické unie a my jsme ho hlasovali jako poslední, protože vlastně uzavíral to hlasování tří legislativ, které se týkají energetického balíčku.
voxpopuli_ces_000096	20170914-0900-PLENARY-3-cs_20170914-09:14:04_11	Dnes, ne zítra, říkal můj oblíbený, úspěšný podnikatel a manažer Tomáš Baťa.
voxpopuli_ces_000097	20180704-0900-PLENARY-cs_20180704-18:47:44_29	A není to o mně, je to o trestním zákoně v každé jednotlivé zemi.
voxpopuli_ces_000098	20180314-0900-PLENARY-13-cs_20180314-15:43:24_8	Ale nelze vytvořit „pevnost Evropa, kybernetická kriminalita nerespektuje hranice.
voxpopuli_ces_000099	20170426-0900-PLENARY-16-cs_20170426-21:25:29_16	Letos poprvé rozhodujeme o udělení rozpočtového absolutoria pro nový Společný podnik pro průmysl založený na biotechnologiích, BBI. Tento podnik, navzdory tomu, že samostatně fungoval teprve od října 2015, nezaznamenal žádné zásadní problémy ve svém účetnictví, ani se svou organizační nebo personální
voxpopuli_ces_000100	20170914-0900-PLENARY-3-cs_20170914-08:33:17_12	Na druhé straně velmi kvalifikovaní mladí lidé vykonávají práci, která neodpovídá jejich dovednostem a ambicím, což je frustrující a demotivující.
voxpopuli_ces_000101	20090715-0900-PLENARY-5-cs_20090715-09:14:38_18	A také tím, že se po změně vlády českému předsednictví dostalo plné podpory ze strany Evropské komise.
voxpopuli_ces_000102	20180529-0900-PLENARY-4-cs_20180529-11:25:43_16	Nebo jednoduchá a efektivní řešení, která půjde jednoduše aplikovat v praxi?
voxpopuli_ces_000103	20170612-0900-PLENARY-15-cs_20170612-21:03:33_10	V oblasti medicíny jde například o nové metody zjišťování cukrovky, rakoviny či Alzheimerovy nemoci, přenosné detekční nástroje apod.
voxpopuli_ces_000104	20180115-0900-PLENARY-11-cs_20180115-19:44:03_1	Vyslechli jsme celou řadu argumentů, které ukazují na důležitost projednávané směrnice.
voxpopuli_ces_000105	20180913-0900-PLENARY-cs_20180913-12:50:10_4	Domnívám se, že jejich cílem je skutečně využít všechny nástroje k tomu, aby byla prováděna systematická a efektivní kontrola kvality produktů, aby byla zajištěna spravedlnost pro všechny spotřebitele na jednotném trhu.
voxpopuli_ces_000106	20170313-0900-PLENARY-10-cs_20170313-18:48:43_5	Model, který není ani divokým kapitalismem bez pravidel, ani přeregulovaným socialismem.
voxpopuli_ces_000107	20111116-0900-PLENARY-14-cs_20111116-21:01:02_13	V této souvislosti bych chtěl zdůraznit jednu věc.
voxpopuli_ces_000108	20170613-0900-PLENARY-3-cs_20170613-09:54:51_2	Já se domnívám, že se jedná o velmi dobrý krok, protože se ukazuje, že veřejnost, možná až 80 veřejnosti, evropských občanů, se dívá na energetický štítek při nákupu spotřebiče.
voxpopuli_ces_000109	20171003-0900-PLENARY-4-cs_20171003-10:56:41_5	Občané jsou zase jednou nuceni sledovat mocenské a stranické hry, které mohou mít zásadní dopady na jejich životy a budoucnost.
voxpopuli_ces_000110	20171025-0900-PLENARY-13-cs_20171025-13:48:38_3	V současné době jako poslanec EP se stále snažím pokračovat v této práci.
voxpopuli_ces_000111	20180913-0900-PLENARY-cs_20180913-08:31:16_24	Tato zpráva ale v každém případě pomůže ve všech dalších plánovaných krocích při vylepšení této legislativy.
voxpopuli_ces_000112	20180704-0900-PLENARY-18-cs_20180704-18:47:44_9	My chceme dobrou spolupráci s italskou vládou, je to vláda, která vzešla ze svobodných voleb.
voxpopuli_ces_000113	20101125-0900-PLENARY-9-cs_20101125-13:03:56_2	Strategii je z pohledu na jednotlivé zdroje možno hodnotit jako vyrovnanou, byť ani jednou nezmiňuje z mého pohledu důležitou roli uhlí při spalování v modernizovaných elektrárnách.
