fleurs_yue_000000 yue_hant_hk/audio/dev/15777296518721252380.wav	灣鱷在海洋中的活動並不活躍牠們的主要棲息地是洛坎普頓北邊河口
fleurs_yue_000034 yue_hant_hk/audio/dev/14543264449668423928.wav	不過若遇到任何需要改善的問題或有任何要求應該要先聯絡旅行社而非直接聯絡旅館
fleurs_yue_000035 yue_hant_hk/audio/dev/7273954057651079513.wav	公園占地一萬九千平方公里劃分為十四個生態區棲息不同的野生動植物
fleurs_yue_000036 yue_hant_hk/audio/dev/8205163479111199448.wav	舉例來說「學習」和「社會化」皆可說是使用網際網路的重要動機詹姆斯等1995年
fleurs_yue_000037 yue_hant_hk/audio/dev/8909268093608855267.wav	人工智慧研究的內容之一是製造出可自動執行需以智慧行為完成任務的機器
fleurs_yue_000038 yue_hant_hk/audio/dev/4619376256454821881.wav	義大利文的發音相對簡單畢竟多數單字的拼法與讀音一模一樣
fleurs_yue_000039 yue_hant_hk/audio/dev/9795413120868130143.wav	克魯格國家公園KNP位於南非東北部東接莫三比克北鄰辛巴威南邊以鱷魚河為界
fleurs_yue_000040 yue_hant_hk/audio/dev/16710778006993302637.wav	許多常見格式比方APS先進攝影系統格式都等同或接近這個長寬比
fleurs_yue_000041 yue_hant_hk/audio/dev/13713778876814309002.wav	西班牙人開始了長達三個世紀的殖民時期
fleurs_yue_000042 yue_hant_hk/audio/dev/7171558756756918923.wav	NHK也報導位於新潟縣的柏崎刈羽核能發電廠當時運作正常
fleurs_yue_000043 yue_hant_hk/audio/dev/9254651931806074942.wav	現在整個印尼都能吃到的爪哇菜以各種經過簡單調味的菜餚為主最常使用的調味品是花生、辣椒、糖尤其是爪哇椰子糖和各種香氣濃郁的香料
fleurs_yue_000044 yue_hant_hk/audio/dev/6317344449094178729.wav	使次文化得以確立的特質可能為語言、美學、宗教、政治、性別、地理或各種因素的結合
fleurs_yue_000045 yue_hant_hk/audio/dev/2354385690381056092.wav	病人曾到過奈及利亞當地有幾起伊波拉病毒案例
fleurs_yue_000046 yue_hant_hk/audio/dev/6205801833941642506.wav	原本的人口則完全沒有改變因此仍需要跟以前一樣的適應功能
fleurs_yue_000047 yue_hant_hk/audio/dev/12637711866564931230.wav	群島上唯一的銀行位於史坦利在「福克蘭群島公司FIC西店」的對面是唯一能夠兌換貨幣的地點
fleurs_yue_000048 yue_hant_hk/audio/dev/6372061743948955159.wav	藏傳佛教原則上非常簡單包括亢達里尼瑜伽、冥想和擁抱眾生的奉愛修行
fleurs_yue_000049 yue_hant_hk/audio/dev/8267413611899240428.wav	當地主要的啤酒是「第一」它不是口味複雜的啤酒而是順口和清爽的啤酒另一款當地啤酒稱為「曼塔」
fleurs_yue_000050 yue_hant_hk/audio/dev/18046099965659076492.wav	課程通常會以更加詳盡、經常輔以實務經驗的方式來說明在此討論過的所有問題
fleurs_yue_000051 yue_hant_hk/audio/dev/3020842374333028796.wav	那裡的冬天寒意有時會騙人因為氣溫很少低於零下但風加上濕度讓人感覺比溫度計上顯示的冷多了
fleurs_yue_000052 yue_hant_hk/audio/dev/17487512145749407558.wav	她之所以得到這個結論是因為收到了許多來自女性和男性的正向留言與鼓勵極力主張將避孕藥物視為醫療必需品
fleurs_yue_000053 yue_hant_hk/audio/dev/16192870341762931071.wav	研究人員認為儘管這是一頭年輕恐龍的尾巴但樣本中的羽毛已完全發育而不是年幼動物的新生毛
