voxpopuli_hun_005557	20101215-0900-PLENARY-4-hu_20101215-11:37:27_2	Nagyon nagy viták voltak és nagyon sok jó javaslat került az asztalra.
voxpopuli_hun_005587	20111025-0900-PLENARY-12-hu_20111025-18:25:14_8	Sajnos a legtöbb szakképzési rendszer még mindig nincs a munkaerőpiac igényeihez igazítva, ami hátráltatja a fiatalok átmenetét az oktatásból a munkaerőpiacra.
voxpopuli_hun_005588	20100706-0900-PLENARY-9-hu_20100706-17:19:37_1	Nem engedhetjük meg, hogy a pénzintézetek ellenőrizetlen, spekulációs tevékenységet folytassanak, veszélybe sodorva munkahelyek millióinak biztonságát.
voxpopuli_hun_005589	20180911-0900-PLENARY-witholdRO-hu_20180911-15:31:21_52	Kellő tisztelettel, de a leghatározottabban visszautasítom, hogy az Európai Parlament bevándorlás és migránspárti erői fenyegessék, zsarolják és hazug vádak alapján rágalmazzák Magyarországot és a magyar embereket.
voxpopuli_hun_005590	20170703-0900-PLENARY-20-hu_20170703-21:13:30_4	Ha elvárjuk az EU tól, hogy lépjen fel az emberiesség elleni bűnök elkövetésének megakadályozása érdekében, akkor adjunk hozzá neki eszközöket, ellenkező esetben inkább a NATO kapcsán fogalmazhatjuk meg ezeket az elvárásokat.
voxpopuli_hun_005591	20110510-0900-PLENARY-3-hu_20110510-09:20:18_23	Sajnos a szakbizottság meghívásának idén sem tett eleget az Európai Tanács képviselete.
voxpopuli_hun_005592	20091217-0900-PLENARY-4-hu_20091217-10:36:49_3	Én ezzel mélyen egyetértek, azonban fontosnak tartom, hogy ez a szentencia ne csupán persze önmagán túlmutató szimbolikus döntések során jelenjen meg, hanem az Európai Unió egyik legfontosabb közös politikája, a kohéziós politika hétköznapjaiban is.
voxpopuli_hun_005593	20100209-0900-PLENARY-3-hu_20100209-11:15:55_4	Olyan Bizottságra, olyan Parlamentre, olyan Unióra, ahol bárki felveheti a telefont a Bizottságban, mert kompetens választ és kompetens megoldást tud adni.
voxpopuli_hun_005594	20120912-0900-PLENARY-10-hu_20120912-17:53:33_6	Azonban akár belép, akár kint marad az ország, zónán kívüliként nem fordulhat az ESM hez, tehát, Biztos Úr, csak a saját erejében bízhat.
voxpopuli_hun_005595	20091021-0900-PLENARY-9-hu_20091021-17:52:11_2	Giscard d'Estaing, aki a Konvent vezetője volt, a megbukott alkotmányt előkészítő kormánynak a vezetője, azt mondta Európa nem riválisa, hanem megbízható partnere kell hogy legyen az Egyesült Államoknak.
voxpopuli_hun_005596	20121022-0900-PLENARY-14-hu_20121022-18:18:25_18	Arra bíztatom Önöket, hogy gondoljanak a fiatalokra, gondoljanak a jövőre, és fektessenek ebbe forrásokat.
voxpopuli_hun_005597	20180206-0900-PLENARY-9-hu_20180206-12:36:56_0	Elnök Asszony! Bár értékeljük az Európai Bizottság erőfeszítéseit az egységes szerzői jogi piac kialakítása érdekében, az Európai Unióban élő 50 millió nemzeti vagy nyelvi kisebbséghez tartozó polgár számára a jelenlegi rendeletmódosítás nem elegendő.
voxpopuli_hun_005598	20150519-0900-PLENARY-11-hu_20150519-18:01:49_21	Tisztelt Hölgyeim és Uraim, javaslom, hogy különböztessük meg élesen az Európán belüli szabad mozgást, a szabad munkaerő áramlást az Európán kívülről érkező migrációtól.
voxpopuli_hun_005599	20180118-0900-PLENARY-5-hu_20180118-10:49:55_1	A kínai ellenzékieket viszont az államhatalom felforgatásának vádjával részesítik hasonló bánásmódban.
voxpopuli_hun_005600	20130417-0900-PLENARY-15-hu_20130417-19:28:17_0	Teljesen egyetértek Kacin úr jelentésében azokkal az elemekkel, amelyekkel felhívja a figyelmet arra, hogy Szerbiában nacionalista tendenciák bontakoznak ki.
voxpopuli_hun_005601	20110406-0900-PLENARY-3-hu_20110406-09:35:39_32	Mindannyian tudatában vagyunk annak, hogy az egységes szabadalmi rendszer rendkívüli mértékben növelné a vállalkozások versenyképességét. És nagyon jó vitát folytattunk itt, köszönöm a Parlament együttműködését, hogy felhatalmazta a Tanácsot arra, hogy egy megerősített együttműködés keretében ezt elindítsuk.
voxpopuli_hun_005602	20170405-0900-PLENARY-9-hu_20170405-13:38:50_3	Hálát adok a jóistennek, hogy Magyarországon abban a helyzetben vagyunk, hogy nem jöhetett létre radikalizálódott muszlim tömeg a határainkon belül.
voxpopuli_hun_005603	20111201-0900-PLENARY-4-hu_20111201-09:47:18_7	Ugyanígy jónak tartom azt az elképzelést, meg kell vizsgálni, hogy az EKB hogyan tud szerepet vállalni abban, hogy egy európai pénzügyi alapot hozzon létre, hogy a hitelezési politikából az IMF kihagyható legyen, és ezáltal csökkenjen az egyes nemzetközi intézményektől való
voxpopuli_hun_005604	20110510-0900-PLENARY-7-hu_20110510-11:27:47_1	Engedjék meg, hogy köszönetet mondjak mindenkinek, aki értékes hozzászólásával gazdagította a mai vitát.
voxpopuli_hun_005605	20110608-0900-PLENARY-5-hu_20110608-10:59:10_5	Nagyon fontosnak tartom azt az üzenetet, hogy az európai költségvetésnek egy enyhe növekedésbe kell fordulnia.
voxpopuli_hun_005606	20130912-0900-PLENARY-3-hu_20130912-09:06:47_7	Az elmúlt évben csökkent azoknak a száma, akik csak tájékoztatásért keresték fel az ombudsmani hivatalt.
voxpopuli_hun_005607	20130520-0900-PLENARY-14-hu_20130520-19:41:39_3	Ez összhangban van Áder János képviselőtársamnak azzal a korábbi javaslatával, amely egy iparikatasztrófa biztosítási rendszer létrehozására vonatkozott.
voxpopuli_hun_005608	20150211-0900-PLENARY-12-hu_20150211-18:13:50_2	Ennek több oka van, és itt sokat beszéltünk azokról a szükséges eljárásokról és intézményekről, amelyek szükségesek ahhoz, hogy megfelelőképpen szankcionáljuk az ilyen jogsértéseket.
voxpopuli_hun_005609	20101019-0900-PLENARY-13-hu_20101019-21:28:04_6	Ehhez képest ennek előmozdítására semmilyen rendelkezés nincs az adott javaslatban.
voxpopuli_hun_005610	20170426-0900-PLENARY-14-hu_20170426-19:49:36_0	Elnök Úr, a felelősségteljes és előremutató reformok megfelelő megtervezése és végrehajtása nehéz feladat, komoly elemzői, tervezési és irányítási képességeket igényel, továbbá hozzáférést az információkhoz és a megfelelő emberi erőforrásokhoz, ez pedig, amint mi is jól tudjuk, sajnos nem minden országnak áll rendelkezésére.
voxpopuli_hun_005611	20170301-0900-PLENARY-19-hu_20170301-23:27:36_4	Tiltakozom a magyar egyházi iskolánkat sújtó, kisebbségellenes diszkrimináció és hatalmi visszaélés, valamint a szülők megfélemlítése ellen.
voxpopuli_hun_005612	20140226-0900-PLENARY-19-hu_20140226-20:22:33_4	A balliberális politikusoknak végre fel kellene hagyniuk a szelektív elbírálás, valamint a kettős mérce alkalmazásával, és példának okáért a posztkommunista Szlovákia vagy Románia esetében is hasonló következetességgel kellene védelmükbe venni a hagyományos etnikai kisebbségeket, köztük a súlyos diszkriminációt szenvedő magyarok alapvető jogait.
voxpopuli_hun_005613	20151028-0900-PLENARY-3-hu_20151028-09:03:13_5	A tiltás nem sérthet nemzetközi szerződést, például WTO t, vagy ne adj'isten TTIP et ha megkötik és tudományos bizonyítékok is kevesek a tagállami indokláshoz.
voxpopuli_hun_005614	20170615-0900-PLENARY-16-hu_20170615-15:25:02_3	Én szeretném, hogyha Biztos úr segítene abban, hogy olyan szabályozás szülessen európai szinten, ami hátrébb sorolja ezt a gyakorlatot.
voxpopuli_hun_005615	20140915-0900-PLENARY-13-hu_20140915-18:27:43_2	Tény az, hogy az Európai Unió erre fel vetette be ezeket a bizonyos átgondolatlan szankciókat.
voxpopuli_hun_005616	20190212-0900-PLENARY-hu_20190212-15:21:16_7	Ennek megfelelően Magyarország önálló államtitkárságot hozott létre az üldözött keresztények megsegítése céljából, és erejének, gazdasági lehetőségeinek mértékében hathatós támogatást nyújt a szíriai keresztényeknek az újjáépítés és a hazatelepedés érdekében
voxpopuli_hun_005617	20100209-0900-PLENARY-3-hu_20100209-11:00:28_1	A szolidaritás, a kohézió, a kevésbé fejlett új tagállamok felzárkózása nélkül nem létezhet az Európai Unió.
voxpopuli_hun_005618	20110406-0900-PLENARY-4-hu_20110406-11:48:39_37	század kihívásaihoz.
voxpopuli_hun_005619	20151216-0900-PLENARY-14-hu_20151216-18:26:13_3	Ez a szörnyű közbeszéd, amit egyébként egyes kormányok is generálnak, például a magyar kormány, amely, bármilyen furcsa az itt, ebben a teremben ülők fülének európai pénzekből, részben európai pénzekből építette azt a szörnyű kerítést, és részben európai pénzekből folytatja azt a kormányzati propagandát, ami rádióban,
voxpopuli_hun_005620	20120912-0900-PLENARY-14-hu_20120912-20:04:42_1	Szeretném fölhívni Dacian Cioloş biztos úr figyelmét, hogy Magyarországon egy teljesen sajátos címkézési rendszert vezettek be, amelynek semmilyen eurokomform jelentősége nincsen.
voxpopuli_hun_005621	20131008-0900-PLENARY-3-hu_20131008-08:57:26_5	Tiltsa be az internetes kereskedelmet uniós szinten, mert ez a fiatalok számára rendkívül veszélyes, és az illegális kereskedelem melegágya.
voxpopuli_hun_005622	20110307-0900-PLENARY-31-hu_20110307-23:19:03_1	Jól mutat rá ez a jelentés, hogy az európai állattenyésztés jövőjét fenyegeti az a fehérjehiány, amely jelenleg tapasztalható.
voxpopuli_hun_005623	20120703-0900-PLENARY-4-hu_20120703-12:10:22_0	Politikai siker, hogy hosszú vajúdás után az alapítók szellemének megfelelően az Unió építésének irányába léptek.
voxpopuli_hun_005624	20121119-0900-PLENARY-13-hu_20121119-19:16:00_4	Az ügyészség, a rendőrség behívatja őket, munkahelyükön keresik fel őket Szatmár, Beszterce Naszód, Hunyad, Szeben megyében, ahol aláírásukkal támogatták a pártunk létrehozását.
voxpopuli_hun_005625	20111213-0900-PLENARY-5-hu_20111213-11:13:55_8	Jogunk van tudni, magyaroknak, mi történt csütörtök éjjel és péntek reggel között!
voxpopuli_hun_005626	20191023-0900-PLENARY-hu_20191023-16:54:44_3	A fenntartható fejlődés az ökológiai összetevő mellett ugyanis versenyképességi és szociális dimenzióval is bír.
voxpopuli_hun_005627	20170704-0900-PLENARY-14-hu_20170704-16:16:01_1	Rámutatnék azonban ennek egy, fenntartható jövőt tekintve meghatározó elemére.
voxpopuli_hun_005628	20141215-0900-PLENARY-18-hu_20141215-22:16:16_4	A szerb kormány már kihangsúlyozta az EU irányába való tartós elkötelezettségét, szerintem szükség lenne arra, hogy ez a nagy energetikai függőségben lévő ország érezze az EU támogatását ebben a nagyon nehéz ügyben, segítve a szerb belpolitika stabilitásának megőrzését.
voxpopuli_hun_005629	20180911-0900-PLENARY-witholdRO-hu_20180911-16:13:28_20	Harmadszor Egy jogállamban nem volna lehetséges, hogy a Szerződés speciális, garanciális szavazási szabályait kényük kedvük szerint kiforgassák, hogy ne számítsák a leadott szavazatnak a tartózkodást, hogy a nekik jobb eredmény jöjjön ki.
voxpopuli_hun_005630	20121023-0900-PLENARY-3-hu_20121023-09:21:00_13	A fiatal munkavállalók kizárólag egy új iparpolitikával megerősödött Európában állhatnak munkába.
voxpopuli_hun_005631	20160526-0900-PLENARY-3-hu_20160526-10:08:31_5	Nem tudjuk, hogy ez valóban így lesz e, de amíg ez megtörténik, addig termelők ezrei mehetnek tönkre és hagyhatnak fel a gazdálkodással.
voxpopuli_hun_005632	20170301-0900-PLENARY-12-hu_20170301-18:48:20_1	Ennek keretében olyan jogszabály készül, amely a 14 év közötti, kísérő nélküli gyermekeket, fiatalokat kivenné a gyermekvédelmi törvény hatálya alól.
voxpopuli_hun_005633	20091124-0900-PLENARY-19-hu_20091124-23:51:02_2	Ezt megtehettem az Európai Parlamentben, viszont az államnyelvtörvény sérelme nélkül kockázatos volna megtennem a szlovák törvényhozásban.
voxpopuli_hun_005634	20140918-0900-PLENARY-4-hu_20140918-09:51:19_5	Kiemelten szeretnék itt beszélni most a nyelvi és nemzeti kisebbségek védelméről is. Hiszen ezen közösségekről nagyon kevés szó esik.
voxpopuli_hun_005635	20100120-0900-PLENARY-14-hu_20100120-23:41:35_1	Az édesvíz és az élelmiszer egy két évtizeden belül olyan stratégiai cikké válik, mint jelenleg a kőolaj és a földgáz.
voxpopuli_hun_005636	20181001-0900-PLENARY-hu_20181001-21:47:58_3	És hogy talán ezeknek tényleg, ahogy van Nistelrooij úr is mondta, a következő évben egy ilyen Bukarest paktum tulajdonképpen, egy ilyen szegénység ellenes, összeurópai stratégiaként, ezt az öt területet, amit Ön megvizsgáltatott az elmúlt években, és a Parlament jelentéseket és javaslatokat adott rá, azokat egy ilyen összeurópai
voxpopuli_hun_005637	20160706-0900-PLENARY-9-hu_20160706-14:28:48_3	A migráció kérdéséről már csak a konyhában szabad családi körben beszélni.
voxpopuli_hun_005638	20181212-0900-PLENARY-hu_20181212-21:27:34_11	Szeretném megköszönni a titkárság tevékenységét is!
voxpopuli_hun_005639	20111130-0900-PLENARY-14-hu_20111130-20:42:22_12	A jelentés tartalmi részéről első olvasatban sikerült is egyetértésre jutnunk, és az nem volt kérdéses senki számára, hogy mindent megteszünk, hogy a civil szervezetek működését elősegítsük.
voxpopuli_hun_005640	20181024-0900-PLENARY-hu_20181024-15:55:50_2	Ma azonban másfajta időket élünk, ma vannak olyan tagállamok, tagállami kormányok, amelyek a közös európai értékek helyett az illiberalizmust és a populizmust éltetik, és azt mondják, hogy az európai értékek és hagyományok most már nem fontosak számunkra, a Nyugat hanyatlik és hasonló badarságokkal gerjesztik, terjesztik az egyre erősödő Európa ellenességet, Európai Unió ellenességet. Azt gondolom, hogy ez képtelenség,
voxpopuli_hun_005641	20110623-0900-PLENARY-5-hu_20110623-08:48:23_5	Tehát ez is mutatja a felgyorsulást, aminek persze belső okai is vannak, de a többi tagállamban is megfigyelhető ez a jelenség.
voxpopuli_hun_005642	20101213-0900-PLENARY-10-hu_20101213-18:29:10_9	Egyébként ezt Szerbia nagyon gyorsan, hatékonyan meg is tette.
voxpopuli_hun_005643	20090325-0900-PLENARY-11-hu_20090325-19:53:02_4	A Soá, a német nácizmus ipari szervezettséggel, származási alapon törekedett a zsidó nép kiirtására, amihez fogható szörnytett nem volt az emberiség történelmében.
voxpopuli_hun_005644	20111115-0900-PLENARY-14-hu_20111115-21:44:30_2	Mindenképpen üdvözlendő, hogy az elmúlt években az Európai Unió és az AKCS között szorosabb lett a kapcsolat. Gondoljunk csak Haiti újjáépítésére, a dél szudáni béke megerősítésére vagy éppen az élelmiszerbiztonság területén elért eredményekre.
voxpopuli_hun_005645	20150211-0900-PLENARY-13-hu_20150211-19:35:08_3	És ez nemcsak egy tagállamnak a feladata, ez a mi közös feladatunk és közös felelősségünk is.
voxpopuli_hun_005646	20151028-0900-PLENARY-13-hu_20151028-18:01:08_1	Szeretném emlékeztetni biztos urat, hogy az én hazámban, Magyarországon, Orbán Viktor kormánya az úgynevezett illegális migránsok elleni fellépés örvén már korábban egy sor, a magyar állampolgárok jogait súlyosan korlátozó, rendőrállam kialakításának irányába mutató intézkedést vezetett be.
voxpopuli_hun_005647	20121210-0900-PLENARY-34-hu_20121210-22:17:21_1	Valóban egy nagyon fontos problémáról van szó, és azt gondolom, hogy kellő körültekintéssel kell eljárnunk.
voxpopuli_hun_005648	20111213-0900-PLENARY-5-hu_20111213-11:13:55_2	Olyan megoldást kérünk, ami beindítja a gazdaságot. Ami reagál a társadalmat feszítő problémákra. Ami nem okoz millióknak, különösen a fiataloknak kilátástalanságot. Ami nem löki őket a szélsőséges politikai mozgalmakba.
voxpopuli_hun_005649	20140226-0900-PLENARY-19-hu_20140226-19:59:26_2	A fenti értékelés nem egy tagjelölt országról született, hanem egy lassan már 10 éves tagsági viszonnyal rendelkező európai uniós országról készítette nemrégiben a német Bertelsmann Alapítvány.
voxpopuli_hun_005650	20201005-0900-PLENARY-hu_20201005-17:57:16_2	Egy Európának erélyesen fel kell lépnie a jogállamiság védelmében és az igazságtalan rendszereket kiépítő vezetőkkel szemben!
voxpopuli_hun_005651	20110323-0900-PLENARY-14-hu_20110323-19:50:47_28	A magyar elnökség elkötelezett a menekültügyi csomagban szereplő javaslatok előre vitele iránt.
voxpopuli_hun_005652	20100909-0900-PLENARY-3-hu_20100909-10:33:11_8	Februári állásfoglalásunk garantálja az Európai Parlament számára a teljes körű és egyenrangú jogalkotási tájékoztatást.
voxpopuli_hun_005653	20090421-0900-PLENARY-11-hu_20090421-17:47:17_2	Év eleje óta összesen tizenöt morális és öt fizikai támadás történt, kettő súlyos.
voxpopuli_hun_005654	20140311-0900-PLENARY-5-hu_20140311-09:59:34_8	Hogyha egy ügyletnél, amit természetes személyek kötnek, tudjuk, hogy ki kivel áll szemben, azt gondolom, hogy ez minimálisan elvárható a vállalatoknál is.
voxpopuli_hun_005655	20121119-0900-PLENARY-21-hu_20121119-21:34:05_5	Ez pedig közös erőfeszítést igényel a Tanács, a Bizottság és a Parlament részéről.
voxpopuli_hun_005656	20121121-0900-PLENARY-3-hu_20121121-11:26:47_1	Ahogy gazdasági növekedés és munkahelyteremtés helyett recesszió és rekordnagyságú munkanélküliség lett a válságkezelés eredménye, úgy az uniós költségvetés tervezett nagyarányú csökkentésének a következménye a további leszakadás, a fejlettségbeli különbségek növekedése lenne.
voxpopuli_hun_005657	20090715-0900-PLENARY-11-hu_20090715-16:51:46_15	Még sok sok tennivalónk van.
voxpopuli_hun_005658	20190311-0900-PLENARY-hu_20190311-23:08:11_1	Attól tartok, hogy sokan ezt csak elméleti problémának tartják, amiről illik elítélő mondatokat mondani, de utána gyakran megelégszünk félmegoldásokkal és azt mondjuk, hogy ez a jelenség kiirthatatlan.
voxpopuli_hun_005659	20190311-0900-PLENARY-hu_20190311-17:42:57_3	Örülök, hogy a 2016 os bizottsági javaslattal ellentétben az uniós intézmények most egy központosított rendszer létrehozását tűzték ki célul.
voxpopuli_hun_005660	20091214-0900-PLENARY-10-hu_20091214-18:38:08_1	Ez nagymértékben hozzájárult a jelenlegi válsághoz.
voxpopuli_hun_005661	20170517-0900-PLENARY-12-hu_20170517-12:49:38_0	Elnök Úr! A szubszidiaritás elvének a lényege, hogy a döntéseket az emberekhez legközelebb kell meghozni. Magyarország esetében ez most már azt kellene, hogy jelentse, hogy a nagyon kivételes helyzetektől eltekintve
voxpopuli_hun_005662	20181024-0900-PLENARY-hu_20181024-11:14:17_8	Remélhetőleg a megújuló és az európai választásokon megerősödő Európai Néppártnak döntő szerepe lesz a megoldás megtalálásában, a nemzetek Európájának és szuverenitásának, értékeinek, kultúrájának és identitásának a megvédelmezésében.
voxpopuli_hun_005663	20191216-0900-PLENARY-hu_20191216-17:55:19_9	A romániai forradalomban a kommunista karhatalom által meggyilkolt, több mint ezerkétszáz áldozatra is emlékezünk ezért ma.
voxpopuli_hun_005664	20151028-0900-PLENARY-13-hu_20151028-18:01:08_2	Most pedig a közrend védelme ürügyén olyan további intézkedéscsomagot jelentett be, amelynek keretében magánszemélyek kommunikációjának szinte korlátlan rendőri ellenőrzését, sőt a teljes lakosságra vonatkozó konkrét bűnüldözési célhoz nem kötött általános arcfelismerő rendszert valósítana meg.
voxpopuli_hun_005665	20100617-0900-PLENARY-9-hu_20100617-13:08:40_3	Nagyon örülök annak, hogy ezt az Európai Parlament is tudatosította, gyorsan reagált és segíteni szeretné a bajba jutott országok lakóit.
voxpopuli_hun_005666	20101124-0900-PLENARY-93-hu_20101124-22:59:21_3	Ezzel kapcsolatban rendkívül fontosnak tartjuk, hogy az élelmiszer illetve a könnyűipari önrendelkezést megteremtsük az Európai Unióban.
voxpopuli_hun_005667	20091021-0900-PLENARY-9-hu_20091021-17:52:11_1	Európának itt helyt kell állnia.
voxpopuli_hun_005668	20180530-0900-PLENARY-19-hu_20180530-15:44:53_10	Meggyőződésem, hogy az állampolgársággal való üzletelést be kell fejezni, ez sem politikailag, sem morálisan nem tartható fönn.
voxpopuli_hun_005669	20110202-0900-PLENARY-14-hu_20110202-22:20:57_9	Tisztelt képviselő hölgyek és urak!
voxpopuli_hun_005670	20140310-0900-PLENARY-9-hu_20140310-18:32:04_3	Nem gondolja a Képviselő asszony, hogyha azzal foglalkoznánk, hogy a statisztikába miért nem kerülnek bele az önfoglalkoztatók, meg a mikrovállalkozásoknak az adatai, meg egyes ágazatoké, akkor teljesebb képet kapnánk erről a helyzetről?
voxpopuli_hun_005671	20130610-0900-PLENARY-13-hu_20130610-19:22:20_4	Éppen ezért szükség van arra, hogy az Európai Szociális Alap megkaphassa a megfelelő forrásokat.
voxpopuli_hun_005672	20150211-0900-PLENARY-15-hu_20150211-21:11:16_2	Ön olyan szépen beszélt a jog uralma jelentőségéről, vagyis a jogszabályok következetes betartásának a jelentőségéről az előző vitában.
