voxpopuli_fin_000933	20180704-0900-PLENARY-fi_20180704-13:35:23_4	Kaikki eivät lupaa saa konsultaation ja vanhempien luvankaan jälkeen.
voxpopuli_fin_000951	20091124-0900-PLENARY-12-fi_20091124-19:18:31_3	Ennen kaikkea parlamentti edustaa kansaa ja parlamentilla pitää olla oikeus saada kaikki tiedot silloin kun se niitä pyytää.
voxpopuli_fin_000952	20090423-0900-PLENARY-19-fi_20090423-18:00:51_0	Arvoisa puhemies, arvoisat edustajat, haluan kiittää tästä vastuullisesta keskustelusta ja tuesta Länsi Balkanin eurooppalaiselle perspektiiville.
voxpopuli_fin_000953	20090203-0900-PLENARY-9-fi_20090203-16:44:10_2	omiin vankiloihinsa.
voxpopuli_fin_000954	20131121-0900-PLENARY-9-fi_20131121-13:19:03_8	Taistelu köyhyyttä vastaan on meidän velvollisuutemme.
voxpopuli_fin_000955	20180704-0900-PLENARY-fi_20180704-13:44:47_0	Arvoisa puhemies, ensinnäkin kokonaisuudesta on kyse. Meillä on kolme liikkuvuuspakettiin liittyvää lainsäädäntömietintöä ja kun niistä joku kaatui, niin on parempi, että kaikki kokonaisuutena valmistellaan uudelleen saliin äänestettäväksi.
voxpopuli_fin_000956	20130115-0900-PLENARY-14-fi_20130115-20:06:12_5	Moraalikatoa ei pysty tästä vakausjoukkolainojen järjestelmästä poistamaan ilman tiivistä poliittista ja taloudellista unionia siis Brysselin ylivaltaa jäsenvaltioiden yli.
voxpopuli_fin_000957	20170911-0900-PLENARY-18-fi_20170911-20:47:21_6	Joutuisimme tuomaan puuta Euroopan ulkopuolelta, missä metsää ei välttämättä hoideta kestävästi.
voxpopuli_fin_000958	20170703-0900-PLENARY-19-fi_20170703-20:49:43_3	Tämä on erittäin konkreettinen ja tärkeä asia.
voxpopuli_fin_000959	20180704-0900-PLENARY-fi_20180704-13:35:23_0	Arvoisa puhemies, Euroopan parlamentti on tehnyt hyvää työtä julkilausumassaan kieltäessään pakko ja lapsiavioliitot.
voxpopuli_fin_000960	20100209-0900-PLENARY-3-fi_20100209-10:12:44_14	Olen suomalainen, olen eurooppalainen, rakastan mannertamme, mutta se ei merkitse, että olen Euroopan unionin kannattaja.
voxpopuli_fin_000961	20131023-0900-PLENARY-11-fi_20131023-17:00:58_3	Euroopan unioni on johdonmukainen puolustaessaan näitä arvoja.
voxpopuli_fin_000962	20090324-0900-PLENARY-10-fi_20090324-17:18:44_30	Tästä on ilmennyt lähes jokaisena viime vuotena selkeitä esimerkkejä.
voxpopuli_fin_000963	20090423-0900-PLENARY-19-fi_20090423-18:00:51_2	Vaikuttaa toisinaan siltä, että Bosnia ja Hertsegovinalla on ehtymätön kyky tuottaa ja suorastaan uusintaa poliittisia jännitteitä, vaikka kaiken järjen mukaan meidän pitäisi odottaa paremminkin kehityksen kulkevan toiseen suuntaan ja
voxpopuli_fin_000964	20180704-0900-PLENARY-fi_20180704-13:44:47_2	Siinä oltaisiin puututtu siihen osaan, jossa kaikkein eniten työntekijöiden väärinkäytöksiä ja epätervettä kilpailua tapahtuu.
voxpopuli_fin_000965	20140114-0900-PLENARY-16-fi_20140114-21:57:55_6	Viime viikolla ENVI ja ITRE valiokuntien yhteiskokous kannatti vuodelle 2030 kolmea ilmastotavoitetta päästövähennystä, uusiutuvaa energiaa ja energiatehokkuutta.
voxpopuli_fin_000966	20171025-0900-PLENARY-21-fi_20171025-19:02:26_6	Minusta on itsestään selvää, että komissio voi neuvottelujen aikana rajata maataloussektoreita ulos ja sen tarvittaessa tekeekin, mutta lähtökohta, että jätetään osa sektoreista mandaatin ulkopuolelle, ei ole pragmaattinen lähestymistapa, ja tästä syystä tahtoisin poistaa tämän kirjauksen.
voxpopuli_fin_000967	20180118-0900-PLENARY-3-fi_20180118-09:45:59_2	Tässä suhteessa esittelijä Danti on onnistunut aikaansaamaan erittäin tasapainoisen mietinnön.
voxpopuli_fin_000968	20090309-0900-PLENARY-12-fi_20090309-19:05:17_2	Tiedän, että molemmat kantavat vastuuta ja pystyvät hyvin tehtävänsä hoitamaan.
voxpopuli_fin_000969	20170404-0900-PLENARY-18-fi_20170404-18:37:44_3	On erinomaista, että mietinnössä myös tuodaan esiin tarve tehdä pitkäjänteistä kehityspolitiikkaa, jotta ihmisten ei tarvitse lähteä kotoaan.
voxpopuli_fin_000970	20170215-0900-PLENARY-16-fi_20170215-19:36:14_0	Arvoisa puhemies, ehkä eniten huolta julkisuudessa on herättänyt kysymys siitä, että miten robotisaatio vaikuttaa työllisyyteen ja sosiaalipolitiikkaan.
voxpopuli_fin_000971	20110510-0900-PLENARY-3-fi_20110510-09:13:27_7	Monet asiat, joita täällä esitetään ja jotka liittyvät jäsenten etuuksiin ja toimintatapoihin, eivät rahallisesti ole kovin suuria.
voxpopuli_fin_000972	20091007-0900-PLENARY-10-fi_20091007-17:16:22_10	Lopuksi haluan sanoa puheenjohtajamaa Ruotsille, että te olette vieläkin kunnioittaneet Ruotsin kansan päätöstä, kun se äänesti eurosta ei.
voxpopuli_fin_000973	20090504-0900-PLENARY-13-fi_20090504-21:15:31_3	Nyt on kysymys käytännössä siitä, tuetaanko heitä vai eikö heitä tueta.
voxpopuli_fin_000974	20110310-0900-PLENARY-5-fi_20110310-11:08:36_15	Näinhän tilanne ei voi tulevaisuudessa olla, vaan pitää olla jonkinlainen suunnitelma, miten ihmisiä sitten paremmin palvellaan näissä vaihtoehdoissa.
voxpopuli_fin_000975	20171115-0900-PLENARY-4-fi_20171115-09:45:29_1	Se on totta, ja minun kysymykseni on, onko teidän mielestänne laillisesti valitulla hallituksella oikeus tehdä mitä tahansa.
voxpopuli_fin_000976	20090423-0900-PLENARY-19-fi_20090423-18:00:51_17	Sen vuoksi tarvitaan perustuslain uudistus, evoluution kautta, ei revoluution kautta, ja olen iloinen siitä, että joitakin merkkejä tämänsuuntaisesta keskustelusta maassa on nähtävissä johtavien politiikkojen kesken.
voxpopuli_fin_000977	20110308-0900-PLENARY-4-fi_20110308-09:34:28_10	Meidän pitäisi saada elektroninen allekirjoitus.
voxpopuli_fin_000978	20170301-0900-PLENARY-16-fi_20170301-21:43:49_2	Herra Zwiefka sanoi, että se oli herrasmiessopimus, mutta se oli poliittinen sopimus, jolla me päätimme, että vastaisuudessa pyrimme mahdollisimman tehokkaasti siihen tilanteeseen, että tuomioistuimessa on yhtä paljon nais kuin miestuomareita.
voxpopuli_fin_000979	20131121-0900-PLENARY-9-fi_20131121-13:19:03_2	Unionissa on oltava tasapaino taloudellisten ja sosiaalisten tavoitteiden kesken. Sosiaalinen oikeudenmukaisuus on ehdoton edellytys sille, että saamme taloutemme kestävälle pohjalle.
voxpopuli_fin_000980	20150114-0900-PLENARY-6-fi_20150114-16:30:52_3	Mutta sen lisäksi meillä pitää olla myös kyky tehokkaasti toteuttaa turvallisuusstrategiaamme ja Teidän työnne, varapuheenjohtaja Mogherini, on tässä avainasemassa.
voxpopuli_fin_000981	20101123-0900-PLENARY-12-fi_20101123-16:21:28_0	Arvoisa puhemies, meillähän on hyvä tilanne nyt.
voxpopuli_fin_000982	20110608-0900-PLENARY-7-fi_20110608-13:38:30_5	Se ei auta, vaikka me kuinka äänestämme, me tiedämme, että tämä tuottaa säästöjä.
voxpopuli_fin_000983	20180913-0900-PLENARY-fi_20180913-12:39:08_1	On hyvä, että EUssa on myös toimittu nopeasti ja meillä on käytössä jo tai työn alla myös jo konkreettisia muovin käytön estämiseen tähtääviä direktiivejä.
voxpopuli_fin_000984	20130910-0900-PLENARY-13-fi_20130910-17:57:30_1	Samoin varoja on osoitettu yhteisestä talousarviosta korkeimman nuorisotyöttömyyden maille ja suositeltu nuorisotakuun käyttöönottoa kaikissa jäsenvaltioissa.
voxpopuli_fin_000985	20150527-0900-PLENARY-14-fi_20150527-21:40:02_6	Senpä takia onkin tärkeää, että puhutaan näiden yhteisöjen perinteisille johtajille.
voxpopuli_fin_000986	20110705-0900-PLENARY-8-fi_20110705-16:38:59_3	Tätä kautta me saamme kasvua ja työllisyyttä, jota me tietysti eniten tässä tarvitsemme.
voxpopuli_fin_000987	20111130-0900-PLENARY-13-fi_20111130-20:13:13_5	Tämä on hyvin tärkeä kansanvaltaisen hyväksyttävyyden eli demokraattisen legitimiteetin näkökulmasta, jota esittelijä Berès ja useat puheenvuoron käyttäjät ovat tänä iltana aivan perustellusti ja aivan oikein korostaneet.
voxpopuli_fin_000988	20100921-0900-PLENARY-13-fi_20100921-21:38:55_8	Tekisi hyvää näille herroille mennä katsomaan sinne haja asutusalueille kannonnokkaan, että koska se posti tulee.
voxpopuli_fin_000989	20101021-0900-PLENARY-5-fi_20101021-10:48:12_5	Mihin tämä johtaa esimerkiksi oman maani osalta?
voxpopuli_fin_000990	20170202-0900-PLENARY-10-fi_20170202-11:58:58_8	Kuinka sivistyneitä ollaan?
voxpopuli_fin_000991	20171025-0900-PLENARY-21-fi_20171025-19:02:26_11	Niin kuin sanoin, erittäin tärkeää on myös muistaa kauppasopimuksia tehdessä, että kysymys on pohjimmiltaan arvoista ja arvopohjaisista sopimuksista ja kun Uuden Seelannin ja Australian kanssa tässä toimimme, me jaamme saman arvopohjan.
voxpopuli_fin_000992	20180704-0900-PLENARY-12-fi_20180704-13:35:23_2	Vaikka huomio tässä on pääasiassa ulkosuhteissa, niin se myös kehottaa EU jäsenmaita tuomitsemaan ja lopettamaan alle 18 vuotiaiden, eli lapsien, avioliitot.
voxpopuli_fin_000993	20110120-0900-PLENARY-4-fi_20110120-10:47:53_7	tämä on tärkeä asia
voxpopuli_fin_000994	20110608-0900-PLENARY-7-fi_20110608-13:38:30_7	Tätä ei pysty kansalaisille selittämään ja tämä ei äänestyksellä parane.
