M-AILABS_deu_000087	alter_afrikaner_16_f000037	Wie darf eine Magd, die stehen und die Arme queren muß, neben dem Bana im Zelte sitzen?
M-AILABS_deu_000119	frankenstein_11_f000105	Und glaubst also auch du, dass ich so sehr verworfen bin? Bereinigst auch du dich mit meinen Peinigern, die mich als Mörderin verurteilen? Ihre Stimme erstickte in Tränen.
M-AILABS_deu_000120	menschenhasser_08_f000124	Ich hätte Sie eher für eine Eule oder Krähe gehalten.
M-AILABS_deu_000121	caspar_hauser_21_f000066	Wie haben dir die Lehrersleute gefallen?
M-AILABS_deu_000122	Kanzlerin_01_14_f000048	Und wichtig ist: Immer wieder miteinander reden und sich besser kennenlernen in seiner eigenen Geschichte.
M-AILABS_deu_000123	maedchenvommoorhof_3_f000113	Ja, jetzt werde ich wohl hineingehen.
M-AILABS_deu_000124	kleinzaches_09_f000118	Wäre er nur bei mir geblieben, hätte ich ihn nur aufgezogen in meiner Armut, niemals wäre er in jenes verdammte silberne Ding gefallen, er lebte noch, und ich hätte vielleicht Freude und Segen von ihm gehabt.
M-AILABS_deu_000125	alter_afrikaner_23_f000162	Ich wünsche, daß es frisch auf den Feind ginge. Ich will Ihnen den Kriegsplan des Hauptquartiers mitteilen.
M-AILABS_deu_000126	weihnachtsabend_06_f000168	und nicht für Geld gezeigt und nicht herumgeführt würde und nicht in einer Menagerie sei und  nicht geschlachtet werde, und weder ein Pferd, noch ein Esel, noch eine Kuh, noch ein Ochs, noch ein Tiger,
M-AILABS_deu_000127	Kanzlerin_26_14_f000026	Wenn wir allein an unser Land denken: Dass es keine einzige jüdische Einrichtung gibt, die nicht durch Polizei bewacht werden muss, dann ist das ein Punkt, der mich doch sehr besorgt stimmt.
M-AILABS_deu_000128	tom_sawyer_15_f000108	Ja - wollte, es wäre so groß wie en Balken, denn es ist alles, was wir haben.
M-AILABS_deu_000129	tschun_18_f000086	Aber der Laden war fest verschlossen. Er mußte wohl, wie so viele Häuser, verlassen sein, denn auf all ihr Klopfen erfolgte keine Antwort.
M-AILABS_deu_000130	grune_haus_16_f000028	Wo kommst du her? Er guckte mich freundlich an: Ich bin Sonnenkind, ich weiß, daß du niemand zum Spielen hast; darum bin ich gekommen, ich will heut mit dir spielen.
M-AILABS_deu_000131	odysseus_03_f000079	Ein schrecklicher Windstoß riß Segel und Mast von dem Schiffe ab und warf sie ins Meer, und nun kam eine gewaltige Woge daher und, wie wenn ein Berg einstürzt, schlug sie auf sein Schiff.
M-AILABS_deu_000132	kammmacher_2_f000048	Aber nach kaum acht Tagen kam abermals einer zugereist, ein Schwabe, namens Dietrich, worüber die beiden eine stillschweigende Freude empfanden wie über einen lustigen Maßstab,
M-AILABS_deu_000133	tschun_14_f000079	Ich glaube an viel größere Wunder, antwortete der Einsiedler ernst, und in meinem Lande könntest Du heilige Männer sehen,
M-AILABS_deu_000134	toten_seelen_22_f000053	Der arme Lehrer bedeckte das Gesicht mit beiden Händen, als er von dieser Tat seiner ehemaligen Schüler erfuhr;
M-AILABS_deu_000135	caspar_hauser_15_f000182	Diese Beweise suchen Sie in Schubladen und Schränken, Herr Graf?
M-AILABS_deu_000136	ferien_vom_ich_003_f000066	Oh, seht ihn nur an, den Propheten, den Friedensapostel!
M-AILABS_deu_000137	frankenstein_03_f000032	Ich habe noch nie einen Menschen in einer so kläglichen Verfassung gesehen.
M-AILABS_deu_000138	ferien_vom_ich_013_f000362	Das allein lohnt ein halbes Jahr Bauernarbeit.
M-AILABS_deu_000139	toten_seelen_04_f000134	Die Worte der Hausfrau wurden von einem seltsamen Zischen unterbrochen, vor dem der Gast erschrak: es klang, als ob sich das ganze Zimmer plötzlich mit Schlangen gefüllt hätte;
M-AILABS_deu_000140	untermbirnbaum_14_f000083	als Male, die jetzt oben bei der Kranken schlief, treppab kam und an seine Thür klopfte.
M-AILABS_deu_000141	ferien_vom_ich_012_f000261	In aufgeschreckter Unordnung drängte alles nach dem Hofe.
M-AILABS_deu_000142	odysseus_06_f000016	So sprach der König und stand auf.
M-AILABS_deu_000143	toten_seelen_30_f000154	Das Wasser lief ihm im Munde zusammen. Seine Augen leuchteten ölig und süß, und er wollte noch immer mehr hören.
M-AILABS_deu_000144	menschenhasser_13_f000159	Ich tanze mit, erklärte der Australier scharf.
M-AILABS_deu_000145	grune_gesicht_04_f000277	Eva van Druysen fühlte instinktiv, daß sie bei dem Wort Kopfwesen an das olivgrüne Gesicht gedacht hatten,
M-AILABS_deu_000146	menschenhasser_02_f000154	Wohl kaum, erwiderte Bruchs. Sie dürfen auch nicht alles glauben, was Sie vielleicht noch über ihn hören werden.
M-AILABS_deu_000147	das_letzte_marchen_005_f000030	Inzwischen bezahlt ihm der Staat aus den Taschen der Steuerzahler für diese anstrengende und segensreiche Tätigkeit ein Sündengeld.
M-AILABS_deu_000148	das_letzte_marchen_004_f000166	O Prinzessin, es ist so vieles anders in Ihrem Lande als bei uns, daß ich ganz verzage, den Leuten etwas bieten zu können, was sie interessiert.
M-AILABS_deu_000149	sandmann_3_f000167	Entsetzt rief Nathanael: Toller Mensch, wie kannst du Augen haben?
M-AILABS_deu_000150	Kanzlerin_01_16_f000012	Und auch die internationalen Finanzmärkte agieren natürlich nationenüberspannend.
M-AILABS_deu_000151	odysseus_16_f000090	So, mein Freund! sprach er dann mit lauter Stimme zu ihm, daß alle Freier es hörten.
M-AILABS_deu_000152	tschun_07_f000132	Breit, fett und grinsend saß er da, auf den quellenden Geldsack gestützt, und blinzelte schlau und wohlgefällig auf seinen schwammigen Bauch herab.
M-AILABS_deu_000153	Kanzlerin_28_13_f000035	Das gilt natürlich für die Autofahrer, aber das gilt auch für die Fahrradfahrer.
M-AILABS_deu_000154	caspar_hauser_18_f000076	Ja, mischte sich Hickel ein, indem er den letzten Bissen Kuchen hinunterschluckte und Schnurrbart und Lippen mit dem Handrücken abwischte, das wohl;
M-AILABS_deu_000155	tschun_13_f000195	wo vieles ganz anders sein mochte, wo sich aber sicherlich auch wieder junge Herren einstellen würden, die gern schönen Frauen auf einem Stückchen Lebensweg das Geleit geben.
M-AILABS_deu_000156	menschenhasser_04_f000285	Vorsichtig trat er auf eine der Bohlen.
M-AILABS_deu_000157	das_letzte_marchen_004_f000186	Was anderes!
M-AILABS_deu_000158	alter_afrikaner_18_f000255	hat meine Bananen gestohlen. dein Pavian hat mich gebissen. hat mein Kind gekratzt und krank gemacht. schau dir mal das Würmchen an!
M-AILABS_deu_000159	das_letzte_marchen_008_f000047	Da ich mich für den Maikäferaustrieb lebhaft interessierte und meine Frühlingssehnsucht sich bis zum schmerzlichen Heimweh gesteigert hatte, richtete ich an den König das untertänigste Gesuch, mir die Beteiligung bei einem Austrieb und einen kurzen Aufenthalt auf der Oberwelt zu gestatten.
M-AILABS_deu_000160	ferien_vom_ich_004_f000296	Kommen Sie gut nach Hause, Frauchen! ruft ihr Stefenson nach. Abermaliges Gebrumm. Postschaffner Hempel erhebt sich, sagt in halblauter Entrüstung: Das ist ja kolossal! und stampft seiner Ehehälfte nach.
M-AILABS_deu_000161	caspar_hauser_29_f000002	Caspar vernachlässigte plötzlich sein Amt. Auf Vorhaltungen entgegnete er: Ich bin der dummen Schreiberei überdrüssig.
M-AILABS_deu_000162	Die_Kanzlerin_direkt_42_08_f000018	Auf der anderen Seite in der Tatsache, dass wir Breitbandanschlüsse für alle Menschen in unserem Lande zur Verfügung stellen, um mit den neuesten Technologien des einundzwanzigte Jahrhunderts - auch in ländlichen Räumen - versorgt zu sein.
M-AILABS_deu_000163	odysseus_02_f000026	Dann empfing Telemachos aus ihrer Hand den Becher und trank, gleichfalls opfernd und betend, auf das Wohl der schmausenden Männer.
M-AILABS_deu_000164	caspar_hauser_14_f000057	Ja, er wurde verwirrt, er lenkte den Blick abseits, und erst als Caspar, durch das fremdere Wesen betroffen, ihn leise anrief, brach er das Schweigen;
