LAD_nld_000137	abw_z0001_303	Papandreou ontving in negentienvijfenzestig een eredoctoraat van de Universiteit van Belgrado.
LAD_nld_000176	abw_z0001_370	Maria Theresia's oudste dochter, aartshertogin Maria Anna, bleef door haar slechte gezondheid ongehuwd.
LAD_nld_000177	abw_z0001_016	Later werd de naam afgekort waardoor het nu Isola Bella heet, hetgeen "mooi eiland" betekent.
LAD_nld_000178	abw_z0001_251	Ze zijn meestal langgerekt van vorm en vaak dieper dan uitwaaiingsvennen.
LAD_nld_000179	abw_z0001_094	Op zes september tweeduizend zes werd de eerste middelbare school geopend - het "IJburg College".
LAD_nld_000180	abw_z0001_112	Ook verbood zij de gasboringen in de Waddenzee op grond van de Vogel en Habitatrichtlijn.
LAD_nld_000181	abw_z0001_445	Later volgden singles als "Go on move", "Can you feel it" en "Raise your hands".
LAD_nld_000182	abw_z0001_334	Twee voormalige producenten van dierenporno eisen in een rechtszaak tegen de Staat een schadevergoeding.
LAD_nld_000183	abw_z0001_049	Voorbeelden van buitengewoon opsporingsambtenaren zijn gemeentelijk handhavers, parkeercontroleurs, boswachters, milieuambtenaren, conducteurs en sociaal rechercheurs.
LAD_nld_000184	abw_z0001_441	Italië-Zwitserland had geen waarde meer, maar de Italianen werden nu wel toegejuicht door de Chilenen.
LAD_nld_000185	abw_z0001_439	Nuon Magnum wordt in twee fasen gebouwd.
LAD_nld_000186	abw_z0001_176	Het wordt tegenwoordig in allerlei alternatieve antikaalheidsproducten gebruikt.
LAD_nld_000187	abw_z0001_199	Dit kwam wel de term castle air ten goede.
LAD_nld_000188	abw_z0001_455	Die 'goden' waren kami en waren alom aanwezig, zoals ook nu nog zijn.
LAD_nld_000189	abw_z0001_520	De Staten-Generaal verwachtte dat de aartshertog het beleg zou opheffen zodra het winter werd.
LAD_nld_000190	abw_z0001_628	Ook voor versieringen op onder andere meubels, wanden en deuren wordt de sjabloneertechniek gebruikt.
LAD_nld_000191	abw_z0001_686	Winston Churchill was onbetwist grootmeester op dit terrein.
LAD_nld_000192	abw_z0001_624	Centraal stond voor James het direct empirisch observeerbare universum rondom de mens.
LAD_nld_000193	abw_z0001_089	Allen komen terug naar Derry, gebonden door hun belofte, behalve Stanley Uris.
LAD_nld_000194	abw_z0001_171	Een variabele die niet gebonden is heet een vrije of ongebonden variabele.
LAD_nld_000195	abw_z0001_790	Volgens C B S statistieken zijn er sinds tweeduizen zeven meer buitenechtelijke eerstgeborenen dan echtelijke eerstgeborenen.
LAD_nld_000196	abw_z0001_463	Kennelijk had de familie-oudste het recht seksueel actieve ongetrouwde dochters of overspelige vrouwen te vermoorden.
LAD_nld_000197	abw_z0001_368	Het geslacht Van Puijenbroek heette rond zeventienhonderd Van Puijmbroeck en zou oorspronkelijk uit Sint-Niklaas komen.
LAD_nld_000198	abw_z0001_774	In de praktijk is de scheiding echter blijven voortbestaan door onoverbrugbare cultuurverschillen.
LAD_nld_000199	abw_z0002_129	Hij confronteert Tony hiermee, en bedreigt hem, om zo het huisadres van Léon te bemachtigen.
LAD_nld_000200	abw_z0001_951	De Boer was de tweede Ajacied die als speler én als trainer de titel prolongeerde.
LAD_nld_000201	abw_z0001_168	In de late achtiende eeuw werden de grote zeebeerkolonies op de Aleoeten ontdekt.
LAD_nld_000202	abw_z0001_096	De jonge componist maakte ook kennis met Darius Milhaud en via hem met Jean Cocteau.
LAD_nld_000203	abw_z0001_382	In negentiennegenenzestig probeerden Paul Guinet Lyon en Jacques Decourt Parijs een classificatiesysteem op te bouwen.
LAD_nld_000204	abw_z0001_619	Er zijn zes tot negen enkelvoudige vertandingen per snijrand.
LAD_nld_000205	abw_z0002_039	In het zuiden, hoewel de vreugde groot was, werd minder geschreven over de overwinning.
LAD_nld_000206	abw_z0001_293	Tussen zeven en negen juli werd Caen zwaar gebombardeerd door de geallieerden.
LAD_nld_000207	abw_z0001_189	De samoerai uit deze tijdsperiode stonden bekend als de elitekrijgers van Japan.
LAD_nld_000208	abw_z0001_687	Vermoedelijk was het droppen van agenten onderdeel van een afleidingsmanoeuvre van het Britse Leger.
LAD_nld_000209	abw_z0001_122	Odo erkende Karel als de rechtmatige hofmeier en Karel erkende Odo als hertog.
LAD_nld_000210	abw_z0001_416	Zijn opvolger Ton van der Kleij overleed in tweeduizend vijftien op zesenzestig jarige leeftijd.
LAD_nld_000211	abw_z0001_908	Een weefsel is in de biologie een specifiek deel van een meercellig organisme.
LAD_nld_000212	abw_z0001_157	Toen de bronnen uitgeput raakten ging ook de landbouw achteruit.
LAD_nld_000213	abw_z0001_351	Vervolgens groeide de wijnbouw uit naar noordoostelijke en westelijke regio's.
LAD_nld_000214	abw_z0001_004	Daar huurde hij het landhuis Daerupt dat hij "La Maison Rose" noemde.
LAD_nld_000215	abw_z0002_096	Pogingen van de stichting wAarde om de onjuiste berichtgeving te corrigeren hadden geen resultaat.
LAD_nld_000216	abw_z0001_026	Naast graffiti maakte Piet van den Heuvel ook tekeningen, collages, vliegtuigen en schilderijen.
LAD_nld_000217	abw_z0001_098	Pas om vijf uur in de namiddag zien ze een geelgroene nevel op zich afkomen.
LAD_nld_000218	abw_z0002_002	Daarbij lijdt hij schipbreuk en belandt op 'zijn' eiland.
LAD_nld_000219	abw_z0001_524	In achttien drieëntachtig versloeg hij Joubert in de presidentsverkiezingen en werd hij zelfstandig president van Transvaal.
LAD_nld_000220	abw_z0001_379	Na de eucharistieviering was er een lunch voor genodigden in het historische Zwanenbroedershuis.
LAD_nld_000221	abw_z0001_909	De Luxemburgse operator was actief onder de merknaam 'Tango'.
LAD_nld_000222	abw_z0001_560	Momenteel vindt de grootste productie plaats in Fiji, India, Jamaica, Nigeria, Sierra Leone en China.
LAD_nld_000223	abw_z0001_038	In negentienvierennegentig presenteerde hij het improvisatieprogramma "Onvoorziene Omstandigheden" wat een nieuwe lichting improvisatieacteurs opleverde.
LAD_nld_000224	abw_z0001_250	Bovendien gaf hij orakels en was hij de god van muziek en levensvreugde.
LAD_nld_000225	abw_z0002_066	Leer wordt gebruikt voor tassen, schoenen, jassen, meubels en dergelijke.
LAD_nld_000226	abw_z0002_088	De schubben zijn onderhuids voorzien van beenplaatjes of osteodermen en vormen zo een zware bepantsering.
LAD_nld_000227	abw_z0001_212	De Tiende Goeroe, Goeroe Gobind Singh Ji, was de laatste menselijke Goeroe.
LAD_nld_000228	abw_z0001_246	De tien jaar die volgden waren een periode van enthousiaste loyaliteit aan de nieuwe orde.
LAD_nld_000229	abw_z0002_132	Bij de milieufederaties zijn talrijke plaatselijke en regionale milieu, natuur, leefbaarheids en landschapsorganisaties aangesloten.
LAD_nld_000230	abw_z0001_983	Hierbij moet worden bedacht dat ook medegebruik van een gebiedsontsluitingsweg door langzaam landbouwverkeer ongewenst is.
LAD_nld_000231	abw_z0001_497	Veel soorten hebben spectaculaire kleuren en patronen, en zijn daarom geliefd in zoutwateraquaria.
LAD_nld_000232	abw_z0001_654	Voor deze proefnemingen werden de twee prototypes weer gebruikt, nu omgebouwd met de A M R vijfendertig-ophanging.
LAD_nld_000233	abw_z0001_662	Hij reisde ook naar Italië om er deel te nemen aan de onafhankelijkheidsstrijd van Garibaldi.
LAD_nld_000234	abw_z0001_138	Zowel de naam Ibiza als de Catalaanse versie Eivissa zijn van Ibossim afgeleid.
LAD_nld_000235	abw_z0001_961	De wetgevende macht is een grootheid uit het staatsrecht.
LAD_nld_000236	abw_z0001_423	De eerste eindwinnaar van deze trui was Lucien Van Impe.
LAD_nld_000237	abw_z0001_748	Zij was toen eenendertig jaar oud en ongehuwd.
LAD_nld_000238	abw_z0002_118	Dan wordt aan iedere W U evenveel credit toegekend.
LAD_nld_000239	abw_z0001_743	Evengoed kan de thematiek op de twee deuren echter over het paradijs gaan.
LAD_nld_000240	abw_z0001_669	Daarom kwam er toch landbouw op gang op de bergflanken.
LAD_nld_000241	abw_z0001_363	Deze scheiding der machten is bedacht door de Fransman Montesquieu.
LAD_nld_000242	abw_z0001_732	Ze beschouwden Tsjecho-Slowakije als het minst betrouwbare element van het Warschaupact.
LAD_nld_000243	abw_z0001_141	Door de opbrengst van zijn plantage is Crusoe inmiddels een bemiddeld man geworden.
LAD_nld_000244	abw_z0001_300	Uit milieuoverwegingen maken adoptie, huur of statiegeldbomen opgang.
LAD_nld_000245	abw_z0001_297	Eind negentiendrieënzestig werd hij onderdirecteur van de Volkskredietbank.
LAD_nld_000246	abw_z0001_308	Daarna overheerste Nederland weer, maar doelman Rinat Dasajev was in topvorm.
LAD_nld_000247	abw_z0002_122	Hiermee breidde hij zijn notatiesysteem uit tot het bereik qua uitdrukkingskracht van de Turingmachine.
LAD_nld_000248	abw_z0001_183	Daartoe heeft hij ook aanzienlijke inspanningen geleverd.
LAD_nld_000249	abw_z0001_187	Een deel van wat nu Oud Verlaat is, heette vroeger Kikkershoek.
LAD_nld_000250	abw_z0001_328	Dionysius schreef allerlei essays op het gebied van retoriek en stijlkritiek.
LAD_nld_000251	abw_z0001_443	Blu-ray B D is een formaat waarmee informatie op een optische schijf wordt opgeslagen.
LAD_nld_000252	abw_z0001_927	Het gebied waar Nairobi zich zou ontwikkelen, ligt in een destijds voornamelijk onbewoond moerasgebied.
LAD_nld_000253	abw_z0001_046	De Beiaard heeft in de jaren negentienachtemvijftig negenevvijftig achtenveertig klokken, door klokkengieterij Eijsbouts gegoten.
LAD_nld_000254	abw_z0001_492	Otto Franks echtgenote stierf in Auschwitz, zijn beide dochters kwamen uiteindelijk om in Bergen-Belsen.
LAD_nld_000255	abw_z0001_985	Zijn geavanceerde petro-elektrische transmissie maakte hem relatief snel en wendbaar, maar was ook zeer onbetrouwbaar.
LAD_nld_000256	abw_z0001_255	Het was nu van groot belang dat Cherbourg en Caen werden ingenomen.
LAD_nld_000257	abw_z0001_299	Van Ghazna komt het woord "gaucho", een vreemdeling voor wie je moet opletten.
LAD_nld_000258	abw_z0001_444	Hunt was leerling bij theaterschool van Gary Austin.
LAD_nld_000259	abw_z0001_869	Lyon wenst een goede ontsluiting per O V met haar luchthaven en TGV-station.
LAD_nld_000260	abw_z0002_143	Hoofdthema is bijna altijd een onbeantwoorde liefde.
LAD_nld_000261	abw_z0001_241	De defensieve houding van de Russen was nu overduidelijk.
LAD_nld_000262	abw_z0001_040	Vroege hits in het genre waren "You used to hold me" van Ralphi Rosario.
LAD_nld_000263	abw_z0001_528	In zeventienachtentachtig kwam Ali Pasja aan de macht, bijgenaamd 'de Leeuw van Ioannina'.
LAD_nld_000264	abw_z0002_078	Het beleefde vele herdrukken, en is in negentientachtig door Gerrit Komrij opnieuw bewerkt.
LAD_nld_000265	abw_z0001_427	Vrij kort erna ging deze luchtvaartmaatschappij samen met "Pacific Air Transport".
LAD_nld_000266	abw_z0002_137	Na zijn vrijlating werkte hij als journalist voor diverse bolsjewistische bladen.
LAD_nld_000267	abw_z0001_466	Men kan als er sneeuw ligt in de omgeving van Denekamp langlaufen over uitgezette routes.
LAD_nld_000268	abw_z0001_294	Na de beeldenstorm werden abdijen het mikpunt van gewelddadige plundering, onder meer door de Watergeuzen.
LAD_nld_000269	abw_z0001_272	Zijn vader koos partij voor de communisten waardoor Kosinski een tamelijk onbezorgde jeugd had.
