M-AILABS_fra_000076	les_miserables_tome_5_16_f000129	L'enfant hésita. On ne veut plus de son gâteau; ce n'est pas une raison pour le donner.
M-AILABS_fra_000112	les_mysteres_de_paris_4_11_f000107	À cette menace je frissonnai de peur. Je répondis à
M-AILABS_fra_000113	monsieur_lecoq_2_49_f000008	Souvent, les longs soirs d'hiver, à Sairmeuse, quand ils se réunissaient au Bœuf couronné pour faire la partie, ils posaient leurs cartes grasses et gravement s'entretenaient des choses de l'an passé.
M-AILABS_fra_000114	monsieur_lecoq_1_22_f000066	--Peut-être vous trompez-vous...
M-AILABS_fra_000115	la_fabrique_de_crimes_09_f000059	J'obéis, et aussitôt d'autres caractères apparurent, formant un billet ainsi conçu: L'encre sympathique est connue depuis longtemps;
M-AILABS_fra_000116	les_mysteres_de_paris_1_05_f000099	--Est-il possible! s'écria la borgnesse en joignant les mains avec étonnement, c'est la Pégriotte, la voleuse de sucres d'orge.
M-AILABS_fra_000117	les_mysteres_de_paris_3_18_f000003	Il est cinq heures du matin.
M-AILABS_fra_000118	l_ile_mysterieuse_2_05_f000128	Mais cette enveloppe, il fallait l'enlever de l'arbre sur lequel elle pendait, pour la mettre en lieu sûr, et ce ne fut pas un petit travail.
M-AILABS_fra_000119	les_miserables_tome_5_05_f000058	on n'aura plus à craindre la famine, l'exploitation, la prostitution par détresse, la misère par chômage, et l'échafaud, et le glaive, et les batailles, et tous les brigandages du hasard dans la forêt des événements.
M-AILABS_fra_000120	l_epouvante_03_f000027	Il se souvint de l'aventure de ce Ci-devant, attablé, sous la Terreur, dans une auberge, au milieu de massacreurs, de tricoteuses, et trahissant son identité, malgré un déguisement savant, par la façon dont il tenait sa fourchette. On pense à tout...
M-AILABS_fra_000121	la_vampire_02_f000089	L'opinion la plus accréditée, sinon la plus vraisemblable, se résumait en un mot qui sollicitait énergiquement les imaginations et valait à lui seul deux ou trois des plus ténébreux livres de Mme Anne Radcliffe.
M-AILABS_fra_000122	la_fabrique_de_crimes_09_f000048	Les autres prononcèrent des paroles scientifiques et l'un d'eux fit remarquer que mes attraits avaient résisté au pain de munition et au reste.
M-AILABS_fra_000123	le_pays_des_fourrures_2_12_f000046	Les glaçons sont de petite dimension, leurs bords forment autant de bourrelets qui hérissent toute la surface, et sur cet icefield raboteux,
M-AILABS_fra_000124	la_vampire_10_f000177	--Allez au pavillon de Bretonvilliers, frappez six coups ainsi espacés: trois, deux, un, et quand la porte s'ouvrira, prononcez ces mots: Salus Hungariae.
M-AILABS_fra_000125	madame_bovary_3_09_f000012	Il avait à écrire deux lettres, à faire une potion calmante pour Bovary, à trouver un mensonge qui pût cacher l'empoisonnement et à le rédiger en article pour le Fanal, sans compter les personnes qui l'attendaient, afin d'avoir des informations;
M-AILABS_fra_000126	monsieur_lecoq_2_55_f000049	Le plan de Martial était arrêté, et il devait le poursuivre avec une incroyable perfection de détails.
M-AILABS_fra_000127	keraban_le_tetu_1_15_f000024	Il va sans dire que la nuit qui venait, on la passerait tout entière à courir vers les premiers contreforts du Caucase, dont la masse apparaissait confusément à l'horizon.
M-AILABS_fra_000128	l_ile_mysterieuse_2_07_f000076	Le champ fut préparé, puis entouré d'une forte palissade, haute et aiguë, que les quadrupèdes eussent très difficilement franchie.
M-AILABS_fra_000129	monsieur_lecoq_1_01_f000204	Très-souvent des criminels, sur le premier moment, opposent à toutes les questions le mutisme le plus absolu.
M-AILABS_fra_000130	keraban_le_tetu_1_09_f000035	Donc, dans l'intérêt des ravisseurs, mieux valait qu'il s'accomplit sans éclat.
M-AILABS_fra_000131	l_ile_mysterieuse_1_14_f000027	-- C'est cela même, Harbert, répondit l'ingénieur, et quand nous aurons mesuré les deux premières distances, connaissant la hauteur de la perche,
M-AILABS_fra_000132	monsieur_lecoq_2_09_f000046	--Ah! ce n'est pas là ce que j'attendais, prononça-t-il. Pauvre fou!...
M-AILABS_fra_000133	monsieur_lecoq_2_47_f000148	Il s'était traîné presque à plat ventre, on le reconnaissait à l'herbe foulée et aux endroits où il y avait de la poussière, et en outre,
M-AILABS_fra_000134	le_dernier_des_mohicans_chapitre_14_f000163	Favorisés par la nature du terrain et excités par leur empressement, ils avaient devancé la marche du brouillard qui couvrait alors tout lHorican, et quun vent très faible chassait lentement de leur côté:
M-AILABS_fra_000135	les_miserables_tome_5_65_f000176	pour lesquelles il avait toujours eu le légitime dédain qu'on doit à ce qui n'est qu'un remercîment.
M-AILABS_fra_000136	lupin_contre_holmes_06_f000084	De longues minutes sécoulèrent. Herlock ne bougeait pas, lœil fixé sur ladversaire qui lépiait.
M-AILABS_fra_000137	les_miserables_tome_5_65_f000040	Il avait des spécialités et des catégories; à chaque clou de son magasin pendait, usée et fripée, une condition sociale;
M-AILABS_fra_000138	monsieur_lecoq_1_09_f000068	Sois là-bas à huit heures. Si je n'y suis pas déjà, je ne tarderai pas à paraître.
M-AILABS_fra_000139	les_tribulations_dun_chinoise_03_f000035	Mais cette petite colonie française n'égale pas ses voisines à beaucoup près.
M-AILABS_fra_000140	l_epouvante_04_f000154	Il était inutile de prolonger cette station qui risquait d'attirer l'attention sur lui. Sait-on jamais comment un individu vous remarque, et, dans la suite vous reconnaît?
M-AILABS_fra_000141	la_vampire_11_f000110	René tremblait, et ses yeux se noyaient. Elle était belle; c'était le charme vivant, la volupté incarnée.
M-AILABS_fra_000142	les_tribulations_dun_chinoise_12_f000025	Ils ne se parlaient presque jamais. A quoi bon?
M-AILABS_fra_000143	la_vampire_16_f000067	--Le temps passe... voulut dire Jean-Pierre, qui avait déjà consulté sa grosse montre deux ou trois fois.
M-AILABS_fra_000144	monsieur_lecoq_2_21_f000043	Le lieu, l'instant, l'anxiété du péril, l'étrangeté de cette scène aux clartés de l'incendie, la robe noire de ce prêtre, son geste véhément,
M-AILABS_fra_000145	le_dernier_des_mohicans_chapitre_07_f000053	En de pareilles circonstances, il était naturel que nos voyageurs imitassent la prudence de leurs compagnons.
M-AILABS_fra_000146	le_pays_des_fourrures_2_13_f000056	Mais le 24, ce furent d'autres obstacles, que Jasper Hobson dut justement craindre de ne pouvoir surmonter.
M-AILABS_fra_000147	keraban_le_tetu_1_13_f000020	Eriklik, propriétés impériales, Livadia, palais admirable, avec ses sources vives, ses torrents capricieux, ses jardins d'hiver, retraite favorite de l'impératrice de toutes les Russies?
M-AILABS_fra_000148	le_dernier_des_mohicans_chapitre_03_f000048	où lon pourrait donner un démenti en face à un lâche fanfaron, et où le brave peut prendre ses camarades à témoin de la vérité de ses paroles.
M-AILABS_fra_000149	le_dernier_des_mohicans_chapitre_07_f000050	Il était évident que la faiblesse momentanée quil avait montrée avait disparu, grâce à lexplication dun mystère que son expérience était insuffisante pour pénétrer;
M-AILABS_fra_000150	monsieur_lecoq_1_24_f000045	Voilà, justement, ce qu'avait pressenti le jeune policier.
M-AILABS_fra_000151	monsieur_lecoq_2_41_f000150	--La fille à M. Lacheneur est ici!...
M-AILABS_fra_000152	le_dernier_des_mohicans_chapitre_14_f000013	Ils firent descendre les chevaux dans le lit de la rivière, qui était peu profonde, y entrèrent eux-mêmes, et y marchèrent pendant près dune heure pour dépister ceux qui voudraient suivre leurs traces.
