M-AILABS_fra_000153	monsieur_lecoq_2_32_f000033	Que faisait-elle?... Comment savoir?...
M-AILABS_fra_000178	les_miserables_tome_5_52_f000163	--C'est vrai.
M-AILABS_fra_000179	monsieur_lecoq_1_16_f000210	Il se disait aussi que la preuve de la connivence éclatait. Sans un intérêt secret, la vieille cabaretière n'eût pas pris si imprudemment la défense du prévenu.
M-AILABS_fra_000180	monsieur_lecoq_2_10_f000083	Martial traversait ce bois, quand il entendit un bruit de voix.
M-AILABS_fra_000181	l_ile_mysterieuse_2_13_f000033	qu'un devoir d'humanité allait entraîner loin de leur île.
M-AILABS_fra_000182	keraban_le_tetu_1_14_f000007	qu'il avait habitué aux poisons.
M-AILABS_fra_000183	la_mare_au_diable_18_f000025	Toute autre fille eût pris un air dimportance et une tenue de triomphe; car, dans tous les rangs, cest quelque chose que dêtre épousée pour ses beaux yeux.
M-AILABS_fra_000184	monsieur_lecoq_1_12_f000069	--Pourquoi faire? demanda-t-il.
M-AILABS_fra_000185	les_mysteres_de_paris_3_16_f000229	mon père, complètement dominé par sa passion et cédant sans doute aux instances de Mme Roland, quitta au bout de trois mois à peine le deuil de ma mère, sous prétexte que le deuil...
M-AILABS_fra_000186	keraban_le_tetu_2_02_f000155	--Quand on est dans l'équinoxe, répondit Kéraban, il faut bien se résigner à y être! Je ne peux pas faire que nous ne soyons dans l'équinoxe!...
M-AILABS_fra_000187	les_miserables_tome_5_65_f000037	Le changement se faisait à vue, pour un jour ou deux, à raison de trente sous par jour, au moyen d'un costume ressemblant le plus possible à l'honnêteté de tout le monde.
M-AILABS_fra_000188	les_mysteres_de_paris_3_09_f000029	--Vous avez raison, madame; j'ai tort, je tâcherai de surmonter cette faiblesse...
M-AILABS_fra_000189	monsieur_lecoq_1_09_f000007	Mais une conscience troublée ne soutenait pas son regard perspicace, plus aigu que ses lancettes.
M-AILABS_fra_000190	keraban_le_tetu_2_05_f000091	Et que de récriminations, avec invectives et menaces, il envoya à l'adresse de ce hautain Saffar, selon lui responsable de tout le mal!
M-AILABS_fra_000191	le_dernier_des_mohicans_chapitre_16_f000167	Ces montagnes, ajouta-t-il après un instant de silence, nous procurent toutes les facilités possibles pour reconnaître létat de vos fortifications, et je puis vous assurer que je connais leur état actuel de faiblesse aussi bien que vous le connaissez vousmême.
M-AILABS_fra_000192	monsieur_lecoq_2_27_f000225	Mais sa contenance mentait; un observateur l'eût vu à ses yeux, dont l'inquiète mobilité trahissait ses terreurs.
M-AILABS_fra_000193	les_miserables_tome_5_41_f000010	C'était là ce qu'il avait compris. Il ajouta qu'une indemnité lui était due.
M-AILABS_fra_000194	le_dernier_des_mohicans_chapitre_30_f000011	Celle de ses pères, répondit Uncas, celle d'un Delaware.
M-AILABS_fra_000195	les_mysteres_de_paris_3_11_f000150	La Goualeuse, d'abord écrasée de honte, commençait à trembler d'effroi en se trouvant seule à la merci de ces forcenés;
M-AILABS_fra_000196	les_mysteres_de_paris_4_19_f000018	--Mon Dieu! monsieur... vous le savez bien.
M-AILABS_fra_000197	le_dernier_des_mohicans_chapitre_33_f000048	Quoique souvent interrompus, ces chants n'en offraient pas moins des idées suivies qui toutes se rapportaient à l'éloge d'Uncas et de Cora.
M-AILABS_fra_000198	le_dernier_des_mohicans_chapitre_23_f000100	Cependant sa vue ne pouvait s'en détacher; il suivait des yeux ses moindres mouvements, et en voyant en lui des membres qui paraissaient aussi agiles que robustes et bien proportionnés,
M-AILABS_fra_000199	monsieur_lecoq_1_27_f000001	Ayant reçu l'ordre de chercher partout Lecoq, et de le ramener s'il le rencontrait, l'huissier de M. Segmuller s'était mis en campagne.
M-AILABS_fra_000200	les_miserables_tome_5_28_f000021	quelque chose comme Gros-Jean transformé en Lebel.
M-AILABS_fra_000201	les_mysteres_de_paris_2_08_f000062	rendez-moi le service d'aller chez le rogomiste qui demeure dans la maison, vous me rapporterez un flacon de cassis et deux verres...
M-AILABS_fra_000202	les_miserables_tome_5_44_f000019	Boulatruelle, du reste, en dehors de l'identité qu'il ne réussissait point à ressaisir, fit des rapprochements et des calculs.
M-AILABS_fra_000203	lupin_contre_holmes_08_f000052	Dehors, Sholmès sassura quil ny avait ni automobile, ni fiacre en station, et séloigna en boitillant par le boulevard Malesherbes.
M-AILABS_fra_000204	l_ile_mysterieuse_3_15_f000129	Le ciel était en feu. Un éclair n'attendait pas l'autre.
M-AILABS_fra_000205	l_ile_mysterieuse_2_20_f000005	Donc, après avoir installé son foc au grand mât en guise de tourmentin, il attendit, en présentant le cap à terre.
M-AILABS_fra_000206	le_dernier_des_mohicans_chapitre_22_f000008	Enfin il lui saisit la main, la lui serra avec une force qui fit venir des larmes aux yeux de l'honnête David, et le félicita sur sa métamorphose.
M-AILABS_fra_000207	le_dernier_des_mohicans_chapitre_28_f000057	Mais les Yengeese ont de longs bras, et des jambesqui ne se fatiguent jamais. Mes jeunes guerriers ont rêvé qu'ilsavaient vu les traces de Yengeese près du camp des Delawares.
M-AILABS_fra_000208	monsieur_lecoq_2_24_f000044	Mais Mme d'Escorval ne pouvait reconnaître Mlle Lacheneur sous ses vêtements masculins...
M-AILABS_fra_000209	l_ile_mysterieuse_2_18_f000149	Mais l'orang n'avait pas touché terre, que l'énorme couche de neige se soulevait et s'éparpillait dans l'air en flocons tellement innombrables,
M-AILABS_fra_000210	monsieur_lecoq_2_05_f000053	Non, il ne lui était rien arrivé... Seulement un mot de Mlle Lacheneur avait suffi pour lui faire oublier sa déférence accoutumée aux volontés paternelles.
M-AILABS_fra_000211	les_mysteres_de_paris_2_07_f000107	--Elle n'en pouvait avoir aucune. Le brick était sous pavillon danois, l'incognito de Son Altesse sévèrement gardé; nous passions pour de riches Anglais.
M-AILABS_fra_000212	la_vampire_08_f000091	Et ce seul mot mettait des frémissements dans tout son être.
M-AILABS_fra_000213	les_miserables_tome_5_26_f000032	là, le trognon de pomme qui a eu des opinions littéraires redevient le trognon de pomme;
M-AILABS_fra_000214	lupin_contre_holmes_08_f000064	mais isolément, chacun suivant de son côté la Chaussée dAntin.
M-AILABS_fra_000215	monsieur_lecoq_2_56_f000002	En cela, il avait raison.
M-AILABS_fra_000216	les_tribulations_dun_chinoise_22_f000092	Pour cette fois, c'était bien le moment suprême, et le condamné n'avait plus qu'à demander pardon des erreurs de sa vie.
M-AILABS_fra_000217	le_dernier_des_mohicans_chapitre_03_f000075	Nous arrivâmes de lendroit où le soleil se cache pendant la nuit, en traversant les grandes plaines qui nourrissent les buffles sur les bords de la grande rivière; nous combattîmes les Alligewis, et la terre fut rougie de leur sang.
M-AILABS_fra_000218	la_vampire_20_f000039	In vita mors, in morte vita! Szandor, mon époux adoré, me donnera une heure d'amour avant de me brûler le coeur!
M-AILABS_fra_000219	les_mysteres_de_paris_4_16_f000010	Le notaire avait vu récemment Polidori un de ses deux complices et lui avait proposé d'aller à Asnières, chez les Martial, pirates d'eau douce dont nous parlerons plus tard,
M-AILABS_fra_000220	les_miserables_tome_5_39_f000029	Là, il avait aperçu Thénardier et l'avait suivi. On sait le reste.
M-AILABS_fra_000221	lupin_contre_holmes_16_f000107	Elle était intacte.
M-AILABS_fra_000222	monsieur_lecoq_2_49_f000082	Cependant il suffit d'un mot d'un paysan au cadet Chupin pour arrêter ces fouilles.
M-AILABS_fra_000223	la_fabrique_de_crimes_04_f000055	Nous appartenons à M. le duc Rudelame-Carthagène par les liens combinés du crime et de l'économie.
M-AILABS_fra_000224	monsieur_lecoq_2_52_f000178	gratis. Mais que madame la duchesse soit sans crainte: je suis discret par caractère et par profession.
M-AILABS_fra_000225	monsieur_lecoq_1_03_f000004	Du modeste poste qu'il occupait, il avait vu se succéder bien des préfets, et on eût peuplé un bagne, rien qu'avec les malfaiteurs qu'il avait arrêtés de sa main.
M-AILABS_fra_000226	les_tribulations_dun_chinoise_14_f000120	Sans doute, le moulin ne tournait pas assez rapidement pour que la prière fût efficace.
M-AILABS_fra_000227	les_miserables_tome_5_37_f000022	La serrure était visiblement fermée à double tour. C'était une de ces serrures de bastilles que le vieux Paris prodiguait volontiers.
M-AILABS_fra_000228	keraban_le_tetu_1_10_f000024	--Quelques milliers de piastres?... répondit Sélim, qui n'essayait même plus de comprendre.
M-AILABS_fra_000229	le_dernier_des_mohicans_chapitre_29_f000012	Il avait déjà vu un exemple de la manière sommaire dont les Indiens se faisaient justice, et il craignait que son compagnon ne fût destiné à en servir à son tour.
M-AILABS_fra_000230	les_tribulations_dun_chinoise_16_f000097	Puis c'étaient des canards, des corneilles, des corbeaux, des pies, des éperviers, que le hennissement du steamboat faisait lever du milieu des hautes herbes.
M-AILABS_fra_000231	les_miserables_tome_5_49_f000041	Il dévalisait ses respectables commodes de laque de Coromandel à panse bombée qui n'avaient pas été ouvertes depuis des ans.
M-AILABS_fra_000232	lupin_contre_holmes_16_f000163	Effort suprême du dévouement mais effort inutile! Les paroles sonnaient faux.
M-AILABS_fra_000233	les_miserables_tome_5_42_f000061	Vous aurez des écrivassiers, des parleurs, des avocats, des orateurs, des tribunes, des discussions, des progrès, des lumières, des droits de l'homme, de la liberté de la presse, et voilà comment on vous rapportera vos enfants dans vos maisons!
M-AILABS_fra_000234	les_mysteres_de_paris_3_17_f000021	Non, il trouvait à son gré ma naissance, ma fortune et ma personne... il a voulu faire un mariage convenable, parce que la vie de garçon l'ennuyait sans doute.
M-AILABS_fra_000235	monsieur_lecoq_2_38_f000127	Le vieux soldat portait sous le bras un long et étroit paquet enveloppé de serge:
