voxpopuli_nld_001796	20110405-0900-PLENARY-5-nl_20110405-13:22:45_3	In de islamitische wereld vanzelfsprekend, maar jammer genoeg ook bij ons.
voxpopuli_nld_001816	20131118-0900-PLENARY-12-nl_20131118-18:12:21_6	Uiteraard willen we ook een beroep doen op de lidstaten om ervoor te zorgen dat zij níet gaan beknibbelen op die Erasmus beurzen, want dat zij moeten investeren in de toekomst van hun leerlingen.
voxpopuli_nld_001817	20090914-0900-PLENARY-14-nl_20090914-19:11:06_11	Dat is absoluut niet ironisch bedoeld.
voxpopuli_nld_001818	20101213-0900-PLENARY-12-nl_20101213-20:15:43_1	In Nederland hebben wij nu een fantastisch kabinet dat op het gebied van asiel en immigratie meer in staat was geweest dan nu om de wil van het volk op deze gebieden uit te voeren, maar het is nu eenmaal een
voxpopuli_nld_001819	20181002-0900-PLENARY-nl_20181002-18:35:03_6	Dit vormt een belangrijke schakel in het aantrekken van investeringen, in het stimuleren van innovatie en van het verbeteren van luchtkwaliteit. Onze burgers hebben recht op schone lucht. Indien het de Europese Unie menens is om de concurrentie met China aan te gaan, dan moeten onze producenten voldoende emissie arme en emissie vrije wagens aanbieden.
voxpopuli_nld_001820	20131118-0900-PLENARY-12-nl_20131118-18:28:12_7	Ik ben ook blij met de relatie met de jeugdwerkloosheid.
voxpopuli_nld_001821	20130205-0900-PLENARY-3-nl_20130205-09:49:12_0	Mevrouw de commissaris, mijnheer de minister, de Noordzee was altijd een van de allerbelangrijkste visgronden van Europa.
voxpopuli_nld_001822	20171211-0900-PLENARY-14-nl_20171211-18:30:06_9	Maar niet alleen Europa sluit zulke roofakkoorden, ook eigenaars van monsterboten mogen op eigen houtje en vaak geheel onder de radar, privédeals maken met de regeringen van ontwikkelingslanden. Dat willen we met dit verslag aan banden leggen.
voxpopuli_nld_001823	20130204-0900-PLENARY-14-nl_20130204-21:03:06_4	De regio die ik vertegenwoordig, Vlaanderen, is heel actief in dit verband.
voxpopuli_nld_001824	20170215-0900-PLENARY-17-nl_20170215-21:04:14_3	Deze mensen worden nu geconfronteerd met discriminatie en worden verder ontmoedigd om over die grenzen heen te gaan.
voxpopuli_nld_001825	20120313-0900-PLENARY-9-nl_20120313-15:35:28_3	In het Franse en Engelse taalgebied hadden ze dit direct en haarscherp door.
voxpopuli_nld_001826	20110706-0900-PLENARY-3-nl_20110706-10:16:57_2	Die feiten zijn dat men de Europese burgers brutaal en schaamteloos gedurende zeer vele jaren heeft voorgelogen.
voxpopuli_nld_001827	20120420-0900-PLENARY-5-nl_20120420-11:33:37_7	Maar wij hebben ons al te enthousiast gestort op biomassa, met als gevolg dat een groot deel biomassa op dit moment in de oven verdwijnt, terwijl het ook gebruikt zou kunnen worden voor hogere toepassingen dan energie alleen.
voxpopuli_nld_001828	20091126-0900-PLENARY-3-nl_20091126-10:05:31_7	Ik denk dat het nu te veel gebaseerd is op wantrouwen en te weinig op vertrouwen, en dat dat uiteindelijk alleen maar meer onregelmatigheden in de hand werkt.
voxpopuli_nld_001829	20110216-0900-PLENARY-13-nl_20110216-17:21:24_2	Journalisten werden belaagd, een Nederlandse correspondent is met de dood bedreigd en als triest dieptepunt is de prachtige Amerikaanse journaliste Lara Logan door een menigte seksueel misbruikt.
voxpopuli_nld_001830	20111115-0900-PLENARY-4-nl_20111115-09:39:35_4	Ik denk dat het zeer belangrijk is dat de lidstaten het roer omgooien en een politiek van ontrading voeren ten opzichte van potentiële immigranten die naar Europa komen en die geen enkel perspectief op werk of integratie hebben.
voxpopuli_nld_001831	20130312-0900-PLENARY-14-nl_20130312-17:41:29_4	Ook andere lidstaten zien hun budget wel slinken, maar die worden nog gecompenseerd met extra geld uit het plattelandsbeleid, zoals Italië en Frankrijk.
voxpopuli_nld_001832	20111025-0900-PLENARY-6-nl_20111025-11:10:22_1	Morgen komt er hopelijk een akkoord over de eurocrisis, maar steeds lezen we dat daarmee economische groei gepaard moet gaan. Je kunt niet alleen maar de eurocrisis oplossen, je moet economische groei creëren.
voxpopuli_nld_001833	20160913-0900-PLENARY-4-nl_20160913-11:24:13_7	We moeten voortrekker blijven, ook inzake schone technologie.
voxpopuli_nld_001834	20180705-0900-PLENARY-6-nl_20180705-11:29:38_5	Sinds 2015 leven 400 mensen in vluchtelingenkampen.
voxpopuli_nld_001835	20090310-0900-PLENARY-15-nl_20090310-17:12:54_11	Met uitzondering van de zee en luchtvaart, omdat daar een emissiehandelssysteem voor komt, moeten ook deze vervoerders hun externe kosten gaan betalen.
voxpopuli_nld_001836	20171213-0900-PLENARY-17-nl_20171213-17:14:17_2	Nu mogen socialistische ministers socialistische idealen nastreven, maar dit is erger.
voxpopuli_nld_001837	20090310-0900-PLENARY-13-nl_20090310-16:40:49_16	Het moet een heffing zijn, waarvan de inkomsten geherinvesteerd worden in het transportsysteem met de bedoeling om de externe kosten naar beneden te halen.
voxpopuli_nld_001838	20121211-0900-PLENARY-12-nl_20121211-20:12:25_10	De laatste keer dat het Europees Parlement dit voorstel trouwens op tafel legde, waren we nog geen medewetgever, nu wel.
voxpopuli_nld_001839	20100209-0900-PLENARY-8-nl_20100209-15:16:57_1	Daar hebben wij zorgen over.
voxpopuli_nld_001840	20180314-0900-PLENARY-14-nl_20180314-16:56:29_7	Voor Kuciak en zijn vrouw is het jammer genoeg te laat.
voxpopuli_nld_001841	20131210-0900-PLENARY-4-nl_20131210-09:18:42_10	Allereerst over het budget.
voxpopuli_nld_001842	20091216-0900-PLENARY-3-nl_20091216-10:47:19_2	Als dat het voorteken is voor de manier waarop het Stockholm programma verder uitgewerkt gaat worden een programma dat moet instaan voor onze burgerrechten, onze veiligheid, onze vrijheid dan krijg ik het idee dat de uitlegging daarvan de balans wel heel erg laat doorslaan en dat de vrijheid en de burgerrechten hier onder
voxpopuli_nld_001843	20160707-0900-PLENARY-3-nl_20160707-09:02:00_7	Ik ben echt trots dat ik een recordaantal commissies hebben kunnen betrekken bij mijn verslag, gaande van de Commissies vervoer en toerisme, juridische zaken en ontwikkelingssamenwerking tot de Commissie verzoekschriften. Dit bewijst dat beperking of handicap niet alleen maar een sociaal onderwerp is,
voxpopuli_nld_001844	20100616-0900-PLENARY-10-nl_20100616-15:19:52_4	Men had toch niet verwacht aan boord aldaar met koffie, thee en gebak te worden ontvangen?
voxpopuli_nld_001845	20180705-0900-PLENARY-nl_20180705-15:25:50_7	Zo zijn gigantische sommen belastinggeld weggestroomd zonder enige verbetering van de leefomstandigheden van bijvoorbeeld vrouwen en christelijke minderheden.
voxpopuli_nld_001846	20121211-0900-PLENARY-2-nl_20121211-10:18:13_11	Ik roep echt iedereen op om te werken aan échte innovatie en aan voldoende financiën daarvoor, zodat het een kroonjuweel kan worden en wij competitief zijn in Europa en in de wereld.
voxpopuli_nld_001847	20190115-0900-PLENARY-nl_20190115-19:49:07_1	Maar dit is een verstandige hervorming.
voxpopuli_nld_001848	20120911-0900-PLENARY-18-nl_20120911-16:39:54_9	De regering en de politie doen nauwelijks iets.
voxpopuli_nld_001849	20151124-0900-PLENARY-11-nl_20151124-16:21:56_5	Bedrijven, consumenten en overheden moeten ervoor zorgen dat maatschappelijk verantwoord ondernemen ook voor genoemde multinationals werkelijkheid wordt. Eerlijke belastingpolitiek hoort daarbij met als uitgangspunt dat winstbelasting daar wordt betaald, waar de winst wordt gemaakt. Belastingen zijn en blijven kernbevoegdheid van de lidstaten en concurrentie tussen de lidstaten op belastinggebied helpt overheden scherp en slank te blijven.
voxpopuli_nld_001850	20150209-0900-PLENARY-11-nl_20150209-20:17:37_3	De oproep van het Europees Parlement om vlees in verwerkte producten op herkomst te etiketteren zal fraude echter niet kunnen voorkomen. Als iemand paardenvlees voor rundsvlees wil verkopen, houdt een etiket hem echt niet tegen.
voxpopuli_nld_001851	20140206-0900-PLENARY-12-nl_20140206-13:20:25_2	Guy Verhofstadt bijvoorbeeld stond hier te roepen dat we zo vlug mogelijk en zoveel mogelijk wapens moesten leveren aan het verzet tegen president Assat.
voxpopuli_nld_001852	20120418-0900-PLENARY-15-nl_20120418-18:20:15_5	Wij vermijden overbelasting en dubbele belastingheffing, maar ook manipulatie met het oog op belastingontwijking.
voxpopuli_nld_001853	20120524-0900-PLENARY-4-nl_20120524-10:55:29_2	Natuurlijk wil Zwitserland goede relaties met de EU vrij handelen, vrij reizen, vrij werken, en natuurlijk wil de EU goede relaties met Zwitserland.
voxpopuli_nld_001854	20091125-0900-PLENARY-8-nl_20091125-13:56:52_2	Het resultaat daarvan zal zijn dat er nog meer immigratie zal komen, met alle problemen van dien.
voxpopuli_nld_001855	20180912-0900-PLENARY-nl_20180912-18:00:56_11	We springen bijzonder slordig om met het materiaal we produceren in de Europese Unie jaarlijks bijna 26 miljoen ton plastic afval maar zamelen slechts 30 daarvan in voor recyclage.
voxpopuli_nld_001856	20160914-0900-PLENARY-13-nl_20160914-18:18:05_2	Om uitgeprocedeerde asielzoekers terug te sturen naar het land van herkomst zijn identiteitspapieren nodig.
voxpopuli_nld_001857	20180208-0900-PLENARY-3-nl_20180208-09:33:43_7	Boze burgers hebben me al tienduizenden handtekeningen overhandigd.
voxpopuli_nld_001858	20170314-0900-PLENARY-11-nl_20170314-18:12:55_6	Denkt u echt dat consumenten gerust zijn als ze horen dat er in sommige landen niet genoeg geld is om inspecteurs op te leiden?
voxpopuli_nld_001859	20110118-0900-PLENARY-6-nl_20110118-11:05:43_19	Wie het Europa van morgen wil zien, moet kijken naar het België van nu!
voxpopuli_nld_001860	20130522-0900-PLENARY-6-nl_20130522-10:52:35_13	2.0', waar niemand zich iets van gaat aantrekken. Graag hoor ik wat de plannen van de Commissie zijn. Wordt de sociale poot louter een symbolische exercitie of gaat de Commissie samen met het Parlement werken aan een nieuw geïntegreerd sociaal economisch scorebord dat wél oog heeft voor de bestrijding van ongelijkheid, van armoede en van werkloosheid?
voxpopuli_nld_001861	20181001-0900-PLENARY-nl_20181001-20:53:18_20	Veel dorpen voelen zich vergeten.
voxpopuli_nld_001862	20160412-0900-PLENARY-15-nl_20160412-19:36:53_9	Want als wij dat met 28 lidstaten zouden doen, dan krijgen we alleen veel meer administratieve rompslomp.
voxpopuli_nld_001863	20180614-0900-PLENARY-4-nl_20180614-10:38:59_0	Vandaag start in Moskou het Wereldkampioenschap voetbal met de openingswedstrijd tussen het Russische en het Saoedische elftal.
voxpopuli_nld_001864	20150210-0900-PLENARY-4-nl_20150210-11:39:51_0	Voorzitter, het is vijf voor twaalf voor al die jongeren die staan te popelen om hun talenten op de arbeidsmarkt te laten zien, maar nu geen kans krijgen.
voxpopuli_nld_001865	20171211-0900-PLENARY-13-nl_20171211-17:32:34_1	Dit is een goede stap naar vereenvoudiging en, naar ik hoop, een vermindering van de administratieve lasten voor boeren.
