voxpopuli_nld_001949	20101019-0900-PLENARY-11-nl_20101019-18:14:25_11	Dat zijn geen eigen Europese middelen.
voxpopuli_nld_001975	20090311-0900-PLENARY-22-nl_20090311-22:11:48_5	Mevrouw de commissaris, het budget voor basisgezondheidszorg is sedert 2000 proportioneel niet eens toegenomen in het kader van het ganse pakket officiële ontwikkelingshulp. Reden genoeg dus voor dit Parlement om op basis van het verslag van de Rekenkamer een aantal vragen te stellen en een aantal aanbevelingen te formuleren aan de Commissie.
voxpopuli_nld_001976	20130704-0900-PLENARY-5-nl_20130704-10:20:03_0	Mevrouw Lambert doet heel goede suggesties om de zorg voor kwetsbare groepen veilig te stellen en ik steun haar dan ook.
voxpopuli_nld_001977	20180612-0900-PLENARY-8-nl_20180612-13:25:00_3	Als ik in mijn eigen regio kijk uitwisselingsprojecten tussen Nederlandse en Waalse scholen, leraren die tijdelijk bij een Duitse school gaan werken om de taal te leren, grensoverschrijdende stageprojecten en ga zo maar door.
voxpopuli_nld_001978	20170315-0900-PLENARY-3-nl_20170315-11:37:26_3	Dat is ook wat we zien in het kader van het debat over de toekomst van Europa.
voxpopuli_nld_001979	20090504-0900-PLENARY-11-nl_20090504-20:37:20_5	Voorzitter, tegen deze achtergrond is het een grote schande dat we in Europa nog steeds een strijd moeten voeren voor de beperking van de maximale werkweek. Van werknemers eisen dat ze structureel overwerken en lange werkweken maken, is het vernietigen van arbeidsplaatsen.
voxpopuli_nld_001980	20090311-0900-PLENARY-6-nl_20090311-10:30:34_2	Wanneer dat was gebeurd, was Europa waarschijnlijk beter in staat geweest weerbaar te reageren op economische tegenslagen.
voxpopuli_nld_001981	20131022-0900-PLENARY-18-nl_20131022-18:15:40_8	Zij waren boos dat het onderzoek hun stelling dat er grote problemen zouden zijn met uitkeringstoerisme, niet bevestigde.
voxpopuli_nld_001982	20140116-0900-PLENARY-7-nl_20140116-12:49:10_1	We denken dan allemaal aan toeristen, studenten, zakenmensen en dergelijke. Maar in de realiteit van de echte wereld gaat het er jammer genoeg heel anders aan toe. Het principe van vrij verkeer van personen wordt door het Europees Parlement en de Europese Commissie als iets heiligs beschouwd, maar daarmee worden de problemen genegeerd.
voxpopuli_nld_001983	20160511-0900-PLENARY-19-nl_20160511-22:20:02_9	Met andere woorden als de consument echt wil weten waar de ingrediënten vandaan komen en ook wil betalen voor deze extra kosten, kan die dat gewoon doen.
voxpopuli_nld_001984	20180612-0900-PLENARY-nl_20180612-13:25:00_2	En juist lokale initiatieven kunnen het verschil maken.
voxpopuli_nld_001985	20131023-0900-PLENARY-13-nl_20131023-18:31:00_9	Dankzij de compleet falende Nederlandse minister van Buitenlandse Zaken, die liever op Facebook dan op zijn eigen ministerie zit, loopt dit alles uit op een diplomatieke ruzie.
voxpopuli_nld_001986	20180613-0900-PLENARY-6-nl_20180613-11:54:43_2	Het is een genoegen u hier in het hart van de Europese democratie warme woorden te horen spreken over Europa.
voxpopuli_nld_001987	20090219-0900-PLENARY-3-nl_20090219-09:01:25_3	Ik betreur dat zeer, want het heeft een heel verkeerde indruk gewekt over de positie van het Europees Parlement. Gelukkig zijn zij op hun schreden teruggekeerd en hebben zij nu aangegeven wél voluit achter het voorstel van de Commissie te staan. De afspraak was dat wij nu niet meer in de plenaire vergadering over die amendementen zouden stechelen, maar een luid en duidelijk ja voor het voorstel van commissaris Kovács zouden laten horen. Helaas heeft mevrouw Lulling toch gemeend, hoewel dat eigenlijk niet strookt met de tekst van de wetgevingsresolutie en de procedure die wij volgen, haar verworpen amendementen opnieuw te moeten indienen. Hier in het Parlement geldt kennelijk een variant op het Latijnse gezegde Quod licet Iovi, non licet bovi dat wat een gewone parlementariër niet mag, wél aan mevrouw Lulling is toegestaan.
voxpopuli_nld_001988	20130206-0900-PLENARY-11-nl_20130206-17:20:36_10	Ook andere Europese regeringen zitten in hun maag met het recht dat burgers een eigen mening geeft, om maar niet te spreken van allerhande schurkenstaten in Afrika, het Midden Oosten, de voormalige landen van de Sovjet Unie, ja eigenlijk overal ter wereld.
voxpopuli_nld_001989	20101110-0900-PLENARY-9-nl_20101110-17:16:02_4	Het is een opportuniteit om versplinterde materie tot een eenheid te brengen.
voxpopuli_nld_001990	20170531-0900-PLENARY-16-nl_20170531-22:22:33_2	Alleen al het gebruik van internet overtreft alles wat er tot nu toe over werd voorspeld.
voxpopuli_nld_001991	20180704-0900-PLENARY-nl_20180704-18:41:26_2	Ook al zijn de problemen die Roma families ervaren, algemeen bekend, toch was ik opnieuw aangedaan door de schrijnende omstandigheden vervallen huizen, veel dakloosheid onder alle leeftijdsgroepen en een gebrek aan perspectief voor de mensen die daar wonen.
voxpopuli_nld_001992	20171003-0900-PLENARY-15-nl_20171003-20:21:26_6	Het kan toch niet zo zijn dat Ryanair beschermd wordt door de Ierse toezichthouder op dit soort punten?
voxpopuli_nld_001993	20171115-0900-PLENARY-24-nl_20171115-22:17:17_10	Dat gaat maar op één voorwaarde lukken met de medewerking van iedereen politiek, telers, exporteurs, verwerkers en consumenten.
voxpopuli_nld_001994	20141021-0900-PLENARY-5-nl_20141021-10:37:07_13	Het is politiek gezien niet altijd gemakkelijk om uit te leggen wat er moet gebeuren
voxpopuli_nld_001995	20180312-0900-PLENARY-16-nl_20180312-21:20:29_10	Vandaag geeft het Europees Parlement alvast een sterk signaal.
voxpopuli_nld_001996	20120612-0900-PLENARY-4-nl_20120612-10:37:42_3	En nu Nederland er niet aan voldoet, zou het heel onverstandig zijn om nu zwaar te bezuinigen en onze economie kapot te maken, want de economie in Nederland is té belangrijk om nu te verkwanselen.
voxpopuli_nld_001997	20180315-0900-PLENARY-3-nl_20180315-09:28:48_16	Doe daar alstublieft wat mee, want de volgende stap moet een ander product zijn.
voxpopuli_nld_001998	20090422-0900-PLENARY-22-nl_20090422-23:41:11_10	Helaas maakt het voorstel Albertini van dit belangrijke onderdeel toch weer een lege huls.
voxpopuli_nld_001999	20140313-0900-PLENARY-7-nl_20140313-10:08:16_8	Wie het breed heeft, kan het breed laten hangen.
voxpopuli_nld_002000	20131022-0900-PLENARY-5-nl_20131022-10:41:34_1	Neen, het zijn opnieuw de lidstaten, de belastingbetalers in de lidstaten, die weer eens de rekening moeten gaan betalen.
voxpopuli_nld_002001	20170705-0900-PLENARY-17-nl_20170705-20:09:32_11	Als je niet bereid bent om er iets aan te doen, dan wil ik de Raad en wil ik ook mijn eigen leiders thuis er de komende vijf jaar niet meer over horen.
voxpopuli_nld_002002	20110609-0900-PLENARY-4-nl_20110609-11:39:29_2	Als Fukushima ons iets heeft geleerd, dan is het met name dat we niet voorbereid zijn op rampen, dat we niet voorbereid zijn op allerlei dingen die kunnen gebeuren met de grootst mogelijke gevolgen.
voxpopuli_nld_002003	20090401-0900-PLENARY-13-nl_20090401-17:28:13_9	Ik heb met heel veel spanning uitgekeken naar vandaag.
voxpopuli_nld_002004	20090311-0900-PLENARY-6-nl_20090311-10:30:34_10	De crisis geeft ons de mogelijkheid en zelfs de plicht om broodnodige hervormingen door te voeren.
voxpopuli_nld_002005	20090401-0900-PLENARY-13-nl_20090401-17:28:13_18	Ik hoop daarvoor op een zo groot mogelijke meerderheid.
voxpopuli_nld_002006	20150415-0900-PLENARY-14-nl_20150415-19:23:09_1	Je ziet in veel landen dat er een quotasysteem bestaat, maar nog altijd vinden mensen met een beperking geen werk.
voxpopuli_nld_002007	20131021-0900-PLENARY-9-nl_20131021-18:30:38_4	Kan het dan alleen maar meevallen?
voxpopuli_nld_002008	20180912-0900-PLENARY-nl_20180912-16:04:33_1	Ik denk dat ik niet de eerste ben om dit vanmiddag te benadrukken zal er nog een pensioen zijn voor ons, voor mijn generatie? De vergrijzing is een feit.
voxpopuli_nld_002009	20180612-0900-PLENARY-nl_20180612-13:25:00_7	Wij moeten ervoor zorgen dat deze mensen voor hun kinderen via de computer toegang hebben tot direct hoogwaardig onderwijs, waar in Europa ze ook zijn.
voxpopuli_nld_002010	20090401-0900-PLENARY-13-nl_20090401-17:28:13_17	Maar tot nu toe wilde een overgrote meerderheid van het Parlement dat de huidige scheve situatie gerepareerd wordt en het is deze boodschap die we morgen aan de Raad moeten geven.
voxpopuli_nld_002011	20090917-0900-PLENARY-3-nl_20090917-10:37:30_8	Ik ben blij dat de Commissie aanvaardt dat het bedrijfsleven een grote rol speelt.
voxpopuli_nld_002012	20101110-0900-PLENARY-9-nl_20101110-15:28:35_0	Voorzitter, vicevoorzitter, commissaris, dames en heren parlementsleden, het is u bekend dat wij al een tijdje een debat voeren over de samenwerking tussen de Verenigde Staten en Europa, en met name op 28 mei 2010 een voorstel van de Commissie hebben gekregen
voxpopuli_nld_002013	20180704-0900-PLENARY-nl_20180704-18:41:26_10	Of we het nu hebben over Roma in Józsefváros in Boedapest of in de Italiaanse steden, uitsluiting en discriminatie van de Roma moet in alle lidstaten worden bestreden.
voxpopuli_nld_002014	20130207-0900-PLENARY-4-nl_20130207-11:08:32_1	In die tijd heeft ze krediet verleend aan een veelheid van projecten.
voxpopuli_nld_002015	20090311-0900-PLENARY-6-nl_20090311-10:30:34_0	Voorzitter, nu de oorspronkelijke termijn van de Lissabon strategie op zijn eind loopt, kan er vastgesteld worden dat de doelen die de regeringsleiders in 2000 gesteld hebben, onvoldoende zijn gerealiseerd.
voxpopuli_nld_002016	20111116-0900-PLENARY-9-nl_20111116-17:12:47_4	en functie gaan hier nadrukkelijk samen.
voxpopuli_nld_002017	20131022-0900-PLENARY-18-nl_20131022-19:14:28_5	Als ik zie dat bijvoorbeeld mensen uit Bulgarije vanuit Nederland een ziektekostenvergoeding krijgen, terwijl zij niet in Nederland wonen, dan weet ik dat op de gemeente ook niet gevraagd is heeft hij een ziektekostenverzekering elders in Europa?
voxpopuli_nld_002018	20150415-0900-PLENARY-11-nl_20150415-18:01:48_3	Elke toepassing van islamitisch recht op christenen zal resulteren in gebeurtenissen die wij genocide noemen, want onder het islamitische sharia recht heeft de niet moslim geen rechten!
voxpopuli_nld_002019	20120328-0900-PLENARY-12-nl_20120328-17:51:13_0	Voorzitter, collega Oomen Ruijten weet dat de PVV de islam in Europa wil tegengaan.
