M-AILABS_spa_000088	angelina_03_delgado_f000007	Las plantas del jardincillo se balanceaban rumorosas.
M-AILABS_spa_000112	angelina_03_delgado_f000057	dejando ver unos pies brevísimos, pasaba y huía, e iba a perderse entre la sombra que proyectaba en el muro el blanco lechola dulce niña objeto de mi primer amor,
M-AILABS_spa_000113	angelina_18_delgado_f000046	Hay una mantequilla que...
M-AILABS_spa_000114	corte_de_carlos_iv_12_perezgaldos_f000084	Después se dijo que los papeles encontrados en poder del Príncipe contenían la clave de terribles proyectos
M-AILABS_spa_000115	angelina_55_delgado_f000005	con dos o tres líneas trazaba la silueta de un buey o de una vaca, sus animales predilectos, predilectos porque les tenía miedo.
M-AILABS_spa_000116	eneida_24_virgilio_f000038	sin soltar ninguno el escudo ni los dardos, y puesto en medio de ellos, les habla así desde su altura:
M-AILABS_spa_000117	arapiles_39_perezgaldos_f000032	Para reproducir en el lienzo la extraña figura de aquel hombre, a quien los ayunos y la exaltación de la fantasía llevaran a estado tan lastimoso, no bastaría el pincel de Zurbarán, no;
M-AILABS_spa_000118	bailen_32_perezgaldos_f000042	El día nueve el mismo José traspasaba la frontera para venir a gobernarnos.
M-AILABS_spa_000119	cuentosclasicosprimera_08_poe_f000017	Sin embargo, el cálculo no es el análisis propiamente dicho.
M-AILABS_spa_000120	corte_de_carlos_iv_04_perezgaldos_f000183	que si no miente la historia por abreviar la operación de sacar y destapar la tabaquera
M-AILABS_spa_000121	arapiles_39_perezgaldos_f000028	-Por piedad, por todos los santos, por la salvación de su alma, amado hermano mío, modérese usted, refrene esos livianos apetitos,
M-AILABS_spa_000122	bailen_12_perezgaldos_f000016	Esta palabra no era entonces palabra, era un puñal: víctimas de ella fueron Solano en Cádiz, Filangieri en Galicia, Cevallos en Valladolid, Ordóñez en Palencia, el conde del Águilaen Sevilla,
M-AILABS_spa_000123	damadelascamelias_26_dumas_f000131	Elconde de N... me mandó ayer dinero que no quise aceptar.
M-AILABS_spa_000124	angelina_49_delgado_f000018	Toda la familia estaba allí reunida.
M-AILABS_spa_000125	arapiles_42_perezgaldos_f000189	he querido conquistar con el terror y la violencia lo que a mi entender me pertenecía; he tenido más fe en la maldad que en la virtud de los hombres;
M-AILABS_spa_000126	napoleonenchamartin_20_perezgaldos_f000080	-Ya estamos en casa -me dijo cuando entramos-.
M-AILABS_spa_000127	corte_de_carlos_iv_15_perezgaldos_f000033	Pero cada cosa a su tiempo y los nabos en Adviento.
M-AILABS_spa_000128	cuentosclasicosprimera_02_poe_f000046	busqué la llave en el sitio donde yo sabía que la ocultaban de ordinario, abrí la puerta y entré.
M-AILABS_spa_000129	eneida_19_virgilio_f000154	si no se hubieran apiñado delante de ti, para cubrirte, los siete hijos de Forco, disparando a la vez sus siete dardos, de los cuales, unos rebotan, sin causar estrago en el yelmo y en el escudo de Eneas,
M-AILABS_spa_000130	arapiles_35_perezgaldos_f000112	Había llegado la ocasión de que muriese estoicamente uno para resguardar con su   cuerpo al que daba un paso atrás.
M-AILABS_spa_000131	corte_de_carlos_iv_13_perezgaldos_f000109	-Tú no serás así -dijo Amaranta sonriendo-;
M-AILABS_spa_000132	angelina_29_delgado_f000049	Nos dio por la jardinería.
M-AILABS_spa_000133	bailen_11_perezgaldos_f000166	¡Por qué no os hundisteis sobre mí!
M-AILABS_spa_000134	arapiles_40_perezgaldos_f000034	¿No me has entregado las llaves?
M-AILABS_spa_000135	el19demarzoyel2demayo_11_perezgaldos_f000009	Conque a todos nos han de poner... porque, chico, esto de la montería me cansa, y para algo más que para cuidar perros y machos de perdiz, me parece que nos echaron nuestras madres al mundo.
M-AILABS_spa_000136	napoleonenchamartin_18_perezgaldos_f000124	La agitación en el interior de la villa persistía;
M-AILABS_spa_000137	eneida_08_virgilio_f000054	así, pues, obedeció sus órdenes...
M-AILABS_spa_000138	bailen_17_perezgaldos_f000022	¿Y tú, Gabriel?
M-AILABS_spa_000139	trafalgar_10_perezgaldos_f000102	la colonia descubierta y conquistada por sus ascendientes, el puerto donde amarraban su embarcación fatigada del largo viaje;
M-AILABS_spa_000140	trafalgar_04_perezgaldos_f000009	Tenemos quince navíos, y los francesitos veinticinco barcos.
M-AILABS_spa_000141	angelina_19_delgado_f000063	sino también cuando me considero felizgrata inclinación al suicidio, en la cual no he parado mientes hasta después de cumplir los treinta años,
M-AILABS_spa_000142	napoleonenchamartin_07_perezgaldos_f000239	pero mi tía le tiene cariño y por eso sigue en la casa...
M-AILABS_spa_000143	damadelascamelias_20_dumas_f000019	- Sí, padre mio: lo confieso.
M-AILABS_spa_000144	el19demarzoyel2demayo_27_perezgaldos_f000256	el otro, acaudillando un pequeño grupo, se arrojaba sobre la avanzada francesa, destrozándola antes de que tuviera tiempo de reponerse.
M-AILABS_spa_000145	damadelascamelias_17_dumas_f000031	-Hemos recorrido detenidamente la casa; estaremos en ella á las mil maravillas.
M-AILABS_spa_000146	damadelascamelias_14_dumas_f000067	Hasta llegué á creer que ella misma iba á venir á mi casa;
M-AILABS_spa_000147	eneida_22_virgilio_f000051	en vez de diadema de oro, en vez de flotante manto, una piel de tigre le pendía de la cabeza sobre la espalda.
M-AILABS_spa_000148	arapiles_05_perezgaldos_f000099	me he derretido y moldeado en un desconocido crisol que me dejó para siempre en aquella ruin forma primera.
M-AILABS_spa_000149	eneida_14_virgilio_f000109	Dos puertas hay en el templo de la guerra, así las llaman, consagradas por la religión y por el miedo al cruento Marte; guárdanlas cien cerrojos de bronce e indestructibles barras de hierro, y Jano, además, las custodia permanentemente.
M-AILABS_spa_000150	damadelascamelias_03_dumas_f000010	la marquesa de T vacilaba en comprar un mueble sobre el cual hacia pujas madama D la esposa adúltera mas elegante y mas conocida de nuestra época;
M-AILABS_spa_000151	corte_de_carlos_iv_09_perezgaldos_f000120	Me da miedo; y si llega a oídos del señor Príncipe de la Paz, figúrense Ustedes qué disgusto.
M-AILABS_spa_000152	trafalgar_04_perezgaldos_f000020	Oyéndoles hablar, me ha parecido a veces que la lengua es un órgano que les estorba.
M-AILABS_spa_000153	trafalgar_14_perezgaldos_f000064	En resumen, la lucha terminó felizmente, porque los ingleses comprendieron la imposibilidad de represar al Santa Ana,
M-AILABS_spa_000154	el19demarzoyel2demayo_22_perezgaldos_f000145	Inés lloraba.
M-AILABS_spa_000155	trafalgar_09_perezgaldos_f000071	Pero la moda era entonces tan tirana como ahora, y aun en aquel tiempo imponía de un modo apremiante sus enfadosas ridiculeces.
M-AILABS_spa_000156	cuentosclasicosprimera_01_poe_f000026	Llevaba un ceñido traje a rayas, y en la cabeza el gorro cónico y los cascabeles.
M-AILABS_spa_000157	arapiles_09_perezgaldos_f000137	-¿Por qué no? -Caballero -dijo súbitamente deteniendo el paso-.
M-AILABS_spa_000158	cuentosclasicosprimera_05_poe_f000376	-Estas manifestaciones que os perturban son simplemente fenómenos eléctricos bastante comunes,
M-AILABS_spa_000159	damadelascamelias_15_dumas_f000026	-Porque se hallaba conmigo en el teatro, y al salir de aquí yo queria tener alguien que me acompañase.
M-AILABS_spa_000160	cuentosclasicosprimera_03_poe_f000294	Al principio, el único efecto obtenido fué que se reforzaran las líneas débiles de la calavera;
M-AILABS_spa_000161	corte_de_carlos_iv_22_perezgaldos_f000006	pero al fin me fue forzoso abandonarlos, y bajé a casa de la marquesa muy afligido.
M-AILABS_spa_000162	bailen_29_perezgaldos_f000052	-Vamos a ver -dijo con un aplome, con una firmeza que me asombraron, pues no suponía tanto valor en el alma de una mujer.
M-AILABS_spa_000163	trafalgar_13_perezgaldos_f000137	y si escapase a mis miradas o a las de los valientes oficiales que tengo el honor de mandar, sus remordimientos le seguirán mientras arrastre el resto de sus días miserable y desgraciado.
M-AILABS_spa_000164	el19demarzoyel2demayo_14_perezgaldos_f000070	y así te quedará tiempo para apalear las capas, encender el fuego y soplarlo, devanar el hilo de la costura, poner los números a las papeletas, aviar la lamparilla,
M-AILABS_spa_000165	arapiles_18_perezgaldos_f000036	los parapetos hechos con columnatas de los templos, los espaldones amasados con el polvo y la tierra que fueron huesos y carne de venerables monjas y frailes;
M-AILABS_spa_000166	cuentosclasicosprimera_05_poe_f000342	Pero mis esfuerzos fueron infructuosos.
M-AILABS_spa_000167	damadelascamelias_04_dumas_f000032	-Hablad, caballero.
M-AILABS_spa_000168	damadelascamelias_09_dumas_f000115	Yo no veia nada, parecia que toda mi alma se había reconcentrado en mi corazón, y mi corazón en mis ojos.
M-AILABS_spa_000169	cuentosclasicosprimera_08_poe_f000203	Pensabais en la inmolación del pobre remendón.
M-AILABS_spa_000170	damadelascamelias_20_dumas_f000119	-Porque tengo ya la edad en que no se obedece á un mandato.
M-AILABS_spa_000171	el19demarzoyel2demayo_23_perezgaldos_f000022	No tiene Usted pizca de caridad si nose lo dice al señor alcalde de casa y corte.
M-AILABS_spa_000172	cuentosclasicosprimera_02_poe_f000281	Por mi parte me había encargado de dos linternas sordas
M-AILABS_spa_000173	arapiles_33_perezgaldos_f000035	-¡Viva lord Wellington!
M-AILABS_spa_000174	angelina_59_delgado_f000109	Estás en uno de los momentos más solemnes de tu vida¡mira lo que haces! No eres codicioso ni avaro;
M-AILABS_spa_000175	angelina_00_delgado_f000033	El protagonista de Angelina confiesa que sabe de memoria versos de Justo Sierra y prosas de Altamirano.
M-AILABS_spa_000176	arapiles_07_perezgaldos_f000001	Capitulo Séptimo de La batalla de los Arapiles de Benito Pérez Galdós.
M-AILABS_spa_000177	cuentosclasicosprimera_02_poe_f000344	Mira hacia abajo del árbol y cuenta las ramas de este lado debajo de ti.
M-AILABS_spa_000178	damadelascamelias_26_dumas_f000276	La he vestido conforme me había suplicado que lo hiciera;
M-AILABS_spa_000179	cuentosclasicosprimera_12_poe_f000050	y acercándonos gradualmente al centro del remolino, y luego cada vez más y más cerca de su horrendo margen.
M-AILABS_spa_000180	cuentosclasicosprimera_03_poe_f000058	colocando la mano sobre su órgano visual derecho y manteniéndola allí con pertinacia como si temiera que su amo intentara arrancárselo.
