voxpopuli_slk_002349	20180118-0900-PLENARY-10-sk_20180118-12:26:25_4	Štáty si musia zachovať právomoc určiť, aký zväzok považujú za manželstvo.
voxpopuli_slk_002365	20140114-0900-PLENARY-6-sk_20140114-13:15:52_6	V záujme zrovnoprávnenia prístupu všetkých ku zdravotnej starostlivosti treba v oblasti elektronického zdravotníctva brať do úvahy aj zvyšovanie digitálnej gramotnosti, predovšetkým ľudí v odľahlých oblastiach, ale aj staršej generácie, ktorá nesmie byť povahou veci marginalizovaná.
voxpopuli_slk_002366	20150325-0900-PLENARY-12-sk_20150325-18:59:50_4	Keď sme v roku 2010 schvaľovali Ukrajine makrofinančnú pomoc, súčasťou uznesenia bola aj podmienka dôkladného vykonávania nevyhnutných štrukturálnych reforiem či opatrenia, ktoré má prijať Ukrajina v oblasti predchádzania a boja proti podvodom a korupcii.
voxpopuli_slk_002367	20090504-0900-PLENARY-14-sk_20090504-21:32:58_3	Vďaka vám všetkým sa nám podarilo vo väčšine prípadov nájsť spoločnú cestu a spoločné riešenie.
voxpopuli_slk_002368	20101216-0900-PLENARY-14-sk_20101216-16:08:10_1	Pri svojej nelegálnej púti za slobodou sú však odkázaní na asistenciu prevádzačov, ktorí sú ochotní za mastný bakšiš pomôcť utečencom prejsť aj bez potrebných dokladov cez sinajskú hranicu. V tomto divokom obchode nemajú utečenci v rukách prevádzačských gangov takmer žiadne práva, sú odkázaní na priazeň či nepriazeň osudu a na svojvôľu tých,
voxpopuli_slk_002369	20110215-0900-PLENARY-17-sk_20110215-21:44:09_1	Albánski socialisti vedení Edim Ramom obviňujú predsedu vlády Saliho Berishu nielen z volebného podvodu, ale aj zo zodpovednosti za rozsiahlu korupciu a zhoršujúce sa životné podmienky obyvateľstva.
voxpopuli_slk_002370	20110608-0900-PLENARY-10-sk_20110608-15:33:17_6	Ak už abstrahujeme od akejsi romantickej, takmer monarchistickej predstavy, v ktorej duchu je znenie preambuly, dovoľte spomenúť niektoré oblasti, ktoré vnímame na rozdiel od našich kolegov z Fidezsu, ktorí sú takisto poslancami Európskeho parlamentu, veľmi citlivo.
voxpopuli_slk_002371	20150325-0900-PLENARY-15-sk_20150325-20:17:58_10	To znamená v prípade prepravcov, nech pre kapotáž platí minimálna mzda, avšak nie pre transport, nie pre export a nie pre import.
voxpopuli_slk_002372	20130612-0900-PLENARY-13-sk_20130612-16:29:15_2	Pokiaľ sa Turecku nepodarí znovu zosúladiť sekularizmus a demokraciu s islamom, je možné očakávať omnoho hlbšie problémy.
voxpopuli_slk_002373	20120523-0900-PLENARY-3-sk_20120523-10:33:45_6	Z postojov našich hlavných obchodných partnerov je zrejmé, že na globálnej úrovni to nebude.
voxpopuli_slk_002374	20140918-0900-PLENARY-7-sk_20140918-11:40:04_5	Dúfajme, že to nielen odradí násilníkov od ďalších podobných útokov, ale hlavne skončí prenasledovanie pôvodných menšín v regióne.
voxpopuli_slk_002375	20150909-0900-PLENARY-7-sk_20150909-14:33:20_3	V súčasnosti je však prioritou zachrániť životy tých ľudí, ktorí sú v ohrození.
voxpopuli_slk_002376	20120419-0900-PLENARY-17-sk_20120419-22:30:50_0	Informačné a komunikačné technológie, ktoré tu podáva pani spravodajkyňa Ţicău, sa stali bežnou súčasťou každodenného života moderného človeka, ako také významne ovplyvňujú celkové hospodárske, politické, ale aj sociálne dianie.
voxpopuli_slk_002377	20110405-0900-PLENARY-9-sk_20110405-17:34:14_7	Šetrenie prostriedkov musí mať ale na druhej strane aj svoje hranice, aby nešlo na úkor kvality práce, ktorú v európskych inštitúciách vykonávame.
voxpopuli_slk_002378	20141021-0900-PLENARY-4-sk_20141021-09:35:58_5	Na vytvorenie pracovných miest je potrebný úplný opak.
voxpopuli_slk_002379	20120215-0900-PLENARY-12-sk_20120215-17:27:39_8	To je kľúčové poučenie napríklad aj z post husajnovského Iraku.
voxpopuli_slk_002380	20131119-0900-PLENARY-6-sk_20131119-13:55:13_1	V tejto chvíli možno prerušenie dodávok ruského plynu do Európy nehrozí, ale všetci si pamätáme na zimy v rokoch 2006
voxpopuli_slk_002381	20190327-0900-PLENARY-sk_20190327-19:45:46_3	A nebudú len v chudobných krajinách.
voxpopuli_slk_002382	20110705-0900-PLENARY-14-sk_20110705-23:43:55_4	Podporujem túto iniciatívu na európskej úrovni a vítam iniciatívu Komisie na predstavenie vhodnej legislatívy už v roku 2012. Tiež si ale myslím, že je potrebné ženy motivovať a zaviesť vhodné legislatívne opatrenia na to, aby mohli ľahšie zladiť profesionálny život s rodinným, napríklad v oblasti starostlivosti o deti a podobne.
voxpopuli_slk_002383	20110307-0900-PLENARY-27-sk_20110307-21:59:37_5	Ani jemu, ani našej slovutnej európskej zdravotnej organizácii ECDC.
voxpopuli_slk_002384	20190313-0900-PLENARY-sk_20190313-18:40:45_0	Vážená pani predsedajúca, vážený pán podpredseda Európskej Komisie, ľudia si pamätajú finančnú pomoc Grécku ako krajinu, ktorú finančná kríza postihla najviac. Krajiny eurozóny vtedy vytvorili Európsky nástroj finančnej stability.
voxpopuli_slk_002385	20140114-0900-PLENARY-9-sk_20140114-17:20:49_2	V tomto kontexte zdôrazňujem nutnosť zjednodušenia verejného obstarávania a odstránenie nadbytočnej byrokracie, napríklad aj systematickým používaním elektronického obstarávania.
voxpopuli_slk_002386	20110914-0900-PLENARY-8-sk_20110914-12:50:46_3	Predložený návrh na osobitnú reguláciu trhov s energiou uznáva osobitný charakter týchto trhov a zároveň navrhuje, aby sa naň vzťahovali pravidlá o zneužívaní trhu a obchodovaní s využitím dôverných informácií uplatňované na finančné trhy.
voxpopuli_slk_002387	20090202-0900-PLENARY-16-sk_20090202-22:41:13_25	Moja politická skupina PPE DE je hrdá na podporu politiky nediskriminácie, ktorá presadzuje všeobecné dobro, ktorá rešpektuje špecifiká a komplementárnosť muža a ženy.
voxpopuli_slk_002388	20101018-0900-PLENARY-11-sk_20101018-20:56:19_3	Rozhodne nechcem svojim vystúpením znehodnocovať rokovania medzi Úniou a USA, a stále som presvedčená, že práve Spojené štáty sú našim najsilnejším spojencom.
voxpopuli_slk_002389	20111024-0900-PLENARY-10-sk_20111024-18:05:48_4	Pritom systém zliav založený na študentskom preukaze už roky funguje nielen v celej Európe, ale aj v mnohých ďalších krajinách sveta.
voxpopuli_slk_002390	20101215-0900-PLENARY-15-sk_20101215-19:26:47_3	Za kľúčové strategické partnerstvo považujem kooperáciu s Ruskom, kde NATO potrebuje prehĺbiť praktickú spoluprácu, aby mohlo čeliť moderným hrozbám medzinárodného terorizmu, pirátstva, obchodovaniu s ľuďmi či drogami.
voxpopuli_slk_002391	20180419-0900-PLENARY-12-sk_20180419-13:03:01_12	Ale som za ochranu novinárov a očakávam od Komisie účinnú európsku legislatívu pre ochranu novinárov.
voxpopuli_slk_002392	20141126-0900-PLENARY-14-sk_20141126-19:10:19_1	Podľa článku 14 majú štáty rešpektovať práva a povinnosti rodičov pri usmerňovaní dieťaťa vo vzťahu k výkonu jeho práva na slobodu myslenia, svedomia a náboženstva.
voxpopuli_slk_002393	20120702-0900-PLENARY-21-sk_20120702-22:40:49_7	Bohužiaľ, tá doprava, výmena tovaru je taká, že je limitovaná, obmedzená istými politickými bariérami.
voxpopuli_slk_002394	20150225-0900-PLENARY-8-sk_20150225-18:19:02_6	Tá situácia je naozaj ťažká, ale musím vyzvať gréckych politikov a grécku vládu k takej istej solidarite, k akej sme sa pripojili my napríklad u nás na Slovensku, kde vyše 60 obyvateľov zarába len 500 EUR, sme jednoducho túto solidaritu podporili a pomohli gréckej vláde.
voxpopuli_slk_002395	20111201-0900-PLENARY-8-sk_20111201-13:02:35_2	Únia aktívne podporuje univerzálne ľudské práva a obhajuje ich nielen v rámci svojho územia, ale aj vo vzťahoch s tretími krajinami.
voxpopuli_slk_002396	20090914-0900-PLENARY-13-sk_20090914-17:37:31_1	Za použitia poloprávd, často aj klamstiev, sa pokúšajú manipulovať európsku verejnú mienku vo svoj prospech.
voxpopuli_slk_002397	20171002-0900-PLENARY-12-sk_20171002-18:56:56_1	Keď uvádzala svoj návrh zákona, ktorým boli vo Francúzsku legalizované potraty, povedala „Žiadna žena nie je šťastná, keď sa musí uchýliť k potratu. Len počúvajte ženy.
voxpopuli_slk_002398	20090504-0900-PLENARY-10-sk_20090504-19:32:37_2	Musíme však byť realisti, pretože dobre mienené návrhy môžu byť niekedy problematické.
voxpopuli_slk_002399	20201019-0900-PLENARY-sk_20201019-19:53:39_3	Niekto niečo vyrobil, či vytvoril a ak to iný bez dovolenia okopíroval, porušil tak zákon.
voxpopuli_slk_002400	20180312-0900-PLENARY-13-sk_20180312-19:18:53_1	V každom štáte Európskej únie chýbajú deti, ktoré sú našou budúcnosťou.
voxpopuli_slk_002401	20111116-0900-PLENARY-14-sk_20111116-21:26:14_4	Najmä výskum v oblasti štiepenia jadra prináša nové poznatky a efektívnejšie a bezpečnejšie možnosti prístupu k stabilnému bezuhlíkovému zdroju energie.
voxpopuli_slk_002402	20141022-0900-PLENARY-10-sk_20141022-16:43:59_6	islamského štátu a označiť ich za zločincov.
voxpopuli_slk_002403	20100907-0900-PLENARY-14-sk_20100907-23:11:27_5	Prvým problémom je, že voľnosť pohybu registrovaných partnerov je daná tým, či legislatíva hostiteľského štátu považuje registrované partnerstvo za ekvivalent manželstva.
voxpopuli_slk_002404	20101124-0900-PLENARY-30-sk_20101124-15:42:45_4	Popri zaistení bezpečnosti dodávok energií, podpore vývoja a výskumu sa nezabúda ani na potrebu väčšej energetickej efektívnosti a využitie energií z obnoviteľných zdrojov.
voxpopuli_slk_002405	20100909-0900-PLENARY-8-sk_20100909-12:42:30_2	Nechceme, aby bol ktokoľvek potrestaný za priestupky iného len preto, lebo obaja patria k rovnakému etniku.
voxpopuli_slk_002406	20120524-0900-PLENARY-12-sk_20120524-15:22:54_2	Jednoducho vo Venezuele nefungujú kontrolné mechanizmy, ktoré by tomuto zabránili.
voxpopuli_slk_002407	20180611-0900-PLENARY-sk_20180611-22:03:30_5	To však musí platiť len vtedy, to však bude platiť len vtedy, ak smernice a nariadenia budú používať jasne definované pojmy.
voxpopuli_slk_002408	20121210-0900-PLENARY-32-sk_20121210-21:31:20_4	Je známe, že v mnohých krajinách máme k dispozícii prevenciu rakoviny krčka maternice, ale nie všetky ženy sú ochotné prísť na preventívnu prehliadku.
