voxpopuli_spa_003785	20190918-0900-PLENARY-es_20190918-09:31:07_11	El actual responsable del caos tiene un nombre Boris Johnson.
voxpopuli_spa_003800	20201008-0900-PLENARY-es_20201008-11:55:16_1	Y eso sucede porque Nicaragua sufre un Gobierno comunista, un Gobierno sandinista, marxista, revolucionario, perteneciente a esa alianza mal conocida como socialismo del siglo XXI, un grupo de Gobiernos totalitarios que debemos combatir sin atajos ni concesiones, si de verdad queremos exportar al mundo nuestro modelo de democracia liberal, de respeto a las libertades individuales y a los derechos humanos.
voxpopuli_spa_003801	20151027-0900-PLENARY-14-es_20151027-18:29:10_3	Es humillación, es explotación, es una vida imposible para personas que han crecido, nacido y siguen creciendo y naciendo en la ocupación.
voxpopuli_spa_003802	20150707-0900-PLENARY-6-es_20150707-13:36:35_9	Y la gente no olvidará jamás que ustedes prefieren repartirse el pastel con los grandes especuladores en lugar de proteger a las personas.
voxpopuli_spa_003803	20090309-0900-PLENARY-12-es_20090309-18:46:16_2	Son orientaciones porque incluyen las prioridades políticas de este Parlamento, a las que hay que dar contenido y dotación presupuestaria.
voxpopuli_spa_003804	20190130-0900-PLENARY-es_20190130-18:55:26_0	Señora presidenta, el pasado 23 de enero, el presidente de la Asamblea Nacional, Juan Guaidó, cumplió con lo establecido en la Constitución venezolana y asumió de manera interina la presidencia del país.
voxpopuli_spa_003805	20131209-0900-PLENARY-14-es_20131209-17:29:12_0	Señor Presidente, para el Grupo del Partido Popular Europeo el proceso negociador tras la primera lectura ha permitido incorporar a la futura PPC aspectos que para nosotros eran esenciales y que, sin restarle ambición, le añaden realismo y la flexibilidad que estaban ausentes tanto de la propuesta inicial de la Comisión como del informe de la ponente.
voxpopuli_spa_003806	20140205-0900-PLENARY-6-es_20140205-11:13:38_2	Y creo que, de cara al desarrollo de lo que vendrá después del Programa de Estocolmo, a las ambiciones futuras con las que tendremos que trabajar en la próxima legislatura, el gran desafío es darle una oportunidad verdadera a la inmigración legal, que es la mejor manera de combatir la inmigración irregular y, sobre todo, la explotación inhumana de los trabajadores y de restituir
voxpopuli_spa_003807	20150309-0900-PLENARY-10-es_20150309-17:43:59_9	Por eso apoyo este informe.
voxpopuli_spa_003808	20130313-0900-PLENARY-4-es_20130313-11:12:46_3	Hay países como el mío, Señorías, España, que ha realizado un enorme esfuerzo de contención del déficit y que está llevando a cabo una agenda reformista muy ambiciosa.
voxpopuli_spa_003809	20090324-0900-PLENARY-3-es_20090324-09:49:29_2	Por un lado, la importancia de la política de cohesión como instrumento para articular el desarrollo equilibrado de la Unión Europea, evitando cualquier intento de renacionalización de estas políticas.
voxpopuli_spa_003810	20150128-0900-PLENARY-9-es_20150128-18:45:53_32	Al mismo tiempo seguiremos trabajando conjuntamente con el sector privado y otras instituciones internacionales, como el Banco Mundial, para movilizar más recursos.
voxpopuli_spa_003811	20130205-0900-PLENARY-7-es_20130205-13:12:16_5	Por eso he votado a favor de este informe.
voxpopuli_spa_003812	20200917-0900-PLENARY-es_20200917-10:44:36_6	¿Por qué no vamos a ver a Turquía, que ha estado manipulando a estos refugiados, a estos inmigrantes ilegales que se acumulan allí, que no tienen, ninguno de ellos, derecho al asilo, que tenían que haber sido deportados y llevados a sus países de origen hace tiempo, pero que son utilizados por Turquía?
voxpopuli_spa_003813	20170404-0900-PLENARY-19-es_20170404-20:53:10_2	Y gracias a esta oposición, al menos fuimos capaces de conseguir algunos logros una mayor flexibilidad, una revisión intermedia obligatoria, una hoja de ruta para la reforma del sistema de ingresos de la Unión, e incluso algunas nuevas prioridades como, por ejemplo, la Garantía Juvenil europea.
voxpopuli_spa_003814	20100616-0900-PLENARY-3-es_20100616-11:01:09_9	En segundo lugar, queremos que se establezcan, desde ya, mecanismos para la remodelación de las entidades que pueden hacer colapsar el sistema en su totalidad.
voxpopuli_spa_003815	20180228-0900-PLENARY-17-es_20180228-18:15:40_2	La xenofobia se ha convertido en política oficial en algunos países, que hacen de la defensa de una supuesta identidad un recurso para la represión y la exclusión de refugiados e inmigrantes.
voxpopuli_spa_003816	20191127-0900-PLENARY-es_20191127-10:00:44_21	Y la mejor guía para renovar nuestros principios, para asegurar la sostenibilidad de nuestro modelo social y para asegurar la coherencia de nuestras políticas son los objetivos de desarrollo sostenible y la Agenda
voxpopuli_spa_003817	20150430-0900-PLENARY-5-es_20150430-11:28:10_5	la avispilla, en los castaños
voxpopuli_spa_003818	20190325-0900-PLENARY-es_20190325-20:04:17_3	Sin pausa, porque muchos estamos de acuerdo en que los cambios bianuales deben terminar.
voxpopuli_spa_003819	20201111-0900-PLENARY-es_20201111-18:57:15_0	Señor presidente, desgraciadamente, tenemos que volver a hablar sobre el terrorismo en esta cámara, de un terrorismo que pretende socavar los cimientos de nuestras sociedades liberales y democráticas.
voxpopuli_spa_003820	20150706-0900-PLENARY-14-es_20150706-22:47:54_1	Pero, nosotros, los socialistas, defendemos una reforma del ordenamiento jurídico que precisamente minimice los riesgos que pueden tener las asociaciones público privadas, o las APP, como se conocen por sus siglas.
voxpopuli_spa_003821	20160525-0900-PLENARY-12-es_20160525-16:54:56_4	Y para que Europa no pierda la oportunidad de estar en la vanguardia de esa transformación, el mercado único digital es fundamental.
voxpopuli_spa_003822	20181002-0900-PLENARY-es_20181002-09:59:18_0	Señora presidenta, en la próxima reunión del Consejo volverán a debatir sobre migración, pero el debate no se centrará en qué hacer para que quien lo necesite pueda llegar de una forma segura a Europa o en cómo poner en marcha una operación en el Mediterráneo para que no muera ni una sola persona más.
voxpopuli_spa_003823	20171004-0900-PLENARY-15-es_20171004-19:42:16_3	esta herramienta será crucial para proteger los intereses financieros de la Unión y el presupuesto de la Unión contra el fraude, que puede ascender a 500 millones de euros al año de acuerdo con la estimación más baja.
voxpopuli_spa_003824	20160412-0900-PLENARY-12-es_20160412-18:46:00_2	Nombres entre los que se encuentran destacados políticos europeos, que se llenan la boca de patriotismo, pero que tienen su dinero fuera o lo sacan a través de familiares directos, como es el caso del propio Comisario Cañete, lo que compromete aún más la fiabilidad de la Comisión.
voxpopuli_spa_003825	20131010-0900-PLENARY-6-es_20131010-10:36:19_5	Me voy a detener en un tema especialmente sensible como ha sido el tratamiento de las peticiones relacionadas con la aplicación de la Ley de Costas española del año 1998. Para nosotros, es el ejemplo de cómo no debe funcionar una comisión parlamentaria nuestro Reglamento establece el derecho de petición en su artículo 201 y siguientes, y deja claro que la comisión es competente para estudiar las quejas de los ciudadanos y analizar si respetan o no el Derecho comunitario.
voxpopuli_spa_003826	20101125-0900-PLENARY-4-es_20101125-11:04:38_18	¿Se compromete la Comisión a garantizar un marco legislativo integral, coherente, sin contradicciones internas entre las normas de competencia y la legislación sectorial en materia de derechos de la propiedad intelectual?
voxpopuli_spa_003827	20130703-0900-PLENARY-13-es_20130703-18:14:15_3	Comisaria Reding, ¿puede darme una respuesta sobre lo acontecido en el cielo europeo con el Presidente de Bolivia?
voxpopuli_spa_003828	20190327-0900-PLENARY-es_20190327-18:43:06_2	En estos cinco años se ha hecho una gestión prudente, con aumentos moderados vinculados a la inflación y nos hemos adaptado a las nuevas circunstancias, desde la necesidad, por ejemplo, de incrementar la seguridad en nuestros edificios a combatir las noticias falsas, pasando por adaptarnos a la probable posibilidad de una nueva realidad de una Europa a veintisiete.
voxpopuli_spa_003829	20191023-0900-PLENARY-es_20191023-19:35:10_9	Hagan un esfuerzo para que esa cooperación reforzada se amplíe a muchos más países y realmente tengamos un verdadero mecanismo solidario de acogida.
voxpopuli_spa_003830	20180502-0900-PLENARY-19-es_20180502-17:37:55_2	La OLAF, Eurojust y Europol deben coordinar sus esfuerzos en la lucha contra el fraude, pero, sobre todo, deben apuntalar con su experiencia la puesta en marcha, cuanto antes y con la incorporación del mayor número de Estados, de la Fiscalía Europea.
voxpopuli_spa_003831	20120911-0900-PLENARY-21-es_20120911-17:51:26_7	Y en Siria, efectivamente, tenemos que condenar los crímenes y la represión de el Asad, pero también los de la oposición, y los actos terroristas de la oposición, y la yihad de la oposición y Al Qaeda de la oposición.
voxpopuli_spa_003832	20151214-0900-PLENARY-10-es_20151214-19:12:13_8	Es imposible desarrollar un mercado interior sin interconexiones físicas.
voxpopuli_spa_003833	20160412-0900-PLENARY-11-es_20160412-16:04:53_16	Por eso, contra el yihadismo no se lucha solo con policías.
voxpopuli_spa_003834	20110607-0900-PLENARY-3-es_20110607-10:13:01_0	Señor Presidente, estamos ante un problema de salud pública, ante una epidemia, como ha dicho el Comisario, y, ante esto, se han buscando culpables y no la causa.
voxpopuli_spa_003835	20140116-0900-PLENARY-3-es_20140116-09:26:03_7	Pero la solución no puede ser la misma para una persona que lleva años en la calle, con una profunda desestructuración, que para otra que acaba de perder su trabajo, su casa, su vida, pero que mantiene el recuerdo de hábitos normalizados.
voxpopuli_spa_003836	20130611-0900-PLENARY-16-es_20130611-15:03:49_9	para acabar nada más cruzar la frontera europea en la cárcel.
voxpopuli_spa_003837	20091008-0900-PLENARY-3-es_20091008-10:10:23_8	de la información ante las nuevas tecnologías y, especialmente, en el ámbito televisivo.
voxpopuli_spa_003838	20100120-0900-PLENARY-5-es_20100120-12:50:04_39	Y, desde luego, va a favorecer, a propiciar y a exigir a todos los países que avancen en los convenios necesarios para la transparencia fiscal y para la facilitación de la información en el ámbito de la comunidad internacional.
voxpopuli_spa_003839	20151216-0900-PLENARY-17-es_20151216-20:54:54_6	Esperemos que este informe sea un punto para acabar con la doble moral que ha regido durante tanto tiempo en la Unión Europea.
voxpopuli_spa_003840	20090914-0900-PLENARY-15-es_20090914-21:13:12_5	En primer lugar, recuerda a las víctimas, a todas las víctimas, y rinde también un homenaje a todos los que, en las tareas de extinción, trabajan de forma voluntaria.
voxpopuli_spa_003841	20200917-0900-PLENARY-es_20200917-09:58:24_3	La construcción de otro Moria no puede ser la solución.
voxpopuli_spa_003842	20190116-0900-PLENARY-es_20190116-11:55:50_21	Y, sin duda alguna, lo que estamos haciendo también es reforzar las políticas de integración, porque creemos que es importante reforzar esas políticas de migración para todos aquellos migrantes que están en nuestro continente.
voxpopuli_spa_003843	20110406-0900-PLENARY-11-es_20110406-17:30:47_2	la ciudadanía europea sepan que no hay ninguna fisura en el compromiso de la Unión Europea con la libertad, con la dignidad, con la democracia y con los derechos humanos.
voxpopuli_spa_003844	20180612-0900-PLENARY-es_20180612-20:14:58_11	Espero que a ello contribuya a la declaración conjunta que está prevista para el mes próximo con ocasión de la próxima cumbre de la OTAN en Bruselas.
voxpopuli_spa_003845	20171004-0900-PLENARY-13-es_20171004-16:53:30_9	No es fácil, pero el Tratado es intergubernamental, el Derecho de la Unión es Derecho parlamentario.
voxpopuli_spa_003846	20190115-0900-PLENARY-es_20190115-20:54:07_8	La comisaria Malmström, que tan buen papel está haciendo en esta cartera, es consciente plenamente de que estamos ante una oportunidad histórica y no tenemos que desaprovecharla.
voxpopuli_spa_003847	20160413-0900-PLENARY-5-es_20160413-11:28:23_10	Y, por cierto, el populismo no decrecerá si no creemos lo que decimos.
voxpopuli_spa_003848	20150311-0900-PLENARY-12-es_20150311-18:54:05_2	Pero, desgraciadamente, no hay tantas buenas noticias en el campo de los derechos humanos.
voxpopuli_spa_003849	20130610-0900-PLENARY-16-es_20130610-21:30:08_5	Urge reforzar el marco de protección de los consumidores, especialmente de los consumidores vulnerables.
voxpopuli_spa_003850	20100210-0900-PLENARY-8-es_20100210-15:52:03_13	Por todo ello, apoyo el sí de esta Cámara al Acuerdo provisional y aprecio como un gesto muy positivo que el Parlamento haga valer su derecho, así como que Clinton y Geithner lo reconozcan como imprescindible en el presente y en el futuro.
voxpopuli_spa_003851	20160525-0900-PLENARY-14-es_20160525-19:08:49_4	Pero debe exigir que ese tráfico, ese flujo, esté regulado por el Derecho y, por tanto, la Comisión ha hecho su trabajo intentando acordar y negociar nada menos que con los Estados Unidos un escudo de privacidad, un que no cae del cielo, porque obedece a una sentencia contundente del Tribunal de Justicia, que anuló precisamente el acuerdo de puerto seguro a partir de la demanda interpuesta en el caso Schrems.
voxpopuli_spa_003852	20190328-0900-PLENARY-es_20190328-09:37:10_8	Es un gran testimonio de esa unidad de base europea.
voxpopuli_spa_003853	20091111-0900-PLENARY-20-es_20091111-23:16:42_1	La ruptura del orden constitucional en Honduras rompe dos décadas sin golpes en América Latina y crea un precedente perverso para otros países, sobre todo los más débiles, como es el caso ahora de Paraguay.
voxpopuli_spa_003854	20101124-0900-PLENARY-66-es_20101124-19:17:24_7	Debemos pedir calma a todas las partes, sí, pero, sobre todo, debemos exigir al Reino de Marruecos que cese en su actitud hostil hacia el pueblo saharaui, que dejen de hostigar a parlamentarios, a medios de comunicación o a defensores de los derechos humanos.
voxpopuli_spa_003855	20140715-0900-PLENARY-8-es_20140715-19:17:55_1	Se trata del sector de la industria del calzado, que en Europa ocupa a muchas pequeñas y medianas empresas, empresas que para vender en Estados Unidos están pagando aranceles —en el caso del calzado textil, de un 12 y del cuero, del 8 llegando incluso, en algunos casos, hasta el 48 de arancel—, mientras que nuestros competidores, que están en Marruecos o en México, no están pagando nada.
voxpopuli_spa_003856	20140917-0900-PLENARY-3-es_20140917-10:25:29_4	Y es un ejemplo porque es el país que más crecimiento tiene de la zona del euro y es el país que más empleo está creando.
voxpopuli_spa_003857	20151027-0900-PLENARY-16-es_20151027-20:28:37_3	Considerando un momento de crisis como el actual, que ha provocado una fuerte caída de la inversión, la política de cohesión es clave a la hora de mantener el nivel de inversión de los Estados miembros y sus regiones, en particular, para la mejora del empleo.
voxpopuli_spa_003858	20191113-0900-PLENARY-es_20191113-20:15:17_1	Cuando los militares ordenan al presidente elegido por el pueblo en las urnas dejar su responsabilidad, eso es un golpe de Estado.
voxpopuli_spa_003859	20140403-0900-PLENARY-3-es_20140403-09:04:06_6	que la Unión Europea, para ser creíble, tiene que hablar en la escena internacional con una sola voz.
voxpopuli_spa_003860	20110928-0900-PLENARY-6-es_20110928-16:13:03_6	40 La posición de la minoría de bloqueo supone la drástica reducción de las ayudas para el próximo año y su completa desaparición en el año 2013. Lo condenamos.
voxpopuli_spa_003861	20180612-0900-PLENARY-es_20180612-22:04:36_1	Hay que reconocer los avances a través de la Agencia Europea de Defensa y de la nueva cooperación estructurada permanente Sin
voxpopuli_spa_003862	20160412-0900-PLENARY-18-es_20160412-22:15:06_15	En segundo lugar, ayudar al pueblo cubano.
voxpopuli_spa_003863	20141215-0900-PLENARY-16-es_20141215-20:09:58_5	Así, hay países que contemplan incorporar e imponer penas de prisión para aquellos transportistas que decidan dormir en la cabina del camión —y no en un motel lejos de su camión— en aparcamientos no asegurados —como se ha dicho hace poco—, y hay otros países para los que conducir con exceso de alcohol no es todavía una infracción grave, con el consiguiente riesgo.
voxpopuli_spa_003864	20150429-0900-PLENARY-17-es_20150429-15:53:55_5	La solución no pasa por más operaciones militares ni de la UE ni de Estados Unidos en la región.
voxpopuli_spa_003865	20101125-0900-PLENARY-9-es_20101125-13:12:04_0	Señor Presidente, hay quien ha dicho que la condena a Marruecos es demasiado suave, dada la magnitud de la represión de los derechos humanos en el Sáhara, en el que Marruecos no es más que un país ocupante, sin soberanía ni título legal alguno.
voxpopuli_spa_003866	20201007-0900-PLENARY-es_20201007-12:00:37_90	Desgraciadamente, no hemos tenido éxito, si el Gobierno de Venezuela, el régimen del señor Maduro, me hubiera dicho, antes de que mandara la misión, no vale la pena que venga porque no pienso cambiar la fecha electoral, porque la Constitución me lo prohíbe, como están diciendo ahora, entonces sí, ciertamente, no hubiéramos
voxpopuli_spa_003867	20201112-0900-PLENARY-es_20201112-09:02:00_4	Y no estamos hablando de los habituales sospechosos —como se dice aquí de Hungría y Polonia—, sino de España, donde un Gobierno socialcomunista ha impuesto un estado de alarma de seis meses que va contra la Constitución, ya que está limitado en ella expresamente a quince días, con renovación parlamentaria obligatoria.
voxpopuli_spa_003868	20180911-0900-PLENARY-witholdRO-es_20180911-09:43:11_55	Recuerde una cosa la extrema derecha es tan peligrosa como la extrema izquierda, al menos para los demócratas.
voxpopuli_spa_003869	20170215-0900-PLENARY-14-es_20170215-17:25:12_5	El refuerzo de fronteras es directamente responsable de las más de cinco mil muertes en el Mediterráneo y, también, de las muertes en la frontera terrestre entre Turquía y Bulgaria.
voxpopuli_spa_003870	20191126-0900-PLENARY-es_20191126-20:39:19_13	Y quiero, sinceramente, lamentar que ciertos grupos políticos esta tarde se hayan levantado de la mesa de negociación, boicoteando el esfuerzo que otros grupos políticos hemos hecho para poner fin a esta injusta situación.
voxpopuli_spa_003871	20100210-0900-PLENARY-3-es_20100210-11:44:30_45	Y les puedo asegurar que la Presidencia va a seguir muy de cerca la cuestión y va a plantearla a todos los niveles cuando haya
voxpopuli_spa_003872	20101123-0900-PLENARY-5-es_20101123-10:07:21_1	Hemos analizado en la Comisión, con mucho interés y con mucha atención, tanto el informe como las enmiendas que se han propuesto para este debate, y hemos tomado buena nota de que el informe respalda en particular la prolongación del periodo de cierre de las minas no competitivas
voxpopuli_spa_003873	20191218-0900-PLENARY-es_20191218-19:22:58_6	Y esto no se arregla con darse muchos golpes en el pecho
voxpopuli_spa_003874	20180117-0900-PLENARY-17-es_20180117-17:17:10_0	Señora presidenta, las cifras que este informe revela sobre la implementación de la Iniciativa de Empleo Juvenil suponen un tirón de orejas para la Comisión Europea, porque lo que en un principio parecía una buena idea para combatir el desempleo juvenil, ha terminado poniendo de relieve graves problemas en su diseño, en su financiación y en su implementación.
voxpopuli_spa_003875	20170403-0900-PLENARY-13-es_20170403-17:33:03_1	Lo que vamos a debatir aquí y lo que queremos resolver en esa Resolución común es que el orden constitucional en Venezuela ha sido evidentemente desmembrado.
voxpopuli_spa_003876	20150209-0900-PLENARY-9-es_20150209-17:56:53_4	pero es muy oportuna la pregunta para poder hacer un llamamiento a evitar la duplicación de funciones, dado que el dinero público es escaso y, por lo tanto, queremos recalcar que no debe existir duplicidad.
voxpopuli_spa_003877	20091123-0900-PLENARY-13-es_20091123-20:21:36_4	Lo más frágil de la Decisión es el control del Parlamento Europeo.
voxpopuli_spa_003878	20190130-0900-PLENARY-es_20190130-18:55:26_31	Los tiranos son peligrosos y con los tiranos solo se puede actuar con la cabeza alta y con los principios por bandera, con severidad.
voxpopuli_spa_003879	20120523-0900-PLENARY-3-es_20120523-10:15:30_2	Desde el punto de vista regulatorio, en el origen de esta crisis está la desregulación del mercado financiero, y la introducción de esta tasa nos daría un instrumento para regularlo mejor y para prevenir futuras crisis en este campo.
voxpopuli_spa_003880	20180313-0900-PLENARY-14-es_20180313-18:25:41_5	Sigue siendo muy alto en muchas de nuestras regiones y, desde luego, es intolerable que mi país no sea capaz de utilizar estos fondos para acabar con el desempleo juvenil.
voxpopuli_spa_003881	20150909-0900-PLENARY-13-es_20150909-19:36:50_0	Señor Presidente, ante todo y sobre todo el Acuerdo con Irán es el triunfo de la diplomacia frente a la guerra y la violencia como método de resolución de los conflictos internacionales.
voxpopuli_spa_003882	20151028-0900-PLENARY-11-es_20151028-15:26:47_4	Actualmente se calcula que en el área Schengen hay entre tres y cinco millones de personas que han sobrepasado el límite de estancia temporal establecido para permanecer en nuestro territorio.
voxpopuli_spa_003883	20181002-0900-PLENARY-es_20181002-16:26:11_2	La decisión de la Administración Trump reincide justamente en esa idea de hacer crecer el odio —el odio y la desafección—.
voxpopuli_spa_003884	20200211-0900-PLENARY-es_20200211-16:51:38_0	Señor presidente, efectivamente, este no es un debate europeo, este es un debate que se debe discernir en el Congreso español.
voxpopuli_spa_003885	20130416-0900-PLENARY-8-es_20130416-13:23:46_2	2016. Este es el único plazo verdaderamente realista y razonable, que permitiría a los países ACP contar con cierto tiempo para firmar y ratificar sus acuerdos de asociación y para que los actores económicos contaran con tiempo suficiente para adaptarse a esta nueva situación.
voxpopuli_spa_003886	20200211-0900-PLENARY-es_20200211-16:48:56_9	ansiedad generan los agricultores que no están recibiendo precios justos ansiedad generan los cortes de luz en Granada por parte de multinacionales como Endesa que se saltan los derechos fundamentales.
voxpopuli_spa_003887	20170911-0900-PLENARY-16-es_20170911-17:47:38_5	Ha hecho referencia la comisaria también a los grupos más vulnerables.
voxpopuli_spa_003888	20150706-0900-PLENARY-12-es_20150706-21:08:40_6	En mi país se llevó a cabo con contratos obligatorios de un año y con esa obligatoriedad. Ahora se están haciendo contratos de tres y seis meses y se están incumpliendo.
voxpopuli_spa_003889	20180612-0900-PLENARY-es_20180612-17:20:40_6	Y, en segundo lugar, yo me incorporo a la idea de que los acuerdos son buenos los acuerdos comerciales y políticos son buenos en sí mismos y hay que fomentarlos
voxpopuli_spa_003890	20190313-0900-PLENARY-es_20190313-22:07:02_1	Ese fue el grito de impotencia de las presas de la cárcel de La Esperanza —sometidas diariamente a continuas palizas, a un trato inhumano, privadas de sus derechos más elementales y que no pueden ver a sus familiares—, cuando las visitamos el pasado mes de enero.
voxpopuli_spa_003891	20200709-0900-PLENARY-es_20200709-11:22:51_71	Con Bielorrusia, la situación —comparto su preocupación— es y puede ser más grave todavía.
voxpopuli_spa_003892	20170315-0900-PLENARY-13-es_20170315-20:04:44_2	Como señala bien el informe, los Tratados contienen ya los elementos necesarios para ir dotándonos de esa capacidad de seguridad y defensa autónoma que deseamos
voxpopuli_spa_003893	20170302-0900-PLENARY-3-es_20170302-10:09:40_3	Y lo digo porque la amnesia nos está jugando una muy mala pasada.
voxpopuli_spa_003894	20180612-0900-PLENARY-es_20180612-19:50:24_1	De vez en cuando aparecen algunas tímidas referencias a lo que significa la necesidad de una defensa y de un concepto de seguridad autónomo europeo, lo cual es evidente.
voxpopuli_spa_003895	20131118-0900-PLENARY-12-es_20131118-18:47:00_3	2014 Este es uno de los grandes logros de la Unión, visibiliza bien que Europa sirve para algo y ha animado a muchos jóvenes a movilizarse para mantener y mejorar un programa que les sirve, les ayuda y les vincula a lo que hacemos aquí todos los días política europea.
voxpopuli_spa_003896	20150312-0900-PLENARY-12-es_20150312-13:41:15_8	de que los opositores teman por su vida. Es un ¡basta ya!
voxpopuli_spa_003897	20111116-0900-PLENARY-8-es_20111116-15:48:25_7	Y para ello es muy claro que es imprescindible que nuestra alianza estratégica con los Estados Unidos incorpore también la bandera común de la innovación.
voxpopuli_spa_003898	20190326-0900-PLENARY-es_20190326-22:01:21_8	Estoy seguro de que tampoco quieren viajar al pasado, porque se trata de ganar el futuro.
voxpopuli_spa_003899	20150210-0900-PLENARY-8-es_20150210-16:29:34_1	Acabo de hablar, hace tan solo dos horas, con Denis Mukwege y me ha pedido que este Parlamento intervenga necesita protección.
voxpopuli_spa_003900	20121121-0900-PLENARY-8-es_20121121-15:19:23_8	Y ¿por qué?
voxpopuli_spa_003901	20180911-0900-PLENARY-witholdRO-es_20180911-21:19:21_5	hace posible que las ONG puedan recibir, desembarcar y darles un kit y registrar a las personas que vuelven.
voxpopuli_spa_003902	20180703-0900-PLENARY-15-es_20180703-13:32:53_3	Debemos también reducir el poder de los lobbies energéticos y de las multinacionales que, muchas veces, deciden y hablan por muchos de nuestros gobiernos.
voxpopuli_spa_003903	20201006-0900-PLENARY-es_20201006-10:24:46_3	Pero también el Consejo y los Estados deben hacer la suya.
voxpopuli_spa_003904	20150428-0900-PLENARY-3-es_20150428-08:42:23_26	En su conjunto, todos estos elementos contribuyen a que el paquete sea eficaz para mitigar el ILUC, al tiempo que prepara para una transición hacia los biocombustibles avanzados.
voxpopuli_spa_003905	20190211-0900-PLENARY-es_20190211-18:59:31_4	Y esto es en gran interés de todos. Es bueno para los operadores de la Unión Europea, es bueno para el desarrollo local, para la lucha contra la pesca ilegal, para la sostenibilidad y para la buena gobernanza de los océanos.
voxpopuli_spa_003906	20200619-0900-PLENARY-es_20200619-09:27:59_3	¿Con permanentes reproches y reprimendas teñidas de paternalismo neocolonial, o, por el contrario, implementando una estrategia pensada con respeto, recursos, compromiso, cooperación y acuerdos?
voxpopuli_spa_003907	20150113-0900-PLENARY-14-es_20150113-18:10:18_2	Este ambiente es propicio para que surjan movimientos radicales.
voxpopuli_spa_003908	20160413-0900-PLENARY-17-es_20160413-15:59:20_2	Sí, un paquete conjunto.
voxpopuli_spa_003909	20181115-0900-PLENARY-es_20181115-11:56:25_0	Señor presidente, la primera vez que oí hablar de Bangladés, yo era un niño.
voxpopuli_spa_003910	20091125-0900-PLENARY-20-es_20091125-23:01:56_2	Para la gran mayoría, este apoyo no compensa esas elevadas cargas, y hay un ritmo vertiginoso de abandono de las explotaciones.
voxpopuli_spa_003911	20190116-0900-PLENARY-es_20190116-12:11:09_0	Señor presidente, presidente Sánchez, es un momento delicado para Europa, y escuchar su discurso con un firme compromiso de los valores europeos realmente es un respiro para quienes creemos que la solución a nuestros problemas está en Europa.
