M-AILABS_rus_000209	oblomov_s000381	Следовательно, нет причины, чтоб вы знали про меня все, что знает Андрей Иваныч, - договорил он.
M-AILABS_rus_000225	chetvero_nischih_s000254	Я-то, положим, ничего не вижу, но все равно, будь нашим гостем. Мы рады тебе. Мы все из бродячего цеха свободных нищих, хотя очень жаль, что твой добрый господин,
M-AILABS_rus_000226	oblomov_s003564	А Михей Андреич часто бывает у вас? - спросил Обломов.
M-AILABS_rus_000227	oblomov_s000824	Обломов сидел на краю постели.
M-AILABS_rus_000228	argentinetz_s000891	Барыню действительно нельзя было оставлять большевикам: она была самым быстроходным судном на Волге.
M-AILABS_rus_000229	oblomov_s006329	Нечего разговаривать! - возразил Илья Ильич, ты лучше убирай.
M-AILABS_rus_000230	oblomov_s001646	Иногда придет к нему Маша, хозяйская девочка, от маменьки, сказать, что грузди или рыжики продают: не велит ли он взять кадочку для себя, или зазовет он к себе Ваню,
M-AILABS_rus_000231	argentinetz_s002383	Бесчисленные любочки устраивались к ним на службу и, отчаянно боясь потерять место, защищали свои позиции, то есть советское государство как таковое.
M-AILABS_rus_000232	chetvero_nischih_s000990	К этому-то сроку и поспевает бешеное вино.
M-AILABS_rus_000233	argentinetz_s004140	А Нину всё-таки было жалко. За год она совершенно изменилась - не только внешне, но и внутренне. Совсем недавно это была изящная, деловитая женщина,
M-AILABS_rus_000234	argentinetz_s002869	Весь вечер Любочка бродила по дому потерянная, стараясь изобрести способ, как удержать Клима. Но что она могла сделать? У неё не было никакой власти над ним.
M-AILABS_rus_000235	argentinetz_s002510	Клим кинулся назад на палубу и принялся расспрашивать матросов, не видел ли кто его жену. Кудрявая такая? А вон она.
M-AILABS_rus_000236	argentinetz_s003718	Саблин презрительно фыркал. Она бы не двинулась с места и скоро подохла. Ею руководить надо! Помните, на мосту моя Ласточка попала копытом в расщелину между досок?
M-AILABS_rus_000237	strashnaya_minuta_s000101	Пароход стал двигаться осторожнее, из боязни наткнуться на мель. Матросы на носу измеряли глубину реки, и в ночном воздухе отчетливо звучали их протяжные восклицания: Ше-есть!
M-AILABS_rus_000238	oblomov_s001640	Кто ж внушил ей это! - думал Обломов, глядя на нее чуть не с благоговением. - Не путем же опыта, истязаний, огня и дыма дошла она до этого ясного и простого понимания жизни и любви.
M-AILABS_rus_000239	oblomov_s004216	Когда без клопа хозяйство бывает! В другой раз шла мимо меня, почудилось ей, что вином от меня пахнет. такая, право! И отказала.
M-AILABS_rus_000240	jizn_gnora_s000002	Комон увидел, что к нему мчатся со всех сторон, и улизнуть трудно.
M-AILABS_rus_000241	argentinetz_s003421	Хорошо быть молодым и здоровым: это выглядит чрезвычайно презентабельно и денежно. Мальчишки, служащие на посылках у спекулянтов, всегда выберут тебя в толпе и приведут к вожделенной гречке,
M-AILABS_rus_000242	jizn_gnora_s000126	Взойдя на помост со связанными за спиной руками, Эбергайль важно и снисходительно осмотрел сцену тяжелой игры. Плаха в виде невысокого столба,
M-AILABS_rus_000243	oblomov_s002664	Ну, это, пожалуй, уберу, - сказал Захар снисходительно, взяв тарелку.
M-AILABS_rus_000244	oblomov_s000255	Что? - с любопытством спросил Тарантьев.
M-AILABS_rus_000245	jizn_gnora_s000190	для которой он свой, родной, близкий, потерянный, жданный, любимый.
M-AILABS_rus_000246	oblomov_s000798	Все пошли до дома пешком: Обломов был не в своей тарелке; он отстал от общества и занес было ногу через плетень, чтоб ускользнуть через рожь домой. Ольга взглядом воротила его.
M-AILABS_rus_000247	oblomov_s007358	У ней стукнуло сердце, и не в первый раз, лишь только начинались вопросы, близкие к делу.
M-AILABS_rus_000248	argentinetz_s001709	Саблин смирился со своей ущербностью точно так же, как с хромотой.
M-AILABS_rus_000249	strashnaya_minuta_s000872	Вере Львовне было жутко и тоскливо. Она впервые в своей жизни натолкнулась сегодня на ужасное сознание, приходящее рано или поздно в голову каждого чуткого,
M-AILABS_rus_000250	argentinetz_s003639	Саблин поднялся: надо было проведать пациентов. Раненые так и остались в повозках; сестры милосердия меняли бинты; свет керосинки озарял их загорелые,
M-AILABS_rus_000251	oblomov_s006037	Обломовю Часть четвертая глава пятая
M-AILABS_rus_000252	oblomov_s005087	Отчего вы не веселы? - опросила она.
M-AILABS_rus_000253	oblomov_s005864	Она ничего этого не понимала, не сознавала ясно и боролась отчаянно с этими вопросами, сама с собой, и не знала, как выйти из хаоса.
M-AILABS_rus_000254	oblomov_s008015	Алексеев стал ходить взад и вперед по комнате, потом остановился перед картиной, которую видел тысячу раз прежде, взглянул мельком в окно, взял какую-то вещь с этажерки,
M-AILABS_rus_000255	mnogo_shuma_iz_nichego_s000779	Как зорко видите все раны сердца!
M-AILABS_rus_000256	argentinetz_s000208	Надо было быть вежливой и любезной, но у Нины не хватало сил на притворство. Матвей Львович, идите отдыхайте. Вы посмотрите на себя: вы же сутками не спите!
M-AILABS_rus_000257	argentinetz_s002816	что Хитрук посвятил меня в тайны своей бухгалтерии.
M-AILABS_rus_000258	oblomov_s004448	Да, да, хорошо, хорошо! - торопливо прибавил он, а она вошла в магазин.
M-AILABS_rus_000259	strashnaya_minuta_s000643	Мама, значит, она кушала девочек?- спросила озабоченно Аля.
M-AILABS_rus_000260	strashnaya_minuta_s000511	Лежи, лежи, я сейчас приду. Я еще минутку посижу на палубе,- ответила она, делая ему рукою знак, чтобы он не вставал.
M-AILABS_rus_000261	sulamif_s000722	Пишите!
M-AILABS_rus_000262	argentinetz_s003515	У меня уже есть светлое настоящее. Я брожу с Ниной по белым улицам: сугробы выше меня, на берёзах - парадная форма. Нина читает мне стихи Блока,
M-AILABS_rus_000263	oblomov_s007293	И нежные родители продолжали приискивать предлоги удерживать сына дома. За предлогами, и кроме праздников, дело не ставало. Зимой казалось им холодно,
M-AILABS_rus_000264	strashnaya_minuta_s000742	А ты? Ты тоже. ухаживал за кем-нибудь?- спросила Вера Львовна неестественно спокойным тоном.
M-AILABS_rus_000265	jizn_gnora_s000831	Гнор молча поставил кий. Он не ожидал проигрыша, и происшедшее казалось ему поэтому вдвойне нелепым. Ты не принесла мне сегодня счастья, - подумал он,
M-AILABS_rus_000266	oblomov_s008857	Он уже хотел уйти, но тетка Ольги подозвала его к столу и посадила подле себя, под перекрестный огонь взглядов всех собеседников.
M-AILABS_rus_000267	oblomov_s006202	противная сторона одолевает, и он пять лет носит одну мысль в голове, одно желание:
M-AILABS_rus_000268	strashnaya_minuta_s000106	то, наконец, те неведомые, загадочные, прекрасные аккорды ночной гармонии, которую каждый слышал и которую никто не мог ни понять, ни описать.
M-AILABS_rus_000269	sulamif_s000006	Только лишь при возведении пирамид Хефрена, Хуфу и Микерина в Гизехе употреблено было такое несметное количество рабочих.
M-AILABS_rus_000270	jizn_gnora_s000702	А может быть, вы?
M-AILABS_rus_000271	oblomov_s007714	Вот уж три недели! - с глубоким вздохом сказал Волков. - А Миша в Дашеньку влюблен.
M-AILABS_rus_000272	oblomov_s008602	аристократическим украшением.
M-AILABS_rus_000273	sulamif_s000761	При входе царя они встали и поклонились ему до земли. Царь же сел на свой трон из слоновой кости с золотыми украшениями, оперся локтем на спину золотого льва и,
M-AILABS_rus_000274	oblomov_s000433	Ну, да нужды нет: подай сюда, я начерно напишу, а Алексеев ужо перепишет.
M-AILABS_rus_000275	mnogo_shuma_iz_nichego_s000575	Дон Педро.
M-AILABS_rus_000276	argentinetz_s002767	Любочка была готова отдать всё что угодно, лишь бы кузен не покидал её, и иногда ей казалось, что это вполне возможно. Клим строил из себя циника,
M-AILABS_rus_000277	mnogo_shuma_iz_nichego_s000320	Нет, нет, ты лжешь на самого себя.
M-AILABS_rus_000278	mnogo_shuma_iz_nichego_s000816	С каким достоинством лукавый грех Умеет скрыться под личиной правды!
M-AILABS_rus_000279	argentinetz_s002921	Они всё время искали еду, и если обнаруживали, то прятали в мешки, пусть не в защёчные, а в заплечные. На пути в редакцию, например, была чудная вегетарианская столовка - как туда не заглянуть?
M-AILABS_rus_000280	argentinetz_s003690	Одноглазый возчик, желая подластиться к Осипу, всю дорогу вздыхал: Народ у нас такой. Декрет из уезда пришлют, а они из него козьи ножки вертят.
M-AILABS_rus_000281	oblomov_s008702	Я ведь доброго хочу. - начала было она.
M-AILABS_rus_000282	oblomov_s007550	Абонируйся в кресло, - прибавила она, - на той неделе приедут Маевские; матанте пригласила их к нам в ложу.
M-AILABS_rus_000283	oblomov_s008803	Она смотрела на него так пристально.
M-AILABS_rus_000284	falshiviy_kupon_s000153	и трупы высовывали языки, и языки тянулись дальше и дальше.
M-AILABS_rus_000285	argentinetz_s003699	Их затолкали в нагревшийся на солнце кузов. Зачем?! Зачем ты?! - кричал Жора.
M-AILABS_rus_000286	argentinetz_s002164	Не отвечая, Клим поднял Нину вместе с одеялом. Сестра милосердия попыталась встать у него на пути. Я всё доктору расскажу! Да хоть папе римскому.
M-AILABS_rus_000287	oblomov_s004252	Утро великолепное; в воздухе прохладно; солнце еще не высоко. От дома, от деревьев, и от голубятни, и от галереи - от всего побежали далеко длинные тени.
M-AILABS_rus_000288	oblomov_s007355	За что или отчего полюбила она его именно, отчего, не любя, вышла замуж, не любя, дожила до тридцати лет, а тут вдруг как будто на нее нашло?
M-AILABS_rus_000289	argentinetz_s001960	Потом заговорил по-испански - едва слышно, настойчиво, повторяя одни и те же слова, как молитву.
M-AILABS_rus_000290	oblomov_s008088	Тарантьев и Иван Матвеевич на другой день ильина дня опять сошлись вечером в заведении.
M-AILABS_rus_000291	argentinetz_s003004	Он хлопал себя по карманам в поисках зажигалки, ворчал, чертыхался и делал вид, что не замечает протянутой ему руки. Спасибо за всё, Борис Борисович,
M-AILABS_rus_000292	argentinetz_s003225	Почтенные дамы зарабатывали тем, что штопали красноармейцам рубахи. С соседями они не общались, мало куда ходили и питались из солдатского котла.
M-AILABS_rus_000293	chetvero_nischih_s000921	по которой ходит деревянная муфточка,- а ведро полно верхом.
M-AILABS_rus_000294	oblomov_s008485	А пуще всего я ратую за реальное направление в литературе.
M-AILABS_rus_000295	argentinetz_s004149	Агитаторы полночи шептались, придумывая, как лучше переходить линию фронта. Саблин понимал, что это занятие бестолковое: следует добраться до Курска и там на месте всё разузнать.
M-AILABS_rus_000296	sulamif_s000504	На указательном пальце левой руки носил Соломон гемму из кроваво-красного астерикса, извергавшего из себя шесть лучей жемчужного цвета. Много сотен лет было этому кольцу,
M-AILABS_rus_000297	oblomov_s000408	Зачем же?
M-AILABS_rus_000298	chetvero_nischih_s000554	Курортные гости - шумные, больные, эгоистичные, праздные и вздорные - разъехались кто куда - на север, к себе по домам. Виноградный сезон окончился.
M-AILABS_rus_000299	oblomov_s004855	Ужель поздравляли? - с ужасом спросил он. - Что ж ты?
M-AILABS_rus_000300	oblomov_s005258	Что ты слушаешь меня? Я бог знает что говорю, а ты веришь! Я не то и сказать-то хотел совсем.
M-AILABS_rus_000301	oblomov_s008225	Иван Александрович гончаров
M-AILABS_rus_000302	argentinetz_s001933	Отряды Красной армии выстроились на Соборной площади, а Климу, как иностранному корреспонденту, выделили почётное место - на крыше автомобиля.
M-AILABS_rus_000303	oblomov_s007074	Здравствуй, Илья Ильич. Давно собирался к тебе, - говорил гость, - да ведь ты знаешь, какая у нас дьявольская служба! Вон, посмотри, целый чемодан везу к докладу;
M-AILABS_rus_000304	oblomov_s008038	Да, право, - продолжал Захар с большим жаром. - Вон, говорят, какое-то неслыханное чудовище привезли: его бы поглядели. В тиатр или маскарад бы пошли,
M-AILABS_rus_000305	argentinetz_s001043	Ерунда всё, мелочи. Вы-то как?
M-AILABS_rus_000306	argentinetz_s004056	Нина велела Елене перебираться к ней на Гребешок, а сама с ужасом думала о том, что теперь им с Жорой отрезаны все пути к бегству. Как они бросят Елену одну?
M-AILABS_rus_000307	mnogo_shuma_iz_nichego_s000357	А Бенедикту она была бы очень под пару.
M-AILABS_rus_000308	oblomov_s006913	Надо здесь квартиру приискать.
M-AILABS_rus_000309	oblomov_s006980	Но ведь мы решили объявить на этой неделе матанте, - возразила она, - тогда эти толки должны замолкнуть.
M-AILABS_rus_000310	oblomov_s004667	Прежде я не просидела бы здесь и четверти часа одна, без книги, без музыки, между этими деревьями.
M-AILABS_rus_000311	chetvero_nischih_s000366	если даже легендарные, прежние, героические балаклавцы потерпели здесь неудачу?
M-AILABS_rus_000312	argentinetz_s000712	Елена покачала головой. Если мы будем бродяжничать, нас поймают намного быстрее. Давай останемся и будем говорить, что мы новая прислуга в номерах.
M-AILABS_rus_000313	oblomov_s006029	Это хрустальная, прозрачная душа; таких людей мало; они редки; это перлы в толпе! Его сердца не подкупишь ничем; на него всюду и везде можно положиться.
M-AILABS_rus_000314	chetvero_nischih_s000089	В Балаклаве конец сентября просто очарователен. Вода в заливе похолодела; дни стоят ясные, тихие, с чудесной свежестью и крепким морским запахом по утрам,
M-AILABS_rus_000315	mnogo_shuma_iz_nichego_s001656	Кто Беатриче здесь?
M-AILABS_rus_000316	jizn_gnora_s000249	Я - Гнор, - сказал неизвестный. - Меня привезла ваша лодка. Я Гнор.
M-AILABS_rus_000317	argentinetz_s003563	Как и Любочка, Нина настолько привыкла к происходящему, что считала разрывы гранат чем-то обыденным.
M-AILABS_rus_000318	oblomov_s003790	Господи, господи! Все! - с ужасом произнес Обломов. - Все это вздор, нелепость, ложь, клевета слышишь ли ты? - постучав кулаком об стол, сказал Обломов. - Этого быть не может!
M-AILABS_rus_000319	jizn_gnora_s000105	Он налил себе и Гнору, стараясь не расплескать. - Мы, Гнор, любим одну женщину. Она предпочла вас; а моя страсть поэтому выросла до чудовищных размеров.
M-AILABS_rus_000320	mnogo_shuma_iz_nichego_s000689	В доказательство людской глупости? Кто же этот дурак, который сам лезет в петлю?
M-AILABS_rus_000321	mnogo_shuma_iz_nichego_s001160	Дон Педро.
M-AILABS_rus_000322	oblomov_s005924	Смейтесь, смейтесь, а я вот скажу барину-то! - хрипел Захар.
M-AILABS_rus_000323	jizn_gnora_s000800	что о море и морской жизни имею не более представления, чем о жизни в пампасах, он дал мне письмо к бухгалтеру Карантинного Агентства Русского Общества с просьбой обратить на меня внимание.
M-AILABS_rus_000324	sulamif_s000382	Суламифь смеется радостным детским смехом и хлопает в ладоши.
M-AILABS_rus_000325	mnogo_shuma_iz_nichego_s002296	Я буду в маске и признаюсь Геро, Что я граф Клавдио; заговорю От сердца к сердцу, и сквозь слух, плененный Внезапной встречей, языком любви Проникну в грудь ее.
M-AILABS_rus_000326	oblomov_s008680	Верно, опять Андрея ведут, - хладнокровно говорит отец.
M-AILABS_rus_000327	argentinetz_s002633	На край откоса одни за другими поднимали носилки с ранеными.
M-AILABS_rus_000328	argentinetz_s001426	Я сразу в газету пошёл, в Нижегородский листок, - чтобы врагов трудового народа как следует пропесочили. А там ваш батя ответственным секретарём работает, вот мы и познакомились.
M-AILABS_rus_000329	oblomov_s002621	Старик обернулся на зов, снял шапку и подошел к ним.
M-AILABS_rus_000330	oblomov_s006658	Свободы, непринужденности, позволяющей все высказать, что на уме, уже не было. Куда все вдруг делось?
M-AILABS_rus_000331	chetvero_nischih_s000897	А потомки кровожадных листригонов лежат звездой, на животах, головами внутрь, ногами наружу, подперев подбородки ладонями, и глядят молча, если только не ставят пари.
M-AILABS_rus_000332	sulamif_s000628	И он, быстро нагнувшись, сделал какое-то движение, выпрямился и с воплем боли и восторга вдруг бросил к ногам богини бесформенный кровавый кусок мяса.
M-AILABS_rus_000333	strashnaya_minuta_s000351	Знала ли она наслаждение отдать всю свою пышную расцветшую красоту, отдать всю себя сладким ласкам? Нет. Редкие минуты физической близости к мужу вспоминала с холодным отвращением.
M-AILABS_rus_000334	chetvero_nischih_s000289	грозящие настоящей опасностью для рыбаков.
M-AILABS_rus_000335	oblomov_s004211	Вы все за работой! - сказал он ей однажды.
M-AILABS_rus_000336	falshiviy_kupon_s000058	и отделит одних от других, как пастырь отделяет овец от козлов, и поставит овец по правую сторону свою, а козлов - по левую.
M-AILABS_rus_000337	chetvero_nischih_s000410	Был некогда мифический Спиро. Он мог опуститься на любую глубину и пробыть под водой четверть часа. Так вот этот Спиро, зажав между ногами камень в три пуда весом,
M-AILABS_rus_000338	strashnaya_minuta_s000750	Труден путь до парка. На углу древнего, еще Петровского Потешного земляного бруствера торчит дежурный дядька, беспалый пан Пневский, придирчивый служака и вечный доносчик.
M-AILABS_rus_000339	oblomov_s000061	Ты огорчил барина! - с расстановкой произнес Илья Ильич и пристально смотрел на Захара, наслаждаясь его смущением.
M-AILABS_rus_000340	jizn_gnora_s000476	делавшим холодную пышность здания ясной и мягкой.
M-AILABS_rus_000341	argentinetz_s002675	Отъедем - пусть принимается за работу. Спасибо. А ты мне сейчас понадобишься: будем проводить политзанятие с китайцами.
M-AILABS_rus_000342	oblomov_s004127	Штольц руками всплеснул при этом рассказе.
M-AILABS_rus_000343	argentinetz_s001296	После публичной лекции в Матросском университете домашние напали на меня со всех сторон, обвинили в глупости, эгоизме и недальновидности. Нина припомнила мне,
M-AILABS_rus_000344	sulamif_s000550	Бледно было его лицо, губы - точно яркая алая лента; волнистые волосы черны иссиня, и в них - украшение мудрости - блестела седина, подобно серебряным нитям горных ручьев,
M-AILABS_rus_000345	oblomov_s001317	что не надо ехать до лета: тогда вместе поедут.
M-AILABS_rus_000346	oblomov_s000146	посмотрите на себя: может ли мужчина, встретя вас, не заплатить вам дань удивления.
M-AILABS_rus_000347	oblomov_s007887	Он в лицах проходит историю славных времен, битв, имен; читает там повесть о старине, не такую, какую рассказывал ему сто раз, поплевывая, за трубкой,
M-AILABS_rus_000348	oblomov_s002611	Что ж из нее выйдет? Ежели синий чулок!
M-AILABS_rus_000349	mnogo_shuma_iz_nichego_s002085	Клавдио.
M-AILABS_rus_000350	sulamif_s000285	голова его была всегда потуплена и слегка дрожала.
M-AILABS_rus_000351	mnogo_shuma_iz_nichego_s002147	Первый сторож тихо
M-AILABS_rus_000352	chetvero_nischih_s000273	Не стоит и трудиться. Все равно не выживет. Это такая рыба. Если ее хоть на секунду вытащить из моря - ей уже не жить. Это господня рыба.
M-AILABS_rus_000353	argentinetz_s002021	Вы откуда? - спросил Клим по-шанхайски.
M-AILABS_rus_000354	oblomov_s003312	Ты с ума сошел? Одному мяснику такую кучу денег?
M-AILABS_rus_000355	oblomov_s000033	резвясь, на спине или, сидя на них, смотреть в раздумье на заходящее солнце.
M-AILABS_rus_000356	mnogo_shuma_iz_nichego_s000793	Леонато.
M-AILABS_rus_000357	sulamif_s000478	желтокожих египтянок, неутомимых в любви и безумных в ревности; сладострастных вавилонянок, у которых все тело под одеждой было гладко, как мрамор,
M-AILABS_rus_000358	strashnaya_minuta_s000559	Ее никто не любил, большинство терпеть не могло, и все побаивались.
M-AILABS_rus_000359	mnogo_shuma_iz_nichego_s002095	Жаль, что ты не отказался от Беатриче: я отправил бы тебя на тот свет и заставил бы обмануться в расчете; а здесь ты будешь обманывать других,
M-AILABS_rus_000360	argentinetz_s000100	Хоронить их было некому, и Матвей Львович присылал своих подручных, чтобы те выносили покойниц и копали для них могилы.
M-AILABS_rus_000361	falshiviy_kupon_s000351	Только по совету сидевшего с ним пьяного писаря, отдав пятерку околоточному, Иван Миронов выбрался из-под караула без купона и с семью рублями вместо двадцати пяти, которые у него были вчера.
M-AILABS_rus_000362	oblomov_s001515	Что еще случилось? - спросила она холодно.
M-AILABS_rus_000363	argentinetz_s002812	Это какое-то издевательство над собой, над ним и над здравым смыслом!
M-AILABS_rus_000364	sulamif_s000177	Все было тихо в доме. Сестра ровно дышала у стены, на полу. Только снаружи, в придорожных кустах, сухо и страстно кричали цикады, и кровь толчками шумела в ушах.
M-AILABS_rus_000365	argentinetz_s001674	Если что, ты меня не знаешь, ты беженка из Казани. Поняла?
M-AILABS_rus_000366	mnogo_shuma_iz_nichego_s002288	Можешь попасть и на безбородого.
M-AILABS_rus_000367	argentinetz_s004013	Клим пробрался в середину вагона - там ещё было свободное место.
M-AILABS_rus_000368	argentinetz_s003893	Нинин отец хоть и был хорошим мастером и за иное платье брал по тридцать рублей, но в его карманах ничего не задерживалось. Он спускал все деньги за картами и в кабаках,
M-AILABS_rus_000369	oblomov_s003048	А вина? - вдруг вспомнил он.
M-AILABS_rus_000370	argentinetz_s001023	Он устроит тебя в свою газету, а это карточки и профсоюзный билет с правом обедать в Доме журналиста. Что для этого нужно? - спросил он. Напиши что-нибудь на пробу.
M-AILABS_rus_000371	oblomov_s000412	Обломов остановился и прочитал написанное.
M-AILABS_rus_000372	jizn_gnora_s000903	но судьба его, не знаю - почему, трогает и печалит меня;
M-AILABS_rus_000373	falshiviy_kupon_s000991	Тогда скажет царь тем, которые по правую сторону его: Приидите, благословенные отца моего, наследуйте царство, уготованное вам от создания мира: ибо алкал я, и вы дали мне есть;
M-AILABS_rus_000374	strashnaya_minuta_s000568	Внезапно она почувствовала такую глубокую внутреннюю тоску, такое щемящее сознание своего вечного одиночества, что ей захотелось плакать. Она вспомнила свою мать, братьев, меньшую сестру.
M-AILABS_rus_000375	argentinetz_s002005	Клим вздохнул и, не выдержав, рассмеялся. Чего не сделаешь под дулом револьвера? Он всё равно не заряжен, - отозвалась Нина и поспешно спрятала его в карман.
M-AILABS_rus_000376	oblomov_s004241	Вдруг ему стало так легко, весело; он начал ходить из угла в угол, даже пощелкивал тихонько пальцами, чуть не закричал от радости, подошел к двери Ольги и тихо позвал ее веселым голосом:
M-AILABS_rus_000377	oblomov_s005141	Мыслей?
M-AILABS_rus_000378	oblomov_s004870	если, казалось, и находил, то это только казалось, потом приходилось разочаровываться, и он грустно задумывался и даже отчаивался.
M-AILABS_rus_000379	argentinetz_s001394	Но это было не равнодушие! Это был невыразимый шок и стыд: Мы-то уезжаем. Мы обещали помощь, но вынуждены бросить вас на верную смерть.
M-AILABS_rus_000380	argentinetz_s003063	Антон Эмильевич тоже напросился в лекторы Матросского университета.
M-AILABS_rus_000381	mnogo_shuma_iz_nichego_s001305	арестантам
M-AILABS_rus_000382	oblomov_s005186	с разными хитростями, обойти тайком разбросанные по пути просвещения и честей камни и преграды, не трудясь перескакивать через них, то есть, например,
M-AILABS_rus_000383	oblomov_s004240	Вы не любите меня, но вы не лжете - спешу прибавить, - не обманываете меня; вы не можете сказать да, когда в вас говорит нет. Я только хочу доказать вам,
M-AILABS_rus_000384	falshiviy_kupon_s000327	Этого не выдержала жена и сама рассердилась.
M-AILABS_rus_000385	mnogo_shuma_iz_nichego_s001326	Дон Педро.
M-AILABS_rus_000386	argentinetz_s003274	Она смаковала каждое мгновение, когда он касался её. Вот он принёс шаль и накинул ей на плечи, чтобы она не замёрзла; вот коснулся ладонью её живота, когда она предложила:
M-AILABS_rus_000387	argentinetz_s002665	Обними меня за шею. А что стряслось?
M-AILABS_rus_000388	mnogo_shuma_iz_nichego_s001916	Если услышите, что дитя плачет, так кликнете мамку, чтобы накормила его.
M-AILABS_rus_000389	falshiviy_kupon_s000573	В общей камере он жил среди двадцати человек, как будто был один, никого не видел, ни с кем не говорил и все так же мучался. Особенно тяжело ему было,
M-AILABS_rus_000390	oblomov_s005225	машер Ольга! - скажет иногда тетка. - Про этого молодого человека, который к тебе часто подходит у Завадских, вчера мне что-то рассказывали, какую-то глупую историю.
M-AILABS_rus_000391	mnogo_shuma_iz_nichego_s001189	Клавдио.
M-AILABS_rus_000392	mnogo_shuma_iz_nichego_s002249	Станем-ка вот сюда, под навес - видишь, дождь накрапывает, - а я, как истый пьяница, расскажу тебе все.
M-AILABS_rus_000393	oblomov_s006775	Как же, непременно! - сказал Обломов. - Ну, а что Кузнецов, Васильев, Махов?
M-AILABS_rus_000394	argentinetz_s003481	У каждого в петлице или на шляпе алел цветок мака - в память о тех, кто не дожил до победы.
M-AILABS_rus_000395	oblomov_s001081	А сойдутся между собой, перепьются и подерутся, точно дикие! Разве это живые, не спящие люди? Да не одна молодежь: посмотри на взрослых. Собираются,
M-AILABS_rus_000396	mnogo_shuma_iz_nichego_s000617	Да, я один.
M-AILABS_rus_000397	oblomov_s008553	Нескладно, - сказал он, - тут два раза сряду что, а там два раза который.
M-AILABS_rus_000398	oblomov_s001026	Поди сюда! - сказал Илья Ильич.
M-AILABS_rus_000399	oblomov_s000997	сомнения, требования - все, что всплывало в чертах Ольги.
M-AILABS_rus_000400	strashnaya_minuta_s000216	Шахова эта вспышка доверчивости и тронула, и ужасно обрадовала.
M-AILABS_rus_000401	falshiviy_kupon_s000784	В подвальном этаже лежали отрезки досок. Он нашел один отрезок с острым концом и стал им выворачивать кирпичи, державшие решетки. Долго он работал.
M-AILABS_rus_000402	argentinetz_s003283	Она принялась изучать паспорт Клима и заявление о временной прописке. Так, Рогов Климент Александрович, одна тысяча восемьсот восемьдесят девять года рождения. Вы в графе Чем занимаетесь? указали, что пишете.
M-AILABS_rus_000403	sulamif_s000085	Вот анфракс, священный камень земли Офир, - говорил царь. - Он горяч и влажен. Погляди, он красен, как кровь, как вечерняя заря, как распустившийся цвет граната,
M-AILABS_rus_000404	oblomov_s000313	Нет, я к вам зашел; там сказали, что вы ушли.
M-AILABS_rus_000405	oblomov_s000071	Помилуй! Ты послушай, что он тут наговорил: живи я где-то на горе, поезжай в Египет или в Америку.
M-AILABS_rus_000406	oblomov_s004624	Вы бы лучше с братцем переговорили, - повторяла она, - а то я одета-то не так. все на кухне, нехорошо, как чужие увидят: осудят.
M-AILABS_rus_000407	chetvero_nischih_s000265	задние лапки в широких штанинах, хвост как ламповый ерш!
M-AILABS_rus_000408	argentinetz_s000296	Любочка плакала над своей хрипящей, задыхающейся любовью. Нет ничего унизительней, чем мечтать о мужчине, которому ты не нужна. Клим предпочёл ей Нину Одинцову,
