M-AILABS_eng_000000	silent_bullet_03_f000216	Window. Curtain.
M-AILABS_eng_000026	ozma_of_oz_19_f000024	What is that? asked Billina, who had been obliged to flutter her wings in order to keep her seat upon the head of the frightened Sawhorse.
M-AILABS_eng_000027	northandsouth_08_f000190	Margaret was half-amused, half-nettled at this answer.
M-AILABS_eng_000028	midnight_passenger_13_f000055	But his steady eye kindled as Witherspoon tersely recounted to the astonished heiress the discovery of the pocketbook,
M-AILABS_eng_000029	pink_fairy_book_28_f000054	I look to you to help me, he said. I have done so much for you that you might do this one thing for me.
M-AILABS_eng_000030	the_sea_fairies_10_f000021	These things on the side of my head are fins.
M-AILABS_eng_000031	skyisland_14_baum_64kb_f000075	These poor strangers are in a very uncomfortable position, and I wish I could help them to get back to their own country.
M-AILABS_eng_000032	northandsouth_49_f000003	With many doubtful pauses by the way;
M-AILABS_eng_000033	ozma_of_oz_14_f000094	Little Evring could not imagine what she was doing, but he trotted along beside her very willingly, for he liked the new companion he had found.
M-AILABS_eng_000034	poisoned_pen_11_f000004	As his physician for over twelve years, the man pursued, I certainly had been led to hope to be remembered in his will. But, Professor Kennedy,
M-AILABS_eng_000035	ozma_of_oz_06_f000162	There was great excitement for the next few moments, and Tiktok had knocked down seven of the army, who were sprawling in every direction upon the carpet,
M-AILABS_eng_000036	poisoned_pen_12_f000300	Then if anything happens stick this little number ten needle in the wall right at the intersection of the cross. Withdraw it quickly, count fifteen,
M-AILABS_eng_000037	ozma_of_oz_13_f000047	So the King was greatly pleased, and clapped his hands to summon his Chief Steward.
M-AILABS_eng_000038	silent_bullet_04_f000206	Tell her it is important. No more now. Things are going ahead fine.
M-AILABS_eng_000039	poisoned_pen_12_f000082	and even if I not only deny but prove that they are a fake, I'm afraid the harm will be done. I can't reach all the voters in time.
M-AILABS_eng_000040	pink_fairy_book_23_f000001	The Water of Life.
M-AILABS_eng_000041	emerald_city_of_oz_24_f000027	Here you see tin camelias, tin marigolds, tin carnations, tin poppies and tin hollyhocks growing as naturally as if they were real.
M-AILABS_eng_000042	the_sea_fairies_17_f000123	But he will never know, said Princess Clia.
M-AILABS_eng_000043	silent_bullet_04_f000034	Of course we had. Who did not know that Jim Bisbee, the southern California oil-magnate, had died suddenly of typhoid fever at the private hospital of doctor Bell,
M-AILABS_eng_000044	emerald_city_of_oz_26_f000062	No, because they believe they are able to take everything we have, replied the Ruler.
M-AILABS_eng_000045	the_sea_fairies_06_f000090	What does it all mean? asked Trot.
M-AILABS_eng_000046	poisoned_pen_08_f000075	dummies, and all sorts of juggling and kiting of checks.
M-AILABS_eng_000047	silent_bullet_06_f000225	It was just light enough to see to read very, large print with difficulty.
M-AILABS_eng_000048	silent_bullet_08_f000287	Woorali, or curare, said Craig slowly, is the well-known poison with which the South American Indians of the upper Orinoco tip their arrows.
M-AILABS_eng_000049	silent_bullet_03_f000315	Fletcher seized the will and by the dim light that shone through from the hall read it hastily. Thank God, he cried; the school is provided for as I thought.
M-AILABS_eng_000050	northandsouth_46_f000239	a great number of folk, thinking themselves very good, have odd sorts of connexion with lies, left-hand marriages, and second cousins-once-removed.
M-AILABS_eng_000051	pink_fairy_book_14_f000162	Where are you from? said Hans.
M-AILABS_eng_000052	poisoned_pen_01_f000285	On one side of this third piece of paper I myself write with this mercurous nitrate solution. You see, I leave no mark on the paper as I write.
M-AILABS_eng_000053	the_master_key_20_f000075	In fact, you may- Stop! cried Rob.
M-AILABS_eng_000054	silent_bullet_06_f000144	We breakfasted in silence and later rode down to the office of doctor Hanson, who greeted us enthusiastically.
M-AILABS_eng_000055	emerald_city_of_oz_20_f000107	Maybe not; but I'm used to sitting in it and I'd like to take it with me, he answered. But here come the ladies and gentlemen of the court; so please sit beside me and be presented.
M-AILABS_eng_000056	northandsouth_08_f000108	But nothing short of her faithful love for  Missis Hale could have made her endure the rough independent way in which all the Milton girls,
M-AILABS_eng_000057	northandsouth_51_f000074	and if she did lean back in her chair and speak but little, Edith was not annoyed, for the conversation flowed on smoothly without her.
M-AILABS_eng_000058	hunters_space_18_f000011	Wolden, I caught scattered words about your work as I fled through space. I held the stars and planets in my hands and I flung them away, for they were no more than the sparks that fly out from flint.
M-AILABS_eng_000059	emerald_city_of_oz_24_f000076	Therefore she refuses to fight at all.
M-AILABS_eng_000060	northandsouth_38_f000092	Well! you have no right to say what you have done, unless you say more. These half-expressions are what ruin a womans character.
M-AILABS_eng_000061	silent_bullet_07_f000020	This is in strict confidence, gentlemen, began mister Andrews. mister Morowitch, according to the story as it comes to us, returned home late one night last week,
M-AILABS_eng_000062	northandsouth_42_f000118	yet hovering round their beloved.
M-AILABS_eng_000063	poisoned_pen_01_f000185	While he never forced himself forward, he kept in close touch with the progress of the case, and now that Alma was away his watchfulness increased proportionately,
M-AILABS_eng_000064	pink_fairy_book_36_f000019	In due time it happened as the woman had said; but the first that the queen gave birth to was a hideous lindorm, or serpent.
M-AILABS_eng_000065	poisoned_pen_05_f000322	Burke reluctantly pulled out a Bertillon card from his pocket and laid it on the table. It bore the front face and profile of the famous counterfeiter,
M-AILABS_eng_000066	piratesofersatz_04_leinster_64kb_f000035	You need a retainer badly, said Thal. You do not know the customs here. For example, there is enmity between Don Loris and the young Lord Ghek.
M-AILABS_eng_000067	pink_fairy_book_22_f000086	Oh, he is sound asleep in the palace of the Underworld. However, I can wake him.
M-AILABS_eng_000068	ozma_of_oz_10_f000086	But what is to become of the private? asked Ozma.
M-AILABS_eng_000069	northandsouth_20_f000053	Miss Hale looks well, maam,-doesnt she?  Missis Shaws coral couldnt have come in better.
M-AILABS_eng_000070	dorothy_and_wizard_oz_13_f000016	A sort of inclined tunnel led upward for a way, and they found the floor of it both rough and steep. Then a sudden turn brought them to a narrow gallery where the buggy could not pass.
M-AILABS_eng_000071	northandsouth_48_f000020	It always was. It has not lost the trick of being eloquent.
M-AILABS_eng_000072	poisoned_pen_04_f000301	I believe that Miss Wend was lured under some pretext or other to the Stacey store on the night of the big fire.
M-AILABS_eng_000073	midnight_passenger_05_f000004	The discovery of Worthington's treachery, the knowledge of the dogging spies at his heels, had been a suddenly transforming influence.
M-AILABS_eng_000074	silent_bullet_06_f000180	of exceptional vivacity and cleverness.
M-AILABS_eng_000075	northandsouth_19_f000129	which he always did, on sound economical principles;
M-AILABS_eng_000076	northandsouth_10_f000021	Behind the door was another table, decked out for tea, with a white tablecloth, on which flourished the cocoa-nut cakes,
M-AILABS_eng_000077	skyisland_01_baum_64kb_f000007	As Dorothy was an old, old friend and Trot a new one, I think this is very high praise for captain Bill's little companion.
M-AILABS_eng_000078	northandsouth_15_f000178	All I meant to say is, that there is no human law to prevent the employers from utterly wasting or throwing away all their money, if they choose;
M-AILABS_eng_000079	northandsouth_28_f000234	Hes not an infidel, Margaret; how could you say so? muttered he reproachfully Ive a good mind to read him the fourteenth chapter of Job.
