M-AILABS_eng_000159	northandsouth_24_f000036	He turned round. She had come in so gently, that he had never heard her;
M-AILABS_eng_000174	silent_bullet_06_f000301	There is a limit to what you can do the first time you enter a mans house, and, besides, that was no time to arouse suspicion in the mind of anyone.
M-AILABS_eng_000175	the_master_key_02_f000076	Do you not remember that he says: 'Thy demon that's thy spirit which keeps thee is Noble, courageous, high, unmatchable.'
M-AILABS_eng_000176	northandsouth_15_f000109	mister Bell! What can he know of John? He, living a lazy life in a drowsy college.
M-AILABS_eng_000177	dorothy_and_wizard_oz_04_f000042	and the kitten followed demurely at their heels.
M-AILABS_eng_000178	northandsouth_22_f000110	the first touch would cause an explosion, in which, among such hundreds of infuriated men and reckless boys,
M-AILABS_eng_000179	northandsouth_47_f000079	One of the great pleasures of Margarets life at this time, was in Ediths boy.
M-AILABS_eng_000180	poisoned_pen_06_f000201	The thing has gone on long enough. If there is one more big accident we shall have to compromise with the Inter-River and carry on the work jointly.
M-AILABS_eng_000181	northandsouth_35_f000140	You are late! said she. Well? She held her breath for the answer.
M-AILABS_eng_000182	skyisland_26_baum_64kb_f000085	Trot told the girls that they must go with their father to live in Ghip-Ghisizzle's little old cabin, and when they heard this dreadful decree,
M-AILABS_eng_000183	northandsouth_06_f000077	Margaret sat down on the rug, partly to warm herself, for the dampness of the evening hung about her dress, and over-fatigue had made her chilly.
M-AILABS_eng_000184	ozma_of_oz_11_f000070	Oh, no; you are mistaken about that, replied the King. They are not my prisoners, but my slaves, whom I purchased from the King of Ev.
M-AILABS_eng_000185	northandsouth_15_f000201	Her father took up the conversation.
M-AILABS_eng_000186	poisoned_pen_07_f000325	In a corner was a sort of dressing-table on which lay a comb and brush. Kennedy seemed much interested in the table and was examining it when the Guru returned.
M-AILABS_eng_000187	poisoned_pen_12_f000150	I have sometimes thought that myself, she agreed. But of course I don't know. Still, I have to be pretty careful. Some one is always over here by my desk or looking over here.
M-AILABS_eng_000188	pink_fairy_book_26_f000031	I shall stay, replied the young man, for I mean to set you free.
M-AILABS_eng_000189	dorothy_and_wizard_oz_03_f000082	What do you do? asked the Sorcerer.
M-AILABS_eng_000190	skyisland_25_baum_64kb_f000051	Why, they're our enemies, your Short Highness. Not any more, replied Trot. I'm Queen of the Pinkies, and I'm also Queen of the Blues, so I won't have my people quarreling.
M-AILABS_eng_000191	poisoned_pen_12_f000241	Typewriters were clicking, clippings were being snipped out of a huge stack of newspapers and pasted into large scrap-books, circulars were being folded and made ready to mail for the final appeal.
M-AILABS_eng_000192	midnight_passenger_14_f000171	It was four days after the surprise of Adler's Horst when the strangers left the estate to the care of rugged old Forster Hermann.
M-AILABS_eng_000193	silent_bullet_08_f000197	Poor Templeton, he said. I used to know him years ago when we were boys. Went to school with him and all that sort of thing, you know, but until I ran across him,
M-AILABS_eng_000194	emerald_city_of_oz_16_f000016	I found her in the forest and brought her here a prisoner, replied the Captain.
M-AILABS_eng_000195	emerald_city_of_oz_22_f000075	who may be competent either from personal experience or the experience of others to answer it with more or less correctness or at least an attempt
M-AILABS_eng_000196	midnight_passenger_13_f000216	one hundred ninety-two Layte Street, said Hogan, biting off his cigar.
M-AILABS_eng_000197	the_sea_fairies_09_f000106	Trot was surprised to find she could see so plainly through the high wall of water above her, but the sun was able to shoot its beams straight down through the transparent sea,
M-AILABS_eng_000198	pink_fairy_book_13_f000043	the spot where it had sprung up;
M-AILABS_eng_000199	northandsouth_34_f000077	calm denial which she gave to such a supposition.
M-AILABS_eng_000200	emerald_city_of_oz_09_f000100	You see, until these School Pills were invented we wasted a lot of time in study that may now be better employed in practicing athletics.
M-AILABS_eng_000201	emerald_city_of_oz_14_f000070	You've done it now! declared Dorothy. These tents are just wonderful!
M-AILABS_eng_000202	piratesofersatz_08_leinster_64kb_f000160	For twenty. Ten. Five. Three. TwoThe liner was barely twenty miles away when Hoddan fired his rockets. They made a colossal cloud of vapor in emptiness.
M-AILABS_eng_000203	skyisland_20_baum_64kb_f000039	They paid no attention to the fact that Ghip-Ghisizzle did not want to marry any of them, for they had determined that when it was agreed who should have him,
M-AILABS_eng_000204	silent_bullet_09_f000143	What do you think of that? he cried, opening a copy of the Record, and laying it flat on the library table.
M-AILABS_eng_000205	the_master_key_12_f000046	It will require but a short time.
M-AILABS_eng_000206	dorothy_and_wizard_oz_04_f000009	and last the crowd of vegetable people who had no hearts and could neither smile nor frown.
M-AILABS_eng_000207	pink_fairy_book_32_f000088	Then youll catch it, said the witch.
M-AILABS_eng_000208	poisoned_pen_09_f000015	What is it? I queried, not feeling certain but that it was a veiled attempt to secure a little free advertising for the Vanderveer.
M-AILABS_eng_000209	pink_fairy_book_15_f000030	So he gave the clerk the third hundred dollars for books, and a cask of good old ale for Peter. The clerk drank the ale himself, and gave the calf milk,
M-AILABS_eng_000210	silent_bullet_12_f000180	like that in Alice in Wonderland, with merely a grin that faded away, changing into a lynx which in turn disappeared, followed by an unknown creature with short nose and pointed ears,
M-AILABS_eng_000211	northandsouth_13_f000097	She could not do-Margaret glanced unconsciously at the uncleaned corners of the room-She could hardly undertake a servants place, could she?
M-AILABS_eng_000212	northandsouth_52_f000065	No! she replied, with innocent curiosity. Did I give them to you?
M-AILABS_eng_000213	northandsouth_50_f000176	Marlborough Mills and the adjacent dwelling were held under a long lease; they must, if possible, be relet.
M-AILABS_eng_000214	piratesofersatz_01_leinster_64kb_f000042	A cop waved a stun-pistol at him.
M-AILABS_eng_000215	ozma_of_oz_08_f000040	It bounded here and there about the chicken house, and at first Dorothy could not tell what it was, while the screeching of the chickens nearly deafened her.
M-AILABS_eng_000216	skyisland_23_baum_64kb_f000070	The soldier gave a yell that aroused a score of his comrades and brought them tumbling into the street. When they saw how the Boolooroo's precious prisoner was escaping,
M-AILABS_eng_000217	dorothy_and_wizard_oz_04_f000041	Jim had refused to leave the field of grass, where he was engaged in busily eating; so the Wizard got out of the buggy and joined Zeb and Dorothy,
M-AILABS_eng_000218	silent_bullet_06_f000173	Certainly. I am as interested in the case as you are, but I cant make heads or tails of it, I replied.
M-AILABS_eng_000219	dorothy_and_wizard_oz_05_f000063	or any mice, or even grasshoppers.
M-AILABS_eng_000220	northandsouth_36_f000044	And them that pays yo, dun they tell yo whatten to do, or whatten not to do wi the money they gives you in just payment for your pains-in fair exchange like?
M-AILABS_eng_000221	dorothy_and_wizard_oz_15_f000053	What does that mean? asked the Princess.
M-AILABS_eng_000222	hunters_space_12_f000003	He had been drowned. He was floating in a sea of light, and now and then shining little fishes swam inquisitively up to him and stared.
M-AILABS_eng_000223	hunters_space_03_f000047	But Old Gunnar had a trick or two left. Remember the tale that I read to you in the throne-room of Baldar. The first of the Brons to enter the world of Opal were soldiers sent from some blasted planet in outer space to find a new home.
M-AILABS_eng_000224	northandsouth_36_f000186	Papa, will you speak to the men, and get them to go away? She cannot breathe, poor thing, with this crowd about her.
M-AILABS_eng_000225	poisoned_pen_01_f000135	When I took this case, he said, I believed down in my heart that Dixon was innocent. I still believe it, but my faith has been rudely shaken.
M-AILABS_eng_000226	piratesofersatz_06_leinster_64kb_f000001	Chapter six of the pirates of ersatz.
M-AILABS_eng_000227	the_sea_fairies_11_f000040	Remember, they cannot touch us.
M-AILABS_eng_000228	skyisland_06_baum_64kb_f000047	Give me time, Azure, give me time. If there's anything I hate, it's a hurry. I've an idea, your Majesty, announced the sixth Snubnosed Princess,
M-AILABS_eng_000229	the_sea_fairies_08_f000040	True enough, Trot, declared the sailor man.
M-AILABS_eng_000230	northandsouth_46_f000311	As for that, said Margaret, rather haughtily, I hold it is Honi soit qui mal y pense.
M-AILABS_eng_000231	pink_fairy_book_40_f000221	When he heard these words, the king, whose head was full of the princess, never stopped to inquire if they could be true, and smeared himself over with fat, and sprang into the oven.
M-AILABS_eng_000232	piratesofersatz_02_leinster_64kb_f000117	You should be able to get parts from your room vision-receiver. I'll have some tools given you. Then he added: Diplomacy has to understand the things that control events.
M-AILABS_eng_000233	northandsouth_05_f000011	By the time the frost had set in, they should be far away from Helstone.
M-AILABS_eng_000234	silent_bullet_11_f000256	One thing I want to say, began Kennedy.
M-AILABS_eng_000235	midnight_passenger_03_f000226	This important traffic was confided to no one but the real proprietor.
