voxpopuli_eng_000432	20170518-0900-PLENARY-6-en_20170518-11:03:16_5	Our resolution lists several names journalists, one line activists who are kept in detention.
voxpopuli_eng_000457	20201022-0900-PLENARY-en_20201022-10:48:45_5	My second question is also why doesn't it include all the countries who have this kind of system in place, referring to the infringement process, of course.
voxpopuli_eng_000458	20180312-0900-PLENARY-13-en_20180312-19:49:50_8	I hope and I expect the Commission to take this on board because it also means a lot in who we are as a player on the global level.
voxpopuli_eng_000459	20160428-0900-PLENARY-3-en_20160428-08:34:44_11	That has happened and a lot of work has to be done in practice to improve the plight of the people in the reception facilities and also to get this new system of readmission started.
voxpopuli_eng_000460	20171114-0900-PLENARY-14-en_20171114-15:10:37_8	Everybody knows that.
voxpopuli_eng_000461	20180312-0900-PLENARY-13-en_20180312-19:49:50_2	It is certainly not neutral when it comes to women.
voxpopuli_eng_000462	20141021-0900-PLENARY-14-en_20141021-19:07:19_23	The reinforcement of payment appropriations proposed by the Commissionʼs amending letter No 1 go in the same direction as a number of amendments proposed by Parliament where the needs are most pressing, and in particular with the aim of reducing the backlog of unpaid bills and allowing the proper launching of the new programmes.
voxpopuli_eng_000463	20170215-0900-PLENARY-4-en_20170215-09:15:26_12	It is comprehensive, but it will not solve all the problems that our workers, small and medium enterprises and people are facing.
voxpopuli_eng_000464	20170703-0900-PLENARY-16-en_20170703-18:28:03_7	In order for a country to be competitive, it cannot be corrupt. It does need to address corruption, so I believe we are doing the right thing with the DCFT, on the one hand, and with properly addressing and incentivising the fight against corruption Moldova, that is indeed the right thing to do.
voxpopuli_eng_000465	20090324-0900-PLENARY-7-en_20090324-16:14:16_13	The second thing we have to realise, despite all the different political views in this Parliament, is that global cooperation not just in banking institutions, but global cooperation in other areas, in fiscal and monetary policy and in trade has to be a very important part of how we approach the future.
voxpopuli_eng_000466	20180531-0900-PLENARY-3-en_20180531-10:29:07_5	First, introduction of targeted measures against individuals responsible for grave human rights violations, and second, providing active support for civil society groups and defenders of human rights. I would like here to extend our sympathy and support for the Iranian people who have, since the end of last year,
voxpopuli_eng_000467	20140312-0900-PLENARY-13-en_20140312-16:59:22_3	I agree with you that the defence spending is of course awful, as is the relationship with some of the neighbours.
voxpopuli_eng_000468	20180704-0900-PLENARY-en_20180704-15:50:40_2	I would like to ask the Commission and the Greek government to continue the implementation of the approved legislation. Full implementation of EU law will generate convergence in the quality of the interinstitutional framework with the best European countries.
voxpopuli_eng_000469	20170704-0900-PLENARY-4-en_20170704-11:31:41_10	We took many measures to improve the situation and I believe we achieved certain improvements.
voxpopuli_eng_000470	20160509-0900-PLENARY-13-en_20160509-20:53:00_24	I would also like to remind the Commission that Parliament is still awaiting the Commission report on the possibility to define and establish minimum criteria for the creation of an EU ecolabel for fishery and aquaculture products.
voxpopuli_eng_000471	20170315-0900-PLENARY-11-en_20170315-16:48:33_1	The vicious circle has now been broken.
voxpopuli_eng_000472	20090310-0900-PLENARY-9-en_20090310-13:44:27_9	It could, by itself, be the biggest help for businesses in the European Union.
voxpopuli_eng_000473	20160526-0900-PLENARY-3-en_20160526-10:18:50_13	It is not the Dutch model of the Dutch Government but it is also the Dutch model of the Dutch dairy producers, and they are looking into niche markets, into improving quality, into new market concepts.
voxpopuli_eng_000474	20160412-0900-PLENARY-19-en_20160412-23:17:09_7	This is also how we can most effectively tackle the root causes of our recent security and migration challenges.
voxpopuli_eng_000475	20110509-0900-PLENARY-15-en_20110509-21:33:24_9	Of course, the European Parliament demands that the Commission be fully transparent in all negotiations and that we be provided with timely sectoral impact assessments.
voxpopuli_eng_000476	20201008-0900-PLENARY-en_20201008-11:26:32_2	For 19 years, his wife and his children have tried to do everything they can to get him released.
voxpopuli_eng_000477	20170403-0900-PLENARY-16-en_20170403-18:59:43_1	A lot has already been said about the magnitude of these rights violations and about the relevance of the topic. Trafficking in human beings needs to be addressed with a human rights based and victim centred approach.
voxpopuli_eng_000478	20090324-0900-PLENARY-9-en_20090324-16:57:37_12	that this kind of IFI cooperation, born of need, is the kind that works best.
voxpopuli_eng_000479	20180612-0900-PLENARY-19-en_20180612-20:44:15_12	Therefore, it is crucial that the two unfulfilled anti corruption measures will be part of the new conditions.
voxpopuli_eng_000480	20171213-0900-PLENARY-16-en_20171213-15:34:51_8	Second, the economic benefits will bring benefits to all citizens of the European Union.
voxpopuli_eng_000481	20090204-0900-PLENARY-12-en_20090204-17:04:59_6	car manufacturers a break from environmental restrictions.
voxpopuli_eng_000482	20090916-0900-PLENARY-5-en_20090916-11:10:36_22	The first formal assessment of progress made will be presented under the Polish Presidency in the second half of
voxpopuli_eng_000483	20120314-0900-PLENARY-12-en_20120314-15:57:49_7	Therefore, I would say that recent events in Russia and the presidential elections actually present a case for staying the course in terms of our policy.
voxpopuli_eng_000484	20180205-0900-PLENARY-16-en_20180205-20:59:23_11	Already now, I am looking forward to the review in two years, which you have just mentioned Mr Vice President.
voxpopuli_eng_000485	20180612-0900-PLENARY-19-en_20180612-20:44:15_7	First, the worsening conflict and casualties in the east of Ukraine and all the many socio economic consequences of this aggression. Second, the economic recovery, which remains fragile.
voxpopuli_eng_000486	20181112-0900-PLENARY-en_20181112-21:37:08_7	According to the 2016 World Development Report on Digital Dividends, six billion people lack access to high speed internet and four billion still have no internet access at all.
voxpopuli_eng_000487	20130415-0900-PLENARY-13-en_20130415-17:35:01_6	So we need to use what we have now, and that is the ETS system.
voxpopuli_eng_000488	20180612-0900-PLENARY-en_20180612-20:44:15_10	Third, the reform process, which has been important but is not really steady until now.
voxpopuli_eng_000489	20170516-0900-PLENARY-21-en_20170516-22:11:57_1	This presents massive opportunities for Europe and it is now up to us, the policymakers, to make the right choices and create a conducive environment so that Europe can benefit to the full extent.
voxpopuli_eng_000490	20150429-0900-PLENARY-4-en_20150429-11:27:20_3	I am sure that this quest for freedom is universal and that the EU has a moral obligation and a strategic interest to avoid more tragedies in the Mediterranean by promoting peace, security and the rule of law in a firmer and more assertive way in the countries of origin.
voxpopuli_eng_000491	20090506-0900-PLENARY-4-en_20090506-11:09:20_5	Secondly, we should also ensure that these organisations do not in any way become agencies because, if they did, they would of course be subject to the interinstitutional agreement on agencies.
voxpopuli_eng_000492	20180612-0900-PLENARY-19-en_20180612-20:54:28_8	We need to be very clear in this regard.
voxpopuli_eng_000493	20180312-0900-PLENARY-18-en_20180312-22:11:27_9	In Poland, the Catching Up' region initiative has helped, for example, to improve the conditions for starting a business, the management of financial instruments, or special planning practices.
