voxpopuli_eng_000494	20180116-0900-PLENARY-18-en_20180116-21:26:13_8	We all know Oman as a successful, stable country a role model for the whole region.
voxpopuli_eng_000524	20140402-0900-PLENARY-15-en_20140402-19:38:14_3	Ukraine is faced with one of the crucial challenges in its history. It would be fundamentally wrong to press the nation now with all types of restrictions popularly called austerity policy.
voxpopuli_eng_000525	20201007-0900-PLENARY-en_20201007-15:39:14_1	More rules and regulation will not improve the situation.
voxpopuli_eng_000526	20100908-0900-PLENARY-14-en_20100908-16:57:58_6	At least we would like to know the source of the money and the possible motives.
voxpopuli_eng_000527	20090312-0900-PLENARY-4-en_20090312-10:48:56_13	To have those European world languages in today's globalised world, in today's globalised economy, in this global village, which is cultural, economic, social and political, is a most valuable asset for the entire EU, which we must take full account of and
voxpopuli_eng_000528	20170213-0900-PLENARY-11-en_20170213-18:31:00_5	We have to repeat that ODA cannot be used to finance security expenses, border control or military support.
voxpopuli_eng_000529	20131024-0900-PLENARY-11-en_20131024-12:39:41_5	If anything, the scientific reports are becoming more urgent, more alarming and more shocking.
voxpopuli_eng_000530	20111115-0900-PLENARY-13-en_20111115-20:22:18_23	Finally, when it comes to innovative financial instruments, we need them both for ourselves, to support our economies, but also to support those who are in need,
voxpopuli_eng_000531	20090218-0900-PLENARY-13-en_20090218-16:37:31_19	That gives us a unique tool in peacemaking.
voxpopuli_eng_000532	20171115-0900-PLENARY-18-en_20171115-18:14:54_2	paper, a very weak proposal.
voxpopuli_eng_000533	20121025-0900-PLENARY-18-en_20121025-21:10:37_11	Russia has always been a very proud nation with a rich culture, with inventions and esprit
voxpopuli_eng_000534	20180117-0900-PLENARY-6-en_20180117-12:05:57_4	Fair taxation even a modicum of taxation in some cases might just help us to do what I have already suggested and, who knows, make the case for the retrospective bank recapitalisation that we never saw.
voxpopuli_eng_000535	20130520-0900-PLENARY-15-en_20130520-19:51:37_8	The European Asylum Support Office moreover, has among its tasks to promote, facilitate and coordinate exchanges of information and other activities related to relocation within the Union.
voxpopuli_eng_000536	20180417-0900-PLENARY-23-en_20180417-22:13:50_2	The conclusion of the Framework Agreement provides a legally binding instrument to upgrade and strengthen EU Australia bilateral relations and to increase cooperation.
voxpopuli_eng_000537	20201019-0900-PLENARY-en_20201019-20:19:45_11	Therefore, we are asking the Council and the Commission to present a transparent and complete assessment of the impact of the crisis.
voxpopuli_eng_000538	20140115-0900-PLENARY-15-en_20140115-18:48:29_6	In other words, the objection is not whether money is paid or not. The objection is whether there is a direct link or not.
voxpopuli_eng_000539	20110309-0900-PLENARY-16-en_20110309-15:48:08_1	It distinguishes the two main dossiers human rights abuses by the current government and the Iranian nuclear programme.
voxpopuli_eng_000540	20180910-0900-PLENARY-en_20180910-21:19:18_0	Mr President, sexual harassment is a form of violence and it is the most extreme form of gender—based discrimination.
voxpopuli_eng_000541	20131023-0900-PLENARY-15-en_20131023-20:36:12_7	We can look to some non EU members for good examples as regards technologies.
voxpopuli_eng_000542	20100518-0900-PLENARY-8-en_20100518-12:17:06_5	involved, for their positive and constructive approach.
voxpopuli_eng_000543	20170214-0900-PLENARY-14-en_20170214-16:47:35_10	So I hope that this will be completed in the foreseeable future, which means maybe two or three months.
voxpopuli_eng_000544	20170704-0900-PLENARY-23-en_20170704-23:11:02_7	further encourage the UN's efforts to bring about peace in Afghanistan and to overcome the fragile security environment in the country
voxpopuli_eng_000545	20180613-0900-PLENARY-15-en_20180613-15:21:04_4	We understand that some people are angry.
voxpopuli_eng_000546	20180613-0900-PLENARY-6-en_20180613-11:56:15_9	we want to be more responsible
voxpopuli_eng_000547	20091125-0900-PLENARY-8-en_20091125-14:02:23_3	We must rectify this situation, and we ask the Commission to consider the most adequate compensation measures for our passengers.
voxpopuli_eng_000548	20100906-0900-PLENARY-15-en_20100906-22:12:42_10	The Commission invites Parliament in the upcoming revision to open its position on this matter, which really concerns access to justice in Europe and the enforcement of rights granted by European Union law.
voxpopuli_eng_000549	20131022-0900-PLENARY-19-en_20131022-20:29:44_1	I welcome very much the resumption of talks between the Israelis and the Palestinians and sincerely hope that they will succeed.
voxpopuli_eng_000550	20131022-0900-PLENARY-5-en_20131022-10:04:16_17	We have an accumulation of problems resulting from artificial under budgeting in previous years.
voxpopuli_eng_000551	20110404-0900-PLENARY-14-en_20110404-21:20:32_8	Let us not be the man of yesterday. Let us be today's institution.
voxpopuli_eng_000552	20180117-0900-PLENARY-22-en_20180117-23:06:24_5	I would urge you to become ambassadors of the Year by making its ideas and activities widely known amongst European citizens and participating in events, be it at European, national or local level.
voxpopuli_eng_000553	20090324-0900-PLENARY-3-en_20090324-10:08:21_4	Certainly, such impact assessment could pre empt certain problems, such as those posed by the electronic identification of sheep in Scotland.
voxpopuli_eng_000554	20130416-0900-PLENARY-11-en_20130416-17:53:39_2	The Court is content to see that its work has informed the discharge process and has contributed to proposals for improving the financial management of EU spending and better targeting of EU funds.
voxpopuli_eng_000555	20201008-0900-PLENARY-en_20201008-08:54:16_8	Regulatory clarity and certainty is needed for the public sector and for industry.
voxpopuli_eng_000556	20120509-0900-PLENARY-14-en_20120509-18:32:21_2	Is it really not possible to use other housing facilities with appropriate reception conditions in the meantime?
voxpopuli_eng_000557	20180911-0900-PLENARY-en_20180911-21:49:01_4	Will you take action at last? If not, then when?
