fleurs_cmn_000000 cmn_hans_cn/audio/dev/314744401266810503.wav	许多常见格式例如APS格式系列都与这个长宽比相同或相当接近
fleurs_cmn_000033 cmn_hans_cn/audio/dev/12777520601088301837.wav	这是马特利MARTELLY四年来第五次入选海地临时选举委员会CEP
fleurs_cmn_000034 cmn_hans_cn/audio/dev/8362077834164216310.wav	滑雪是许多滑雪爱好者的主要旅游活动这些爱好者有时也被称为滑雪狂人他们计划整个假期都在某个地点滑雪
fleurs_cmn_000035 cmn_hans_cn/audio/dev/2052877105571174924.wav	冬天可能会比看上去显得更冷温度很少低于零度但当风和湿度结合在一起会让人感觉比温度计显示的温度要冷
fleurs_cmn_000036 cmn_hans_cn/audio/dev/9127730060310425734.wav	科学家表示这次碰撞引起的爆炸规模巨大
fleurs_cmn_000037 cmn_hans_cn/audio/dev/6228428917410844886.wav	请给予此地应得的尊严庄严和尊重不要用大屠杀或纳粹开玩笑
fleurs_cmn_000038 cmn_hans_cn/audio/dev/1781698135015669498.wav	当地政府警告核电站附近的居民要待在室内关掉空调不要喝自来水
fleurs_cmn_000039 cmn_hans_cn/audio/dev/477393708737461701.wav	很快配备了防暴装备的警察进入了院子并用催泪瓦斯把囚犯逼得走投无路
fleurs_cmn_000040 cmn_hans_cn/audio/dev/16344808851156693606.wav	绘图分析的结果将发布在公网上
fleurs_cmn_000041 cmn_hans_cn/audio/dev/423790731764285218.wav	报告警告称没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争不断增长的暴力或走向混乱
fleurs_cmn_000042 cmn_hans_cn/audio/dev/7748726541994053870.wav	人工智能AI的研究涉及制造机器让需要智能行为的任务自动化
fleurs_cmn_000043 cmn_hans_cn/audio/dev/17924823075378655412.wav	快递公司可因快速交付货物而获取高酬劳很多时候时间对于商务文件商品或用于紧急维修的零部件而言非常重要
fleurs_cmn_000044 cmn_hans_cn/audio/dev/51916229684645671.wav	日本广播协会NHK还报道说位于新泻县的柏崎刈羽KASHIWAZAKIKARIWA核电站运行正常
fleurs_cmn_000045 cmn_hans_cn/audio/dev/18273624111539703900.wav	意大利语的发音相对容易因为大多数单词的发音与拼写完全相同
fleurs_cmn_000046 cmn_hans_cn/audio/dev/512271557808282082.wav	太空中的卫星接到电话后几乎是立刻将其反射回去
fleurs_cmn_000047 cmn_hans_cn/audio/dev/4755285737997333214.wav	如果冬季去北极或南极地区旅游你就能体验到极夜即一段时间内太阳不会从地平线上升起
fleurs_cmn_000048 cmn_hans_cn/audio/dev/11926847670991044823.wav	有些音乐节会为带小孩的家庭设立特别的露营区
fleurs_cmn_000049 cmn_hans_cn/audio/dev/17941578099171545277.wav	科学家表示这次碰撞引起的爆炸规模巨大
fleurs_cmn_000050 cmn_hans_cn/audio/dev/8621251104923878671.wav	摆脱湍急水流之后游回来就没有那么困难了
fleurs_cmn_000051 cmn_hans_cn/audio/dev/2210714293647437543.wav	在布法罗匹兹堡高速公路上行车条件最具挑战性的是波特马里恩POINTMARION到费尔蒙特FAIRMONT之间的路段这段路频繁地途径多处偏僻的边远地区
fleurs_cmn_000052 cmn_hans_cn/audio/dev/14924041805691688298.wav	菲律宾一名前警察在首都马尼拉劫持旅游大巴将车上的香港游客作为人质
fleurs_cmn_000053 cmn_hans_cn/audio/dev/6612060755119914239.wav	你给远在千里之外的人打电话就会用到卫星
